TrueSize	FrontLength	WorstCover	BestCover	AccBound	CovBound	CovMaxPhenFreq	CovMaxStateFreq	CovMinPhenFreq	CovMinStateFreq	Acc_CovRatio	Cov_AccRatio	Length_SS	FrontDiff	Diff_SS	BayesMaxCov	BayesMin	BayMax__BestCov	BestCov_BayMax	WorstCov_BayesMin	BayDiff_SS	phenotype
5000	10	5.3306	78.153	0.068207235	0.063120632	0.5154	0.511	0.5154	0.001841075	1.080585416	0.925424298	0.002	72.8224	0.01456448	1316.847	4.74444914	1238.694	0.05934858	1.123544556	0.2477388	1
20000	9	96.0009	193.53135	0.496048315	0.03875641	0.50515	0.50455	0.50515	0.007737113	12.7991295	0.078130313	0.00045	97.53045	0.004876523	5097.46865	78.16805385	4903.9373	0.037966168	1.228134708	0.245196865	1
10000	12	47.9232	115.9968	0.413142432	0.046435928	0.5008	0.5004	0.5008	0.007900491	8.897042607	0.112396899	0.0012	68.0736	0.00680736	2506.0032	39.56565786	2390.0064	0.046287571	1.21123223	0.23900064	1
2000	6	41.409	58.093	0.712805329	0.118052888	0.5185	0.511	0.5185	0.030609921	6.038016851	0.165617292	0.003	16.684	0.008342	529.907	31.74248772	471.814	0.109628671	1.304529133	0.235907	1
5000	9	48.9074	87.6008	0.558298554	0.071359354	0.5042	0.4952	0.4958	0.016056684	7.823761335	0.12781576	0.0018	38.6934	0.00773868	1248.3992	39.8045202	1160.7984	0.070170503	1.2286896	0.23215968	1
10000	7	174.408	217.535	0.801746845	0.088337831	0.507	0.4995	0.493	0.031023289	9.07591729	0.1101817	0.0007	43.127	0.0043127	2532.465	152.9448132	2314.93	0.085898522	1.140332885	0.231493	1
10000	9	94.248	152.968	0.616128864	0.063158555	0.504	0.4883	0.496	0.015410562	9.755271635	0.102508678	0.0009	58.72	0.005872	2461.032	76.4363878	2308.064	0.062156039	1.2330253	0.2308064	1
5000	9	91.2492	121.2396	0.752635278	0.102204985	0.5172	0.4914	0.5172	0.032396236	7.363978194	0.135796165	0.0018	29.9904	0.00599808	1270.7604	83.77666675	1149.5208	0.095407128	1.089195877	0.22990416	1
10000	6	176.9292	213.5078	0.828677922	0.086108945	0.5002	0.4961	0.5002	0.031927936	9.623598627	0.103911233	0.0006	36.5786	0.00365786	2481.4922	159.7035346	2267.9844	0.086040085	1.107860264	0.22679844	1
5000	5	89.6328	127.8776	0.700926511	0.10613327	0.5064	0.4882	0.4936	0.031339708	6.604210998	0.151418542	0.001	38.2448	0.00764896	1236.1224	77.34640002	1108.2448	0.103450597	1.158849022	0.22164896	1
2000	3	71.9935	82.551	0.872109363	0.174323357	0.5255	0.499	0.4745	0.068629025	5.002825657	0.199887038	0.0015	10.5575	0.00527875	524.449	65.12894457	441.898	0.157405201	1.105399458	0.220949	1
5000	8	168.498	185.3092	0.909280273	0.150375571	0.5106	0.5036	0.4894	0.063369607	6.046728635	0.16537868	0.0016	16.8112	0.00336224	1285.6908	155.0654294	1100.3816	0.144132011	1.086625179	0.22007632	1
2000	10	23.976	54.0075	0.443938342	0.109769668	0.5005	0.4925	0.5005	0.015903304	4.044271513	0.24726332	0.005	30.0315	0.01501575	492.9925	15.91920777	438.985	0.109550348	1.5061051	0.2194925	1
5000	6	174.6602	195.4512	0.893625621	0.160015562	0.5122	0.5008	0.4878	0.066407256	5.584616965	0.17906331	0.0012	20.791	0.0041582	1282.5488	161.9672982	1087.0976	0.152392798	1.078367065	0.21741952	1
5000	4	170.4864	191.9648	0.888112821	0.154441059	0.5044	0.5016	0.5044	0.063733535	5.750496833	0.173898018	0.0008	21.4784	0.00429568	1265.0352	160.7359746	1073.0704	0.151746608	1.060661127	0.21461408	1
2000	5	79.5755	90.782	0.876555925	0.192832351	0.5235	0.494	0.5235	0.06429626	4.545689141	0.219988646	0.0025	11.2065	0.00560325	517.218	67.31818391	426.436	0.1755198	1.182080314	0.213218	1
2000	4	77.034	85.3485	0.902581768	0.181073028	0.5205	0.4915	0.4795	0.067202434	4.984628462	0.200616758	0.002	8.3145	0.00415725	511.6515	64.44713442	426.303	0.166809831	1.195305279	0.2131515	1
2000	5	71.19	78.67	0.904919283	0.163327589	0.5085	0.49	0.4915	0.066438203	5.540516983	0.180488572	0.0025	7.48	0.00374	498.33	65.30875314	419.66	0.157867277	1.090052965	0.20983	1
2000	4	73.941	79.527	0.929759704	0.16146729	0.503	0.4955	0.497	0.066561675	5.758192285	0.173665614	0.002	5.586	0.002793	498.473	66.16230521	418.946	0.159541239	1.117569888	0.209473	1
2000	4	72.355	86.507	0.836406302	0.171468384	0.499	0.5035	0.501	0.064818284	4.87790392	0.205006088	0.002	14.152	0.007076	502.493	64.94792022	415.986	0.172155632	1.114046451	0.207993	1
2000	4	71.686	91.581	0.782760616	0.188213268	0.509	0.4955	0.509	0.064301729	4.15890243	0.240448055	0.002	19.895	0.0099475	504.419	65.45915969	412.838	0.181557396	1.095125577	0.206419	1
5000	5	175.14	192.9728	0.907589049	0.158567883	0.4996	0.4864	0.4996	0.061970365	5.723662537	0.174713305	0.001	17.8328	0.00356656	1215.0272	154.8019711	1022.0544	0.158821794	1.131380943	0.20441088	1
