N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	M0P0	M0P1	M1P0	M1P1	Class
52.89083388	149.9654916	2.376770694	8.385804392	86.96390695	78.3614731	49.69539664	45.0	69.98776127	8.490968034	9.867545797	47.70557404	20.50484799	84.33417145	40.89066838	22.20114045	42.94221805	41.92092755	57.72247859	7.360363952	10.06
78.88252535	129.7134364	37.79693857	74.71995203	52.19537926	17.35752906	38.32882801	257.7	68.78952295	60.21569239	34.54702712	64.04490376	127.5864124	54.39184938	15.93527868	74.34726915	24.7265544	91.51646132	72.03734464	2.902846538	5.28
29.71419805	108.3405305	71.27652675	82.16090116	35.52010476	88.64479405	32.77705661	276.6	66.45432144	55.35838816	61.76085967	15.59803592	36.6005732	52.44335626	33.24594024	58.27598194	91.56428565	37.63235287	6.667713689	67.29601378	13.24
52.91673517	92.05381243	45.23803534	78.32764098	43.95365013	61.95689008	29.85497745	384.9	50.38405364	84.26205796	32.0398073	18.84783364	13.4514068	12.28983178	126.0882156	85.80962186	24.19388546	49.03194348	32.62916948	120.361809	7.89
15.92447332	6.917963692	21.66482485	116.3474861	116.356635	71.99128277	30.46903961	249.3	86.09809859	45.43379133	62.06740743	69.38304002	63.30768428	76.91954567	18.56991538	82.3153816	43.34095518	36.52931947	35.65128399	60.99194531	14.69
102.0958252	143.0352188	84.0554292	10.37532438	92.01538071	25.51579839	38.89274689	326.7	92.14200562	20.84964223	28.01822479	2.114328919	103.2315418	7.409756346	4.469098059	19.82404159	73.29700395	21.59955446	24.20579019	9.160518378	1.81
22.96119676	142.3277963	144.8852238	12.27684363	41.0287234	42.23496987	46.84104027	108.3	6.026320728	17.30408882	66.30103382	30.15660989	88.74006625	28.51050027	41.89151101	57.78013889	28.79948419	14.35942938	26.76432812	18.11335488	8.78
70.28786096	131.2193507	54.10911509	34.3863528	78.89766965	22.26892068	22.73896477	296.7	1.927302729	3.400548389	82.61534136	119.4510792	86.07874051	9.029822202	29.83133553	86.33867246	99.62276044	43.8494676	39.98164223	18.73397637	0.91
60.0702645	52.50077416	52.14871226	66.89240192	27.25555744	3.690090558	9.460234203	23.7	69.74725586	7.434181132	56.29568752	52.49777139	75.37948015	102.3375294	51.98908504	102.4582728	10.80359208	10.4215165	15.55004961	30.1329659	10.58
17.93623638	100.3043792	25.97986442	12.77757787	67.29927154	27.10459155	39.75884109	340.2	60.15588257	27.20336511	36.68443835	94.12764467	55.34582249	33.75862119	2.94246776	39.0595987	11.31171177	68.93072223	11.67316921	42.9716244	6.82
4.063642092	126.8751505	1.440235428	81.91442873	68.72415374	72.78113997	5.133998423	412.2	8.595169706	66.75952906	5.269370244	56.87693381	94.76463359	97.55162796	10.94860405	116.1278865	89.20845467	12.00318202	26.11594589	42.42366019	2.42
122.0296697	86.43108307	5.785399664	3.401586169	96.69545306	127.6053386	13.59602667	447.3	97.15866852	40.30758755	38.57699638	22.70592957	140.6705764	23.86975673	31.44085186	42.69300954	34.16453263	16.71366989	16.48897869	6.277618604	6.85
66.75194901	74.74926741	43.16940574	28.32087335	30.71701335	53.01251381	20.68998555	391.5	44.33878041	39.65074843	2.34451324	9.525214292	121.9886836	15.55604202	32.30311961	43.49486657	22.42873923	62.04142776	49.71642198	14.12126308	7.13
80.00416556	89.96305472	64.84028291	52.03176357	23.39917253	19.49308325	46.44654699	175.5	36.44054789	81.13818282	42.82599425	4.156588334	135.3238773	62.49553548	49.95184479	80.34629017	79.38272655	84.83271309	36.05505966	29.68564574	9.3
69.07887238	97.30210703	61.44795977	12.35135861	48.06125758	1.389733473	32.27107568	257.4	71.91167605	49.15041986	36.01853128	25.85711933	10.89745487	52.96917579	39.62992744	78.97814277	10.36836767	47.55898029	72.6702667	74.91869481	6.83
37.82044071	7.652692359	95.52587802	39.00462493	28.33340599	12.69337372	21.10493019	68.1	91.47112688	33.45620596	16.16162391	38.41656717	145.4299351	88.53524158	81.94028469	36.81507788	29.34509371	90.92168308	24.89479627	9.073484404	12.82
0.695600195	68.38869973	25.09786264	1.701385542	12.79347123	13.32016412	8.889656043	115.2	19.44759138	91.85008435	15.78125617	35.93029437	78.46913771	62.93590558	3.821398267	146.3284936	8.109724984	26.87655213	62.54076425	65.81112252	10.48
84.88552452	145.6470089	31.53777317	29.24140313	99.89842255	63.61357351	51.44435053	89.4	43.27942727	14.84965726	44.61893155	126.8072953	120.8768595	56.73015062	111.0349734	133.5899845	70.66265221	17.42439192	10.65021762	124.706765	9.75
66.98109088	136.6365208	13.20192734	42.37039592	85.36439537	45.24361744	17.24971751	271.8	6.642623679	39.27675087	76.06257454	21.16879464	73.11230805	87.11357745	35.55035511	27.85672282	28.38517712	93.41913605	6.157553451	87.90261644	15.74
123.55201	97.79296196	14.36219917	14.52223453	76.3634734	35.38727307	25.94594133	399.3	16.26504892	36.02201381	76.80258555	89.09256725	40.34684387	11.50966231	74.93749851	79.7808774	10.72333044	5.405136044	73.87975009	18.25668068	15.71
