N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	M0P0	M0P1	M1P0	M1P1	Class
96.73117637	112.7598297	46.46033234	24.53115551	85.46320451	92.60464192	35.52757105	21.6	53.42373784	66.28019405	34.43723212	57.91557021	31.73163693	28.51591888	75.6136173	85.90902741	97.02135573	6.418934097	31.92373437	49.06870686	40.8944845392
97.0420721	134.0981219	8.075333557	28.74366262	39.55707755	51.0419165	40.3952624	163.5	23.77043411	19.75884094	39.83417128	22.93491218	124.5158441	48.03363359	24.77827597	85.88576228	42.3870484	44.78724366	61.68233092	66.58154513	84.6269363686
54.30100726	149.769476	17.07030853	96.08245609	35.85430262	61.63124091	48.89011803	360.3	75.33332789	13.70105053	47.87562485	53.8713569	135.1041991	73.33098478	11.74829798	134.9131017	55.70522321	98.86670878	85.52871597	74.81942825	107.396801544
24.59698363	67.36283588	68.87992305	31.26128642	58.66935051	42.16730763	46.25276809	242.1	15.88376509	83.15270265	8.825836196	76.20772848	34.81850196	97.0416186	78.44627981	19.17916792	79.1796435	98.67883911	52.3237922	44.32372828	89.1283770146
49.19332635	48.04660309	56.16476493	4.379708392	1.55630259	28.68512131	31.52805108	349.8	119.295112	8.936097918	49.3450463	77.92617392	81.1916159	78.72195083	79.4129073	37.91302131	38.18212355	28.4969205	18.05990968	17.38035838	146.136640148
91.90703575	85.3834115	125.4167321	63.91982518	46.2025311	0.162867819	24.20171787	369.3	132.7215906	7.738957838	10.3023515	20.6031119	126.360405	39.10326015	6.131246605	9.839210871	14.09426301	58.69666624	87.22967674	5.863488014	174.289433413
84.8466562	60.44183079	33.11007703	20.58745883	25.71674676	96.057224	37.53319178	215.4	78.55444484	52.20853992	95.12796286	36.39846484	136.0088651	143.9132546	27.31865093	64.44869363	19.26134752	19.57410924	3.643917996	21.11804405	57.5621616967
148.3540352	23.79703059	17.06368402	31.35930071	45.63759863	93.71425004	38.40210697	317.7	85.48362267	28.97530171	77.87403433	102.6664293	78.57294222	74.23155542	35.37195969	142.9344445	2.726083393	2.774444235	3.505795505	61.32283477	115.570939982
140.7842713	45.74846418	39.93528867	0.613326398	23.78669144	75.07735106	13.80650582	217.8	4.580809877	43.06968772	6.233448022	43.88958285	142.4938654	2.474992597	12.77321247	116.6957251	17.11086579	1.556116787	31.64262713	58.554765	88.5102276875
64.71215478	85.41550478	80.46832681	51.54236193	3.349121485	77.2154373	108.9944785	191.7	123.1374354	48.8277489	19.44370469	56.19558771	20.53799384	33.06336501	0.779358255	32.881314	25.22233337	45.79265746	2.531377363	82.33993544	90.0855097126
123.5606671	75.20887785	62.08436166	10.54702583	11.06520443	18.73476212	48.92504731	129.9	96.78898943	71.14537776	20.71190453	93.00884861	56.67473953	2.621063057	88.13550046	3.2761127	35.42667091	33.02810531	23.8777944	30.3249842	73.3239815739
57.59556477	63.40763412	81.05065727	28.35620475	24.64525992	4.520782158	4.360950147	392.1	100.8503034	74.79476436	27.70741522	52.25483986	53.30196321	92.12106909	31.27089395	11.08997005	51.11618905	98.48269354	41.00099976	84.09299326	176.536228206
12.34964597	113.9493502	0.450292797	24.8785084	11.01362927	3.874160239	1.832770352	92.1	68.61104595	25.01894845	0.890477997	0.790610765	117.6687419	106.5360364	14.92961936	76.08269231	14.99993577	117.1983471	35.76174921	5.475730083	31.4915300971
84.69440916	87.74016529	18.44061137	35.15641769	19.10830659	115.4566438	21.27592864	232.5	128.9600088	15.04049145	134.5215977	122.4746	148.3894034	60.20407249	73.3631458	52.86961696	24.03050423	72.08179235	103.3701372	15.63043689	70.4596459125
20.64068317	23.9924849	6.47168335	103.8345117	73.75333363	10.59134959	35.93380765	108.9	84.50582125	20.66946408	18.32698062	56.82482951	60.58788864	52.76419056	47.75287845	61.36916337	42.52844493	47.02806118	2.145197005	42.23820031	37.638095404
73.87241873	92.61033979	42.99698456	88.01540815	7.726304353	27.3526898	28.35801643	460.8	132.0834126	92.99374576	36.31298151	50.9126737	77.47293887	37.11519383	52.95236951	83.90339183	8.326257141	24.79869302	38.5073412	60.9407788	195.485480031
69.02948612	30.42273116	72.90775828	83.19474135	79.23528897	47.23166852	12.15403265	334.5	41.05222804	15.97754957	23.59076524	56.1511132	3.076160249	16.52233504	72.04108551	51.971826	4.74044837	12.69402394	25.49342419	86.90904741	119.221060537
82.9908148	10.94048167	66.8543521	58.30785001	55.31831675	37.29814553	14.49217417	70.8	130.7067904	26.4794852	43.92045628	41.62918807	93.23441734	28.81489567	6.451563038	8.186196347	12.42151949	44.95662689	85.08459661	58.36423434	6.19192505466
7.52022486	89.26462918	37.47846808	46.40619989	7.948106669	43.38924589	27.74320404	340.5	62.36878886	2.155524162	30.25702877	75.76151323	59.5840752	50.61592425	94.25317159	62.41537975	48.67392539	61.2985706	19.51372121	31.47342322	149.404095923
91.39149858	148.0952947	27.87553603	94.09311133	96.49917312	30.16447795	88.4871652	3.6	5.657163087	83.31374611	83.17999699	91.55301166	54.94506505	110.9627875	1.890699984	43.28018998	20.12752469	46.72826432	54.75525881	68.07552228	49.5769820237
137.834232	149.4236953	65.16114269	148.6714795	5.085338023	14.70382318	28.72551931	343.2	73.71771023	57.25870015	119.8031907	81.94240075	109.9936513	59.63372053	15.20581881	80.3268985	44.31958952	33.89217158	8.736285778	3.724436086	112.951538112
43.74200869	99.68970049	98.2735477	11.67689164	72.08500961	57.41683195	42.22122837	384.6	61.49693116	2.632524101	46.15364362	116.9353002	113.0412736	51.41436882	15.24187352	115.1116943	140.7999653	58.69691691	31.58540873	12.12215477	178.788591009
65.74970584	71.3121171	86.76466781	92.87901929	30.12119614	11.13862316	17.76102772	376.5	98.85757046	48.91798923	71.50569265	45.95205105	97.50221337	126.9227909	70.62813925	94.1501878	96.54808886	21.66182821	74.44036765	27.70385513	151.478049595
74.91911701	7.752988878	89.31793255	56.33108959	39.24002259	95.48108278	7.199672354	235.8	58.51366265	21.78175865	1.618032005	92.61874728	79.09758688	37.47670977	8.867622313	79.23253478	39.1619015	21.6947341	10.37867904	23.75565461	69.2537290268
43.05262569	30.23207303	37.80071779	109.0964955	32.73458983	1.572866822	42.01106125	454.2	54.81627689	68.54017068	20.52839867	35.21692654	99.42409711	53.04471265	9.459329978	67.46531088	45.35015732	17.69164184	9.272950036	9.600129543	180.086717011
44.81093949	15.93984145	55.66838687	3.436955889	29.43793919	33.35590631	74.59542755	441.6	131.5145566	52.62602196	67.20842404	41.04811218	65.23019979	62.97379242	85.95479535	121.0869294	68.40044031	81.4424295	49.69387509	22.98487831	189.591969553
53.24316822	44.62158522	30.17494008	48.00254251	37.92817906	70.93883	18.50459754	4.5	148.6450332	72.16256512	35.71102382	24.17634093	59.49925145	4.970256237	140.9791226	122.2770589	49.76587454	63.63690857	84.00369378	83.938959	21.4671337417
60.55048506	77.33250779	85.90589972	135.5272224	11.32033153	10.95421626	16.87552144	342.9	33.42804388	6.641361813	21.20716232	27.77436503	57.1296283	65.74335112	6.654573688	57.00671283	2.268928929	89.96875281	40.73219102	27.2063055	142.038887249
63.4684753	102.2127206	123.5063362	63.84220175	21.82021553	46.95078207	56.6249384	442.5	55.85315796	66.33741994	7.892586783	50.81053902	75.64367655	146.5300919	9.536599652	13.15047171	98.99288207	85.91336461	49.71321329	44.88940435	191.126885966
51.00218024	118.5980456	49.21148524	47.88827939	12.24427434	94.74202659	23.80830535	458.1	0.843520928	9.529250636	63.93888724	87.54403428	76.74063562	129.3911342	26.09677386	43.8204009	47.41440074	24.34081517	74.42084956	92.36068967	196.278864648
2.961079061	134.7265316	34.89555164	17.40292566	38.08699603	9.12822426	48.16240273	292.2	16.95911348	4.049863291	34.42424345	102.5526272	146.6550623	92.89418266	23.65259532	75.35903981	45.14797991	23.2486921	71.46398122	12.52307313	131.165876312
84.147419	33.40584893	4.801266932	14.79066659	123.5735959	68.57342095	62.3639092	259.2	41.2930281	4.966353072	78.9765684	38.63276927	69.4648711	38.15804401	20.6692308	82.99982304	39.02361507	25.03148126	24.26934731	34.94338701	138.474111563
99.59665127	67.29913104	65.91719641	32.15773699	14.98658308	50.60618886	36.90296714	444.6	66.18977659	44.98401498	22.12778433	44.85595401	144.3088535	68.62041395	15.36482925	149.9784167	10.69145412	16.642238	14.45415742	94.23776291	178.722182931
97.04994063	115.2109286	64.13790456	63.38026847	48.49522594	28.12202442	52.84625916	250.8	93.62999898	46.58043632	31.13087779	85.14743141	99.12135591	56.85087015	32.80594938	31.02553434	26.59152124	20.93259822	49.13824151	70.44745976	139.898995173
141.3880211	79.37618031	54.85386787	87.08332343	99.8245535	97.0755971	29.31059735	427.5	33.08793037	45.54176602	30.07612686	1.432847444	22.2781619	55.97977191	44.25377605	116.6521075	34.32689152	17.50862462	21.99882381	39.68964952	155.060826231
2.231446199	66.81615883	77.177397	7.378828423	40.36293139	5.885317831	30.84890808	127.8	79.67664761	45.82590979	34.61175928	10.27109096	55.40445178	52.87736793	39.4346707	53.87198751	16.70931746	5.833750101	45.45211123	27.6798963	76.7243902988
