N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	M0P0	M0P1	M1P0	M1P1	Class
0	1	0	0	0	0	0	100.2	0	0	1	0	1	1	1	1	1	1	0	0	3.59
0	0	0	1	0	0	0	61.2	1	0	0	0	0	2	0	2	0	0	0	1	2.29
0	1	0	1	0	0	0	123.0	0	0	0	0	0	0	0	0	0	0	1	1	4.35
1	1	0	1	0	0	0	388.8	0	0	0	0	1	1	0	0	1	0	0	1	13.21
0	0	0	1	0	1	0	362.1	0	0	0	0	1	0	0	0	0	1	0	0	12.32
1	1	0	2	0	1	0	213.9	0	0	1	0	0	0	2	0	0	0	0	1	7.38
0	1	0	1	1	0	0	429.3	0	0	1	0	1	1	2	0	0	0	1	1	14.56
2	1	0	1	0	1	0	83.1	0	0	0	0	1	0	0	0	1	1	1	1	3.02
0	0	0	0	0	0	1	20.7	0	0	0	0	1	1	0	1	0	0	0	1	0.94
0	0	0	1	0	1	0	114.9	0	0	0	0	0	0	1	0	1	0	1	0	4.08
2	0	0	0	0	0	0	174.0	0	1	0	0	0	2	1	0	0	0	1	1	6.05
1	1	0	1	0	0	0	279.9	0	0	0	0	0	2	1	0	0	1	1	2	9.58
1	0	0	1	1	1	0	86.7	0	0	1	0	1	1	2	0	0	0	0	0	3.14
2	0	0	1	0	2	0	267.9	1	0	0	0	1	0	0	0	0	0	0	1	9.18
1	0	0	1	1	0	0	342.9	1	0	0	0	1	2	1	1	0	0	1	0	11.68
2	2	0	1	0	2	0	266.7	0	0	0	0	1	0	2	0	1	1	1	1	9.14
1	0	0	1	1	1	0	121.2	0	0	0	0	1	1	2	0	0	0	0	1	4.29
1	0	1	0	0	0	0	108.9	0	0	0	0	1	0	1	1	0	0	1	0	3.88
0	2	0	1	0	1	0	456.9	0	0	1	0	1	0	0	1	1	1	0	2	15.48
0	0	0	1	0	1	0	60.3	1	0	0	0	1	0	1	0	0	1	0	0	2.26
0	0	0	0	0	0	0	79.8	0	0	0	0	1	0	0	1	1	1	0	0	2.91
1	1	0	1	1	1	0	193.2	0	0	0	0	2	2	1	0	0	0	0	0	6.69
1	1	0	2	0	1	0	280.5	0	0	0	0	1	1	2	0	0	0	1	2	9.6
2	0	0	1	0	1	0	291.9	0	0	1	0	2	0	1	1	0	0	1	0	9.98
1	0	0	0	1	1	0	273.0	0	0	0	0	0	1	1	1	0	0	0	0	9.35
1	0	0	2	0	1	0	214.8	0	0	1	0	0	0	1	2	0	0	0	1	7.41
0	2	0	0	0	1	0	415.2	0	1	1	0	0	0	0	1	1	1	1	1	14.09
0	0	0	0	0	1	0	150.9	0	0	0	0	2	0	1	2	0	0	1	0	5.28
0	0	0	2	0	1	0	147.9	0	0	0	0	0	0	1	0	0	0	0	1	5.18
0	0	0	2	0	1	0	253.5	0	0	0	0	0	0	2	1	0	1	1	0	8.7
1	0	0	0	0	0	0	350.7	0	0	0	0	0	1	2	0	0	0	1	2	11.94
0	0	0	2	0	1	1	437.1	1	0	0	0	0	2	1	1	0	0	0	1	14.82
0	1	0	2	1	0	0	24.0	0	0	0	0	1	0	0	0	0	1	0	0	1.05
0	2	0	2	0	0	0	435.9	0	0	0	0	0	1	0	1	0	0	1	0	14.78
1	0	0	1	0	0	0	107.4	1	0	0	0	1	1	1	0	1	0	0	1	3.83
0	1	0	2	0	1	0	141.6	0	0	0	0	1	0	1	0	1	1	0	0	4.97
1	2	0	1	0	0	0	476.7	0	0	0	0	1	0	0	0	1	1	0	0	16.14
0	0	0	0	0	0	0	384.6	1	0	0	0	0	1	1	0	1	0	1	1	13.07
