N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	M0P0	M0P1	M1P0	M1P1	Class
0	1	0	0	0	0	0	100.2	0	0	1	0	1	1	1	1	1	1	0	0	2.26
0	0	0	1	0	0	0	61.2	1	0	0	0	0	2	0	2	0	0	0	1	4.31
0	1	0	1	0	0	0	123.0	0	0	0	0	0	0	0	0	0	0	1	1	12.27
1	1	0	1	0	0	0	388.8	0	0	0	0	1	1	0	0	1	0	0	1	1.22
0	0	0	1	0	1	0	362.1	0	0	0	0	1	0	0	0	0	1	0	0	9.99
1	1	0	2	0	1	0	213.9	0	0	1	0	0	0	2	0	0	0	0	1	6.05
0	1	0	1	1	0	0	429.3	0	0	1	0	1	1	2	0	0	0	1	1	2.45
2	1	0	1	0	1	0	83.1	0	0	0	0	1	0	0	0	1	1	1	1	0.69
0	0	0	0	0	0	1	20.7	0	0	0	0	1	1	0	1	0	0	0	1	7.07
0	0	0	1	0	1	0	114.9	0	0	0	0	0	0	1	0	1	0	1	0	16.27
2	0	0	0	0	0	0	174.0	0	1	0	0	0	2	1	0	0	0	1	1	10.63
1	1	0	1	0	0	0	279.9	0	0	0	0	0	2	1	0	0	1	1	2	7.86
1	0	0	1	1	1	0	86.7	0	0	1	0	1	1	2	0	0	0	0	0	1.8
2	0	0	1	0	2	0	267.9	1	0	0	0	1	0	0	0	0	0	0	1	3.02
1	0	0	1	1	0	0	342.9	1	0	0	0	1	2	1	1	0	0	1	0	9.58
2	2	0	1	0	2	0	266.7	0	0	0	0	1	0	2	0	1	1	1	1	7.32
1	0	0	1	1	1	0	121.2	0	0	0	0	1	1	2	0	0	0	0	1	1.05
1	0	1	0	0	0	0	108.9	0	0	0	0	1	0	1	1	0	0	1	0	16.2
0	2	0	1	0	1	0	456.9	0	0	1	0	1	0	0	1	1	1	0	2	0.96
0	0	0	1	0	1	0	60.3	1	0	0	0	1	0	1	0	0	1	0	0	13.78
0	0	0	0	0	0	0	79.8	0	0	0	0	1	0	0	1	1	1	0	0	12.79
1	1	0	1	1	1	0	193.2	0	0	0	0	2	2	1	0	0	0	0	0	15.23
1	1	0	2	0	1	0	280.5	0	0	0	0	1	1	2	0	0	0	1	2	3.54
2	0	0	1	0	1	0	291.9	0	0	1	0	2	0	1	1	0	0	1	0	5.58
1	0	0	0	1	1	0	273.0	0	0	0	0	0	1	1	1	0	0	0	0	3.2
1	0	0	2	0	1	0	214.8	0	0	1	0	0	0	1	2	0	0	0	1	3.44
0	2	0	0	0	1	0	415.2	0	1	1	0	0	0	0	1	1	1	1	1	16.28
0	0	0	0	0	1	0	150.9	0	0	0	0	2	0	1	2	0	0	1	0	9.56
0	0	0	2	0	1	0	147.9	0	0	0	0	0	0	1	0	0	0	0	1	5.24
0	0	0	2	0	1	0	253.5	0	0	0	0	0	0	2	1	0	1	1	0	1.72
1	0	0	0	0	0	0	350.7	0	0	0	0	0	1	2	0	0	0	1	2	10.49
0	0	0	2	0	1	1	437.1	1	0	0	0	0	2	1	1	0	0	0	1	11.72
0	1	0	2	1	0	0	24.0	0	0	0	0	1	0	0	0	0	1	0	0	4.12
0	2	0	2	0	0	0	435.9	0	0	0	0	0	1	0	1	0	0	1	0	6.61
1	0	0	1	0	0	0	107.4	1	0	0	0	1	1	1	0	1	0	0	1	1.85
0	1	0	2	0	1	0	141.6	0	0	0	0	1	0	1	0	1	1	0	0	13.64
1	2	0	1	0	0	0	476.7	0	0	0	0	1	0	0	0	1	1	0	0	1.81
0	0	0	0	0	0	0	384.6	1	0	0	0	0	1	1	0	1	0	1	1	3.84
0	0	0	0	0	0	0	384.0	0	0	1	0	1	1	0	1	0	0	0	0	0.67
2	1	1	0	1	1	0	31.5	0	0	1	0	0	1	0	0	0	0	0	0	12.04
2	1	0	1	1	0	0	31.8	0	0	0	0	0	0	1	0	0	1	0	0	5.31
1	1	0	0	0	2	0	81.3	0	0	0	0	1	0	0	0	0	0	0	0	8.83
1	0	0	0	0	0	0	50.7	1	0	1	0	0	0	0	0	0	1	1	0	16.29
1	0	0	0	0	1	0	14.7	0	0	1	0	0	1	1	1	0	1	1	0	10.39
2	0	0	1	0	0	0	49.8	0	0	0	0	0	0	0	0	0	0	1	0	13.66
1	0	0	1	0	0	1	391.2	0	0	0	0	1	0	1	0	1	0	1	0	11.94
1	0	0	0	0	0	0	141.3	0	0	1	0	2	1	2	1	1	1	0	0	4.6
0	1	0	1	0	0	0	116.4	0	0	1	0	1	2	2	0	0	1	0	1	12.12
1	2	0	1	0	0	0	225.3	0	0	0	0	1	1	2	1	1	0	0	0	8.84
0	1	0	1	0	0	0	27.0	0	0	0	0	0	1	2	1	0	0	0	1	11.25
1	1	0	2	0	0	1	339.0	0	1	0	0	0	1	1	0	0	0	0	0	9.51
1	0	0	1	0	0	0	136.2	0	1	0	0	0	0	0	0	0	0	1	1	15.69
1	0	0	2	1	1	0	211.5	0	1	0	1	0	0	0	1	0	0	1	1	10.07
0	0	0	1	0	1	1	148.8	0	0	0	0	2	0	0	1	1	0	0	0	3.68
0	1	0	1	1	1	0	390.3	1	0	0	0	1	0	1	0	0	1	0	0	0.9
1	0	0	2	1	1	0	276.6	0	0	0	0	1	0	1	0	0	0	0	0	11.64
2	0	0	0	0	1	1	475.8	0	0	0	0	0	0	0	1	2	1	0	0	15.13
0	0	0	1	0	1	0	392.7	0	0	0	0	1	1	1	1	1	0	1	0	4.13
0	0	0	1	0	0	1	84.9	0	0	0	0	1	1	1	0	0	0	1	0	13.19
0	0	1	0	0	0	0	328.8	0	1	0	0	1	1	0	0	0	0	0	0	11.8
1	0	0	2	0	0	0	274.2	0	0	0	0	0	1	1	0	0	2	0	0	12.11
0	0	0	0	0	1	0	335.4	1	1	1	0	0	0	0	0	0	0	0	1	4.14
0	1	0	1	0	2	0	420.9	1	0	2	0	1	2	0	1	0	1	2	1	12.53
0	0	0	0	0	0	0	480.3	0	0	2	0	0	0	1	0	1	1	1	1	1.15
2	0	0	1	1	0	1	438.0	0	0	0	0	0	1	0	0	0	1	1	0	11.28
0	0	0	1	0	1	0	269.4	0	0	0	0	1	0	0	1	0	1	1	1	13.58
1	1	0	1	0	0	0	452.4	0	0	0	0	1	0	0	0	0	1	0	1	2.89
1	1	0	0	0	1	0	470.1	0	1	0	0	0	0	0	1	0	0	0	1	9.76
1	1	0	2	0	1	0	77.7	0	0	1	0	0	1	2	0	0	0	1	1	9.96
1	1	0	1	0	0	0	213.0	0	1	1	0	0	0	1	0	1	0	0	0	13.17
1	0	0	0	0	0	0	475.5	0	1	0	0	2	0	1	0	0	0	1	0	1.31
2	1	0	1	0	0	1	24.6	1	0	0	0	1	2	0	1	1	0	0	0	16.08
0	1	0	1	0	1	0	193.5	1	0	0	0	1	1	1	0	1	0	0	0	10.13
2	0	0	0	0	2	0	115.5	0	0	0	0	1	0	1	0	0	2	0	1	9.16
2	0	0	2	0	0	1	7.2	0	0	0	0	0	0	0	1	0	1	1	0	3.96
1	0	0	0	1	1	0	385.2	0	1	0	0	2	1	1	1	0	0	0	0	15.28
2	0	0	1	0	0	0	424.8	1	0	0	0	2	0	1	1	0	0	0	0	10.14
0	0	0	1	0	0	0	326.4	0	0	1	0	2	1	2	0	2	0	1	1	3.07
1	1	0	1	0	0	0	423.3	0	1	0	0	1	1	1	1	0	0	0	0	4.49
0	0	0	1	1	0	0	17.1	0	0	0	0	1	1	1	1	0	0	0	1	12.3
1	1	0	1	0	0	0	125.4	0	0	1	0	0	1	0	1	1	1	0	0	5.0
1	1	0	1	0	1	0	94.2	1	0	0	0	0	1	2	0	0	0	0	0	14.8
1	1	0	1	0	0	1	455.4	0	0	0	0	0	2	1	1	1	1	0	0	12.22
0	1	0	2	1	0	0	30.3	0	0	0	0	0	2	1	0	1	0	1	1	10.19
1	1	0	2	0	0	0	59.7	0	0	0	0	0	0	2	1	0	0	0	0	16.0
0	0	0	1	1	0	0	85.8	0	1	0	0	1	0	1	0	0	0	0	0	10.9
2	1	0	0	0	1	1	189.3	0	1	0	0	2	0	0	1	1	0	0	0	11.71
1	1	0	1	1	1	0	259.8	0	1	1	0	2	1	2	0	1	0	0	1	11.9
0	2	0	1	0	2	0	117.6	0	0	0	0	0	0	2	0	0	0	0	1	6.91
1	0	0	0	0	0	0	246.9	0	0	0	0	2	1	1	1	1	1	0	1	5.7
2	1	0	1	0	1	0	190.5	0	0	0	1	2	0	1	0	1	0	0	0	0.45
1	0	0	0	0	0	0	147.3	0	0	0	0	0	1	2	1	0	1	1	0	12.7
2	0	0	0	1	0	0	459.0	1	0	1	0	0	1	1	0	1	0	0	0	2.31
1	0	0	1	0	1	0	215.7	0	0	0	0	0	0	1	0	0	0	2	0	8.92
0	0	0	0	0	0	0	82.5	0	0	1	0	1	1	1	1	0	2	0	0	8.56
0	0	0	0	0	0	1	250.5	0	0	0	0	1	0	2	1	1	0	0	0	13.07
1	1	0	2	0	0	0	178.8	0	0	1	0	0	0	1	1	1	0	0	0	1.61
0	1	0	2	0	1	0	473.7	0	0	0	0	0	1	2	1	0	0	2	0	13.36
0	1	0	1	0	0	0	460.5	2	0	0	0	1	1	1	0	1	0	1	1	9.2
1	1	0	1	0	1	0	409.8	1	0	0	0	0	1	1	0	0	0	0	0	8.91
0	0	0	2	1	0	0	373.2	0	0	0	0	1	0	0	0	0	1	1	1	3.08
1	1	0	1	1	0	0	361.5	0	0	1	0	1	0	1	0	1	1	0	0	11.1
0	0	0	1	0	2	0	334.2	1	0	1	0	2	1	2	0	0	0	0	2	9.69
1	0	0	1	0	0	0	203.7	0	0	0	0	1	0	1	0	1	0	1	0	7.78
0	0	0	1	0	0	0	247.8	0	0	0	0	1	0	0	0	0	1	1	0	6.62
1	0	0	0	0	1	1	194.7	0	0	0	0	0	1	0	1	0	1	1	0	13.57
0	0	0	1	0	0	0	16.5	0	0	0	0	0	1	1	0	0	0	0	0	7.36
1	0	0	0	0	1	1	471.0	1	0	0	0	1	0	0	0	0	0	0	0	4.81
1	0	0	0	0	1	0	60.9	0	0	0	0	0	0	1	0	0	0	0	1	4.08
2	0	0	2	0	1	0	17.4	0	0	0	0	0	1	2	1	0	0	1	1	12.78
0	0	0	1	0	1	0	325.5	0	0	0	0	0	0	0	1	0	0	0	1	11.53
0	0	0	1	1	0	0	204.9	0	0	0	0	0	0	2	1	1	2	1	0	6.3
1	1	0	1	0	0	0	127.5	0	0	0	0	1	2	1	0	1	0	0	0	14.78
1	0	0	0	0	0	0	110.4	0	0	0	0	1	1	0	0	0	1	0	0	0.49
0	1	0	0	0	2	0	447.9	0	0	1	0	0	0	1	1	2	0	1	0	14.18
1	0	0	1	0	1	1	359.4	0	1	0	0	1	0	0	0	0	1	0	0	8.95
1	1	0	0	0	1	0	314.4	0	0	0	1	2	1	1	0	0	0	0	0	5.37
0	0	0	0	0	0	0	87.9	0	0	0	0	0	2	0	1	1	1	0	0	5.12
1	1	0	0	0	0	0	301.5	0	0	0	1	1	0	1	0	2	0	1	0	8.38
1	1	0	2	0	1	0	434.1	1	0	0	0	1	1	1	0	0	0	0	0	4.32
2	1	0	2	0	1	0	407.1	0	0	0	1	0	0	1	1	0	0	0	0	12.02
0	1	0	2	0	0	0	304.5	2	0	0	0	1	0	0	0	0	1	1	0	14.0
1	0	0	1	0	0	0	179.4	1	0	0	0	1	0	1	0	1	0	0	0	9.78
1	0	0	0	0	0	0	12.0	0	0	0	0	2	1	1	0	1	0	0	1	8.12
1	0	0	0	2	1	0	320.1	0	0	0	0	2	0	0	0	0	1	1	1	14.61
1	0	0	1	0	0	0	191.1	1	0	0	0	0	0	1	0	2	1	1	1	16.19
1	0	0	1	0	0	0	424.2	0	0	0	1	1	0	1	0	0	1	1	1	13.16
0	0	0	0	0	0	1	202.5	1	1	0	0	2	0	0	0	0	1	0	1	0.53
1	0	0	2	0	1	0	319.2	0	0	1	0	0	1	0	0	0	0	1	1	13.13
1	0	0	0	0	1	0	155.1	0	0	0	0	0	0	2	1	0	0	0	1	9.08
0	0	0	0	0	0	1	58.5	0	1	1	0	1	0	0	1	0	1	0	2	11.82
2	1	0	0	1	0	0	307.8	0	0	0	1	0	2	0	1	0	0	1	0	10.42
1	0	0	1	1	0	0	364.5	1	0	0	0	1	1	1	0	1	0	0	0	8.85
1	1	0	0	0	2	0	396.9	0	1	0	0	1	1	0	1	0	0	0	0	12.91
1	0	0	2	0	0	0	222.3	0	0	0	1	1	1	2	2	0	0	1	1	3.16
0	0	1	1	1	0	0	226.2	0	0	0	1	1	0	2	0	0	1	0	0	14.08
2	0	0	1	0	0	0	181.5	0	1	0	0	0	1	0	1	0	0	1	0	9.9
1	1	0	0	0	0	0	370.2	0	0	2	0	0	1	1	1	1	1	0	0	12.45
0	0	0	0	0	0	0	198.3	0	0	0	0	1	1	0	0	0	0	0	0	12.84
0	0	0	1	0	0	0	363.0	0	0	1	0	0	1	1	0	1	0	0	0	5.08
1	2	0	2	0	1	0	353.1	0	0	1	0	1	0	1	0	0	1	0	0	3.7
1	0	0	1	0	0	0	373.5	0	0	0	1	0	1	0	1	1	1	1	2	10.8
1	0	0	0	0	0	0	239.1	0	0	0	1	1	0	1	0	0	1	1	1	6.29
1	1	0	2	0	1	0	248.1	0	0	0	0	0	2	0	0	0	0	1	0	13.61
1	1	0	2	0	1	0	456.6	0	0	1	0	0	0	1	0	0	0	0	0	9.5
1	0	0	1	0	0	0	86.1	2	1	0	0	0	1	0	1	1	1	1	1	14.14
1	0	0	1	0	0	0	236.7	0	0	0	0	0	0	2	0	0	0	0	0	1.74
0	1	0	0	0	1	0	197.1	0	0	0	1	0	0	0	0	1	0	0	1	13.41
1	1	0	0	1	0	0	293.7	0	0	0	0	2	0	1	1	0	0	0	0	9.38
1	0	0	1	1	0	0	169.8	1	1	0	0	0	1	1	0	1	0	1	0	1.67
1	1	0	2	0	0	0	377.4	0	1	1	0	0	2	1	0	0	0	0	0	2.56
1	1	0	1	0	0	0	36.9	1	0	0	0	0	1	0	0	0	0	0	1	4.02
1	1	0	1	0	1	0	296.7	1	0	0	0	0	0	1	0	1	0	0	1	6.38
1	0	0	2	0	1	0	368.4	0	0	1	0	1	0	2	1	1	1	1	1	4.5
1	1	0	1	0	0	0	106.5	0	0	1	0	1	1	2	1	1	0	1	0	5.97
1	0	0	2	0	0	0	316.8	1	1	0	0	1	1	1	0	1	1	0	0	14.42
1	1	0	0	0	1	0	302.7	0	0	0	1	0	0	2	0	1	0	1	0	14.4
0	0	0	2	0	0	1	237.0	1	1	0	0	1	1	2	0	0	0	1	1	10.23
0	1	0	1	0	0	0	291.3	1	0	0	0	0	0	0	0	0	1	0	0	0.36
1	0	0	0	0	0	0	285.3	1	0	0	0	0	0	0	0	0	0	1	1	5.29
0	0	0	2	0	0	0	306.9	0	0	0	0	0	1	0	1	0	1	0	0	2.61
1	0	0	1	0	0	0	372.0	0	0	1	0	1	1	2	1	1	1	1	1	9.33
1	1	0	2	0	0	1	303.0	1	0	0	0	1	1	0	2	1	0	0	0	1.52
1	1	0	0	0	1	0	346.8	0	0	1	0	0	0	1	0	0	1	0	0	10.86
1	0	0	2	0	0	0	187.2	0	0	0	0	0	0	1	0	0	0	0	0	8.8
1	1	0	1	0	0	0	102.9	0	0	1	0	1	0	0	1	0	0	0	0	15.33
1	1	0	1	0	1	0	207.3	0	0	0	0	1	0	2	0	0	1	0	1	15.81
1	1	0	0	0	1	0	370.8	0	0	0	1	1	1	2	1	1	1	0	0	10.0
0	1	0	0	0	0	0	78.6	1	1	1	0	1	1	1	0	0	0	1	0	6.86
0	0	0	0	0	1	0	409.2	0	0	1	0	1	0	2	0	0	0	0	0	15.34
1	1	0	1	0	1	0	452.1	0	0	0	0	1	0	1	1	1	0	0	1	4.54
2	1	0	2	0	0	0	38.7	0	0	1	1	1	1	2	0	0	0	0	0	8.52
2	0	0	1	0	0	0	383.1	0	0	2	0	1	0	1	0	1	1	0	0	13.02
0	0	0	0	0	0	0	462.9	0	1	0	0	2	1	1	0	1	1	1	1	4.45
0	0	0	1	1	0	0	393.0	0	0	0	0	1	0	1	0	0	1	1	0	7.79
1	1	0	0	0	0	0	217.5	0	0	0	1	0	1	2	1	0	0	0	0	4.18
