FSC.H	SSC.H	FL1.H	FL2.H	FL3.H	FL4.H	Y
285	156	129.6428528	278.1428528	119.2680283	354.2392578	2
205	138	60.1071434	14.14285755	87.29927826	239.3798523	3
64	31	0	148.5	92.21754456	182.4868774	3
289	147	157.9285736	18.8571434	735.28125	260.8489075	5
69	184	0	116.6785736	185.6646576	0	5
113	254	12.96428585	0	98.36538696	86.94963074	5
91	59	0	84.85713959	167.2211609	274.803772	3
170	102	0	82.5	8.606970787	111.6390381	3
135	58	34.17856979	90.75	73.77404022	230.7922363	3
393	313	307.6071472	420.75	256.9795532	340.2843628	1
267	107	623.4642944	45.9642868	545.9278564	243.6736603	5
105	45	0	0	68.8557663	60.11332703	3
222	82	562.1785889	0	704.5420532	317.7418823	5
201	95	142.6071472	594	677.4915771	656.9527588	1
312	189	122.5714264	255.75	125.415863	309.1542358	2
312	141	111.9642868	7.071428776	189.353363	375.7082825	2
217	132	214.5	54.2142868	199.1899109	308.0808105	2
499	231	462	299.3571472	576.6670532	356.3861389	1
74	46	0	0	0	171.7523651	3
64	43	280.5	0	83.61058044	293.0524597	3
75	35	15.3214283	121.3928604	19.67307663	119.1531982	3
101	36	128.4642792	226.2857208	191.8125	267.2896118	3
347	93	0	0	183.2055359	338.1374512	3
265	56	464.3571472	231	563.1418457	218.9842529	5
68	142	0	127.2857132	0	272.6568604	3
217	135	53.0357132	133.1785736	84.8401413	182.4868774	3
203	110	150.8571472	0	113.1201935	157.7974854	3
211	264	308.7857056	319.3928528	248.3725891	395.030426	4
130	35	124.9285736	0	156.1550446	0	3
153	164	0	90.75	0	225.4249725	3
359	138	53.0357132	213.3214264	0	334.9171143	2
326	87	583.3928833	57.75	604.9471436	0	5
307	236	287.5714417	299.3571472	33.19831848	333.8436584	4
241	87	153.2142792	0	118.0384598	247.9674683	3
87	58	0	0	134.0228424	176.0461731	3
116	136	50.67856979	43.6071434	62.70793152	324.1825867	3
189	70	4.714285851	49.5	167.2211609	100.9045105	3
107	139	4.714285851	0	29.50961494	153.5036774	3
363	135	288.75	207.4285736	165.9915924	349.9454346	2
253	135	10.60714245	179.1428528	238.5360565	373.5613708	2
155	53	93.10713959	162.6428528	138.9411011	261.9223633	3
77	39	22.3928566	0	56.56009674	282.3179321	3
60	62	0	132	18.44351006	84.80272675	3
186	51	43.6071434	152.0357208	0	93.39034271	3
163	77	245.1428528	0	282.8004761	320.9622192	3
156	79	174.4285736	208.6071472	134.0228424	130.9611816	5
223	123	0	221.5714264	0	148.1364136	3
76	43	0	0	0	222.2046204	3
104	39	0	38.8928566	138.9411011	134.1815338	3
211	90	555.1071167	144.9642792	704.5420532	141.695694	5
90	49	57.75	80.14286041	122.9567337	0	3
186	99	188.5714264	459.6428528	620.9315186	640.8510132	1
216	102	0	182.6785736	110.6610565	239.3798523	3
155	71	89.57142639	220.3928528	206.5673065	217.9108124	3
244	117	61.2857132	117.8571396	185.6646576	161.0178375	5
348	152	45.9642868	162.6428528	212.7151489	0	5
173	141	0	215.6785736	131.5637054	206.102829	3
201	94	78.9642868	187.3928528	143.859375	128.81427	3
274	117	56.57143021	169.7142792	140.1706696	285.5382996	2
311	119	128.4642792	544.5	574.2079468	684.8625488	1
121	50	185.0357208	254.5714264	111.890625	334.9171143	3
184	127	7.071428776	152.0357208	0	310.2276917	3
66	192	0	248.6785736	0	304.8604431	2
310	75	575.1428833	157.9285736	676.2620239	215.7639008	5
245	74	107.25	0	202.8786011	234.0125885	3
196	98	99	0	0	229.7187805	3
141	73	44.7857132	24.75	220.0925446	433.6747131	3
335	143	0	618.75	693.4759521	718.1395874	1
283	180	152.0357208	288.75	145.0889435	329.5498352	1
439	93	598.7142944	0	613.5540771	324.1825867	5
78	41	0	14.14285755	0	289.8321228	3
171	95	576.3214111	0	738.9699707	183.5603333	5
92	160	56.57143021	0	145.0889435	293.0524597	3
90	92	0	162.6428528	29.50961494	298.4197388	3
207	119	102.5357132	546.8571167	740.1995239	734.241333	1
96	78	0	74.25	29.50961494	269.4365234	3
106	66	119.0357132	218.0357208	147.5480804	283.3913879	3
94	143	47.1428566	27.1071434	0	319.8887634	3
107	172	232.1785736	67.17857361	170.9098511	209.3231964	5
1023	1023	569.25	597.5357056	775.8569946	700.9642944	1
398	212	0	147.3214264	225.0108185	261.9223633	2
158	94	100.1785736	139.0714264	25.82091331	290.9055481	3
430	132	96.64286041	203.8928528	39.34615326	147.0629578	5
170	109	110.7857132	225.1071472	227.4699554	452.9968567	2
487	487	308.7857056	353.5714417	384.8545532	330.623291	4
257	106	109.6071396	126.1071396	46.72355652	312.3746033	3
320	145	539.7857056	149.6785736	682.4098511	19.32213974	5
138	50	100.1785736	21.2142849	0	202.8824768	3
236	143	143.7857208	77.7857132	95.90625	216.8373566	5
325	93	121.3928604	127.2857132	213.9447174	249.0409241	2
144	145	43.6071434	0	12.29567337	270.5099792	3
172	90	66	503.25	647.9819946	620.4553833	1
194	90	0	100.1785736	78.69230652	273.7303162	3
133	189	0	121.3928604	89.75841522	203.9559326	3
244	128	0	188.5714264	27.05047989	279.0975952	3
115	71	4.714285851	0	201.6490326	90.16999054	3
173	118	58.92856979	482.0357056	650.4411011	694.5236206	1
159	64	120.2142868	63.6428566	108.2019196	227.5718842	3
165	227	55.3928566	0	13.52523994	30.05666351	5
233	80	81.32142639	107.25	63.9375	258.7019958	3
333	92	630.5357056	93.10713959	625.8497314	208.2497406	5
128	66	63.6428566	62.4642868	0	235.0860443	3
351	77	81.32142639	542.1428833	595.1105957	607.5739746	1
60	26	148.5	205.0714264	131.5637054	305.9338989	3
96	143	147.3214264	318.2142944	0	364.9737549	2
198	273	256.9285583	322.9285583	165.9915924	331.6967468	4
85	62	16.5	207.4285736	106.9723587	229.7187805	3
87	126	243.9642792	173.25	115.5793304	246.8940125	2
69	120	136.7142792	88.39286041	238.5360565	266.216156	3
67	35	0	200.3571472	0	230.7922363	3
405	92	76.60713959	137.8928528	25.82091331	194.2948608	3
156	93	142.6071472	129.6428528	199.1899109	291.9790039	3
99	168	215.6785736	221.5714264	98.36538696	246.8940125	2
72	58	0	0	0	315.5949707	3
60	57	0	0	0	0	3
87	59	0	0	66.39663696	283.3913879	3
456	152	550.3928833	747.2142944	571.7487793	781.4732666	1
84	87	0	7.071428776	66.39663696	3.220356703	3
103	67	0	157.9285736	90.9879837	95.53725433	3
68	38	0	143.7857208	0	0	3
195	145	49.5	175.6071472	168.4507141	359.6065063	2
138	95	156.75	152.0357208	205.337738	254.4081879	3
97	36	62.4642868	21.2142849	120.4975967	250.1143799	3
256	152	122.5714264	42.42856979	157.384613	162.0912933	5
254	100	82.5	62.4642868	0	193.221405	3
151	63	50.67856979	611.6785889	667.6550293	660.1731567	1
421	88	594	0	622.1610718	0	5
80	240	0	156.75	111.890625	257.62854	2
393	198	88.39286041	255.75	119.2680283	510.9632874	1
405	123	616.3928833	114.3214264	673.8028564	194.2948608	5
286	146	0	58.92856979	36.88702011	285.5382996	3
366	83	606.9642944	76.60713959	693.4759521	0	5
472	201	148.5	0	150.0072174	238.3063965	5
