N1	N2	N3	X	N4	N5	Class
5	4	0	62	5	9	124
5	5	4	19	4	7	38
3	7	4	4	7	15	8
2	1	1	47	4	9	94
0	3	9	15	3	10	30
3	7	10	69	1	15	138
4	6	9	13	6	12	26
1	10	4	10	7	0	20
2	8	5	98	2	4	196
2	9	3	75	2	9	150
2	2	7	5	5	3	10
1	1	2	3	4	7	6
4	3	0	13	2	11	26
3	10	7	83	7	2	166
5	2	2	76	6	0	152
3	6	5	59	6	1	118
0	1	4	17	1	0	34
4	8	3	5	3	1	10
4	4	5	53	1	15	106
1	8	7	18	7	11	36
4	5	3	50	4	1	100
3	8	3	73	2	13	146
3	9	4	2	7	15	4
0	3	9	87	7	9	174
0	4	3	36	5	9	72
4	2	3	92	5	2	184
0	6	2	65	5	0	130
0	3	8	68	1	10	136
1	9	7	24	5	6	48
5	9	3	13	4	11	26
1	3	3	60	7	4	120
0	6	1	78	4	2	156
2	10	0	59	6	0	118
4	1	2	54	4	0	108
2	3	0	72	1	5	144
0	2	3	75	3	3	150
3	4	3	56	3	11	112
4	3	6	14	4	9	28
3	4	8	55	1	14	110
5	8	8	47	6	8	94
3	10	9	20	1	13	40
5	8	3	56	3	4	112
5	1	3	63	7	4	126
4	4	3	56	3	3	112
1	4	5	8	2	14	16
5	9	0	41	4	1	82
2	5	10	86	6	1	172
5	7	1	76	3	13	152
4	8	8	85	1	2	170
5	10	10	7	7	5	14
4	1	8	9	7	5	18
1	6	2	39	2	5	78
4	9	5	93	3	5	186
5	1	9	21	2	1	42
0	10	7	43	6	13	86
5	6	6	88	6	11	176
5	3	0	62	2	7	124
2	2	10	47	2	1	94
1	7	2	15	2	2	30
1	2	1	39	6	4	78
5	5	2	28	6	13	56
4	8	5	40	1	13	80
1	6	7	54	5	1	108
3	8	3	52	3	14	104
0	3	9	68	7	7	136
4	5	4	18	5	14	36
5	10	3	95	3	11	190
2	7	4	99	6	12	198
3	5	8	92	1	1	184
2	6	5	3	5	8	6
0	8	5	29	2	14	58
1	5	1	93	2	1	186
5	7	3	55	5	2	110
5	8	5	67	3	15	134
4	1	0	20	1	14	40
4	3	8	86	7	4	172
2	1	2	98	5	12	196
0	3	4	65	4	11	130
0	6	0	29	1	11	58
3	3	8	10	3	4	20
1	2	7	2	6	10	4
1	8	3	35	2	7	70
3	9	4	45	1	4	90
0	8	7	60	6	15	120
