N0	N1	N2	N3	N4	X	N5	N6	N7	N8	N9	N10	N11	Class
0.821	470.25	0.16	66	95.7	41.82065199	4.4082	4.533	47	2.612	1.552560669	3.39	78.0	88.64130399
0.582	247.27	4.36	37	5.2	6.607489714	8.9060	3.379	16	0.584	4.625494722	3.25	172.0	18.21497943
0.248	74.49	1.16	40	127.4	28.36881635	5.5315	3.397	48	0.394	4.08105385	1.76	21.0	61.73763269
0.354	24.35	1.92	98	115.6	23.05898179	0.8819	2.732	6	3.999	0.599067516	3.55	190.0	51.11796358
0.334	519.14	3.28	53	167.5	10.66926226	3.1673	4.275	39	1.490	4.219463383	3.23	199.0	26.33852453
0.248	720.37	4.96	50	15.2	9.137135147	4.0982	4.536	45	0.377	4.676572116	0.72	187.0	23.27427029
0.292	467.24	0.95	78	168.0	19.98063819	3.3375	1.470	47	3.638	1.972313417	4.27	94.0	44.96127638
0.148	230.36	4.86	25	63.4	25.61564515	1.8832	4.598	35	2.637	4.368610266	4.01	178.0	56.2312903
0.622	346.09	2.99	21	152.6	21.3856373	0.2729	0.926	13	0.151	2.159360718	3.17	150.0	47.7712746
0.698	194.44	4.75	71	131.3	28.17834878	9.6171	3.667	46	1.907	4.418164583	3.22	88.0	61.35669757
0.293	721.92	2.04	81	171.5	13.75000589	7.0967	4.940	47	2.038	2.812326348	1.44	101.0	32.50001179
0.689	415.88	3.04	96	53.4	6.609386315	1.1609	3.632	15	0.354	4.282434264	3.63	68.0	18.21877263
0.720	523.37	2.94	65	123.5	43.44500255	4.7816	0.169	45	1.412	3.257706777	2.83	196.0	91.8900051
0.277	212.97	4.51	62	172.0	10.01565887	7.4585	3.475	35	3.603	0.709528027	0.33	144.0	25.03131775
0.055	92.25	2.75	85	151.8	4.560740057	2.3302	1.971	21	3.849	3.603844663	0.20	7.0	14.12148011
0.041	773.75	4.86	31	4.5	23.71783751	1.9011	3.106	25	1.510	0.136711011	2.43	185.0	52.43567502
0.367	332.93	3.13	23	91.2	17.76166986	2.4156	4.488	35	3.933	3.836606747	1.78	153.0	40.52333972
0.244	239.61	0.26	11	188.9	33.21330118	0.3821	2.304	10	3.848	3.376738512	1.33	53.0	71.42660235
0.794	427.57	0.27	53	48.8	16.29884139	6.4888	2.494	47	3.063	2.322821815	1.76	104.0	37.59768278
0.022	779.76	2.26	36	179.7	10.36065766	6.7624	1.654	29	2.417	0.108083051	4.70	49.0	25.72131531
0.354	625.65	2.72	9	185.6	19.6916811	2.1742	3.698	6	3.903	3.855257464	3.92	153.0	44.38336221
0.199	403.93	2.87	11	61.4	3.699918014	2.2584	0.338	40	4.285	3.340375092	2.65	135.0	12.39983603
0.801	451.71	3.91	51	115.7	0.183748855	8.4741	4.994	30	2.345	3.305887497	0.87	13.0	5.367497711
0.252	588.41	3.29	20	88.7	8.873518178	4.6624	4.426	24	4.996	1.5996947	2.70	28.0	22.74703636
0.028	781.87	1.52	87	155.1	28.63134837	5.5775	1.307	50	3.232	2.199070388	1.59	36.0	62.26269673
0.874	371.04	0.53	29	166.1	23.52036812	9.1055	2.130	21	1.551	4.792936849	2.33	40.0	52.04073625
0.324	681.53	0.57	22	116.6	9.419503981	4.1067	1.057	5	0.576	3.973965473	1.15	86.0	23.83900796
0.506	157.12	0.01	39	188.7	4.041731958	0.9652	1.810	37	2.065	4.686867605	3.88	21.0	13.08346392
0.245	510.91	0.59	91	93.4	6.402430475	7.2947	1.478	28	2.027	0.078839382	2.71	157.0	17.80486095
0.185	483.59	3.09	69	150.6	20.11505475	8.3318	2.598	33	0.668	3.656102141	2.12	52.0	45.2301095
