N0	N1	N2	N3	N4	X	N5	N6	N7	N8	N9	N10	N11	Class
0.980	535.37	1.50	88	116.2	216.6971514	0.3901	3.872	38	2.696	2.29390249	4.23	79.0	433.3943027
0.568	406.75	0.50	31	17.6	129.8208579	2.7239	1.820	24	0.887	1.173509256	1.35	158.0	259.6417159
0.326	108.49	1.20	88	183.6	169.6432732	6.0144	0.031	19	4.207	1.784326728	3.16	169.0	339.2865465
0.953	136.71	0.42	86	10.8	134.4359528	3.4358	3.994	33	1.206	2.315421871	1.97	111.0	268.8719056
0.042	545.28	0.42	25	110.6	129.1255688	0.0178	3.457	46	2.334	2.214247443	1.00	157.0	258.2511377
0.537	552.89	3.87	29	164.7	27.64038135	8.8037	4.822	24	1.575	2.513655513	1.64	197.0	55.2807627
0.735	606.80	3.36	95	165.4	495.6738891	8.5275	3.885	12	4.400	1.165089834	4.44	185.0	991.3477782
0.567	588.64	1.44	9	83.1	162.1777679	9.6791	1.535	10	2.327	2.2218852	3.64	49.0	324.3555358
0.455	721.58	4.27	14	61.0	305.9802019	4.2483	2.144	30	3.820	4.598838588	3.34	130.0	611.9604038
0.938	793.96	2.41	24	153.8	424.3919261	6.0622	1.893	19	3.222	0.09610006	0.68	4.0	848.7838523
0.774	643.79	0.83	30	56.1	64.81472173	8.7767	1.736	33	3.698	0.882497888	4.83	71.0	129.6294435
0.685	365.70	3.97	51	52.1	403.5087723	8.7146	1.727	26	1.891	1.527742475	0.28	199.0	807.0175446
0.054	155.78	1.12	23	100.6	437.562035	0.6528	1.674	17	3.262	2.626829147	0.60	71.0	875.1240699
0.711	46.78	0.94	80	14.4	409.8405292	9.6431	0.530	41	4.517	4.811968445	3.16	113.0	819.6810583
0.382	354.39	1.98	88	172.8	277.1021603	9.9356	3.133	35	1.116	4.05567847	3.07	103.0	554.2043206
0.205	240.36	4.07	92	61.4	147.3570316	2.2858	1.045	48	0.591	1.83636862	4.33	62.0	294.7140632
0.208	450.84	4.89	74	142.6	322.6497093	9.2571	3.904	24	1.262	1.539892972	1.76	140.0	645.2994186
0.097	548.46	4.46	29	103.9	185.5352204	6.1809	4.235	27	0.054	0.772997135	2.00	47.0	371.0704409
0.543	252.46	3.37	22	195.3	278.1642043	8.4440	0.931	27	2.801	0.526175051	3.72	123.0	556.3284087
0.081	682.79	4.84	11	12.4	462.7360752	1.7646	1.020	6	4.000	3.079629153	1.56	72.0	925.4721504
0.093	245.82	4.09	77	81.7	429.7307339	8.2198	3.488	38	2.340	1.638428011	4.75	102.0	859.4614678
0.442	740.37	2.67	42	192.0	303.7900939	2.7533	2.867	25	1.243	2.878018861	3.49	39.0	607.5801879
0.886	772.15	3.61	99	71.8	260.9012194	4.6201	4.727	8	1.793	0.373648654	0.24	25.0	521.8024388
0.978	10.20	2.22	64	41.8	2.495361588	5.5788	1.258	30	4.831	1.898928041	2.49	53.0	4.990723176
0.598	721.01	0.06	9	124.9	1.775725249	1.5870	3.909	9	3.977	3.44101786	1.29	69.0	3.551450498
0.640	435.25	1.69	74	184.8	341.113834	6.9254	2.785	21	1.654	4.477480621	0.05	164.0	682.227668
0.120	127.52	3.97	24	164.9	212.0709171	7.0328	1.997	32	1.243	2.256114217	2.53	91.0	424.1418341
0.213	368.83	2.76	64	28.3	191.6194208	0.3893	2.750	34	3.584	1.910965915	2.72	60.0	383.2388417
0.738	9.99	1.61	40	0.7	228.7297352	3.2755	4.370	17	4.683	3.67439226	1.38	114.0	457.4594703
0.840	196.37	3.22	92	161.7	285.0561963	0.4410	0.447	7	4.572	1.022865453	4.29	197.0	570.1123925
0.662	710.91	0.53	44	112.2	84.21590143	6.7476	0.438	30	4.416	3.406701017	4.50	60.0	168.4318029
0.213	485.56	1.95	61	97.7	238.9928263	1.6467	0.562	6	0.214	1.142459286	2.54	56.0	477.9856527
0.609	782.07	2.72	5	148.4	231.1670584	4.9055	4.301	50	0.737	0.269593932	0.13	20.0	462.3341169
0.445	252.23	1.71	8	121.4	391.6078759	4.6391	4.049	29	4.435	1.388574119	2.47	86.0	783.2157517
0.785	423.99	4.23	85	167.4	380.6118569	1.5619	0.048	5	1.120	1.292848993	1.61	149.0	761.2237139
0.733	773.53	3.87	69	164.5	268.987711	8.0302	1.727	27	3.414	1.379562974	2.11	86.0	537.9754221
0.991	325.20	4.62	98	113.4	470.6808544	5.1133	3.211	21	4.814	4.056260415	1.10	125.0	941.3617088
0.797	419.49	3.20	39	53.4	52.72929931	4.5821	2.773	9	2.467	2.634122857	0.65	55.0	105.4585986
0.296	265.86	0.45	67	111.3	243.0644107	4.0356	4.114	9	2.493	1.575992673	4.53	173.0	486.1288214
0.260	216.33	0.96	82	168.4	329.7013516	5.2863	1.237	23	2.075	1.509217548	4.24	76.0	659.4027032
0.018	555.68	3.83	12	116.6	422.5179832	8.8906	3.622	46	0.001	4.02289877	3.00	91.0	845.0359664
0.847	724.46	1.57	11	135.8	404.4360195	6.6153	4.137	34	0.785	1.790775684	3.23	126.0	808.872039
