N1	N2	X1	N3	X2	N4	Class
5	1	5	1	9	8	24
2	1	4	0	6	6	18
2	7	8	1	11	6	35
2	5	8	1	12	9	36
5	2	7	0	9	6	30
5	5	8	0	0	8	24
2	9	5	1	8	9	23
4	10	9	3	4	9	31
4	6	6	0	14	7	32
5	1	0	3	7	6	7
1	1	3	3	9	8	18
2	7	6	3	4	6	22
1	6	6	3	15	10	33
0	6	0	1	10	9	10
3	7	5	3	15	9	30
5	2	5	0	5	8	20
0	6	3	0	0	10	9
4	4	3	3	2	10	11
0	2	0	0	12	9	12
1	7	5	2	4	5	19
0	5	6	3	13	8	31
4	6	6	0	1	9	19
5	8	1	2	4	6	7
0	7	9	0	4	8	31
1	7	0	0	10	6	10
4	9	5	0	1	5	16
0	8	2	2	7	5	13
3	8	10	3	0	6	30
2	10	2	1	11	10	17
3	3	7	0	6	10	27
4	7	0	2	12	10	12
3	0	0	2	8	10	8
1	5	4	1	0	7	12
0	8	7	0	1	6	22
1	6	5	2	10	9	25
2	5	10	3	3	10	33
2	5	8	2	11	7	35
4	1	9	3	7	7	34
3	3	5	0	8	7	23
1	5	3	0	15	8	24
0	8	0	3	7	8	7
2	10	3	3	3	5	12
1	1	10	1	15	8	45
4	8	0	3	4	7	4
5	5	2	3	10	6	16
4	10	7	1	12	6	33
3	5	3	1	3	6	12
1	8	5	1	15	9	30
5	5	9	2	1	7	28
0	2	3	0	14	7	23
2	4	8	1	13	10	37
2	2	3	3	10	5	19
1	3	0	0	14	5	14
5	0	0	0	4	8	4
1	5	7	2	6	5	27
2	9	8	3	15	5	39
1	1	0	3	0	7	0
0	8	3	0	12	5	21
3	10	6	0	10	7	28
5	3	4	1	12	10	24
1	10	0	2	6	5	6
1	5	7	0	11	6	32
3	5	10	3	9	6	39
1	7	9	3	14	8	41
1	5	10	1	13	9	43
2	1	4	1	12	10	24
0	1	4	1	5	8	17
3	2	5	2	9	10	24
2	3	5	0	15	6	30
0	7	10	0	0	6	30
5	9	8	0	12	7	36
5	10	10	2	4	8	34
2	4	0	2	14	5	14
3	2	10	0	14	5	44
2	5	7	1	11	6	32
0	7	1	3	4	6	7
4	7	7	2	11	6	32
5	8	10	3	9	7	39
1	1	3	3	10	7	19
3	1	2	1	12	10	18
1	1	0	1	11	9	11
0	4	8	2	5	10	29
0	1	10	3	10	10	40
2	6	2	0	8	6	14
4	10	8	2	5	10	29
3	8	8	3	0	10	24
0	4	0	2	11	7	11
2	5	5	3	10	6	25
4	9	5	1	1	8	16
1	10	1	0	14	5	17
4	5	0	1	4	5	4
5	7	4	0	12	7	24
0	7	9	2	8	7	35
2	4	10	0	2	5	32
1	6	0	0	3	8	3
0	0	3	1	14	6	23
5	1	10	2	4	8	34
0	8	6	1	14	7	32
4	1	1	3	8	6	11
0	9	3	2	11	6	20
4	0	0	2	10	7	10
0	9	7	1	7	7	28
4	5	0	2	15	10	15
3	0	7	3	13	5	34
4	5	6	2	2	10	20
0	5	10	1	4	8	34
4	4	10	3	13	9	43
3	9	6	3	5	9	23
3	1	1	2	3	9	6
5	3	0	2	3	8	3
0	0	7	0	1	7	22
3	9	10	0	11	5	41
5	6	3	2	1	5	10
2	5	8	2	3	8	27
0	6	2	2	2	10	8
1	2	8	2	9	9	33
1	9	1	1	9	9	12
1	3	3	0	11	5	20
5	7	2	3	8	7	14
1	8	1	3	15	10	18
1	4	4	3	7	7	19
2	9	8	0	8	8	32
4	1	2	2	0	10	6
4	9	3	3	0	8	9
3	5	5	3	11	6	26
2	6	6	0	10	7	28
5	3	6	2	7	8	25
1	10	0	0	9	8	9
4	7	3	2	7	5	16
5	10	6	1	5	8	23
4	2	2	1	7	6	13
2	6	10	0	5	6	35
4	3	5	0	15	7	30
3	1	4	1	13	9	25
2	8	3	0	3	8	12
4	9	0	1	6	6	6
3	6	0	2	11	7	11
0	9	6	1	4	7	22
4	1	2	2	5	5	11
3	8	0	1	1	8	1
1	2	4	0	3	10	15
3	1	8	2	13	7	37
0	10	9	1	4	10	31
4	4	9	0	6	7	33
1	5	9	2	0	5	27
2	1	2	3	2	5	8
0	9	10	0	0	7	30
2	4	10	2	9	6	39
1	9	5	2	2	9	17
1	8	6	1	2	8	20
2	1	9	3	15	5	42
0	5	9	2	15	7	42
4	8	6	1	15	8	33
5	6	9	1	7	8	34
1	0	8	1	6	7	30
5	6	7	0	1	5	22
2	1	3	1	11	8	20
5	4	9	1	4	10	31
0	1	1	2	9	5	12
4	6	9	3	11	8	38
3	3	3	2	8	10	17
2	8	2	0	2	10	8
5	1	1	2	0	9	3
3	4	6	1	5	8	23
5	1	8	2	8	8	32
2	7	6	1	10	5	28
3	6	6	0	8	9	26
4	3	1	3	0	8	3
2	6	6	0	8	10	26
0	5	3	2	9	5	18
1	5	2	0	11	8	17
0	8	1	0	12	5	15
2	8	7	1	1	9	22
3	7	1	2	13	8	16
1	0	7	2	3	6	24
5	5	6	0	14	7	32
0	7	1	2	11	7	14
1	7	8	2	14	8	38
0	4	0	3	7	9	7
1	0	2	1	6	9	12
0	0	10	0	7	5	37
1	9	5	0	0	9	15
4	6	5	0	7	8	22
1	5	1	3	6	10	9
0	1	3	2	2	9	11
1	1	5	3	5	9	20
4	1	2	0	9	5	15
2	10	9	3	9	10	36
0	0	10	2	10	6	40
4	3	2	3	9	7	15
5	10	2	2	10	7	16
1	1	0	0	15	7	15
0	0	8	2	10	10	34
1	7	7	2	14	9	35
2	6	1	2	2	8	5
0	9	9	3	6	5	33
0	3	1	3	3	8	6
2	10	5	0	12	8	27
3	5	7	0	8	6	29
5	10	2	0	7	7	13
0	10	8	1	5	5	29
1	8	6	1	11	5	29
1	6	5	3	11	9	26
1	6	4	1	15	7	27
5	1	7	3	7	10	28
0	1	3	1	8	5	17
4	6	3	0	13	6	22
1	2	5	3	11	6	26
3	7	8	1	15	5	39
4	3	0	0	14	7	14
5	10	9	0	4	5	31
1	6	0	0	5	9	5
2	2	6	1	3	7	21
5	4	0	0	8	7	8
3	7	5	0	3	5	18
5	8	4	2	8	6	20
5	10	4	0	3	6	15
2	8	6	1	15	7	33
1	1	4	0	6	7	18
2	0	1	2	12	6	15
4	1	8	2	0	5	24
4	0	3	3	12	5	21
3	6	2	0	10	6	16
4	5	9	0	9	9	36
0	7	7	2	11	10	32
5	9	3	0	7	5	16
2	3	4	0	9	9	21
5	4	3	2	10	7	19
3	9	10	1	2	7	32
4	0	10	1	6	5	36
0	0	3	2	11	9	20
4	0	1	2	12	7	15
2	2	7	3	4	7	25
2	5	10	0	5	10	35
5	1	9	2	2	9	29
2	9	10	3	5	10	35
2	9	2	2	1	5	7
2	4	5	0	11	7	26
1	1	0	1	12	8	12
1	0	0	1	3	5	3
4	8	6	1	3	5	21
2	7	2	2	9	9	15
3	2	10	3	5	10	35
0	9	10	1	0	5	30
4	8	6	3	3	10	21
2	4	2	0	1	9	7
4	7	5	2	3	5	18
3	9	5	1	3	8	18
5	9	10	2	3	10	33
4	4	0	3	12	7	12
0	8	2	0	1	7	7
4	7	9	3	14	9	41
2	3	5	2	15	5	30
4	0	0	0	11	6	11
5	2	9	1	2	8	29
2	2	10	0	11	7	41
1	8	0	1	9	6	9
4	7	6	1	8	8	26
2	10	9	2	2	5	29
0	4	2	0	0	8	6
5	1	0	3	11	5	11
1	3	0	3	3	5	3
2	7	9	2	2	7	29
5	5	0	2	11	9	11
4	9	6	0	6	9	24
0	4	4	1	3	7	15
1	4	6	2	0	6	18
3	10	1	0	14	9	17
5	7	3	1	2	9	11
4	9	4	0	6	9	18
5	10	3	0	4	6	13
1	6	6	0	13	6	31
2	2	6	2	0	9	18
1	8	8	3	7	10	31
2	10	5	1	8	6	23
5	8	8	3	8	9	32
1	2	5	1	14	6	29
4	3	1	3	13	9	16
5	5	2	1	14	5	20
2	5	10	0	4	8	34
0	1	4	0	10	9	22
0	3	6	2	12	7	30
0	9	3	0	15	7	24
4	0	4	0	10	8	22
3	10	9	3	0	5	27
2	4	6	3	5	7	23
3	7	8	1	4	6	28
3	9	5	1	8	8	23
4	9	5	1	11	5	26
1	0	3	2	9	10	18
0	8	2	0	0	5	6
4	5	7	1	12	8	33
3	0	9	3	6	10	33
3	4	9	3	10	9	37
5	1	9	3	10	7	37
5	2	2	2	11	8	17
1	7	10	3	7	9	37
2	6	4	3	15	10	27
3	10	9	2	4	7	31
1	5	9	1	14	5	41
2	4	3	2	4	10	13
1	2	1	2	14	6	17
1	1	5	3	6	8	21
5	8	1	0	9	9	12
3	3	4	1	2	8	14
4	9	5	1	14	7	29
2	1	2	1	4	7	10
3	8	10	1	11	6	41
5	10	4	1	3	7	15
1	8	7	2	11	6	32
0	0	2	0	7	8	13
4	1	1	3	6	8	9
4	5	8	0	13	6	37
5	2	4	0	13	7	25
0	1	5	3	3	9	18
0	10	3	2	14	7	23
0	10	0	1	0	7	0
4	3	1	3	5	6	8
1	8	5	1	11	8	26
5	1	1	0	8	6	11
5	4	5	3	7	5	22
4	8	10	3	7	10	37
4	9	9	3	7	9	34
4	5	10	0	2	9	32
3	6	2	3	11	7	17
3	8	6	1	9	5	27
