N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	X1	X2	Class
0.90614622	40.51768024	0.309440464	1.321647975	72.3	3.08109325	7.332752946	0.966558724	35	4.122120908	0.75778409	3.66	35.0	45.97
0.731188519	39.76495943	2.826301236	60.44305434	40.1	0.399703989	8.408357027	2.732471418	26	4.630771314	1.886259168	3.02	69.0	78.07
0.490364711	42.87126884	2.64306625	13.18654381	104.7	3.059126382	4.517256653	3.396742172	50	3.023537981	4.474422497	3.59	24.0	34.78
0.856391134	18.97985187	4.582276842	61.05757378	58.2	4.350565679	7.665824234	3.196261875	45	0.607205587	4.747730959	4.71	107.0	121.12
0.13974574	21.80495816	2.244583947	11.50391975	57.1	4.55851427	8.205468964	0.341406331	20	2.778642621	1.563370909	1.51	128.0	132.52
0.988490505	17.86700974	1.675140169	4.891455564	7.8	0.069656139	8.413998315	2.876772733	38	2.758238171	4.565455022	0.89	101.0	103.66
0.666585777	41.11046285	1.413698114	81.57171281	48.4	3.036004174	9.695434905	1.130359162	28	4.956139468	0.696918534	1.64	148.0	152.91
0.936827655	12.61748616	4.7869693	1.758194962	121.5	4.346906164	8.591007603	0.012235386	37	2.641593188	3.224294978	1.06	79.0	82.17
0.51683208	4.053571267	1.018862377	91.93776373	89.7	2.822809972	9.139960171	2.404768784	20	0.616558715	4.300379078	2.01	154.0	160.02
0.154678058	25.49103193	4.026549888	15.40078982	10.5	2.930042507	9.241820067	1.42637625	50	2.88311581	4.811017694	2.24	149.0	155.73
0.84038627	9.506722606	1.86314594	14.5202439	87.7	2.599216082	5.192457864	1.341982552	41	2.260569751	3.616567164	1.51	173.0	177.54
0.937947769	47.20929343	2.598646506	38.4480985	30.5	4.590477686	6.61041732	4.245513364	24	4.831543558	1.370864253	0.11	120.0	120.33
0.800446904	34.6393883	3.180714133	61.1885625	84.9	0.903631218	6.82169346	4.549436804	17	2.56641016	0.431521038	0.06	199.0	199.18
0.238754837	8.007974039	2.967590773	22.88934488	14.6	1.516740227	5.568254289	0.328077155	16	2.272720331	3.229203507	4.65	104.0	117.94
0.409411837	25.49021868	3.101022371	44.6243838	199.6	0.503085124	8.025099584	0.326259953	28	0.62407489	1.200112369	0.92	90.0	92.77
0.844303791	36.0915958	3.155856632	50.05380154	171.8	4.19163038	2.506086665	0.961623122	13	2.914584924	0.926254242	4.16	69.0	81.49
0.313360916	35.83449317	2.860061741	14.27507865	174.1	4.669447505	1.951383214	3.610358943	49	1.972346048	3.288869003	3.12	12.0	21.37
0.218415371	8.844240266	3.77760859	92.49621276	73.7	4.655348064	7.295924241	1.952585704	28	2.806233686	1.102755053	4.76	133.0	147.29
0.84406268	27.52494703	2.458501858	36.33593235	48.3	2.174767118	5.64878599	2.269617923	34	2.923584464	4.762504115	2.83	30.0	38.49
0.776735211	37.58753807	1.008401333	66.29408319	81.8	0.239774743	2.214088605	0.225055761	7	4.630444866	1.721820069	3.63	82.0	92.89
0.443695801	25.00516391	3.881756245	80.50352055	9.0	4.583040319	4.078527789	4.857367829	31	2.125196876	1.043879267	1.08	176.0	179.23
0.893760818	15.69822218	3.021685996	83.35122307	95.7	4.930026359	0.394368094	0.408592176	30	1.624139817	3.702070071	3.33	39.0	48.99
0.123297006	35.39044969	3.419896539	21.36096936	134.0	0.095800584	2.06747802	1.873495453	41	0.667535976	0.006095034	3.06	21.0	30.17
0.893640626	7.944702032	2.547106882	23.93231654	28.5	1.746873491	3.281187948	3.507582085	23	3.93334624	4.575362524	4.56	194.0	207.67
0.267402669	38.54059681	0.495450205	32.42927904	13.9	1.076851818	9.850346431	0.888154704	16	0.531112424	1.738263819	0.08	133.0	133.24
0.815679278	34.42681943	1.310805212	71.14015864	72.9	3.488864373	4.948566621	0.394368038	33	4.434846096	3.735125368	4.49	71.0	84.48
0.496540255	12.03299229	1.485312243	98.20596283	1.2	3.675335068	8.419998961	4.142411787	16	0.721635747	4.886614739	0.95	82.0	84.86
0.10629924	42.47414779	4.645821051	25.16386452	158.2	2.745165272	2.65266008	1.800524931	47	1.612631366	2.126554075	4.50	70.0	83.49
0.252095074	49.43102482	2.181288214	41.47037684	44.1	4.989293126	9.191162226	4.187189616	39	0.23805016	4.535351864	2.46	32.0	39.38
0.972692619	19.3882593	0.352482358	9.404542914	197.2	2.530548941	2.913361234	4.235016039	15	2.751422372	0.545690027	4.94	140.0	154.81
0.641702761	31.49259214	4.046031554	15.26206314	45.5	3.103364352	5.055191868	4.817726525	27	4.303624991	4.765797857	4.13	83.0	95.40
0.071397037	20.03087136	0.707246455	34.70226323	86.3	0.046486322	8.712054407	4.983067817	10	3.707457036	3.339135123	1.30	120.0	123.89
0.727168823	13.00635647	0.120108893	88.73233662	160.5	4.339889044	3.754595902	0.38267024	46	0.71017175	1.453119717	4.94	81.0	95.82
0.346887349	43.68543489	4.830777866	5.243003163	99.4	4.633925117	4.413775864	1.880748495	6	1.600237492	2.616550152	3.97	180.0	191.90
0.839288737	14.95772778	2.59564875	63.16318797	65.1	0.231616784	5.152576251	0.700868341	25	4.090428376	4.302431701	4.33	35.0	48.00
0.354749681	42.69800217	4.526521113	77.58913315	84.6	2.575079609	1.892387023	3.409189199	22	2.928955801	2.131315902	2.55	15.0	22.66
0.591301848	18.90419199	4.301351622	72.08912489	17.1	2.136334021	5.430569593	4.19106952	34	4.875656234	0.359420901	4.13	84.0	96.40
0.299561831	27.04295831	2.418557227	94.67588906	40.3	4.176366047	9.576815981	3.510105343	30	1.679454849	1.972580207	2.22	133.0	139.66
0.130789797	45.87476016	2.401611865	16.42017055	97.7	4.996081029	2.896502768	3.998140003	42	0.965451447	0.23757798	0.28	122.0	122.84
0.382427715	40.26222106	2.203336616	86.51382057	23.9	4.180984958	0.20086478	3.087072799	9	3.080666982	0.188380651	0.14	68.0	68.42
0.079790161	46.51385161	1.701950375	3.365589177	72.7	2.608883041	3.452688803	1.614663772	21	0.106212965	1.032315266	0.89	48.0	50.66
0.606711523	49.06358456	4.825214685	21.75578479	93.3	4.45784394	5.053764186	0.23715342	43	1.430708019	2.710206749	0.09	6.0	6.27
0.034941781	16.57433006	4.455258206	58.16443344	113.5	0.701399762	3.996238644	3.654751429	21	1.404451702	2.605384168	1.79	30.0	35.37
0.087366564	34.71387361	3.259473361	50.67438248	184.5	0.381110802	9.959010218	2.454322239	21	3.294360952	2.988284248	1.35	174.0	178.05
