N0	N1	N2	X	N3	N4	N5	N6	N7	N8	N9	N10	N11	Class
0.135	41.82352228	2.7	40.8	46	0.284350211	3.078	4.435160325	4.9	4.635	1.398316513	3.81	3.200399071	0.0693427053
0.270	25.9515067	4.2	48.9	59	3.448152007	6.942	0.273536533	4.7	3.124	3.337388381	2.13	2.705080367	-0.9814372345
0.905	8.654838399	3.8	98.3	86	3.546279268	3.866	1.492098988	0.7	0.058	3.060986875	2.94	4.757817073	-0.8019605989
0.780	17.38031507	2.2	84.5	1	4.099792844	5.782	1.697718651	1.5	1.042	4.140565872	4.15	0.199841986	0.3197748905
0.572	12.0132984	0.8	46.6	156	2.988883677	4.134	4.557593282	3.3	0.354	3.532857194	2.02	0.72017123	0.4910899815
0.714	21.62087623	4.9	79.2	105	1.469044499	4.016	4.040714837	0.4	1.026	0.809230913	2.85	4.749585981	-0.6229186746
0.119	15.09769487	4.8	1.6	49	0.998371047	5.029	3.304795476	2.0	0.391	4.471453317	2.51	0.305317039	0.9980641431
0.639	7.996300287	2.4	61.0	30	3.714936238	9.291	2.193831727	1.6	1.295	2.556225589	2.63	4.663036485	-0.9535333840
0.989	29.68219558	4.3	39.4	125	0.61137611	9.989	1.610038621	2.5	4.797	4.173422836	3.37	1.23280338	0.9874257777
0.931	24.8166464	4.8	40.6	137	0.462575806	8.613	3.776632165	2.0	4.644	1.019722836	0.91	4.591170648	0.2014630680
0.582	41.56533365	4.1	68.4	121	2.524658502	0.172	0.799422933	1.9	1.743	2.756439228	0.06	0.453900013	-0.6371751498
0.875	11.1802464	4.2	39.1	194	0.014464257	4.393	1.06442901	2.0	2.573	2.658754867	0.08	0.174022328	0.9784705752
0.421	5.695971772	3.6	36.1	37	2.90882645	3.935	1.741477837	0.0	4.051	4.501746164	4.05	4.175603372	-0.9999925138
0.871	21.23241405	0.1	36.2	159	4.503480201	4.171	3.592937639	3.1	1.636	4.894135665	4.62	4.963639455	-0.9980415386
0.474	34.00218623	1.4	82.5	37	0.316653858	4.400	2.429946047	5.0	0.024	0.56240564	0.16	3.483387842	0.7068467722
0.409	45.6912746	1.6	10.2	200	0.065677189	7.062	2.992822518	2.7	4.136	4.625927438	4.66	4.654605311	-0.6923532007
0.632	34.27425172	2.0	32.2	106	3.933710866	2.755	1.917775519	2.4	0.979	0.091517202	2.75	4.900985644	0.7363362203
