N1	N2	N3	X	N4	N5	Class
3	6	9	6	3	11	0.68075478845144
4	6	1	1	1	8	1.38177329067604
3	3	0	6	3	1	0.68075478845144
2	2	7	8	6	14	0.843858212814768
5	9	8	7	1	11	1.41088885306209
0	8	2	10	2	6	-1.38309263996582
2	6	7	0	3	2	1
5	10	9	6	3	6	0.68075478845144
1	9	3	5	1	3	-0.675262089199912
2	6	9	0	7	14	1
5	9	7	1	6	11	1.38177329067604
2	2	2	8	5	11	0.843858212814768
5	9	2	6	5	7	0.68075478845144
5	2	0	8	5	5	0.843858212814768
5	4	6	7	6	5	1.41088885306209
0	10	0	3	3	12	-0.848872488540578
0	10	4	10	5	2	-1.38309263996582
2	7	1	3	5	2	-0.848872488540578
5	2	7	9	1	12	-0.49901177664292
3	4	5	6	1	12	0.68075478845144
5	4	1	5	3	11	-0.675262089199912
5	4	8	10	6	13	-1.38309263996582
2	6	10	7	2	5	1.41088885306209
3	7	9	4	1	4	-1.41044611617154
4	1	3	10	7	7	-1.38309263996582
0	7	7	4	6	1	-1.41044611617154
3	7	1	10	1	11	-1.38309263996582
1	8	10	6	6	8	0.68075478845144
3	5	6	0	2	12	1
5	3	8	7	3	15	1.41088885306209
5	4	10	10	6	3	-1.38309263996582
4	7	2	1	6	13	1.38177329067604
5	10	2	3	3	7	-0.848872488540578
2	9	3	5	2	7	-0.675262089199912
3	6	2	8	3	5	0.843858212814768
0	7	0	3	6	0	-0.848872488540578
3	1	1	2	7	4	0.493150590278539
0	1	4	10	5	7	-1.38309263996582
0	5	9	9	2	9	-0.49901177664292
4	7	3	6	2	10	0.68075478845144
2	2	8	3	1	10	-0.848872488540578
1	7	8	6	7	1	0.68075478845144
5	4	7	6	4	12	0.68075478845144
5	8	5	10	5	12	-1.38309263996582
4	1	0	7	5	10	1.41088885306209
1	10	4	1	5	12	1.38177329067604
1	6	4	6	7	9	0.68075478845144
0	2	8	9	1	7	-0.49901177664292
0	2	6	8	2	3	0.843858212814768
4	2	5	6	6	14	0.68075478845144
1	9	2	4	7	12	-1.41044611617154
2	4	7	1	5	11	1.38177329067604
2	9	8	2	2	11	0.493150590278539
2	9	4	10	4	3	-1.38309263996582
4	8	10	2	7	4	0.493150590278539
1	9	6	3	7	10	-0.848872488540578
3	5	7	7	5	3	1.41088885306209
3	1	6	5	5	9	-0.675262089199912
2	2	0	6	2	12	0.68075478845144
2	9	0	5	5	6	-0.675262089199912
0	3	5	6	6	11	0.68075478845144
4	10	5	1	5	9	1.38177329067604
2	3	10	6	7	12	0.68075478845144
5	4	8	2	3	13	0.493150590278539
1	8	3	7	7	13	1.41088885306209
1	2	1	5	1	9	-0.675262089199912
2	4	7	10	3	8	-1.38309263996582
