N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	X	Class
0.818647654	3.716394893	4.013577658	80.64246268	29.3	4.544448694	2.805756284	3.586569882	49	1.360913763	1.65991284	2.83	47.9	-1.41
0.97874088	12.24087543	0.716373781	53.80587894	22.6	3.872193361	9.915961367	3.545305652	13	2.068585523	2.859416368	3.97	61.0	-1.20
0.171936016	0.141535474	3.755532708	82.80404902	41.8	4.428383191	8.086201973	3.574818097	47	2.639299865	1.077543772	2.36	398.5	-0.37
0.697450447	17.62071509	1.232446683	86.8247443	140.4	0.232805592	2.596869989	1.4796965	22	3.203148798	3.318958346	2.02	36.8	-0.16
0.079716625	48.61080399	2.53355721	53.33892394	195.0	3.808149768	6.973147179	0.843190632	16	0.600386689	3.475015247	4.85	114.3	1.30
0.972899044	31.71996548	3.946917518	91.21286685	189.8	2.758323668	6.494175621	3.504807737	27	0.283754562	4.008141896	0.74	266.3	-0.08
0.862280873	25.35412848	1.013896918	45.26390061	100.7	3.018534841	1.893531521	4.828789953	36	3.890006537	3.048734415	3.02	210.6	-1.09
0.172804919	7.605873668	2.449165226	85.8102312	164.2	4.570913861	5.813145619	0.59505675	24	4.349919131	2.091619898	4.61	104.1	-1.32
0.594751163	5.080013479	4.680664301	52.29280971	93.1	1.582625199	4.153971145	1.159595863	46	4.811782994	0.194189623	0.02	355.8	-1.41
0.596939229	3.662163696	2.642880913	16.87196294	151.6	4.889900766	8.057171824	0.12761285	22	3.748976591	0.842119194	3.24	353.5	0.93
0.137899208	19.77439349	2.593806813	93.4683327	8.4	1.431434924	1.582630837	3.098027432	31	1.421766106	1.158855526	1.25	230.1	-1.41
0.993155843	47.16974746	3.006255438	78.50212065	61.1	0.523092731	8.757163398	1.797059077	49	0.042703228	2.567281784	2.71	251.5	1.17
0.912757362	2.094857315	1.629728313	48.41188975	8.1	4.897169552	9.239923915	2.096771237	48	4.614692164	1.6733251	3.28	81.5	0.84
0.277613686	32.80319981	0.455022022	68.58847141	85.0	1.135456318	6.800109049	1.304744608	30	3.39706801	2.297660453	4.76	383.8	1.38
0.611029647	49.35312069	3.022708272	39.09045272	11.1	0.188166107	7.234600359	2.816483256	39	1.435540276	3.523642127	3.46	313.6	0.27
0.174594083	9.077160901	3.967285867	63.31941583	81.9	4.349715083	8.477639669	0.123077792	13	3.19538803	0.486524936	2.55	126.6	1.40
0.005078064	21.10004979	2.381302247	72.51491424	93.0	0.244633563	7.858247493	4.554174524	23	1.779967486	4.612818269	2.62	375.0	-1.32
0.735640654	4.538509314	1.327579741	10.36772034	176.9	4.550440539	8.342263416	3.584237353	39	4.698536031	2.013697915	3.89	74.5	-0.22
0.259683053	37.27343698	0.693188091	56.27353866	10.4	2.197801938	4.301867679	3.161852046	36	2.034730625	4.433469731	0.40	83.5	0.73
0.019153451	6.549834155	1.099443337	81.70340858	76.8	3.336850664	0.44764897	2.915425405	19	3.119957301	4.053065813	0.79	287.5	-1.00
0.08782348	14.28635793	3.870607766	65.76024923	73.1	4.27199941	7.807437641	3.138525815	10	4.011785968	3.446218206	3.44	222.7	-0.57
0.783624661	36.22501852	1.494630519	74.83256565	188.1	4.51432205	5.128702872	2.476915862	24	3.765515933	0.401193656	4.56	340.5	1.27
0.162325983	28.54004733	2.184854964	23.97395657	3.1	4.56269492	8.094472346	4.347851956	25	2.639902528	3.560889984	0.14	244.3	0.03
0.411316035	16.29527566	3.427432335	40.76011545	60.4	1.106148315	4.695376604	0.901870017	26	3.427069587	1.9889107	1.95	214.8	1.32
0.395940887	46.69531183	0.334842736	37.00996836	147.5	2.824801037	8.282688005	2.087994543	22	3.890300178	3.695135517	2.31	231.2	-0.66
0.064949891	0.586920936	4.149282688	0.855032568	61.5	3.625769301	7.672105017	0.951479023	30	2.11541293	4.155670045	0.84	72.9	-1.40
0.470274065	39.46110903	3.420591152	93.33167661	59.8	0.333126971	7.624044515	4.783948876	23	2.934692361	3.95657151	3.62	313.1	-0.38
0.83517814	13.17630739	2.11068221	72.66323992	163.4	3.456137407	7.437141194	2.57680001	38	2.028389881	1.653493088	0.01	172.0	0.03
0.079893936	46.29003761	0.599153443	70.64909517	157.7	0.524865304	2.455416379	4.472173292	10	4.828417217	4.396445422	3.61	287.9	-0.48
0.306669794	38.21846694	2.839671393	26.12979032	173.7	2.029561492	9.244396487	1.716666522	45	2.586391696	2.259425492	0.95	39.5	0.73
0.127048211	2.715460865	4.991563193	21.89596056	75.6	2.993042767	8.693404231	2.931143684	25	1.286879169	3.023768343	4.28	353.4	1.06
0.075448351	35.37994962	4.625778428	64.8373754	172.6	4.764912936	3.572614747	1.136614939	7	0.867608646	2.693320793	3.98	285.4	-0.39
0.809339492	1.515682031	4.921236036	86.36351901	39.8	3.004228414	3.236411311	0.997619865	50	2.977123778	1.094709061	0.48	302.1	1.37
0.867592182	40.15962604	4.431133953	61.66044549	114.0	2.937309062	5.302285855	0.348671952	24	3.010165786	3.5293531	2.17	289.5	1.33
0.715032777	9.225141535	3.980724809	64.66059561	183.5	3.506651646	8.732195083	2.367294985	11	2.692555592	3.862061142	1.75	78.7	-1.14
0.094097301	18.11822465	2.035981035	49.79046204	29.8	0.195252517	0.464889733	0.485445176	11	2.940124239	4.922205184	0.70	72.0	-0.71
0.279026535	48.17594944	1.71302956	46.93173454	36.2	3.572386286	4.799395463	4.620395081	22	4.548766543	1.229380013	2.51	397.4	1.02
0.912036224	17.29437308	2.178583592	20.62444207	36.5	0.851245942	1.960321506	1.923826211	15	3.486744546	1.065589763	4.97	223.7	-1.40
0.357503731	8.359557855	3.281773275	81.04006748	41.2	1.398080144	6.646739227	3.933848014	10	1.365372504	0.535164034	1.04	196.9	0.37
0.400176388	25.71265636	2.678501464	53.02194266	51.4	0.745169704	9.404370125	2.814552958	28	0.68106998	2.964891433	1.57	110.0	-1.07
0.648900419	37.04172199	4.399881643	2.413146531	57.0	1.487425537	4.652288358	1.764699201	16	1.528218443	2.735210734	0.26	335.7	-0.50
0.896726451	30.31378536	0.387120924	17.71074581	39.1	0.526659011	8.923918166	1.570592142	25	3.888484346	0.381036494	2.54	145.5	1.37
0.135780356	39.4486849	2.399599943	21.47675645	56.7	1.995807747	0.282681585	4.13275821	5	2.507094678	1.88860921	4.34	194.3	0.48
0.509102098	4.372897304	3.657497133	70.5852712	166.1	2.429062008	7.159911479	2.940928577	34	0.733487502	3.121300628	1.72	359.5	1.22
0.429239837	6.238499831	4.060479698	48.63907347	53.0	4.532454349	3.882664311	2.210612098	10	3.137390589	3.99934135	2.97	338.1	-0.59
0.44451081	22.6953862	2.168158948	7.723595866	130.7	4.614269565	2.712935392	4.771751394	46	2.364070532	1.436457662	0.82	249.1	-1.39
0.798210396	28.55762619	3.612794221	79.64759732	26.3	0.95976196	6.138383134	2.855498593	50	2.219889487	1.523853761	0.80	131.7	0.76
0.193396467	26.83103774	0.053655037	8.613571109	115.3	0.172444066	3.480739701	0.957202731	25	1.722115584	4.790688636	4.17	34.9	-1.27
0.391900739	4.398381108	3.419353475	34.70002749	70.6	1.842060698	8.384831582	3.806379824	50	1.108413719	1.487643152	1.94	152.7	0.67
0.62804617	2.598848464	2.375998155	8.362777158	163.4	3.879517191	2.236745796	4.606142353	7	4.172529533	1.48547897	2.90	33.2	0.81
0.237828831	4.58867512	4.476472912	64.7447175	36.8	1.869506495	0.279299439	0.221023976	12	4.176739149	2.078959001	3.86	115.1	0.47
0.893711094	0.469521319	1.712138877	47.82841224	11.5	0.055805323	1.802480281	2.196257935	29	4.476275655	2.153333348	2.95	169.0	0.27
0.541669385	10.93330709	3.373585394	63.92681676	155.6	3.702620737	4.352445221	4.557912397	42	2.860285123	3.332245893	1.41	399.8	-1.41
0.424018293	13.87618975	4.961743866	15.67377279	85.0	1.758246465	9.876089023	0.115655105	33	3.962839119	3.429952564	4.21	316.7	-0.28
0.942098151	38.37728995	4.097688198	80.65145004	151.8	1.420470981	6.817129626	0.079489161	37	0.232385864	1.899486074	0.33	181.3	-0.11
0.832189176	6.275734014	1.405134311	73.33434433	97.7	4.534813015	6.809708146	1.53651329	5	3.054719026	0.037561052	4.83	268.9	-0.62
0.370147826	47.16862076	1.549636083	92.97919805	19.1	2.76438023	0.865677618	1.449859589	19	4.902635547	3.279864834	4.01	133.6	0.95
0.27543999	12.48474727	4.154877359	31.52175832	145.6	4.924141366	4.108650858	0.013149893	37	2.790155751	1.225838124	0.63	65.0	0.22
0.140599322	9.48772269	0.606193719	48.06528496	20.5	3.587136861	6.153592058	2.304873881	40	0.671003953	1.761024121	0.78	161.5	-1.23
0.685101247	32.95276729	4.05066535	44.4600828	149.5	2.249515742	9.768073014	2.003656994	9	0.44340462	4.565017703	1.19	334.2	1.32
0.983987324	42.62956026	4.713659814	78.79246429	15.7	0.072774878	7.541924931	2.79453188	5	1.893463389	0.4551791	0.14	32.7	1.21
0.901468929	22.93168917	0.948257303	31.94885403	190.6	3.373465632	8.376882604	4.55146747	36	0.078256929	0.485831666	2.95	39.6	0.67
0.158406197	45.88416541	3.374267841	89.45316354	183.7	4.058700068	0.168555526	2.58176558	16	0.230494411	3.230909	4.25	169.0	0.26
0.317424339	27.47341599	2.613645684	97.1287216	114.1	3.957637531	1.65880952	1.971186525	23	2.67669853	1.573515474	0.47	198.3	-1.31
0.324471278	30.52459159	2.743066807	15.66349789	189.2	2.14906707	5.064273213	3.148128927	50	0.992097172	4.234621276	1.98	297.3	0.50
0.322548265	26.98052797	2.771998565	60.86209397	41.4	4.665124214	3.279086529	2.87195265	31	0.801789999	0.7864715	3.61	319.0	-0.90
0.603340689	47.94757127	1.229340159	50.74259392	124.4	3.904633229	3.074315364	0.215751366	9	4.314534903	1.12383066	1.09	350.4	-0.84
0.560095548	30.01768504	4.869771127	14.51002614	101.1	4.427980792	1.753698235	0.393938222	11	0.804132523	2.462782474	4.95	204.5	-1.26
0.171584427	8.147276549	4.436606558	20.98908025	104.7	3.770372705	3.372263465	0.716910837	14	0.112677171	1.639884099	4.50	281.0	-1.17
0.89786658	37.22211233	4.107921874	26.30690145	194.5	0.930028181	3.175330367	4.193062425	17	1.742714539	4.070801415	4.54	120.0	1.39
0.171512766	7.046938181	0.96250519	75.16868816	57.7	1.75124561	4.149712575	1.268059939	39	2.12383052	2.588517012	4.03	361.6	-1.28
0.834365152	22.75576966	3.257786398	13.25723724	46.7	1.442506574	2.39120793	4.397513678	40	2.560100633	3.577948357	0.40	79.9	-1.21
0.193884142	11.70693909	2.78440483	5.486746694	138.2	4.555143128	0.172335421	3.42297637	36	3.5718365	2.628845819	4.81	49.2	-0.46
0.690294203	35.72255005	2.269226095	49.18830395	115.2	0.189980928	6.876155491	1.45958126	29	0.664097092	2.629211234	4.08	74.4	-0.31
0.198635218	19.37921321	1.966946156	86.76047981	156.3	4.939377851	8.479832781	3.714630565	27	0.631682861	4.738999984	3.72	122.7	-1.17
0.400517469	3.990131453	2.476183082	68.61446923	182.4	1.802677346	1.993194956	2.123447914	36	4.207350127	4.251628991	2.32	336.1	-0.93
0.602473915	1.82178747	0.941480458	89.47020387	165.8	1.705827266	9.804222954	0.475869609	33	2.167482428	0.994641759	3.01	128.0	0.03
0.145022116	36.9392708	1.165020561	78.21212514	129.9	3.000356484	6.769095181	3.992511426	34	4.015874388	1.569195976	0.27	216.8	-0.99
0.167964506	35.37897342	2.696824504	24.46450079	94.8	1.927627389	6.208852554	4.408481436	23	0.420093349	0.800641087	3.35	124.5	-0.51
