N1	N2	N3	X	N4	N5	Class
5	5	4	9	7	6	3.70906636717581
2	8	1	16	4	11	-4.60645306664104
2	7	3	12	7	6	-6.43887501600522
0	10	0	12	4	7	-6.43887501600522
1	5	2	1	7	13	0.841470984807897
0	8	9	1	1	6	0.841470984807897
4	2	2	13	2	14	5.46217147874633
2	5	6	17	3	10	-16.3437573619525
5	5	9	20	1	8	18.2589050145526
1	4	8	14	7	9	13.8685029797282
0	2	7	19	5	5	2.84766698359609
1	2	8	10	6	5	-5.4402111088937
2	8	8	12	6	5	-6.43887501600522
3	9	8	7	2	3	4.59890619103152
3	6	4	6	2	12	-1.67649298919356
5	3	10	14	3	10	13.8685029797282
4	8	8	18	6	8	-13.5177704418902
0	6	3	0	2	5	0
0	5	7	7	6	3	4.59890619103152
2	7	2	8	3	7	7.91486597298705
5	5	2	15	4	3	9.75431760235675
5	1	3	20	6	7	18.2589050145526
2	8	10	20	4	15	18.2589050145526
0	6	8	13	1	6	5.46217147874633
1	4	4	5	4	11	-4.79462137331569
0	7	5	4	1	8	-3.02720998123171
5	4	0	17	5	13	-16.3437573619525
1	3	6	16	4	10	-4.60645306664104
0	8	2	0	7	12	0
0	6	3	13	1	13	5.46217147874633
3	7	6	20	6	15	18.2589050145526
4	7	0	15	6	10	9.75431760235675
1	1	2	14	4	7	13.8685029797282
2	8	5	14	6	13	13.8685029797282
2	5	0	13	3	12	5.46217147874633
4	1	5	0	4	14	0
5	2	7	4	7	1	-3.02720998123171
4	4	10	18	1	13	-13.5177704418902
5	1	3	1	5	12	0.841470984807897
4	9	1	11	6	9	-10.9998922720577
4	7	6	14	2	6	13.8685029797282
5	6	9	9	3	10	3.70906636717581
3	3	5	11	2	14	-10.9998922720577
0	5	9	20	7	0	18.2589050145526
1	7	9	4	1	13	-3.02720998123171
4	3	1	19	3	13	2.84766698359609
5	8	6	8	5	10	7.91486597298705
1	9	0	14	1	9	13.8685029797282
3	3	5	9	3	15	3.70906636717581
2	8	1	18	7	11	-13.5177704418902
3	6	10	9	2	8	3.70906636717581
0	2	5	15	7	12	9.75431760235675
1	8	9	18	3	12	-13.5177704418902
5	6	4	18	5	8	-13.5177704418902
1	3	5	1	2	9	0.841470984807897
0	1	3	15	7	3	9.75431760235675
3	2	6	5	5	6	-4.79462137331569
5	5	6	10	5	10	-5.4402111088937
4	10	9	2	6	6	1.81859485365136
3	10	4	7	3	5	4.59890619103152
2	8	4	17	6	10	-16.3437573619525
4	1	6	9	5	10	3.70906636717581
5	9	0	19	1	10	2.84766698359609
2	3	8	1	7	8	0.841470984807897
1	6	2	2	2	0	1.81859485365136
5	1	3	11	3	14	-10.9998922720577
4	3	8	1	6	15	0.841470984807897
3	8	10	1	2	15	0.841470984807897
4	2	3	1	1	0	0.841470984807897
4	10	1	14	6	11	13.8685029797282
5	6	4	1	5	2	0.841470984807897
4	4	2	16	5	2	-4.60645306664104
5	3	4	16	5	7	-4.60645306664104
2	1	8	0	4	10	0
2	3	6	19	7	8	2.84766698359609
1	6	0	19	6	10	2.84766698359609
2	9	8	3	7	6	0.423360024179602
0	3	2	5	6	14	-4.79462137331569
5	6	1	17	5	10	-16.3437573619525
2	1	6	16	3	0	-4.60645306664104
5	8	7	8	3	8	7.91486597298705
2	9	5	10	4	0	-5.4402111088937
0	7	7	1	7	0	0.841470984807897
4	3	0	5	1	4	-4.79462137331569
2	9	1	15	7	5	9.75431760235675
2	1	2	15	3	13	9.75431760235675
4	8	3	11	4	8	-10.9998922720577
4	2	4	11	1	2	-10.9998922720577
3	4	2	14	1	8	13.8685029797282
2	4	6	12	5	9	-6.43887501600522
3	3	4	4	6	3	-3.02720998123171
0	2	9	4	6	9	-3.02720998123171
5	4	10	9	1	4	3.70906636717581
0	10	2	16	2	7	-4.60645306664104
2	2	4	4	3	5	-3.02720998123171
0	3	7	8	7	2	7.91486597298705
1	6	2	7	7	10	4.59890619103152
3	10	4	18	6	14	-13.5177704418902
0	7	2	18	4	7	-13.5177704418902
3	2	7	10	5	12	-5.4402111088937
0	5	10	6	1	0	-1.67649298919356
3	2	7	11	4	4	-10.9998922720577
1	10	6	15	5	8	9.75431760235675
3	6	6	17	2	2	-16.3437573619525
5	5	7	2	3	12	1.81859485365136
4	6	10	10	6	10	-5.4402111088937
5	7	6	7	3	4	4.59890619103152
0	2	1	7	1	4	4.59890619103152
4	4	8	15	2	13	9.75431760235675
4	2	2	7	5	6	4.59890619103152
3	6	1	5	7	9	-4.79462137331569
2	10	1	16	1	0	-4.60645306664104
3	1	3	4	7	3	-3.02720998123171
3	8	1	11	1	13	-10.9998922720577
3	3	3	8	5	1	7.91486597298705
1	2	2	16	3	2	-4.60645306664104
1	6	1	15	3	5	9.75431760235675
1	6	9	13	4	10	5.46217147874633
1	3	8	10	7	13	-5.4402111088937
0	2	5	6	7	1	-1.67649298919356
1	6	6	20	1	15	18.2589050145526
0	1	9	20	3	13	18.2589050145526
1	10	8	17	6	7	-16.3437573619525
4	2	7	3	7	12	0.423360024179602
4	2	10	3	4	3	0.423360024179602
1	2	2	13	6	12	5.46217147874633
1	10	10	1	6	4	0.841470984807897
5	4	1	10	1	10	-5.4402111088937
1	5	7	11	4	3	-10.9998922720577
0	6	4	7	2	12	4.59890619103152
5	9	5	12	5	5	-6.43887501600522
2	2	0	13	5	0	5.46217147874633
1	8	0	5	6	13	-4.79462137331569
2	2	2	3	7	4	0.423360024179602
1	5	9	5	7	2	-4.79462137331569
1	10	4	2	6	13	1.81859485365136
1	8	9	5	4	5	-4.79462137331569
0	6	3	20	5	15	18.2589050145526
5	9	8	5	7	15	-4.79462137331569
0	10	4	15	1	5	9.75431760235675
2	2	3	0	5	13	0
1	7	6	18	5	12	-13.5177704418902
4	1	1	11	1	4	-10.9998922720577
5	2	5	4	1	3	-3.02720998123171
3	10	10	14	6	8	13.8685029797282
5	6	3	20	7	9	18.2589050145526
1	10	5	14	1	12	13.8685029797282
1	1	8	13	7	15	5.46217147874633
5	7	4	8	4	15	7.91486597298705
4	9	6	18	6	1	-13.5177704418902
5	9	7	18	4	11	-13.5177704418902
3	1	9	4	6	2	-3.02720998123171
0	9	6	16	7	13	-4.60645306664104
1	1	9	16	5	5	-4.60645306664104
1	1	7	2	2	15	1.81859485365136
1	7	1	18	7	3	-13.5177704418902
1	3	6	8	4	15	7.91486597298705
0	3	3	15	7	5	9.75431760235675
2	1	8	20	3	5	18.2589050145526
2	3	4	12	4	12	-6.43887501600522
4	6	3	8	4	15	7.91486597298705
3	4	2	9	2	5	3.70906636717581
4	9	5	9	1	0	3.70906636717581
4	8	9	16	5	7	-4.60645306664104
5	5	5	2	1	10	1.81859485365136
2	9	10	4	6	7	-3.02720998123171
4	5	0	14	3	14	13.8685029797282
3	1	5	16	1	1	-4.60645306664104
0	3	9	6	3	15	-1.67649298919356
5	2	10	14	4	8	13.8685029797282
0	9	0	6	4	8	-1.67649298919356
3	10	10	20	6	3	18.2589050145526
3	9	7	1	7	1	0.841470984807897
3	7	3	2	3	6	1.81859485365136
5	10	4	9	5	14	3.70906636717581
2	6	6	19	1	11	2.84766698359609
5	10	7	7	6	2	4.59890619103152
5	3	2	12	7	13	-6.43887501600522
2	10	7	11	7	2	-10.9998922720577
3	4	2	17	2	11	-16.3437573619525
0	7	10	18	1	10	-13.5177704418902
5	8	3	5	3	11	-4.79462137331569
5	8	10	8	5	14	7.91486597298705
5	3	3	19	1	13	2.84766698359609
0	5	4	11	5	15	-10.9998922720577
5	1	8	19	1	6	2.84766698359609
5	3	4	5	6	6	-4.79462137331569
0	2	0	18	3	8	-13.5177704418902
4	9	4	19	1	10	2.84766698359609
0	5	9	5	2	4	-4.79462137331569
