N0	N1	N2	X	N3	N4	N5	N6	N7	N8	N9	N10	N11	Class
0.078977349	3.332182808	3.697022363	86.2919279	96.11627545	0.386354528	4.77866526	4.927727419	1.827427974	1.168968781	2.338149094	4.458014784	1.914310424	-85.84456727
0.951188478	15.04777054	4.044327574	19.42776134	131.1459386	4.238518236	9.537018455	2.109745827	3.801870396	1.66198146	0.936382763	2.805218082	0.547662403	10.61769806
0.223122138	5.738026036	3.148683176	62.85235871	155.8782605	3.827460535	9.949126069	4.539125362	1.051045976	3.247274778	3.615377921	1.53578978	0.577434542	1.288737567
0.781694457	40.48948604	2.418023655	5.027386908	190.6927101	3.277211624	7.593546536	1.835917907	2.076271786	0.884225145	1.576621215	3.816992531	3.246483749	-4.780024495
0.175301327	4.301782072	4.246209793	37.83261976	67.97155116	0.636357786	0.942629126	2.575820471	2.034479349	1.707703533	3.574549519	4.619509565	3.097230184	5.035962512
0.934731266	26.1705018	2.406909554	31.42415718	180.6743746	0.959671414	5.516503808	1.449959961	3.389372967	3.426298558	4.574688963	4.196407467	2.087195324	0.258638196
0.876267427	6.482776287	3.927045395	38.99196799	171.6500878	4.206540925	3.040379	0.169130084	1.484700843	2.998466295	4.401253958	4.369059584	2.475935071	37.4955593
0.902493462	45.54498205	3.778800885	50.60341152	12.4525238	1.706853041	7.77452435	4.459387551	0.075280232	4.384333941	3.364177853	4.130778349	3.966147952	16.77675099
0.684566587	11.72093669	2.506959523	51.28588109	11.39617605	3.340859229	6.50800573	2.844002146	3.753281547	4.772607558	0.489557049	3.107172209	1.405703569	43.71180711
0.520143087	13.15689761	1.986074737	64.37628854	100.1778393	4.080288133	0.14549323	4.740471427	2.529606078	0.106713274	2.877055037	0.155875393	1.482414782	64.35392246
0.194700206	37.0950514	1.355545318	33.12394202	78.8917234	2.469619752	3.013982489	4.723377126	1.267089973	0.878939123	3.850418889	4.088683223	1.896503849	32.81258408
0.350762517	14.90625077	1.365982705	14.26576216	35.45256281	0.74904559	4.664666238	1.162563089	0.463463293	2.991827622	0.876174199	3.173342341	1.626393449	14.14797008
0.249613808	19.95585903	4.262459276	30.23141987	83.25817233	3.843617462	5.7288105	4.697450871	0.048933475	4.212341696	4.847047943	2.346779695	1.959339248	-28.00376686
0.409732379	35.03681037	3.400327729	22.03420792	143.6947807	4.93169845	6.496857232	4.784504112	1.92484279	0.545467697	4.017958076	0.572924608	1.670974967	-0.948485381
0.929717815	25.25129712	1.223978895	25.21039908	102.9620528	0.403817555	0.040079458	0.353386681	1.109854444	0.288821522	0.83060502	4.096776542	1.037805746	1.955818185
0.388523032	6.75785044	1.875561045	60.29426957	64.58362274	1.772996636	6.932734395	3.951351816	3.956215244	1.393788169	3.365313515	4.756793056	4.826906453	-34.24393894
0.782205224	19.05056503	4.265860326	43.11107704	94.09778562	1.311454858	7.575181682	2.924961278	4.697299428	1.197978003	0.605463854	4.374790519	1.179040907	-32.98493719
0.741658692	10.7208524	1.765293326	39.95365571	42.13818467	2.462845682	6.579975414	1.568743676	2.241288137	0.996273848	2.55052593	2.365788948	0.738895956	30.97250695
0.075946257	8.749384019	1.672242384	43.06040377	46.37905136	0.540912904	7.038069107	3.819716206	1.783873836	0.955653915	2.294971264	0.09422922	4.818202346	-34.30825784
0.154389033	2.199809594	4.882140084	85.55618489	149.9901064	3.129464719	7.644640135	1.997487301	4.464047961	2.339560379	1.99796543	3.828320541	3.512765848	-57.25747796
0.808056802	15.20108278	0.529549216	67.80979034	48.27770213	1.228846555	7.295064755	0.557604986	3.895997578	2.517751278	3.354894266	4.491362947	2.460556604	-65.43297266
0.54910216	15.16779478	2.343841656	96.16654151	9.591975198	4.497757223	9.66337199	4.728971606	3.757996155	0.322947582	3.350277809	3.284190782	0.86853443	90.40312373
0.483541639	35.39065403	0.938282265	70.67524218	90.16818944	4.936952952	6.139393478	0.596458349	2.715848872	1.175657863	0.654320199	0.63195895	3.659616152	70.67127729
0.096337477	9.944087091	3.436651292	42.49970464	179.2649151	2.309138038	4.81848513	3.676500717	3.549954569	0.662679327	4.000798789	3.192295049	2.540514295	-42.33448978
0.264111338	28.03574179	0.499605007	2.382633433	122.9347242	2.028668751	5.03477399	1.28640873	4.01948546	2.297314206	0.969293107	3.597961062	4.237665205	1.639648934
0.097728335	30.94542344	1.152406643	84.33915518	195.6078812	2.859112168	3.492467969	1.639140224	2.774548989	3.568629731	4.472526694	2.149011387	3.383495113	39.23352502
0.60282841	4.572099052	4.416356503	40.72191231	37.72660704	3.395485013	0.574210431	3.851819416	4.044812039	1.036853888	4.567357877	2.774787844	2.558534361	4.82607586
0.408937964	39.85199465	0.565747151	38.27569799	147.9675933	2.58226448	6.569285693	2.734061681	1.341748332	0.470691328	3.268285799	0.897817978	1.20228805	20.86657825
0.841991292	42.60978634	2.424033814	9.007507757	11.75671062	2.462386491	4.578451381	0.508675464	4.74127564	0.064114125	4.135981327	0.598465579	1.366693531	3.650440154
0.226721558	29.82747181	3.305540039	30.50653577	24.07421663	1.323242673	4.993407294	2.004930448	4.249480568	4.602409509	0.918309739	3.89379652	4.057861729	-24.07361281
0.423207588	30.71738072	2.671468291	41.06522862	153.12344	0.565091111	0.01636247	2.348143148	2.561609673	0.042619394	3.251106331	2.398405755	0.330187887	-9.142863249
0.431444394	5.887378094	1.055539861	96.26343591	2.883285808	0.058480286	7.34282735	2.607971406	1.751971677	2.429772129	3.195316911	1.415553517	1.835670733	86.89420534
0.056239002	46.23396789	3.117448007	33.19795286	86.72532262	4.565894092	3.371712698	3.051313527	2.197464065	2.272257229	3.449470416	3.908319414	1.365625892	32.46008754
0.835497011	37.38600196	4.366973457	52.96284038	148.4201557	3.668203647	7.485425757	1.796241699	1.849122812	3.260879107	1.997818611	3.459854315	0.431048183	22.76168186
0.650125301	27.49261219	4.674108196	22.52363158	59.24230787	0.042986304	7.874970831	2.044132525	0.501485331	4.517422656	3.791115737	3.111660774	4.966589041	-11.43466514
0.772168451	20.75648801	4.076717769	73.96021352	32.08481146	1.173428411	0.716658113	1.411647654	2.411181313	1.837059692	3.329916445	1.005589544	2.50267938	-73.30913166
0.832584216	9.617626657	3.264332371	32.87241452	83.65289311	1.470447217	1.928506397	2.749060358	0.410736302	3.469296041	4.27617236	3.692208307	1.320393972	32.65788624
0.124648575	27.80613365	4.768117712	54.49078292	170.6362298	0.667304465	9.568499898	4.395586788	1.488439545	3.656532786	0.895674045	0.384451279	0.132178049	-48.15346873
0.575299323	13.12954293	3.745978183	99.92015024	5.538315721	0.951622403	5.225242598	1.282975475	4.219929661	4.241417964	0.920493599	1.086336151	1.34632777	-57.3077052
0.235654674	27.05991477	1.716256739	84.29466208	155.9772515	0.491719402	4.460743715	0.095582968	3.560813759	2.512576501	0.839571451	4.55851331	0.270695501	42.4929403
0.310304611	27.50320165	0.282178583	18.67558696	114.6959105	1.444790841	5.969219489	0.453426697	0.503485494	4.225334936	3.67403147	3.019797143	2.695451571	-3.232608783
0.498994195	5.906974156	3.222435779	41.36075998	11.81124152	2.19557709	2.892112882	2.664542217	1.707086732	2.750574777	2.002886137	4.374603241	3.563049186	-20.55333155
0.088187733	20.8258751	3.999165686	66.244983	110.6241693	2.681808674	7.702093271	2.27421712	2.721327159	1.324178984	2.15371681	3.158401323	4.135153068	-17.76774582
0.034716801	42.2430478	2.119688314	35.03194496	139.3561017	3.455574772	5.230391489	2.037864987	4.374697791	2.172314939	1.510852539	4.693610848	4.866027011	-16.00356342
0.670702213	35.84136983	1.965046368	66.55779548	1.399101966	0.209170592	1.940368156	2.607374964	4.024795591	1.954087934	2.640297672	0.275734082	4.428490771	-36.71708352
0.543542877	12.34137953	3.362344086	59.70752395	180.1081115	2.966005411	7.347706681	4.414498525	1.050449517	2.097465511	3.822171486	1.963669597	1.104447714	-1.03071146
0.329870748	1.489123331	3.65618279	8.370960419	2.791576828	0.373573321	2.312947747	0.497068224	2.944291173	3.244980942	0.253274814	0.171121061	3.109438835	7.277013165
