N1	N2	N3	X	N4	Class
3	7	194	9	5	81
4	7	227	14	2	196
5	9	245	9	1	81
0	5	370	6	2	36
4	3	362	4	1	16
0	5	46	5	1	25
3	1	354	3	3	9
4	10	83	1	1	1
4	1	272	18	4	324
0	4	353	0	6	0
1	7	199	10	3	100
4	3	352	14	2	196
4	9	205	7	6	49
4	9	91	3	1	9
2	2	25	20	1	400
4	10	195	1	7	1
4	10	18	11	5	121
4	7	195	10	1	100
1	7	171	18	5	324
4	7	167	9	2	81
0	1	212	14	5	196
3	5	195	9	3	81
2	4	329	20	6	400
5	2	275	3	5	9
5	6	229	18	3	324
1	7	373	17	6	289
4	10	327	3	2	9
4	8	281	16	3	256
0	3	216	19	4	361
2	1	305	17	6	289
5	8	247	0	1	0
2	1	3	5	1	25
1	4	327	11	1	121
2	10	158	18	6	324
3	4	318	10	2	100
4	4	374	15	7	225
3	7	306	10	5	100
0	1	293	13	2	169
4	8	97	10	1	100
4	2	356	3	5	9
2	9	287	15	5	225
1	6	305	4	2	16
4	1	34	12	5	144
2	3	192	17	5	289
1	7	12	18	1	324
0	3	20	9	5	81
3	8	79	8	2	64
1	1	396	5	5	25
2	9	15	17	1	289
4	3	232	3	7	9
2	8	121	1	3	1
3	4	32	0	6	0
0	4	160	14	2	196
2	6	389	11	4	121
4	10	201	13	3	169
3	10	160	15	6	225
0	10	167	20	1	400
5	3	145	3	3	9
2	2	214	0	4	0
0	7	283	8	2	64
0	10	264	4	3	16
4	2	169	5	7	25
1	10	322	12	5	144
0	9	192	13	5	169
2	5	72	13	3	169
0	1	203	20	5	400
1	5	61	2	7	4
5	4	203	19	4	361
5	10	82	0	6	0
4	6	271	20	7	400
3	2	47	1	3	1
4	3	22	13	1	169
1	6	167	16	6	256
2	8	347	17	5	289
4	5	341	2	1	4
3	2	367	12	7	144
1	2	370	10	3	100
5	1	290	15	1	225
3	6	294	19	4	361
5	5	57	12	5	144
1	4	31	10	1	100
4	8	224	1	3	1
5	1	391	11	1	121
5	9	367	9	6	81
3	10	84	17	1	289
1	1	295	8	6	64
0	5	270	20	5	400
2	7	167	17	4	289
0	8	159	7	7	49
0	5	51	10	7	100
5	6	375	14	4	196
4	1	255	20	1	400
2	2	46	2	7	4
5	9	143	7	1	49
2	10	219	6	7	36
2	4	150	1	6	1
5	9	235	9	1	81
1	9	372	0	3	0
0	7	51	16	1	256
0	10	337	13	6	169
3	2	380	2	1	4
3	2	188	7	6	49
4	4	186	11	3	121
4	6	267	2	7	4
1	10	60	1	6	1
1	5	18	4	4	16
0	6	338	1	4	1
2	7	80	9	6	81
2	6	310	16	5	256
3	2	210	15	5	225
4	4	8	16	6	256
2	1	71	15	7	225
5	1	269	18	4	324
1	1	396	9	5	81
5	7	115	16	5	256
2	5	345	12	4	144
0	9	172	2	3	4
4	4	291	4	7	16
5	6	291	11	3	121
2	7	322	3	6	9
5	7	23	19	3	361
1	8	386	3	7	9
5	1	35	9	4	81
4	2	35	12	3	144
1	6	22	9	3	81
5	6	345	12	1	144
0	2	372	13	6	169
2	2	22	2	1	4
1	9	388	0	4	0
3	7	305	13	5	169
1	6	47	6	1	36
0	1	229	19	7	361
0	8	254	17	7	289
1	10	168	13	7	169
0	6	175	8	4	64
4	3	309	8	3	64
1	9	264	11	5	121
5	7	69	4	6	16
0	8	357	14	7	196
3	9	387	2	3	4
0	10	135	3	3	9
4	10	183	3	5	9
0	5	84	16	7	256
4	3	153	20	2	400
1	3	361	6	3	36
4	5	182	6	1	36
0	8	139	1	3	1
0	8	278	17	3	289
3	8	116	12	6	144
5	8	289	5	1	25
1	3	327	2	5	4
2	8	298	3	7	9
3	8	356	8	3	64
0	2	391	19	5	361
1	6	143	1	4	1
4	10	168	10	7	100
1	2	338	7	4	49
0	1	137	18	1	324
5	4	318	20	3	400
2	1	360	8	5	64
5	3	400	7	7	49
1	10	51	16	3	256
5	4	325	9	2	81
5	7	62	15	1	225
4	4	150	0	7	0
2	3	372	15	4	225
3	3	223	8	3	64
0	9	128	15	6	225
0	10	322	19	6	361
2	3	282	13	1	169
4	1	289	12	3	144
4	3	341	3	4	9
2	5	237	11	2	121
0	3	180	7	4	49
5	9	321	10	7	100
1	6	305	3	7	9
5	1	44	17	7	289
3	7	39	13	3	169
1	1	283	5	3	25
4	8	396	5	1	25
2	7	191	15	4	225
4	10	112	2	3	4
4	7	63	1	5	1
0	3	259	18	4	324
1	3	196	14	6	196
5	7	345	15	2	225
1	7	256	18	6	324
2	6	100	20	7	400
5	7	380	1	6	1
1	10	29	18	3	324
1	2	108	9	5	81
5	5	55	12	2	144
1	8	139	17	7	289
3	4	216	19	3	361
3	6	318	9	6	81
3	8	397	5	1	25
2	3	36	19	1	361
5	7	193	8	2	64
3	6	156	7	1	49
3	6	67	19	2	361
5	10	61	4	3	16
3	2	29	20	4	400
1	4	6	10	5	100
5	8	194	6	1	36
3	4	379	7	1	49
4	5	257	11	5	121
0	9	339	0	6	0
1	1	242	2	4	4
1	7	160	10	1	100
2	9	368	14	6	196
4	7	29	1	7	1
5	10	353	8	1	64
5	9	356	7	2	49
2	2	41	11	2	121
1	4	251	13	2	169
4	8	206	9	3	81
0	8	336	1	3	1
2	5	197	15	6	225
2	4	146	15	7	225
1	7	166	17	5	289
1	7	98	16	7	256
1	6	233	6	5	36
4	5	138	2	3	4
1	2	152	17	5	289
0	3	339	12	6	144
0	9	262	20	2	400
0	3	227	16	4	256
0	10	138	6	4	36
2	10	240	2	5	4
4	10	232	6	2	36
3	8	400	20	2	400
1	6	121	14	3	196
1	5	134	8	2	64
4	9	91	12	7	144
0	8	87	6	4	36
2	7	175	14	6	196
3	6	148	10	7	100
4	5	342	19	1	361
3	3	130	20	3	400
3	5	227	12	5	144
0	10	390	14	4	196
0	8	89	14	5	196
0	3	237	17	5	289
5	2	261	12	3	144
3	8	110	11	5	121
2	7	21	20	4	400
2	7	274	17	7	289
1	1	380	1	7	1
5	7	98	10	7	100
1	10	138	3	1	9
2	7	134	16	4	256
4	2	159	7	4	49
5	5	266	15	2	225
0	8	294	15	7	225
0	5	297	7	6	49
4	8	107	20	3	400
2	4	9	4	4	16
2	9	160	7	2	49
1	2	51	11	3	121
1	7	82	12	2	144
2	10	160	5	7	25
2	1	128	18	1	324
5	6	17	10	5	100
2	4	284	4	7	16
3	2	240	1	7	1
4	5	254	9	4	81
5	9	79	1	6	1
4	7	119	6	3	36
3	7	228	5	2	25
5	1	337	14	4	196
3	7	1	19	2	361
4	10	144	15	3	225
4	5	277	11	4	121
2	7	0	18	3	324
4	5	69	4	5	16
5	10	129	15	7	225
4	3	266	17	4	289
0	5	197	14	7	196
4	5	254	10	5	100
1	4	150	8	6	64
3	3	139	4	6	16
3	9	350	5	2	25
1	8	12	16	4	256
2	1	378	3	4	9
3	3	158	19	6	361
1	9	131	7	1	49
0	3	355	1	5	1
5	9	306	3	3	9
4	3	336	16	7	256
5	1	11	16	1	256
0	7	76	6	5	36
1	6	233	4	7	16
0	1	306	8	3	64
1	1	279	11	4	121
1	3	247	6	2	36
0	1	257	17	5	289
5	5	84	13	2	169
2	7	39	13	7	169
4	6	309	2	3	4
5	7	132	4	7	16
5	1	206	9	7	81
4	8	384	2	3	4
3	10	300	10	6	100
0	5	181	15	6	225
2	2	346	13	5	169
2	2	212	4	1	16
4	8	32	6	3	36
1	10	292	3	7	9
1	4	138	3	2	9
0	7	342	5	1	25
4	1	49	17	2	289
5	5	186	1	1	1
4	6	132	8	6	64
2	3	45	12	5	144
1	4	274	15	3	225
4	8	332	8	3	64
2	6	247	14	6	196
4	3	4	16	1	256
2	3	348	10	7	100
1	2	221	11	5	121
4	1	41	20	2	400
0	2	183	7	5	49
0	3	350	11	6	121
2	8	359	14	5	196
0	2	91	19	3	361
0	2	27	3	1	9
0	4	49	3	4	9
3	1	283	11	5	121
4	8	203	2	1	4
1	5	39	9	5	81
4	4	4	4	2	16
2	1	42	19	5	361
1	9	235	4	5	16
2	7	194	6	2	36
2	1	260	6	4	36
1	9	43	17	1	289
4	2	134	16	4	256
4	10	351	7	3	49
5	7	206	17	6	289
4	9	278	8	6	64
3	7	240	9	6	81
1	3	150	10	1	100
1	2	359	14	2	196
3	10	22	1	1	1
2	8	106	2	5	4
1	10	84	8	1	64
3	10	120	5	3	25
3	3	26	15	4	225
5	2	37	12	3	144
3	7	244	1	4	1
2	10	8	17	6	289
2	9	19	18	4	324
1	3	42	6	5	36
4	9	374	4	5	16
1	2	91	9	6	81
0	9	196	2	3	4
4	8	4	16	1	256
4	1	150	18	1	324
2	2	187	19	7	361
3	8	127	18	7	324
2	2	143	1	3	1
5	1	232	5	5	25
4	2	73	13	7	169
5	5	122	14	5	196
1	4	142	10	5	100
2	9	24	18	5	324
2	9	394	13	3	169
1	9	67	11	5	121
0	7	95	15	1	225
3	6	63	9	5	81
3	1	265	2	5	4
5	8	185	13	7	169
3	9	66	9	1	81
4	5	64	2	6	4
0	1	116	18	2	324
3	1	248	9	3	81
3	7	360	0	7	0
5	1	194	18	5	324
3	4	165	17	2	289
3	7	180	12	5	144
3	1	394	7	3	49
5	6	329	10	4	100
0	8	247	0	2	0
3	4	249	3	3	9
1	4	326	11	5	121
3	6	201	10	5	100
0	4	203	5	3	25
2	1	251	11	6	121
2	2	75	9	6	81
2	10	348	11	1	121
1	2	208	19	6	361
1	9	398	0	2	0
1	6	208	2	7	4
2	8	255	14	3	196
2	4	342	7	5	49
5	8	321	12	4	144
4	7	129	20	3	400
5	9	231	15	7	225
4	9	47	18	2	324
5	5	73	8	1	64
3	2	229	4	6	16
1	7	98	6	5	36
4	10	219	8	4	64
0	1	227	15	1	225
0	10	92	5	6	25
2	4	375	4	7	16
4	6	182	3	6	9
5	4	151	14	2	196
4	7	176	7	7	49
5	10	145	13	6	169
2	6	283	14	5	196
4	5	354	2	3	4
0	2	321	10	1	100
1	3	211	10	3	100
3	8	129	16	3	256
4	7	50	11	7	121
3	10	122	14	7	196
5	8	170	4	6	16
3	1	94	5	2	25
5	5	168	14	4	196
3	1	322	16	3	256
1	6	49	9	6	81
2	10	253	17	1	289
4	10	36	11	1	121
2	9	51	13	6	169
5	7	266	10	7	100
3	6	213	6	6	36
1	7	238	3	2	9
2	6	87	0	4	0
1	7	189	10	3	100
2	10	277	19	4	361
3	3	395	12	1	144
1	2	38	0	3	0
1	7	260	17	2	289
3	1	398	12	1	144
0	1	238	2	7	4
1	10	284	0	5	0
5	10	256	13	5	169
1	9	322	9	2	81
5	5	138	20	1	400
0	3	110	12	4	144
4	4	397	3	7	9
3	10	348	9	2	81
0	2	54	9	4	81
3	6	219	10	5	100
5	9	223	12	1	144
4	3	70	9	5	81
5	3	270	15	5	225
4	6	10	5	6	25
5	6	184	13	7	169
1	3	8	18	5	324
5	10	187	18	7	324
3	6	53	18	4	324
1	6	3	4	2	16
4	6	338	18	2	324
5	7	59	5	6	25
5	2	198	5	3	25
1	1	377	15	6	225
4	10	63	10	2	100
3	9	364	20	4	400
3	5	284	19	5	361
4	6	14	17	5	289
5	8	122	11	3	121
5	4	193	9	7	81
4	10	56	5	5	25
3	4	352	3	5	9
5	2	384	4	5	16
4	2	284	3	4	9
4	2	299	11	1	121
2	9	69	9	3	81
3	3	161	3	2	9
2	10	384	3	5	9
3	2	205	14	6	196
5	2	129	11	7	121
5	2	282	11	7	121
1	1	174	4	7	16
3	2	393	1	5	1
0	5	306	10	1	100
4	3	360	7	2	49
2	9	150	6	1	36
2	10	320	1	3	1
3	10	18	20	6	400
3	1	155	10	1	100
1	3	92	12	7	144
4	1	48	2	6	4
2	10	228	19	3	361
3	4	378	1	1	1
5	3	346	19	5	361
1	2	260	12	4	144
0	3	140	1	1	1
5	9	140	18	7	324
2	5	136	11	1	121
1	4	298	14	2	196
0	8	281	16	1	256
1	2	169	9	5	81
4	10	223	8	7	64
5	7	358	17	2	289
5	1	255	4	2	16
5	9	397	17	1	289
0	8	294	17	2	289
1	8	364	4	1	16
1	7	189	11	6	121
3	9	64	14	6	196
4	1	105	0	6	0
3	2	279	15	7	225
0	1	335	9	7	81
0	3	38	10	6	100
0	10	328	2	3	4
0	9	382	3	2	9
2	2	261	6	5	36
