N1	N2	N3	X	N4	N5	Class
1	5	2504	19	1	3	6859
3	4	5601	1	6	1	1
1	7	7953	13	6	12	2197
0	10	5196	14	1	27	2744
1	4	4520	2	5	30	8
4	4	4967	20	3	28	8000
0	1	4734	9	2	3	729
4	6	5789	10	2	17	1000
2	8	3994	1	3	9	1
5	4	339	18	2	21	5832
0	1	3287	14	3	22	2744
4	5	4970	13	7	0	2197
3	5	4448	3	7	39	27
2	7	4771	4	6	35	64
5	1	5548	9	1	41	729
2	4	6088	6	3	43	216
5	4	4205	1	4	26	1
0	4	4089	11	6	38	1331
5	3	2569	0	7	20	0
3	3	2021	10	1	32	1000
1	3	7851	0	4	30	0
4	5	5466	14	1	2	2744
4	10	7247	19	1	38	6859
4	8	1658	17	1	2	4913
5	6	2447	5	4	30	125
4	8	446	4	6	18	64
0	6	620	20	4	32	8000
1	5	3492	9	5	34	729
4	4	1883	0	7	25	0
4	8	2970	17	3	27	4913
1	8	1064	15	5	50	3375
4	9	3008	11	2	44	1331
4	4	7058	17	3	25	4913
3	3	7167	12	3	25	1728
1	7	2414	7	5	11	343
3	6	1779	2	2	44	8
3	10	2987	10	6	17	1000
2	5	2374	19	4	9	6859
5	1	7234	17	3	4	4913
1	2	1853	14	5	9	2744
5	9	6111	4	5	42	64
1	1	7927	5	7	45	125
1	6	594	8	2	12	512
5	5	1454	3	3	3	27
1	1	3055	9	4	32	729
5	9	7861	9	3	30	729
1	2	2927	3	3	42	27
1	7	2401	18	7	31	5832
1	8	4692	14	1	2	2744
2	2	592	16	3	35	4096
2	9	3628	16	1	43	4096
3	6	4563	10	7	8	1000
2	9	791	0	5	48	0
5	5	1266	7	4	46	343
1	4	781	3	6	20	27
0	2	72	9	1	48	729
0	7	3973	19	1	24	6859
4	2	821	10	1	41	1000
4	10	2131	20	2	2	8000
2	8	3337	2	1	35	8
5	3	4074	17	3	24	4913
1	9	3873	6	3	14	216
2	2	2177	12	3	37	1728
1	8	3804	18	4	32	5832
0	3	6181	1	3	12	1
2	9	1828	12	1	21	1728
0	5	3561	20	5	36	8000
1	1	2960	1	5	19	1
5	3	540	5	3	13	125
1	7	5678	19	1	22	6859
0	1	79	0	1	14	0
3	6	3818	19	6	33	6859
5	6	7585	10	1	3	1000
3	9	7378	10	1	25	1000
3	8	1261	2	7	37	8
2	1	4443	4	4	19	64
3	1	905	20	1	28	8000
3	4	1024	6	7	8	216
2	6	948	12	6	30	1728
5	9	6743	12	3	5	1728
2	9	1353	3	5	5	27
4	1	7971	17	4	19	4913
1	4	5459	20	4	49	8000
2	3	5803	17	2	28	4913
3	6	2201	9	2	26	729
4	1	909	8	6	30	512
3	7	4247	16	2	10	4096
2	6	7588	12	3	29	1728
0	10	4471	19	2	29	6859
4	6	1029	6	7	0	216
5	3	7650	15	2	43	3375
3	9	7715	2	6	49	8
0	2	7154	14	7	25	2744
5	3	2610	20	4	37	8000
2	2	1898	18	4	9	5832
5	2	2455	3	6	15	27
5	10	4300	7	4	26	343
5	3	5353	13	4	13	2197
0	7	783	14	4	1	2744
4	3	1990	18	7	25	5832
4	4	5771	9	5	36	729
0	4	2629	7	4	25	343
2	10	5414	16	4	41	4096
2	9	5409	16	4	19	4096
4	8	6395	5	3	4	125
2	10	6483	19	2	16	6859
1	4	1047	8	5	27	512
5	6	2153	3	7	35	27
4	7	7455	13	7	35	2197
5	8	263	16	3	38	4096
3	9	6362	15	7	10	3375
5	4	1574	9	2	45	729
4	1	6810	14	2	1	2744
2	10	4938	19	1	30	6859
1	8	4343	16	2	42	4096
4	9	1127	4	3	6	64
5	1	4197	17	6	7	4913
2	6	3616	17	2	14	4913
2	7	7233	17	4	22	4913
4	8	668	12	1	47	1728
3	4	109	10	3	29	1000
2	1	3576	17	5	12	4913
5	5	7298	2	6	15	8
0	3	1397	17	7	11	4913
4	5	3492	18	5	40	5832
2	3	7672	14	6	8	2744
0	9	900	11	3	41	1331
0	10	771	8	6	47	512
3	1	1380	17	6	48	4913
0	6	7906	12	2	1	1728
1	6	1381	17	3	11	4913
2	5	2432	6	4	14	216
5	3	713	6	3	9	216
1	4	1673	15	3	5	3375
3	6	6945	4	1	18	64
3	5	1099	20	1	1	8000
2	7	1730	12	6	22	1728
1	5	4738	16	7	40	4096
2	8	289	9	7	14	729
0	4	5393	9	7	42	729
1	10	5838	4	7	34	64
1	9	5720	16	6	31	4096
3	1	4298	8	7	50	512
0	3	4693	19	2	44	6859
3	7	2574	19	4	38	6859
4	7	3422	8	1	39	512
4	7	998	16	5	48	4096
1	5	5827	20	5	14	8000
0	4	6171	15	3	48	3375
4	6	1847	8	2	30	512
5	3	72	6	1	43	216
0	5	7443	14	4	38	2744
5	5	1020	4	2	7	64
1	6	151	18	6	38	5832
3	3	3019	19	7	12	6859
2	9	1710	18	5	19	5832
3	10	4132	5	1	48	125
3	4	4402	4	6	43	64
1	7	2249	19	4	12	6859
4	8	1018	5	5	31	125
0	3	7037	2	4	45	8
0	4	186	14	2	7	2744
5	10	5563	12	4	39	1728
1	3	7173	6	6	3	216
4	8	4273	12	7	32	1728
2	3	7629	6	6	50	216
3	1	2944	10	3	46	1000
4	10	6078	20	3	14	8000
2	9	540	17	4	21	4913
4	4	4915	14	2	7	2744
4	3	1906	14	2	35	2744
2	1	2417	18	2	4	5832
1	8	6671	6	2	30	216
3	6	3088	13	6	8	2197
5	2	3661	0	3	8	0
1	10	2790	12	4	46	1728
0	9	623	16	1	15	4096
1	6	1869	20	1	6	8000
2	5	1618	18	1	39	5832
1	7	199	10	1	48	1000
5	5	7310	16	3	22	4096
1	3	6286	17	1	26	4913
1	6	7705	14	1	6	2744
5	10	1661	5	7	33	125
2	3	1665	10	6	46	1000
3	2	5249	3	1	31	27
5	7	2324	15	7	13	3375
