N1	N2	N3	X1	N4	X2	Class
1	2	6	6	6	6	36
3	9	1	6	6	14	84
0	3	2	13	3	1	13
0	1	3	16	7	5	80
5	3	3	3	3	10	30
1	7	4	7	7	1	7
0	6	4	0	2	6	0
2	1	1	13	7	13	169
1	2	5	19	2	5	95
0	8	2	4	4	0	0
3	8	1	13	7	0	0
5	4	8	6	2	14	84
3	8	4	14	3	8	112
3	6	8	7	6	2	14
0	4	5	0	5	10	0
4	2	8	10	7	8	80
2	10	10	19	3	15	285
2	9	3	4	7	0	0
0	8	3	3	1	2	6
2	3	0	4	4	14	56
2	7	7	19	2	1	19
3	10	10	17	6	7	119
5	1	0	5	2	0	0
4	3	1	2	1	13	26
0	10	4	16	2	9	144
0	7	1	10	5	12	120
2	4	4	11	5	8	88
4	9	10	10	1	14	140
1	9	4	19	1	13	247
2	7	2	19	4	5	95
5	9	1	9	3	13	117
2	9	0	7	2	10	70
3	7	9	16	2	7	112
4	2	3	17	4	7	119
3	6	3	13	1	14	182
1	10	10	3	6	4	12
3	1	6	20	3	0	0
4	4	9	15	2	0	0
1	7	9	18	5	12	216
5	3	3	0	2	8	0
3	5	7	5	7	7	35
2	1	6	14	1	1	14
1	9	4	14	7	7	98
3	7	3	17	2	9	153
2	1	10	12	7	12	144
1	2	8	16	6	11	176
4	9	1	8	4	0	0
2	7	5	0	4	5	0
1	6	3	12	7	12	144
3	9	8	13	5	0	0
0	10	9	7	7	14	98
0	9	5	19	6	15	285
1	7	10	20	2	7	140
4	6	8	6	3	5	30
5	9	3	17	6	0	0
4	6	4	9	4	7	63
4	9	7	6	7	9	54
5	4	7	17	1	2	34
5	4	4	10	3	10	100
1	1	4	0	2	2	0
5	8	8	15	2	2	30
0	5	4	20	5	8	160
1	5	7	0	1	6	0
3	6	10	16	1	1	16
2	1	6	14	5	9	126
5	5	8	0	3	5	0
1	4	5	10	3	6	60
4	8	5	13	2	9	117
4	3	6	15	7	9	135
2	4	5	13	2	8	104
0	8	2	16	7	13	208
3	8	5	5	7	6	30
5	9	4	8	4	6	48
0	3	2	10	3	1	10
3	4	4	4	2	0	0
5	8	4	10	5	13	130
3	9	0	10	3	4	40
0	5	8	1	3	7	7
4	8	10	8	1	10	80
5	6	9	3	3	7	21
3	7	3	16	4	12	192
0	1	0	12	4	1	12
3	1	10	14	5	2	28
2	1	0	3	6	12	36
3	2	3	15	4	8	120
0	10	8	8	3	2	16
1	1	7	13	7	9	117
0	3	6	3	6	6	18
3	2	7	14	7	5	70
5	2	7	20	2	8	160
2	6	6	14	3	13	182
2	10	6	2	5	0	0
3	6	5	6	2	15	90
2	1	10	12	2	14	168
5	10	0	0	2	14	0
3	3	9	12	7	11	132
4	9	2	17	7	12	204
0	9	4	2	1	12	24
5	10	4	19	6	15	285
0	1	5	18	3	0	0
5	10	6	7	3	0	0
0	9	8	11	4	14	154
1	9	10	2	1	7	14
3	7	2	5	6	0	0
5	2	3	20	5	10	200
3	2	5	9	5	4	36
5	7	0	20	4	12	240
2	4	7	6	5	1	6
0	8	5	7	2	0	0
2	10	9	8	1	0	0
0	7	1	4	3	0	0
5	2	6	12	2	15	180
1	7	9	8	4	14	112
3	5	1	11	3	7	77
4	5	4	13	5	3	39
1	4	0	18	7	11	198
3	7	5	17	3	13	221
0	10	4	10	5	13	130
4	3	1	11	3	5	55
5	4	1	1	2	11	11
1	8	4	15	1	13	195
0	6	1	20	4	4	80
2	9	6	14	3	4	56
3	9	6	10	3	12	120
4	4	10	0	2	1	0
2	2	9	20	7	9	180
1	9	9	10	2	7	70
5	5	0	20	5	2	40
5	2	2	9	6	15	135
0	8	10	17	2	14	238
0	10	9	19	5	2	38
0	9	8	2	7	15	30
0	1	6	14	7	9	126
3	8	0	7	5	1	7
0	9	7	6	7	6	36
0	4	6	15	6	5	75
5	9	3	16	1	4	64
3	2	6	12	1	2	24
0	3	9	1	1	10	10
5	8	7	7	4	7	49
4	6	5	19	1	3	57
2	1	4	7	7	0	0
3	7	6	5	7	0	0
3	7	7	8	1	4	32
4	7	10	11	6	5	55
5	10	5	2	7	5	10
0	3	0	20	2	15	300
3	4	6	12	7	3	36
2	6	3	20	5	10	200
1	3	2	1	4	2	2
3	4	1	5	6	14	70
0	8	10	7	3	11	77
0	2	2	11	6	4	44
5	5	9	2	4	4	8
5	3	7	11	6	13	143
2	9	0	15	6	13	195
4	9	9	17	5	4	68
4	6	4	2	5	0	0
2	10	6	15	5	3	45
4	6	3	20	5	12	240
4	3	3	4	2	0	0
2	4	3	12	3	12	144
4	3	2	13	4	11	143
5	5	2	20	4	8	160
0	1	8	5	7	8	40
4	7	7	7	6	5	35
0	7	7	1	2	10	10
0	4	2	0	1	2	0
0	9	5	17	6	3	51
2	5	6	15	2	6	90
1	7	2	3	1	3	9
3	10	7	7	3	1	7
2	6	2	8	3	8	64
5	3	2	20	6	13	260
0	4	1	8	6	10	80
0	8	9	19	5	10	190
0	10	7	19	4	4	76
4	1	6	5	5	6	30
0	6	6	8	6	8	64
2	10	1	19	6	8	152
4	6	7	1	6	10	10
3	9	10	14	2	12	168
0	1	1	15	3	10	150
4	5	10	19	4	13	247
0	9	1	1	2	11	11
3	10	8	18	6	15	270
4	9	8	18	2	0	0
1	5	8	6	5	1	6
0	5	1	13	4	0	0
1	6	9	1	1	1	1
2	7	6	19	4	9	171
4	8	0	4	1	11	44
0	3	10	1	3	2	2
1	5	10	8	5	5	40
3	2	1	11	2	11	121
5	2	2	16	2	1	16
2	2	6	16	5	12	192
1	3	0	5	5	3	15
3	2	3	9	7	11	99
4	3	0	15	5	5	75
1	6	5	16	3	10	160
0	9	3	8	5	9	72
3	4	5	19	4	4	76
1	1	8	6	1	2	12
3	5	5	11	4	7	77
0	1	2	8	7	2	16
4	10	2	19	2	15	285
4	6	1	14	6	10	140
2	6	2	6	7	0	0
2	2	5	2	5	9	18
5	2	7	8	6	14	112
0	6	5	6	7	0	0
2	2	7	1	4	6	6
0	2	6	3	6	2	6
5	5	10	4	6	1	4
0	6	7	19	5	14	266
0	4	8	3	6	15	45
5	6	0	12	4	10	120
5	6	0	10	3	10	100
3	1	4	6	2	14	84
1	6	1	10	3	5	50
4	2	9	12	7	11	132
3	10	1	4	7	1	4
5	8	1	16	4	12	192
3	5	6	13	6	0	0
1	5	1	3	6	2	6
1	7	9	19	7	9	171
1	1	9	5	2	15	75
5	8	1	11	1	4	44
3	3	1	9	6	0	0
3	1	9	4	4	15	60
0	7	7	16	1	1	16
4	2	10	19	7	7	133
0	6	5	3	6	3	9
2	8	0	0	1	14	0
4	7	4	11	4	8	88
4	7	2	0	6	13	0
0	7	5	14	5	4	56
1	6	10	12	6	10	120
0	7	0	14	2	5	70
1	4	1	4	2	4	16
5	2	0	8	1	8	64
3	8	10	15	3	6	90
1	8	7	3	2	13	39
0	10	10	5	7	14	70
5	10	7	10	7	8	80
4	4	2	9	7	15	135
1	4	7	11	4	11	121
5	4	8	11	7	3	33
2	7	5	19	4	2	38
3	10	9	13	1	7	91
4	7	10	8	5	13	104
4	8	5	0	3	9	0
5	5	0	5	4	6	30
0	8	8	4	7	10	40
0	1	8	13	3	2	26
3	6	7	5	7	11	55
3	6	2	4	6	13	52
3	3	1	8	5	0	0
2	8	2	11	3	4	44
0	5	0	20	7	10	200
3	7	3	20	4	3	60
1	3	7	7	7	9	63
4	10	4	3	5	4	12
2	3	9	10	4	0	0
3	8	7	1	1	10	10
0	2	7	0	2	6	0
2	3	5	10	6	12	120
0	7	4	10	3	2	20
0	9	9	1	4	1	1
0	5	6	9	6	15	135
2	8	2	7	7	3	21
4	8	0	1	3	0	0
2	8	1	13	3	4	52
2	1	0	14	5	7	98
4	9	9	19	6	10	190
0	4	8	5	6	9	45
5	8	5	12	6	7	84
5	4	8	6	6	12	72
3	4	8	6	1	8	48
2	7	8	10	1	14	140
2	3	2	5	4	13	65
3	7	6	6	2	15	90
3	5	2	7	7	10	70
3	2	5	7	2	14	98
2	2	6	1	1	6	6
2	5	8	5	7	8	40
2	2	8	2	6	2	4
5	2	1	1	4	0	0
4	9	7	2	6	14	28
3	5	1	17	7	8	136
3	8	9	7	4	13	91
3	5	8	15	4	2	30
4	8	7	16	2	7	112
2	1	2	18	6	1	18
0	8	9	4	3	13	52
1	3	0	2	2	14	28
3	7	9	11	3	15	165
0	2	10	3	4	12	36
3	3	6	7	3	2	14
5	6	6	8	5	14	112
3	2	8	4	6	7	28
5	10	2	5	3	1	5
1	9	4	2	1	4	8
0	6	10	0	1	0	0
5	9	4	20	4	9	180
4	7	7	2	7	10	20
4	10	5	20	2	12	240
5	3	3	8	7	11	88
0	7	10	2	4	4	8
5	10	10	19	1	8	152
5	7	1	18	1	3	54
4	10	5	10	1	13	130
3	5	3	1	7	3	3
2	1	0	11	1	14	154
0	9	9	11	2	9	99
2	3	3	20	2	7	140
1	2	10	5	6	3	15
3	5	8	1	5	2	2
2	6	7	15	2	13	195
5	8	6	1	6	10	10
5	2	7	13	3	0	0
4	1	5	1	1	13	13
4	3	5	11	4	6	66
0	3	2	0	1	3	0
5	10	7	0	3	7	0
3	3	3	0	3	15	0
2	1	0	0	1	1	0
4	2	10	10	7	2	20
2	6	9	6	1	5	30
5	2	9	4	5	6	24
1	6	0	18	5	3	54
3	3	7	11	2	0	0
1	1	10	10	6	9	90
0	2	3	8	4	10	80
4	7	8	9	3	15	135
3	10	9	20	3	6	120
2	7	10	11	3	3	33
3	3	7	19	4	11	209
5	6	4	2	7	8	16
4	10	2	14	6	15	210
5	6	10	3	3	6	18
5	9	9	20	3	0	0
5	9	4	11	6	11	121
5	5	7	5	1	6	30
2	1	9	17	1	10	170
1	6	7	10	1	1	10
2	6	8	6	1	5	30
5	4	6	17	3	4	68
1	4	3	4	7	11	44
4	9	5	12	6	5	60
3	3	4	8	1	11	88
3	3	9	3	3	6	18
0	1	8	7	4	5	35
5	6	2	14	4	9	126
1	6	5	11	1	4	44
0	6	10	15	7	12	180
3	4	9	1	2	12	12
5	8	3	15	7	13	195
0	8	6	15	5	8	120
5	4	9	15	2	11	165
1	5	5	5	7	4	20
1	1	9	7	6	12	84
4	10	2	4	4	5	20
1	5	5	1	6	12	12
2	2	7	19	7	4	76
1	5	1	10	3	9	90
2	5	9	2	1	1	2
4	4	2	2	5	6	12
2	8	5	9	5	1	9
5	7	1	6	7	6	36
0	4	5	6	4	7	42
3	8	10	8	5	15	120
5	10	10	12	5	12	144
1	8	2	13	3	6	78
0	3	6	2	1	13	26
4	10	9	19	4	12	228
3	1	10	7	3	2	14
3	3	6	14	1	15	210
1	1	3	9	5	1	9
4	5	6	14	7	3	42
4	8	1	14	7	7	98
5	1	7	8	4	11	88
5	3	5	4	5	14	56
2	5	4	7	2	3	21
0	3	6	15	4	4	60
2	7	7	5	1	10	50
3	8	0	19	1	10	190
0	6	4	6	6	13	78
0	3	0	1	2	2	2
1	4	4	4	4	7	28
0	2	5	3	3	7	21
5	1	8	18	1	4	72
2	9	9	20	7	0	0
1	2	10	16	1	1	16
4	2	8	8	6	6	48
3	2	2	9	7	6	54
5	10	10	16	4	3	48
5	5	9	13	1	12	156
3	7	2	17	2	4	68
0	2	1	2	1	10	20
4	3	2	16	3	13	208
3	8	1	3	3	10	30
0	5	1	5	5	0	0
5	10	8	6	5	6	36
3	6	4	3	5	3	9
4	4	2	7	4	11	77
5	1	5	6	6	4	24
0	5	10	16	6	15	240
5	8	4	2	7	10	20
3	1	9	16	7	15	240
3	1	3	7	5	11	77
0	5	9	10	6	1	10
4	1	0	12	1	5	60
2	3	7	15	1	5	75
4	10	5	4	4	0	0
2	6	10	18	4	8	144
0	10	7	1	3	11	11
2	4	2	17	3	6	102
0	9	2	13	4	14	182
5	8	0	3	4	0	0
5	3	2	12	7	9	108
2	7	4	1	1	13	13
5	1	3	8	2	6	48
3	3	1	19	5	7	133
0	5	4	2	7	12	24
2	8	7	17	2	10	170
2	10	2	7	1	7	49
0	1	8	8	3	13	104
2	9	9	14	7	10	140
2	7	9	9	1	4	36
2	6	4	10	7	13	130
2	10	4	13	6	13	169
2	3	10	1	4	8	8
0	10	5	4	4	10	40
0	5	3	1	1	4	4
0	3	3	9	4	9	81
0	1	8	8	2	1	8
5	1	6	17	1	8	136
5	8	6	14	4	4	56
5	3	2	15	4	8	120
4	7	3	16	3	4	64
4	1	4	12	2	11	132
2	5	1	5	5	13	65
0	5	8	2	7	15	30
0	5	6	7	3	14	98
1	9	0	2	1	3	6
3	5	6	2	3	4	8
2	6	8	11	4	3	33
3	8	0	4	2	13	52
5	9	5	3	4	5	15
5	8	10	4	7	15	60
0	5	8	2	4	11	22
3	5	10	5	7	12	60
1	8	6	0	3	10	0
0	8	6	12	2	9	108
1	9	3	14	5	5	70
1	10	1	6	1	11	66
4	6	2	15	3	15	225
3	5	9	18	6	13	234
2	9	8	11	4	5	55
0	3	6	11	6	0	0
1	2	2	3	5	3	9
2	5	3	3	5	14	42
5	7	4	16	5	3	48
0	2	2	13	5	1	13
2	10	2	1	6	6	6
1	5	5	20	4	7	140
2	7	2	18	2	12	216
0	8	3	0	2	13	0
5	6	2	1	4	10	10
3	6	7	20	6	4	80
1	5	3	11	6	10	110
1	10	8	19	3	1	19
1	10	9	6	4	12	72
4	5	4	15	2	11	165
0	9	1	4	2	2	8
2	7	9	18	5	10	180
5	5	0	0	5	5	0
4	8	0	6	4	9	54
2	10	0	7	5	11	77
0	2	2	16	5	9	144
3	5	0	20	6	6	120
5	1	5	12	6	12	144
3	5	3	4	6	12	48
0	9	2	18	1	11	198
0	6	7	4	3	0	0
5	3	3	2	7	2	4
1	5	6	4	3	11	44
0	10	2	19	3	8	152
4	1	2	1	5	9	9
2	2	2	4	5	5	20
4	8	2	11	2	5	55
4	5	5	17	5	15	255
3	2	8	16	6	7	112
0	8	2	6	4	9	54
1	6	10	10	3	1	10
0	10	0	1	7	4	4
4	7	6	10	5	7	70
1	1	7	16	6	6	96
2	8	0	9	1	11	99
1	6	6	11	4	14	154
0	1	7	8	3	10	80
3	9	4	6	2	8	48
4	5	2	13	4	12	156
0	2	8	17	6	0	0
3	3	1	1	6	13	13
2	6	1	10	3	9	90
0	5	1	1	3	7	7
5	2	6	5	6	8	40
1	7	5	1	4	0	0
4	7	1	20	3	11	220
0	6	8	8	4	15	120
5	8	0	3	7	5	15
2	2	2	1	1	12	12
1	9	5	9	6	11	99
0	4	1	19	2	2	38
4	2	0	8	4	11	88
1	9	9	10	4	0	0
2	6	7	17	3	9	153
0	3	10	17	3	2	34
4	5	2	8	6	8	64
5	7	9	10	5	15	150
5	7	10	11	3	2	22
4	10	6	20	1	6	120
0	9	7	12	2	10	120
1	8	3	9	6	4	36
0	10	4	16	4	14	224
5	7	2	3	2	14	42
5	3	4	6	7	1	6
2	8	0	13	6	13	169
3	2	4	13	6	0	0
2	8	10	10	6	14	140
2	4	2	0	2	11	0
5	8	2	9	1	13	117
2	6	0	10	7	2	20
3	1	8	12	2	9	108
4	2	4	17	6	14	238
4	7	7	11	6	11	121
2	4	9	7	4	14	98
4	5	5	4	2	1	4
4	8	3	15	5	4	60
1	6	6	6	1	9	54
0	10	9	5	3	12	60
1	10	7	7	6	4	28
3	2	6	2	7	11	22
5	6	10	13	3	9	117
1	4	6	2	2	8	16
5	6	3	10	7	7	70
1	4	8	12	7	12	144
1	7	4	3	5	15	45
1	2	0	13	2	5	65
1	4	9	8	2	2	16
4	9	9	7	7	13	91
4	7	6	6	1	9	54
2	9	6	11	1	4	44
2	10	2	9	5	12	108
1	7	10	12	7	3	36
3	4	3	11	3	7	77
2	2	5	6	5	7	42
3	8	4	4	2	13	52
4	7	9	8	5	12	96
0	8	4	8	5	0	0
3	4	6	10	5	6	60
4	6	0	8	7	2	16
1	6	7	3	6	6	18
0	4	8	4	7	13	52
4	4	6	11	4	1	11
