N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	X1	X2	Class
0.049	513.77	2.67	46	63.3	4.122389246	0.8609	4.687	44	0.577	4.084873479	4.37	88.0	384.69
0.998	690.51	3.90	39	53.7	2.186714761	8.0550	4.982	30	0.096	4.316553589	0.91	29.0	26.32
0.269	645.18	1.85	57	29.3	4.943519537	0.2606	3.743	5	3.220	4.785602987	0.29	152.0	43.92
0.686	225.52	3.90	83	168.6	2.31853862	2.4085	1.182	9	3.267	1.024434999	3.02	11.0	33.24
0.899	154.33	0.50	70	6.4	4.333608599	8.9313	3.063	37	2.264	2.77700581	0.78	141.0	109.71
0.390	675.68	2.43	75	175.0	0.46046074	6.7994	1.989	13	3.658	4.194369812	2.30	186.0	428.59
0.502	328.24	3.95	23	26.8	2.536886807	7.5649	3.640	43	1.615	3.140004465	4.81	123.0	591.42
0.961	407.17	0.70	35	174.8	2.020664962	2.7481	1.832	50	1.621	4.720803822	0.51	110.0	56.16
0.375	391.68	4.62	90	142.0	4.003686416	7.3442	4.676	9	3.577	4.249058122	4.04	72.0	291.01
0.384	272.89	1.84	36	140.8	3.905228761	1.1562	0.922	23	1.571	0.639289394	1.21	178.0	214.82
0.677	723.17	1.58	43	195.8	1.887628859	0.9309	4.811	34	1.918	1.718145366	3.73	141.0	525.34
0.874	51.51	3.80	85	52.4	2.867791891	8.1509	1.809	44	2.098	0.833490665	3.23	73.0	235.50
0.978	524.74	1.76	49	166.8	2.048185113	3.5458	3.649	50	3.962	3.537221445	2.56	14.0	35.91
0.881	65.96	0.77	54	69.7	3.839025775	2.4864	2.443	11	2.425	4.542144164	4.61	66.0	304.29
0.586	657.35	2.01	1	66.3	0.188296814	1.6212	3.021	34	3.896	1.437004004	1.89	72.0	136.33
0.746	34.57	2.32	12	140.8	1.247931501	7.5649	1.533	50	0.172	2.132918307	2.57	148.0	380.64
0.656	572.45	2.63	30	59.2	0.978285874	8.4171	4.565	5	0.562	3.24536057	2.85	82.0	233.70
0.015	415.76	4.72	2	9.0	4.639392082	4.4772	3.010	34	0.989	3.84406449	1.09	22.0	24.01
0.925	577.88	1.27	48	36.0	0.167726525	1.2149	4.289	17	1.503	4.356717427	2.46	80.0	197.04
0.145	485.84	0.58	27	140.0	2.104741837	6.7699	3.958	27	1.867	3.289117158	4.66	73.0	340.08
