N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	X1	X2	Class
0.118	228.43	1.09	67	56.3	2.963103157	8.0432	4.148	46	0.888	0.641228051	70.36	207.0	277.36
0.622	416.49	3.51	53	167.9	3.242812165	0.8974	1.924	17	3.146	3.934289955	67.90	264.0	331.90
0.326	204.93	1.38	40	197.9	4.85353697	5.6083	0.902	49	0.975	1.504282143	68.55	217.0	285.55
0.931	365.98	1.40	66	19.8	4.30970544	9.8997	4.035	21	1.085	2.422478058	60.97	344.0	404.97
0.889	120.43	4.36	72	6.1	2.547308856	0.5016	0.097	10	1.085	4.584274524	23.33	77.0	100.33
0.553	570.20	3.42	54	147.9	0.832785344	0.2615	2.459	27	2.405	0.877414183	93.70	435.0	528.70
0.032	482.97	4.63	64	89.6	3.839350231	5.6344	2.296	13	1.865	4.624365419	39.39	70.0	109.39
0.043	93.80	4.53	7	59.4	2.422876702	5.7820	0.960	20	3.472	0.4273341	25.07	125.0	150.07
0.974	1.65	3.21	6	7.8	4.586752571	8.8801	0.813	17	2.545	4.880905401	77.24	450.0	527.24
0.928	701.18	4.24	94	31.8	2.821569325	2.3506	1.492	39	0.299	2.576011824	43.52	417.0	460.52
0.929	329.30	1.27	59	43.9	3.464680425	9.9613	2.608	6	1.412	3.957196525	10.23	182.0	192.23
0.207	300.07	4.87	27	117.4	3.131901761	4.5705	0.193	43	1.464	2.07726282	60.09	487.0	547.09
0.871	752.45	0.31	51	29.3	2.722068537	3.6766	1.893	16	3.584	4.54357996	37.23	468.0	505.23
0.228	644.21	3.42	4	93.0	4.967019918	7.5238	0.399	25	0.058	1.513129259	62.40	166.0	228.40
0.401	320.84	3.16	38	28.2	2.717801211	0.4768	4.057	7	4.035	3.983792523	21.83	148.0	169.83
0.333	567.02	2.35	93	38.3	4.695385422	1.1931	1.830	14	4.343	2.558728282	31.76	402.0	433.76
0.621	238.15	3.85	90	97.2	1.137576479	7.3739	2.224	39	4.357	0.887773789	23.95	202.0	225.95
0.651	470.87	2.41	2	16.2	1.361477715	4.9544	1.960	38	4.392	1.921652865	25.13	209.0	234.13
0.002	122.70	0.79	31	34.4	1.110289801	4.9034	4.176	32	4.873	4.299536406	94.62	329.0	423.62
0.792	16.84	0.20	94	148.8	2.171271507	8.1517	0.039	48	4.171	2.445573837	3.52	12.0	15.52
0.699	26.09	3.82	98	194.6	3.788042834	9.5599	0.460	31	2.865	1.820237305	33.97	431.0	464.97
0.299	479.31	3.32	65	116.8	1.29276183	5.7417	1.076	22	4.382	0.324734631	24.64	95.0	119.64
0.821	188.08	4.85	56	138.4	3.300714902	2.8441	4.112	29	2.589	2.308919856	21.17	459.0	480.17
0.543	494.35	3.45	98	199.4	3.951095972	4.0705	3.226	42	3.643	4.781294812	23.64	294.0	317.64
0.739	601.42	2.14	19	41.8	4.655977683	7.5176	1.831	24	3.861	1.259626858	97.58	19.0	116.58
0.570	531.03	3.47	37	138.0	0.837602155	2.8405	0.742	20	3.055	1.677602732	91.10	146.0	237.10
0.147	454.98	2.52	29	45.4	0.03969003	6.5069	2.707	21	1.765	1.756715139	37.61	248.0	285.61
