N1	N2	N3	X1	N4	X2	Class
1	4	80	10	10	6	9.33
0	0	53	10	7	18	21.33
3	4	71	13	12	13	17.33
3	7	58	20	8	10	16.67
2	4	66	17	8	1	6.67
0	10	42	18	5	14	20.00
1	3	78	10	6	13	16.33
1	1	76	20	17	19	25.67
3	2	11	11	20	14	17.67
1	9	41	10	16	7	10.33
0	3	53	18	5	5	11.00
0	7	75	11	18	4	7.67
1	7	13	16	16	19	24.33
2	1	59	11	16	5	8.67
0	7	43	16	15	5	10.33
0	2	11	20	5	13	19.67
0	4	77	20	13	7	13.67
3	2	44	11	11	0	3.67
2	3	27	18	8	16	22.00
1	6	30	10	13	1	4.33
2	9	35	16	12	20	25.33
1	5	36	15	10	3	8.00
3	1	11	12	17	3	7.00
0	8	79	14	11	6	10.67
0	8	66	18	14	5	11.00
2	1	58	19	8	4	10.33
3	0	52	18	18	4	10.00
2	2	47	13	15	3	7.33
2	7	32	14	19	1	5.67
1	4	29	20	20	9	15.67
0	4	42	12	13	8	12.00
2	3	51	17	7	0	5.67
1	3	69	19	19	6	12.33
1	7	56	17	16	3	8.67
3	4	79	20	18	7	13.67
3	7	53	11	20	18	21.67
3	7	68	14	7	13	17.67
3	2	45	17	18	10	15.67
2	0	71	13	16	18	22.33
2	9	36	17	16	13	18.67
0	8	72	15	14	2	7.00
2	10	25	13	16	6	10.33
0	9	20	10	11	14	17.33
1	4	42	19	14	11	17.33
2	1	47	15	15	19	24.00
3	1	19	11	10	14	17.67
1	6	58	10	14	6	9.33
0	5	49	19	16	7	13.33
1	9	49	13	13	9	13.33
3	3	31	18	19	1	7.00
3	7	42	15	19	15	20.00
0	4	52	18	11	16	22.00
1	0	47	15	12	20	25.00
0	1	56	10	18	0	3.33
1	2	61	16	14	6	11.33
2	3	33	10	6	11	14.33
1	6	15	13	6	3	7.33
3	0	51	17	7	6	11.67
2	0	46	11	10	1	4.67
2	4	74	10	20	10	13.33
2	4	42	11	19	0	3.67
3	6	39	18	7	6	12.00
0	1	79	17	18	10	15.67
0	5	41	16	9	18	23.33
0	4	65	16	18	15	20.33
1	8	26	10	14	16	19.33
3	8	22	17	7	13	18.67
0	1	52	16	5	7	12.33
1	2	47	10	11	16	19.33
3	6	38	20	6	8	14.67
0	2	16	10	20	18	21.33
0	8	19	12	19	0	4.00
3	8	56	16	19	10	15.33
0	2	37	16	19	7	12.33
2	9	16	12	7	15	19.00
3	1	47	18	15	12	18.00
2	4	17	10	16	4	7.33
2	6	79	19	13	20	26.33
1	6	23	10	14	5	8.33
1	6	10	10	13	10	13.33
3	2	18	10	6	14	17.33
0	3	72	11	17	8	11.67
0	3	18	13	6	17	21.33
2	3	26	18	13	18	24.00
3	4	62	15	11	11	16.00
0	10	57	16	8	19	24.33
2	5	25	11	20	18	21.67
3	8	45	19	11	18	24.33
1	6	10	16	8	20	25.33
0	7	43	19	20	11	17.33
1	1	71	14	11	14	18.67
0	1	49	11	15	17	20.67
2	6	36	15	16	10	15.00
3	2	59	18	13	4	10.00
3	10	65	15	7	13	18.00
1	5	36	16	19	0	5.33
3	8	66	12	14	13	17.00
1	7	71	19	11	14	20.33
3	5	40	18	11	6	12.00
1	8	24	19	20	18	24.33
0	10	70	18	12	4	10.00
3	5	44	15	18	4	9.00
1	2	42	14	12	10	14.67
0	1	79	11	17	11	14.67
2	7	66	18	11	13	19.00
3	9	68	13	20	20	24.33
3	0	18	18	9	9	15.00
2	0	15	19	6	18	24.33
0	5	57	11	14	16	19.67
0	1	30	20	11	14	20.67
3	9	79	17	10	6	11.67
1	5	51	18	11	20	26.00
1	1	50	19	19	15	21.33
1	4	12	11	14	3	6.67
2	3	57	14	16	2	6.67
0	8	72	12	9	16	20.00
3	3	34	15	11	20	25.00
3	7	73	16	19	9	14.33
1	9	26	20	7	3	9.67
0	0	46	20	17	20	26.67
3	8	28	12	7	9	13.00
1	7	58	20	20	20	26.67
0	6	67	18	12	10	16.00
3	6	70	17	19	3	8.67
2	7	67	11	8	2	5.67
3	9	59	16	7	1	6.33
3	4	59	16	15	20	25.33
2	4	47	12	16	5	9.00
3	7	79	15	15	14	19.00
1	3	70	14	12	8	12.67
2	2	65	10	13	3	6.33
2	9	51	14	20	17	21.67
3	7	64	20	19	0	6.67
0	1	27	11	8	9	12.67
2	5	17	20	13	19	25.67
2	10	32	16	13	8	13.33
3	8	72	15	13	19	24.00
0	5	18	17	11	0	5.67
2	2	21	18	13	9	15.00
3	5	40	16	6	17	22.33
3	10	13	11	18	10	13.67
1	10	12	20	14	7	13.67
1	8	45	12	20	9	13.00
0	10	65	12	6	16	20.00
1	0	15	15	17	8	13.00
2	0	44	20	6	16	22.67
2	6	68	14	14	20	24.67
3	5	22	13	13	8	12.33
0	6	67	10	8	13	16.33
1	9	17	19	18	18	24.33
1	9	48	11	19	19	22.67
0	2	50	15	12	12	17.00
0	8	72	10	5	13	16.33
2	7	34	13	14	11	15.33
0	6	17	15	17	14	19.00
2	7	64	11	10	5	8.67
2	3	50	10	15	19	22.33
2	10	38	20	10	19	25.67
0	1	31	17	8	20	25.67
1	6	24	15	6	8	13.00
3	8	24	20	18	2	8.67
0	7	38	15	12	4	9.00
2	5	15	10	16	2	5.33
1	0	74	20	20	5	11.67
2	5	26	15	12	20	25.00
3	4	29	20	10	5	11.67
2	8	49	20	17	0	6.67
1	1	23	16	11	7	12.33
0	2	44	16	15	5	10.33
1	1	28	13	19	15	19.33
2	7	72	16	6	1	6.33
2	8	42	10	13	8	11.33
3	9	60	11	19	5	8.67
2	6	17	20	17	8	14.67
2	10	64	10	10	3	6.33
0	9	10	19	15	19	25.33
2	5	59	16	6	16	21.33
0	6	59	15	20	20	25.00
3	7	63	18	17	4	10.00
2	7	62	15	18	7	12.00
1	5	65	12	15	7	11.00
0	0	29	10	16	7	10.33
0	8	46	12	20	12	16.00
3	9	22	15	16	12	17.00
1	1	69	14	16	11	15.67
2	2	47	12	10	17	21.00
0	5	30	16	13	8	13.33
2	1	14	13	18	15	19.33
3	1	36	11	11	1	4.67
0	0	66	19	9	19	25.33
3	4	61	16	14	8	13.33
1	3	33	18	5	6	12.00
1	6	17	13	8	6	10.33
3	1	21	14	8	19	23.67
0	5	16	17	8	12	17.67
2	6	73	13	5	15	19.33
0	9	44	14	20	10	14.67
2	7	32	12	7	17	21.00
0	3	15	18	11	10	16.00
1	1	31	13	15	1	5.33
3	5	14	14	19	3	7.67
2	7	51	14	13	1	5.67
0	10	69	19	6	9	15.33
3	0	65	20	13	9	15.67
0	2	77	11	13	10	13.67
3	3	70	17	16	17	22.67
3	4	44	12	17	13	17.00
1	7	39	15	10	11	16.00
0	8	17	12	11	6	10.00
3	4	21	15	13	4	9.00
3	8	33	19	15	8	14.33
3	5	46	10	11	15	18.33
1	8	58	19	18	15	21.33
1	1	20	17	12	16	21.67
2	3	64	13	20	14	18.33
3	2	23	16	14	7	12.33
3	8	60	13	16	20	24.33
1	1	57	16	9	15	20.33
3	7	47	12	16	11	15.00
2	10	68	19	16	0	6.33
0	8	80	20	17	12	18.67
0	1	58	12	12	11	15.00
2	3	53	18	16	18	24.00
3	0	26	18	10	5	11.00
1	9	29	12	17	18	22.00
0	5	76	13	13	5	9.33
1	3	66	14	18	5	9.67
1	1	43	15	11	8	13.00
0	9	72	17	5	6	11.67
3	1	30	18	5	3	9.00
3	0	34	13	15	17	21.33
2	7	35	13	7	5	9.33
3	6	65	11	12	11	14.67
0	7	65	13	19	2	6.33
3	6	68	10	14	10	13.33
2	8	65	14	11	1	5.67
0	0	42	20	16	12	18.67
1	10	43	10	5	12	15.33
1	5	68	13	20	13	17.33
2	6	50	14	12	4	8.67
3	10	73	13	13	3	7.33
1	3	75	13	8	1	5.33
0	10	50	15	16	10	15.00
0	9	15	19	13	0	6.33
3	0	73	16	8	11	16.33
0	1	16	16	15	15	20.33
3	5	29	12	13	20	24.00
0	0	65	17	19	20	25.67
2	3	29	14	12	9	13.67
1	4	46	14	5	14	18.67
3	3	47	11	10	3	6.67
2	0	44	11	20	4	7.67
3	5	42	11	20	14	17.67
3	8	36	16	7	11	16.33
1	5	41	16	14	12	17.33
3	8	65	10	5	14	17.33
3	7	20	14	15	14	18.67
0	0	12	10	8	4	7.33
1	2	59	19	16	4	10.33
1	7	15	18	17	3	9.00
0	10	13	19	20	15	21.33
0	5	51	15	9	6	11.00
2	4	70	17	19	5	10.67
0	0	59	20	14	13	19.67
2	0	21	10	5	17	20.33
2	6	47	18	5	17	23.00
3	5	55	11	17	5	8.67
2	7	65	10	14	9	12.33
2	2	13	11	17	5	8.67
1	2	58	13	7	16	20.33
2	7	63	19	6	20	26.33
3	6	57	17	10	10	15.67
1	8	61	15	12	5	10.00
1	5	64	15	8	2	7.00
3	1	16	10	18	4	7.33
3	10	35	19	11	16	22.33
3	3	63	13	7	15	19.33
3	7	62	16	5	0	5.33
2	3	47	17	8	4	9.67
