N0	N1	N2	N3	N4	X	N5	N6	N7	N8	N9	N10	N11	Class
0.793	564.79	0.88	75	20.3	152.0186333	2.7283	2.585	10	4.541	3.357391556	4.07	166.0	50.67287776
0.139	346.28	1.31	44	161.1	450.2737617	3.4732	1.577	23	4.018	3.553214001	0.38	124.0	150.0912539
0.423	146.26	4.65	88	147.8	94.71257931	2.9989	0.090	14	4.449	1.653798179	0.07	160.0	31.57085977
0.011	509.47	2.61	62	142.9	15.01165181	7.4985	0.928	34	1.245	1.875253082	2.50	198.0	5.003883938
0.201	493.14	4.99	23	48.5	148.3836833	5.1805	4.868	29	0.966	3.271706294	0.80	64.0	49.46122777
0.742	359.73	0.82	34	97.9	432.4505762	7.2137	2.984	9	3.273	4.016936584	0.42	73.0	144.1501921
0.383	661.30	3.30	6	106.3	329.1900677	6.6237	4.165	43	1.044	0.862282195	3.28	54.0	109.7300226
0.363	441.82	3.92	24	53.9	246.4893193	4.5395	3.522	18	2.801	1.565991061	1.77	149.0	82.16310644
0.725	498.86	0.16	74	116.0	103.9602408	0.8133	0.345	50	4.508	1.907891136	1.20	13.0	34.6534136
0.589	555.18	1.67	39	57.8	294.3531084	5.4353	1.705	22	4.931	1.315959159	2.50	53.0	98.11770281
0.565	13.04	1.33	91	181.5	66.81355423	6.2683	3.418	24	4.893	4.539905482	1.52	21.0	22.27118474
0.852	223.85	2.52	25	72.9	83.49243381	9.4214	1.390	35	3.340	3.848758833	4.65	43.0	27.83081127
0.784	118.25	1.86	43	6.3	49.17582981	9.0136	4.253	33	2.002	3.280984028	0.85	44.0	16.39194327
0.166	296.44	3.37	36	42.8	274.6273054	4.1480	2.534	38	0.712	4.876608378	3.36	30.0	91.54243512
0.900	664.21	0.99	64	137.1	140.8350477	5.8768	2.585	49	1.797	4.115332856	4.98	116.0	46.9450159
0.313	639.58	4.67	17	46.1	305.4338546	3.7620	4.366	44	1.015	1.284344706	2.63	104.0	101.8112849
0.965	282.03	0.12	49	136.3	353.1461784	1.2350	2.066	18	4.960	0.391569499	2.62	98.0	117.7153928
0.637	74.13	1.89	35	162.4	308.2433088	8.1543	3.025	36	3.998	1.807818559	0.18	57.0	102.7477696
0.482	369.79	3.05	71	60.6	271.1620249	9.8307	4.216	7	2.787	2.334851331	2.25	137.0	90.38734165
0.310	520.56	2.20	35	51.7	280.8760352	6.2868	1.270	5	0.695	3.707876873	3.65	133.0	93.62534505
0.457	720.47	3.21	15	138.9	157.2421731	8.6008	4.658	9	0.273	2.195244558	0.23	185.0	52.41405771
0.770	415.80	0.76	30	81.7	307.3193935	5.0833	3.592	14	2.428	2.584788806	2.07	79.0	102.4397978
0.900	688.70	0.72	96	15.3	207.2606799	2.4363	1.504	6	4.011	2.992082474	3.51	30.0	69.08689331
0.070	577.17	1.42	80	20.5	146.082766	3.0529	1.392	17	4.741	2.760620438	2.51	101.0	48.69425534
0.210	97.73	4.79	37	171.2	337.009307	9.1032	1.580	35	2.381	4.41130366	0.23	41.0	112.3364357
0.245	416.20	2.94	68	145.8	24.51012818	6.5610	0.211	17	3.122	3.696312454	4.37	48.0	8.170042727
0.328	685.08	2.06	17	118.7	325.0580017	6.0937	2.616	50	0.690	1.869816929	0.46	192.0	108.3526672
0.673	204.40	4.47	23	53.3	437.9095725	2.7680	2.228	18	1.527	0.641433435	0.03	166.0	145.9698575
0.893	25.81	4.47	35	149.2	150.8332964	0.7101	3.534	29	4.873	4.125008927	4.17	119.0	50.27776548
0.425	725.53	2.15	44	25.6	361.2839144	5.6922	1.426	25	4.093	4.473382664	2.29	13.0	120.4279715
0.894	229.81	2.03	22	16.0	171.7620245	0.9711	1.327	36	4.521	3.723249449	4.30	47.0	57.25400816
0.144	34.02	2.02	99	0.9	438.3651885	6.7994	2.392	36	4.807	2.481578756	1.90	17.0	146.1217295
0.009	627.60	0.84	65	106.3	265.0610381	1.7480	1.223	48	2.027	1.535483842	0.24	65.0	88.35367935
0.804	103.79	1.68	57	144.1	144.0553385	3.5915	0.825	47	0.415	3.473718673	1.13	138.0	48.01844618
0.929	11.36	4.33	41	135.8	290.5005634	3.9533	1.303	47	4.857	3.401822446	0.99	149.0	96.83352114
0.597	549.26	3.23	8	138.1	415.6344241	3.4985	1.055	17	1.671	3.880598054	0.88	120.0	138.544808
0.336	380.53	2.04	78	170.8	130.0348367	2.4020	4.931	21	4.950	2.836747551	3.04	63.0	43.34494558
0.380	442.75	3.91	89	89.8	111.2683907	1.0512	1.798	44	4.855	3.351496391	2.53	153.0	37.08946358
0.040	340.95	3.40	54	152.0	223.1559374	7.9526	3.791	18	1.695	0.330212381	1.57	68.0	74.38531248
0.212	671.99	0.13	81	58.8	63.50807359	2.5776	4.465	7	0.920	4.709663928	2.33	106.0	21.16935786
0.295	142.28	1.24	23	90.6	412.7487515	4.8383	1.983	7	1.366	4.932277077	2.63	65.0	137.5829172
0.714	501.30	3.09	13	172.8	446.7275255	8.0947	1.011	34	0.548	0.07870398	3.39	142.0	148.9091752
0.400	344.65	3.38	64	41.3	439.7752326	7.6960	2.864	9	4.733	3.707598029	3.95	149.0	146.5917442
0.269	105.84	3.96	60	70.9	47.18716706	2.7335	0.436	22	3.325	2.618055287	2.24	19.0	15.72905569
0.808	526.41	4.68	50	2.1	432.7304978	4.7019	0.446	49	2.399	1.96367623	2.46	5.0	144.2434993
0.356	673.64	1.69	45	164.9	188.0516188	6.3545	4.005	18	4.998	2.854480262	1.71	159.0	62.68387293
0.713	357.77	4.01	71	143.4	19.82092518	4.6042	2.751	36	1.956	1.182482301	0.91	188.0	6.606975059
0.527	549.62	0.01	26	21.7	333.0056151	0.4157	3.535	27	1.161	4.386056687	3.92	44.0	111.0018717
0.028	398.32	3.30	30	24.1	398.2517821	9.0704	3.946	19	2.509	0.13695563	4.47	44.0	132.750594
0.977	439.20	2.56	73	17.9	358.9240008	4.5179	2.604	16	3.003	2.708088145	1.39	141.0	119.6413336
0.865	220.28	1.86	13	57.1	259.0389532	6.7011	0.816	18	1.087	3.275486779	1.73	130.0	86.34631774
0.298	552.34	3.56	24	191.9	42.30173532	6.9685	1.970	28	0.293	1.423205741	4.49	161.0	14.10057844
0.789	333.02	1.36	24	174.2	78.9983857	9.9852	0.951	5	1.993	4.034306456	3.03	172.0	26.33279523
0.507	460.29	1.64	0	28.8	299.0161931	2.2213	2.786	32	4.187	2.495710329	4.24	74.0	99.67206436
0.671	465.40	2.10	42	157.8	58.94147916	8.2685	4.142	46	0.837	2.148171714	0.82	137.0	19.64715972
0.614	724.95	2.59	97	47.8	14.460848	3.7387	4.764	38	4.870	0.032898194	2.81	99.0	4.820282665
0.711	687.59	1.44	11	169.7	471.3501572	2.6378	4.199	27	1.502	2.963597239	1.10	11.0	157.1167191
0.920	638.21	1.81	98	121.5	15.84440372	0.4543	3.663	31	4.663	4.843105073	4.66	83.0	5.281467906
0.244	132.42	0.69	77	34.6	197.5127406	7.2132	0.039	46	2.985	4.442894546	3.73	176.0	65.8375802
0.012	509.24	0.44	33	106.4	370.0724629	9.4097	3.652	27	3.222	4.304302072	4.63	165.0	123.3574876
