N0	N1	N2	N3	N4	X	N5	N6	N7	N8	N9	N10	N11	Class
0.296	620.29	4.22	18	147.7	137.1661637	8.5157	4.772	47	3.430	1.632572026	3.49	188.0	50.72205457
0.827	625.54	2.24	90	51.3	131.4684391	4.5995	2.128	9	2.665	4.437492469	0.15	145.0	48.82281303
0.137	506.28	2.67	25	144.6	425.0879397	5.4546	0.198	19	1.117	3.222379969	0.61	151.0	146.6959799
0.597	605.65	4.81	11	65.6	125.4887741	5.8236	0.461	27	3.068	4.472486148	3.38	99.0	46.82959136
0.113	347.09	1.97	70	147.3	481.9209546	6.3935	3.237	46	1.788	3.414292599	0.80	128.0	165.6403182
0.282	378.52	1.13	62	169.1	381.4929633	6.8286	2.465	14	0.986	3.531096335	1.23	63.0	132.1643211
0.348	732.79	2.00	71	199.8	435.5320064	5.2921	1.966	28	3.770	4.856221878	3.69	8.0	150.1773355
0.044	276.95	1.22	39	172.6	481.1846326	2.9546	3.444	10	1.639	3.254897501	1.01	21.0	165.3948775
0.418	593.84	3.72	2	24.9	172.9588517	4.4706	2.023	39	2.978	4.453063473	2.68	125.0	62.65295057
0.872	338.80	0.42	17	188.0	257.0437348	7.5181	1.553	41	1.641	0.617689353	4.69	114.0	90.68124493
0.517	628.85	2.70	36	198.9	410.3749181	7.1560	3.923	38	0.359	2.033164539	0.61	28.0	141.7916394
0.559	542.40	4.97	45	122.1	461.505273	8.2049	1.102	48	4.985	3.038164597	3.47	154.0	158.835091
0.573	196.60	4.79	73	25.7	368.3845852	1.2379	0.168	33	4.113	3.734306162	0.97	124.0	127.7948617
0.381	297.68	0.32	47	41.7	76.69968559	1.5616	2.075	38	4.288	0.679244561	0.00	163.0	30.56656186
0.853	388.88	1.77	75	42.4	449.1295961	1.9809	4.840	38	3.485	1.638889221	0.93	118.0	154.7098654
0.593	498.06	0.66	57	84.6	246.3617685	6.8936	4.998	27	4.409	3.920790963	2.08	52.0	87.12058949
0.128	7.30	4.31	26	133.5	159.5323269	3.9912	1.200	46	3.079	2.390779143	4.68	52.0	58.17744229
0.714	798.13	4.72	40	53.6	379.6298438	3.9419	2.813	13	4.958	1.493993982	0.47	158.0	131.5432813
0.787	706.36	2.53	91	13.7	320.4102328	3.4986	1.004	15	3.693	0.417983665	1.47	2.0	111.8034109
0.750	252.92	0.55	23	30.8	123.152448	2.7174	3.174	30	4.469	2.200033165	0.81	136.0	46.05081599
0.061	686.94	3.34	52	194.8	188.4675098	6.8767	1.701	31	4.016	0.708860143	2.60	108.0	67.82250328
0.167	164.22	3.03	50	192.0	154.4879959	1.6217	3.585	12	1.639	0.678872288	3.69	111.0	56.49599863
0.979	325.33	1.87	69	155.6	206.0994495	8.2694	4.100	6	1.873	3.651647545	2.32	141.0	73.6998165
0.099	193.80	2.38	97	196.7	305.3765048	2.2898	4.602	5	1.816	3.426110243	1.34	150.0	106.7921683
0.976	585.25	3.32	0	179.5	332.1800959	8.7754	1.967	50	4.278	0.575373402	1.56	75.0	115.7266986
0.864	276.60	1.59	55	29.3	360.6171888	3.5503	1.169	17	1.162	2.858359643	4.44	143.0	125.2057296
0.127	355.36	4.08	78	18.9	38.74905998	3.8268	3.555	45	1.234	3.897300049	0.46	125.0	17.91635333
0.579	104.66	2.04	67	169.6	383.6323658	3.9030	2.648	9	4.506	1.439255546	0.64	200.0	132.8774553
0.943	763.47	1.17	63	189.2	33.51661218	2.3761	2.767	24	3.061	0.520548775	3.65	181.0	16.17220406
0.848	243.12	1.56	51	73.3	323.0580968	6.1354	3.536	44	3.204	0.795045094	1.48	78.0	112.6860323
0.597	33.75	0.44	35	49.3	439.23259	5.3198	1.635	33	3.178	1.331666648	4.82	168.0	151.4108633
0.065	135.14	1.49	26	84.9	400.8549244	4.3405	1.782	21	0.931	2.002081843	3.57	39.0	138.6183081
0.100	535.17	1.29	33	43.0	136.4882369	3.0624	3.970	36	4.131	3.806273987	1.14	128.0	50.49607898
0.265	195.05	1.71	55	80.5	148.6640309	0.9161	2.712	13	1.515	1.57054614	2.21	35.0	54.55467696
0.880	227.99	4.68	58	98.6	298.2095634	4.1815	2.771	30	3.819	1.472471726	0.13	192.0	104.4031878
0.968	678.08	4.81	70	68.9	92.21869355	5.8503	1.845	35	2.722	4.746824962	4.38	141.0	35.73956452
0.583	454.96	4.41	74	17.9	14.65357935	1.8238	0.672	8	0.469	0.08730878	4.26	129.0	9.884526452
0.173	225.93	4.81	62	77.6	437.2140597	0.2628	3.942	19	4.510	0.637826955	3.67	2.0	150.7380199
0.873	282.60	2.42	58	4.9	121.7477731	7.0011	4.947	6	0.953	1.236435231	4.53	194.0	45.58259105
0.557	178.81	2.65	7	86.8	349.5506585	9.0301	2.967	14	1.965	4.446882738	3.43	15.0	121.5168862
0.968	10.04	2.54	39	187.3	72.53972977	8.3364	3.245	18	0.765	0.89168162	4.82	183.0	29.17990992
0.658	788.67	4.93	23	89.4	233.1244746	9.5148	3.033	33	4.147	3.095591514	1.35	42.0	82.70815821
0.767	346.65	2.12	21	21.4	38.73449192	7.2588	2.557	41	4.464	4.024787484	3.00	11.0	17.91149731
0.148	399.94	4.54	49	120.7	9.758774345	8.2236	0.012	12	1.655	0.177325666	3.79	92.0	8.252924782
0.280	637.53	1.81	18	42.3	9.081099377	6.3096	2.410	23	2.583	3.078321681	4.64	79.0	8.027033126
0.687	59.34	3.12	80	128.1	443.060245	0.9554	1.282	16	0.601	0.527474464	4.36	124.0	152.6867483
0.549	354.50	1.12	40	183.3	99.51412656	5.8090	2.860	46	1.254	1.111897573	0.92	143.0	38.17137552
0.269	703.66	0.42	94	102.0	120.3005711	7.2013	4.983	44	4.469	3.887708931	4.52	18.0	45.10019036
0.086	599.83	4.32	72	8.2	20.89223748	8.7046	0.476	39	1.478	3.704797837	0.63	126.0	11.96407916
0.465	284.42	1.14	99	56.9	352.6859784	8.4861	3.203	6	4.603	0.167943294	4.24	63.0	122.5619928
0.164	237.98	2.19	85	114.8	11.35819578	0.2578	1.957	33	4.837	3.318842919	2.16	178.0	8.786065259
