N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	X	Class
0.576	76.15	2.23	97	17.0	3.104614547	0.1401	3.071	42	1.076	2.051546839	75.2939	12.207126150	1819.0318275882
0.389	346.47	4.57	38	97.4	1.662924826	0.0830	3.091	36	3.030	4.186017235	469.8711	1.733720458	5.2111937642
0.100	55.48	1.34	23	69.3	2.417435762	4.6725	4.619	5	0.537	0.290070094	438.1031	5.399962886	157.4607532558
0.047	156.39	4.97	21	48.1	1.119523891	8.6737	4.250	35	0.334	3.767522474	370.1865	9.852562210	956.4175949317
0.033	656.82	1.35	86	0.2	3.069820304	6.6257	2.182	39	3.299	0.88879115	115.4608	9.504832298	858.6840101813
0.936	122.25	2.04	27	114.0	0.708920984	7.9449	3.344	27	0.799	3.292342174	288.0724	12.865804966	2129.6630251909
0.973	267.55	2.29	74	100.2	0.395036614	3.0029	0.776	24	3.536	4.650064713	492.0411	7.465435801	416.0691304999
0.316	405.36	2.66	45	180.9	2.381691181	6.5017	3.648	11	0.517	1.524566187	122.9920	1.309884958	2.2474987795
0.267	784.52	0.54	59	76.8	1.423692635	7.4241	1.588	47	1.135	0.134175853	333.5616	5.107804151	133.2608902014
0.384	381.11	3.96	89	96.6	3.251587832	6.8146	1.482	12	0.359	2.344638212	247.4181	11.465488453	1507.2235936007
0.872	682.11	2.87	97	93.0	1.357953227	5.8599	2.775	47	1.405	1.418463616	109.1924	5.188978478	139.7158277503
0.733	83.59	3.08	77	166.0	3.790066871	1.2901	4.171	37	3.766	4.275415197	243.9680	16.505838832	4496.8955541201
0.753	59.03	0.78	96	63.6	3.047036462	3.5931	1.931	18	0.391	0.282979666	85.8945	6.538137784	279.4873821175
0.012	50.88	3.94	6	146.8	4.626255467	1.5042	0.024	11	3.367	3.608768177	444.2111	8.546605376	624.2822039475
0.576	312.73	3.95	86	148.0	0.85115117	9.9674	2.127	44	4.181	2.192968403	460.5007	7.807075635	475.8446168342
0.638	235.96	1.21	78	134.7	1.548563422	1.2271	2.428	38	2.171	0.248666281	360.2384	5.173167011	138.4425207567
0.295	679.15	3.19	12	63.9	2.71932458	7.0706	3.114	37	0.508	0.776768552	132.6975	16.474693269	4471.4874122538
