N1	N2	X	N3	Class
3	7	3	4	0.141120008
3	6	0	1	0
1	9	10	2	-0.544021111
1	7	6	3	-0.279415498
1	9	2	1	0.909297427
2	10	10	3	-0.544021111
1	9	3	2	0.141120008
2	6	1	4	0.841470985
0	8	0	1	0
1	8	9	0	0.412118485
2	7	5	0	-0.958924275
3	10	8	4	0.989358247
0	6	8	4	0.989358247
1	10	9	4	0.412118485
3	6	2	2	0.909297427
1	7	7	4	0.656986599
0	9	7	0	0.656986599
1	10	9	3	0.412118485
3	6	6	2	-0.279415498
1	9	10	0	-0.544021111
3	10	6	1	-0.279415498
2	7	4	1	-0.756802495
2	10	7	4	0.656986599
1	9	8	3	0.989358247
1	5	1	4	0.841470985
0	6	8	3	0.989358247
2	7	10	2	-0.544021111
1	6	6	4	-0.279415498
0	10	7	1	0.656986599
3	8	10	1	-0.544021111
2	8	9	2	0.412118485
2	6	2	3	0.909297427
3	6	3	3	0.141120008
2	8	7	0	0.656986599
2	5	4	1	-0.756802495
0	9	10	0	-0.544021111
2	7	1	1	0.841470985
3	5	6	0	-0.279415498
1	5	4	0	-0.756802495
2	10	10	0	-0.544021111
2	6	10	1	-0.544021111
3	8	10	2	-0.544021111
2	8	0	3	0
2	9	7	4	0.656986599
1	8	3	0	0.141120008
2	5	10	1	-0.544021111
3	5	5	2	-0.958924275
0	9	2	0	0.909297427
1	8	4	3	-0.756802495
3	6	7	2	0.656986599
3	6	9	1	0.412118485
3	7	2	2	0.909297427
0	9	1	1	0.841470985
1	8	10	0	-0.544021111
0	7	0	1	0
3	10	2	3	0.909297427
3	10	0	1	0
3	7	1	4	0.841470985
0	6	7	1	0.656986599
2	9	6	1	-0.279415498
3	6	9	4	0.412118485
2	9	9	1	0.412118485
3	7	4	4	-0.756802495
1	7	6	1	-0.279415498
2	6	1	4	0.841470985
2	6	6	4	-0.279415498
2	9	8	2	0.989358247
0	10	7	4	0.656986599
2	8	2	2	0.909297427
0	10	3	2	0.141120008
3	6	0	2	0
3	8	6	2	-0.279415498
0	10	5	3	-0.958924275
0	9	5	2	-0.958924275
1	8	8	3	0.989358247
0	5	4	4	-0.756802495
2	6	2	3	0.909297427
2	9	6	2	-0.279415498
1	9	8	1	0.989358247
2	9	4	3	-0.756802495
0	7	9	3	0.412118485
2	9	8	2	0.989358247
0	8	5	4	-0.958924275
1	6	3	1	0.141120008
0	7	10	3	-0.544021111
2	8	9	2	0.412118485
3	6	8	2	0.989358247
0	6	4	1	-0.756802495
0	9	7	1	0.656986599
2	5	10	0	-0.544021111
3	8	9	2	0.412118485
1	10	3	0	0.141120008
2	10	2	2	0.909297427
0	9	10	2	-0.544021111
0	6	10	4	-0.544021111
3	6	6	3	-0.279415498
3	6	7	3	0.656986599
3	10	4	3	-0.756802495
0	10	5	3	-0.958924275
2	8	7	1	0.656986599
1	7	7	3	0.656986599
0	9	2	1	0.909297427
3	9	0	2	0
1	10	4	1	-0.756802495
1	8	3	2	0.141120008
2	9	7	1	0.656986599
3	10	0	4	0
3	8	4	3	-0.756802495
2	5	6	4	-0.279415498
2	6	0	1	0
0	6	5	1	-0.958924275
1	9	4	1	-0.756802495
0	6	7	4	0.656986599
0	6	1	2	0.841470985
3	9	10	2	-0.544021111
0	5	8	1	0.989358247
2	8	0	1	0
3	10	10	2	-0.544021111
1	6	1	0	0.841470985
1	5	5	3	-0.958924275
0	8	6	4	-0.279415498
0	10	10	0	-0.544021111
1	5	0	3	0
2	7	1	1	0.841470985
3	5	10	0	-0.544021111
0	7	4	1	-0.756802495
3	6	9	3	0.412118485
1	10	7	1	0.656986599
2	7	1	4	0.841470985
0	7	3	4	0.141120008
1	7	2	4	0.909297427
2	5	7	0	0.656986599
0	9	10	0	-0.544021111
1	7	1	2	0.841470985
3	7	4	1	-0.756802495
3	5	10	1	-0.544021111
3	9	4	0	-0.756802495
2	7	8	1	0.989358247
0	7	9	4	0.412118485
2	5	2	1	0.909297427
0	10	5	1	-0.958924275
1	8	4	1	-0.756802495
0	10	4	3	-0.756802495
3	7	3	4	0.141120008
3	7	9	4	0.412118485
1	7	1	2	0.841470985
1	10	0	3	0
2	5	4	0	-0.756802495
2	5	5	1	-0.958924275
3	8	8	2	0.989358247
3	8	8	2	0.989358247
1	7	8	2	0.989358247
2	6	9	3	0.412118485
3	6	3	2	0.141120008
0	10	8	4	0.989358247
2	8	4	4	-0.756802495
1	10	9	1	0.412118485
2	9	5	0	-0.958924275
1	5	5	2	-0.958924275
2	10	7	0	0.656986599
0	5	4	3	-0.756802495
1	8	7	3	0.656986599
3	10	9	0	0.412118485
0	9	2	3	0.909297427
0	6	2	3	0.909297427
2	10	6	0	-0.279415498
2	9	7	2	0.656986599
1	8	0	4	0
1	7	0	0	0
1	7	6	0	-0.279415498
1	10	0	4	0
2	9	9	1	0.412118485
2	5	7	4	0.656986599
1	8	10	2	-0.544021111
0	6	6	0	-0.279415498
2	9	0	3	0
2	9	5	2	-0.958924275
3	9	8	1	0.989358247
3	5	0	4	0
2	6	2	0	0.909297427
1	5	5	3	-0.958924275
1	7	3	0	0.141120008
3	9	3	4	0.141120008
1	5	9	3	0.412118485
2	7	8	4	0.989358247
3	5	1	3	0.841470985
1	10	3	4	0.141120008
3	8	2	2	0.909297427
3	9	7	3	0.656986599
3	10	10	3	-0.544021111
3	5	4	4	-0.756802495
3	9	9	3	0.412118485
2	9	10	0	-0.544021111
2	10	4	1	-0.756802495
1	6	9	2	0.412118485
0	5	6	2	-0.279415498
2	6	1	2	0.841470985
0	10	8	1	0.989358247
0	7	5	4	-0.958924275
2	8	10	0	-0.544021111
3	6	4	4	-0.756802495
0	6	7	1	0.656986599
3	5	10	2	-0.544021111
3	9	5	3	-0.958924275
1	10	6	1	-0.279415498
1	8	0	0	0
2	6	9	0	0.412118485
1	7	1	0	0.841470985
1	6	8	1	0.989358247
1	8	3	2	0.141120008
0	7	7	2	0.656986599
3	8	2	0	0.909297427
3	8	9	0	0.412118485
3	7	9	1	0.412118485
2	9	9	4	0.412118485
3	8	7	2	0.656986599
3	5	9	4	0.412118485
1	7	1	1	0.841470985
0	7	4	3	-0.756802495
3	6	2	2	0.909297427
1	8	5	1	-0.958924275
1	5	3	4	0.141120008
1	6	6	4	-0.279415498
0	8	0	2	0
0	5	6	4	-0.279415498
2	10	5	3	-0.958924275
0	8	0	2	0
1	10	9	4	0.412118485
3	8	10	1	-0.544021111
1	8	7	2	0.656986599
1	10	2	3	0.909297427
0	9	6	4	-0.279415498
2	5	10	4	-0.544021111
2	8	5	2	-0.958924275
0	9	9	2	0.412118485
2	5	6	0	-0.279415498
2	7	2	2	0.909297427
3	7	4	0	-0.756802495
1	5	2	0	0.909297427
3	6	5	0	-0.958924275
0	7	9	3	0.412118485
2	5	7	0	0.656986599
0	7	1	2	0.841470985
2	6	9	3	0.412118485
1	8	3	0	0.141120008
2	10	1	1	0.841470985
0	6	9	0	0.412118485
1	9	1	0	0.841470985
0	6	7	1	0.656986599
3	6	5	1	-0.958924275
1	9	6	0	-0.279415498
2	9	6	2	-0.279415498
3	10	6	1	-0.279415498
0	8	0	4	0
1	7	4	3	-0.756802495
3	8	5	3	-0.958924275
0	5	9	0	0.412118485
2	9	5	3	-0.958924275
2	9	4	3	-0.756802495
0	10	9	3	0.412118485
2	10	1	0	0.841470985
0	9	3	3	0.141120008
0	8	4	3	-0.756802495
0	5	6	1	-0.279415498
3	9	9	4	0.412118485
1	10	3	3	0.141120008
1	10	6	2	-0.279415498
1	8	10	0	-0.544021111
1	10	1	2	0.841470985
1	10	2	3	0.909297427
2	8	7	3	0.656986599
0	6	0	1	0
0	5	1	1	0.841470985
2	5	6	0	-0.279415498
3	9	1	4	0.841470985
1	8	5	2	-0.958924275
1	5	1	2	0.841470985
3	6	1	1	0.841470985
3	6	0	4	0
3	10	7	1	0.656986599
2	7	1	1	0.841470985
0	10	5	1	-0.958924275
0	8	5	2	-0.958924275
2	10	7	3	0.656986599
0	8	6	2	-0.279415498
3	8	4	1	-0.756802495
3	6	0	2	0
0	10	0	1	0
1	8	0	1	0
1	7	10	1	-0.544021111
0	6	7	1	0.656986599
0	8	1	0	0.841470985
3	9	1	4	0.841470985
2	9	5	1	-0.958924275
1	8	4	2	-0.756802495
1	6	4	4	-0.756802495
1	9	3	2	0.141120008
2	6	8	3	0.989358247
2	7	6	2	-0.279415498
2	10	5	0	-0.958924275
1	10	0	4	0
2	8	8	0	0.989358247
1	6	8	1	0.989358247
0	8	8	2	0.989358247
2	5	3	0	0.141120008
0	5	3	2	0.141120008
0	9	3	1	0.141120008
2	10	5	0	-0.958924275
1	5	6	4	-0.279415498
3	6	7	1	0.656986599
0	6	7	1	0.656986599
3	10	5	2	-0.958924275
0	8	2	2	0.909297427
0	9	9	0	0.412118485
1	9	9	3	0.412118485
0	6	10	3	-0.544021111
3	5	9	2	0.412118485
2	6	1	3	0.841470985
3	7	4	4	-0.756802495
0	7	7	3	0.656986599
3	6	1	3	0.841470985
0	5	1	1	0.841470985
1	5	7	1	0.656986599
3	6	8	4	0.989358247
2	6	6	3	-0.279415498
0	8	5	3	-0.958924275
0	8	8	1	0.989358247
0	7	8	0	0.989358247
2	9	8	3	0.989358247
0	7	6	1	-0.279415498
1	6	0	2	0
0	7	10	1	-0.544021111
1	7	0	0	0
0	5	9	3	0.412118485
0	10	2	0	0.909297427
0	9	6	3	-0.279415498
3	5	7	4	0.656986599
0	8	6	2	-0.279415498
0	6	5	2	-0.958924275
3	10	6	2	-0.279415498
2	6	4	3	-0.756802495
1	6	0	1	0
3	9	7	1	0.656986599
1	10	5	3	-0.958924275
0	5	7	1	0.656986599
0	5	9	1	0.412118485
1	7	5	0	-0.958924275
0	5	5	2	-0.958924275
0	6	7	0	0.656986599
3	5	1	1	0.841470985
0	6	4	1	-0.756802495
1	7	10	3	-0.544021111
0	9	8	0	0.989358247
3	9	5	3	-0.958924275
2	8	3	0	0.141120008
2	5	10	3	-0.544021111
1	5	6	4	-0.279415498
3	6	8	1	0.989358247
3	5	3	1	0.141120008
2	9	7	3	0.656986599
3	7	0	1	0
1	5	4	1	-0.756802495
0	5	7	1	0.656986599
2	5	5	0	-0.958924275
3	9	10	2	-0.544021111
2	6	9	3	0.412118485
2	7	2	4	0.909297427
3	7	0	3	0
1	5	5	1	-0.958924275
0	5	6	3	-0.279415498
1	5	7	2	0.656986599
0	8	4	1	-0.756802495
1	7	3	3	0.141120008
0	9	6	1	-0.279415498
2	7	7	4	0.656986599
2	9	3	2	0.141120008
3	10	0	1	0
2	6	1	1	0.841470985
2	6	4	1	-0.756802495
1	6	8	2	0.989358247
2	10	3	1	0.141120008
1	6	2	4	0.909297427
0	5	3	3	0.141120008
0	6	0	4	0
1	8	7	1	0.656986599
2	8	10	1	-0.544021111
0	9	3	2	0.141120008
1	9	5	0	-0.958924275
3	6	10	1	-0.544021111
2	9	5	2	-0.958924275
1	7	1	4	0.841470985
0	5	6	3	-0.279415498
2	10	7	1	0.656986599
0	6	7	2	0.656986599
2	7	4	3	-0.756802495
1	7	3	3	0.141120008
2	10	0	4	0
0	10	3	1	0.141120008
1	6	4	3	-0.756802495
1	8	3	0	0.141120008
0	8	0	4	0
1	6	9	0	0.412118485
0	8	0	3	0
2	9	2	2	0.909297427
0	8	7	2	0.656986599
1	8	8	1	0.989358247
1	7	0	0	0
3	6	8	1	0.989358247
1	10	1	2	0.841470985
2	8	9	2	0.412118485
2	8	1	0	0.841470985
3	6	1	3	0.841470985
3	10	4	3	-0.756802495
0	9	3	3	0.141120008
3	9	7	1	0.656986599
3	7	3	2	0.141120008
3	5	7	2	0.656986599
1	5	2	0	0.909297427
2	7	10	2	-0.544021111
3	9	1	2	0.841470985
3	9	6	3	-0.279415498
0	8	0	0	0
2	7	10	2	-0.544021111
1	8	8	2	0.989358247
2	9	8	2	0.989358247
3	7	4	0	-0.756802495
2	10	9	3	0.412118485
0	5	2	4	0.909297427
3	9	7	3	0.656986599
1	6	0	1	0
1	8	10	1	-0.544021111
2	5	9	2	0.412118485
2	8	10	2	-0.544021111
3	5	1	2	0.841470985
3	5	0	4	0
2	5	3	0	0.141120008
0	6	8	0	0.989358247
1	8	1	3	0.841470985
2	9	9	4	0.412118485
2	8	3	3	0.141120008
0	8	5	1	-0.958924275
0	8	1	1	0.841470985
3	6	1	3	0.841470985
0	8	0	0	0
1	8	2	2	0.909297427
3	10	10	0	-0.544021111
1	10	6	4	-0.279415498
1	8	0	4	0
1	10	8	3	0.989358247
3	8	7	0	0.656986599
1	9	5	3	-0.958924275
0	7	7	4	0.656986599
3	9	4	3	-0.756802495
0	5	8	3	0.989358247
3	5	9	1	0.412118485
2	6	5	1	-0.958924275
2	5	6	1	-0.279415498
0	10	4	3	-0.756802495
3	8	7	3	0.656986599
2	7	7	0	0.656986599
3	9	5	1	-0.958924275
2	5	3	0	0.141120008
2	9	7	3	0.656986599
0	7	4	3	-0.756802495
0	6	2	3	0.909297427
0	10	5	4	-0.958924275
1	5	5	2	-0.958924275
2	10	9	1	0.412118485
2	5	6	4	-0.279415498
3	9	3	1	0.141120008
0	7	9	4	0.412118485
2	6	0	3	0
3	10	6	3	-0.279415498
0	5	1	4	0.841470985
2	6	6	3	-0.279415498
3	10	1	1	0.841470985
1	9	5	3	-0.958924275
1	9	2	3	0.909297427
2	5	8	4	0.989358247
2	9	8	2	0.989358247
0	5	9	0	0.412118485
3	8	6	1	-0.279415498
1	9	9	3	0.412118485
0	7	5	1	-0.958924275
3	9	10	0	-0.544021111
2	6	4	1	-0.756802495
0	5	0	2	0
2	8	1	2	0.841470985
1	9	7	4	0.656986599
2	6	0	3	0
3	10	7	4	0.656986599
0	8	2	0	0.909297427
3	9	0	0	0
0	7	7	0	0.656986599
0	10	4	3	-0.756802495
0	8	2	2	0.909297427
3	7	8	1	0.989358247
2	5	3	2	0.141120008
3	10	4	2	-0.756802495
