N1	N2	N3	X	N4	N5	Class
2	1	213	11	6	17	121
0	10	141	7	7	3	49
2	8	269	11	6	49	121
0	2	147	13	6	46	169
5	1	2	19	4	39	361
2	6	367	17	4	39	289
3	4	149	7	5	19	49
3	4	161	17	2	19	289
1	7	175	2	6	45	4
3	10	377	4	1	43	16
0	3	394	13	2	32	169
4	10	398	8	6	31	64
1	4	201	0	3	21	0
4	4	277	14	3	15	196
4	1	276	9	3	17	81
2	4	27	11	4	32	121
5	8	218	19	3	28	361
2	4	277	2	2	11	4
5	5	76	8	6	23	64
0	10	395	4	6	46	16
3	10	90	7	1	38	49
2	2	172	19	7	2	361
3	7	299	8	5	42	64
0	4	390	18	1	46	324
3	5	55	0	6	44	0
1	8	389	8	7	19	64
2	6	294	0	2	4	0
3	8	394	8	5	11	64
4	4	122	9	6	14	81
2	6	109	10	5	27	100
1	8	219	7	7	16	49
0	5	113	4	1	48	16
0	8	217	11	4	40	121
2	7	149	14	3	2	196
3	6	88	1	1	40	1
1	10	241	3	6	10	9
2	4	196	20	3	38	400
1	1	90	19	7	18	361
0	7	400	15	2	25	225
1	4	29	14	7	28	196
4	9	69	7	4	19	49
1	4	69	15	1	9	225
2	8	238	9	1	41	81
4	2	187	15	5	25	225
3	7	33	4	1	21	16
1	8	236	14	7	31	196
1	10	126	7	7	21	49
2	5	174	2	7	20	4
3	10	324	15	5	6	225
3	2	203	0	4	6	0
4	7	185	0	3	3	0
2	4	154	2	5	28	4
0	2	149	3	2	34	9
4	10	262	4	2	13	16
1	5	135	2	1	25	4
3	8	366	14	4	4	196
3	8	17	4	4	41	16
2	10	255	13	5	19	169
2	4	293	3	7	15	9
4	3	4	7	3	42	49
4	10	117	20	4	25	400
0	1	339	1	4	26	1
1	5	299	16	5	2	256
4	2	329	5	4	17	25
3	4	221	17	2	0	289
1	10	231	13	5	20	169
3	1	61	12	6	0	144
4	3	359	20	2	16	400
0	5	57	1	7	48	1
0	7	92	18	6	4	324
5	9	388	0	4	34	0
2	6	63	13	3	32	169
1	5	159	5	6	11	25
4	10	46	14	1	21	196
3	6	12	2	6	19	4
5	9	199	0	3	35	0
5	8	391	6	2	41	36
2	10	251	3	3	26	9
0	7	213	5	7	12	25
1	2	187	8	2	18	64
3	3	343	2	7	36	4
0	7	146	11	3	26	121
4	8	29	6	2	36	36
0	4	184	3	5	16	9
4	3	272	19	1	3	361
0	10	180	20	7	47	400
0	10	149	17	6	4	289
5	9	69	16	5	18	256
5	6	361	6	2	12	36
3	5	336	18	7	25	324
3	7	127	5	2	23	25
0	8	145	1	1	11	1
4	7	282	1	6	20	1
1	5	44	14	4	0	196
0	8	317	13	6	45	169
3	1	333	0	3	12	0
5	4	343	4	2	39	16
3	9	83	10	3	40	100
3	6	164	15	2	33	225
2	10	267	7	6	28	49
4	1	85	18	3	44	324
5	2	397	2	2	16	4
0	3	329	19	5	28	361
3	6	72	7	1	17	49
3	8	12	19	5	13	361
5	9	59	5	7	47	25
4	7	98	16	5	0	256
1	8	144	15	2	22	225
4	1	136	17	2	9	289
5	10	339	7	1	9	49
0	4	69	14	3	40	196
5	3	149	20	5	49	400
3	9	359	3	3	39	9
3	1	116	17	3	34	289
1	7	180	5	7	34	25
3	1	39	4	3	29	16
2	2	21	15	7	25	225
2	10	381	7	6	36	49
4	1	234	8	4	37	64
0	2	307	7	5	1	49
1	1	196	5	5	20	25
4	9	106	5	4	13	25
3	1	188	19	4	49	361
4	2	162	14	3	24	196
2	8	166	7	1	1	49
4	7	102	14	2	2	196
0	3	66	8	5	0	64
3	5	222	4	1	20	16
5	9	216	6	7	15	36
0	6	236	2	3	34	4
3	6	208	7	1	29	49
4	5	183	18	2	13	324
0	3	126	0	2	1	0
3	4	178	4	1	32	16
3	9	26	10	6	42	100
4	10	16	15	1	50	225
0	6	361	18	5	46	324
1	7	181	16	6	22	256
0	1	392	5	6	43	25
3	7	231	15	4	15	225
4	1	80	14	6	34	196
0	10	134	4	1	17	16
0	6	272	2	5	38	4
1	3	97	10	3	46	100
0	5	207	10	5	10	100
2	4	13	15	5	37	225
1	9	373	19	2	14	361
2	8	80	12	2	42	144
4	1	367	9	2	2	81
0	1	80	8	7	35	64
2	2	62	19	1	16	361
2	3	184	12	6	7	144
1	7	304	1	2	32	1
2	8	98	16	2	17	256
0	5	319	0	4	38	0
3	5	261	19	3	14	361
3	9	214	10	7	30	100
4	10	109	17	1	26	289
5	1	37	20	1	35	400
5	7	304	15	4	33	225
3	4	278	6	3	9	36
3	2	65	7	3	30	49
1	1	28	18	1	33	324
5	5	253	10	1	31	100
3	10	107	1	6	29	1
2	2	180	12	5	29	144
1	2	348	2	5	36	4
