N1	X	N2	Class
100	40	1	80
90	49	5	98
16	92	2	184
75	23	3	46
17	79	8	158
68	14	2	28
74	98	1	196
88	5	2	10
67	1	10	2
44	72	9	144
88	4	10	8
92	97	5	194
49	4	2	8
48	23	4	46
59	6	4	12
33	85	4	170
54	38	2	76
96	48	0	96
69	48	6	96
18	81	6	162
23	66	8	132
67	89	9	178
55	47	5	94
51	49	7	98
93	41	6	82
75	56	5	112
99	27	9	54
36	88	2	176
65	44	4	88
99	61	9	122
78	35	8	70
56	29	2	58
97	74	7	148
20	59	6	118
70	54	7	108
38	90	1	180
45	66	6	132
23	50	6	100
100	3	8	6
30	57	6	114
60	22	8	44
50	23	8	46
30	7	4	14
24	26	10	52
11	69	5	138
32	76	3	152
45	58	4	116
95	36	10	72
78	51	3	102
78	81	3	162
94	98	8	196
49	74	10	148
20	30	9	60
100	9	9	18
39	100	5	200
29	95	1	190
25	56	2	112
24	48	4	96
77	71	3	142
81	25	1	50
63	47	7	94
86	67	4	134
18	90	4	180
24	53	7	106
73	26	10	52
38	28	6	56
52	17	1	34
35	61	6	122
20	13	6	26
77	36	8	72
77	12	8	24
33	10	8	20
85	47	10	94
64	47	1	94
87	19	3	38
69	13	5	26
10	74	5	148
93	22	6	44
55	19	5	38
42	8	0	16
17	88	0	176
56	58	2	116
87	67	9	134
51	62	4	124
92	15	6	30
34	24	8	48
48	32	3	64
97	37	7	74
59	3	6	6
30	88	1	176
85	72	4	144
72	23	5	46
51	89	10	178
94	33	2	66
49	33	6	66
73	92	4	184
72	49	7	98
41	42	8	84
55	71	3	142
22	64	5	128
57	84	10	168
42	80	10	160
46	3	6	6
60	19	10	38
74	98	9	196
14	76	2	152
12	62	0	124
47	28	9	56
63	37	9	74
24	83	1	166
27	33	5	66
98	84	3	168
88	64	7	128
41	29	9	58
99	87	6	174
39	91	5	182
39	45	0	90
74	3	4	6
89	83	8	166
32	56	2	112
73	37	3	74
64	12	3	24
100	34	3	68
10	57	2	114
85	82	3	164
24	97	8	194
73	81	7	162
44	61	10	122
45	61	9	122
73	96	7	192
97	95	1	190
94	21	3	42
22	94	6	188
95	100	1	200
11	12	9	24
32	32	10	64
76	44	9	88
11	56	1	112
44	43	7	86
58	28	4	56
67	36	3	72
19	37	10	74
22	76	6	152
82	78	1	156
56	54	3	108
81	87	0	174
53	31	8	62
28	59	7	118
39	45	9	90
20	79	3	158
46	36	6	72
29	26	2	52
71	68	2	136
90	88	10	176
66	78	1	156
83	84	5	168
21	41	6	82
41	62	9	124
14	60	1	120
66	29	7	58
16	43	5	86
85	31	7	62
46	25	9	50
62	10	7	20
52	97	2	194
71	53	3	106
10	47	4	94
57	51	1	102
81	69	0	138
74	94	1	188
49	81	9	162
61	75	3	150
12	36	10	72
59	50	3	100
48	58	7	116
70	27	2	54
59	28	3	56
90	39	3	78
83	14	2	28
33	15	4	30
76	51	0	102
99	57	5	114
47	93	6	186
13	71	0	142
38	71	6	142
36	49	2	98
95	93	9	186
33	23	1	46
17	17	4	34
17	16	5	32
76	61	1	122
96	83	0	166
48	15	7	30
12	6	10	12
58	92	10	184
34	9	3	18
90	6	5	12
34	100	10	200
66	38	9	76
62	81	5	162
38	4	10	8
47	99	8	198
48	27	8	54
74	48	3	96
20	9	6	18
30	67	5	134
72	46	10	92
25	77	1	154
44	81	3	162
91	9	5	18
98	91	3	182
84	32	5	64
61	35	5	70
90	95	10	190
83	11	2	22
17	34	10	68
30	58	7	116
12	29	1	58
86	19	2	38
11	64	6	128
90	26	7	52
26	95	10	190
77	37	10	74
56	58	6	116
68	48	3	96
59	57	5	114
28	61	2	122
89	79	7	158
86	93	6	186
14	51	0	102
54	28	8	56
73	13	1	26
57	34	4	68
26	74	4	148
69	67	3	134
12	98	3	196
90	50	7	100
53	59	1	118
61	23	3	46
31	24	6	48
99	85	5	170
11	69	3	138
66	100	5	200
25	77	7	154
11	71	10	142
25	49	6	98
27	58	7	116
31	32	2	64
53	12	8	24
95	44	8	88
53	52	0	104
49	44	10	88
39	64	5	128
21	30	2	60
95	37	8	74
34	5	0	10
50	20	1	40
55	62	10	124
72	72	7	144
97	33	8	66
19	49	3	98
64	65	3	130
19	35	2	70
44	48	0	96
84	97	3	194
71	70	3	140
54	42	9	84
84	26	3	52
11	64	5	128
47	58	1	116
63	30	10	60
45	63	0	126
99	89	3	178
56	40	1	80
15	99	6	198
69	25	10	50
51	86	8	172
99	33	5	66
45	16	7	32
24	46	10	92
31	6	9	12
61	64	6	128
77	53	6	106
45	67	8	134
89	6	5	12
76	66	0	132
44	65	3	130
80	80	0	160
48	75	3	150
82	97	1	194
89	59	1	118
70	98	9	196
23	10	8	20
84	10	8	20
54	76	10	152
76	75	5	150
40	55	10	110
62	81	9	162
15	62	7	124
73	76	6	152
93	4	0	8
46	46	2	92
