Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
100	497	500	0.56	0.560181818181817	0.0	0.04358606338500977
200	495	500	0.51	0.5592727272727273	0.0	0.08129988114039104
300	489	500	0.69	0.558363636363637	0.0	0.11863357226053874
400	481	500	0.64	0.5565454545454551	0.0	0.15567996899286907
500	470	500	0.69	0.5530909090909097	0.0	0.19177254835764568
600	469	500	0.73	0.5538181818181827	0.0	0.22715856631596884
700	463	500	0.7	0.5541818181818192	0.0	0.26196334362030027
800	455	500	0.68	0.5529090909090921	0.0	0.29749652147293093
900	454	500	0.59	0.5520000000000008	0.0	0.33138400316238403
1000	451	500	0.73	0.5518181818181825	0.0	0.36559823354085286
1100	447	500	0.64	0.551454545454546	0.0	0.40825726588567096
1200	443	500	0.59	0.5494545454545461	0.0	0.4492508808771769
1300	439	500	0.55	0.5500000000000004	0.0	0.4912774920463562
1400	433	500	0.66	0.5461818181818187	0.0	0.5347301880518596
1500	429	500	0.54	0.5450909090909098	0.0	0.5771077672640482
1600	422	500	0.47	0.5456363636363646	0.0	0.6213367541631063
1700	414	500	0.62	0.5407272727272732	0.0	0.6640577912330627
1800	412	500	0.6	0.5318181818181821	0.0	0.7027890880902609
1900	414	500	0.6	0.5234545454545456	0.0	0.7411524097124735
2000	410	500	0.58	0.5203636363636365	0.0	0.7783984978993733
2100	405	500	0.43	0.5172727272727264	0.6296296296296297	0.806554647286733
2200	398	500	0.59	0.5207272727272719	0.6331658291457286	0.8342792709668477
2300	393	500	0.68	0.526545454545454	0.6412213740458015	0.8614344120025634
2400	396	500	0.62	0.5276363636363631	0.648989898989899	0.8888954281806946
2500	395	500	0.52	0.5321818181818176	0.640506329113924	0.9170845945676168
2600	394	500	0.63	0.5347272727272725	0.6573604060913706	0.9451349178949991
2700	398	500	0.61	0.543272727272727	0.6532663316582915	0.9742910027503967
2800	400	500	0.69	0.5465454545454542	0.6625	1.0048525055249533
2900	403	500	0.62	0.5521818181818176	0.6550868486352357	1.036661191781362
3000	404	500	0.7	0.5518181818181812	0.655940594059406	1.0687180082003276
3100	405	500	0.56	0.5547272727272718	0.6592592592592592	1.1040323416392008
3200	405	500	0.67	0.5590909090909085	0.6444444444444445	1.139359720547994
3300	402	500	0.66	0.5645454545454545	0.6268656716417911	1.1729636828104655
3400	405	500	0.81	0.5676363636363635	0.6222222222222222	1.2077677329381307
3500	403	500	0.65	0.5694545454545451	0.6104218362282878	1.2424732844034831
3600	403	500	0.61	0.5730909090909085	0.6129032258064516	1.277044145266215
3700	406	500	0.69	0.5750909090909085	0.6157635467980296	1.3117645502090454
3800	409	500	0.68	0.5743636363636359	0.6210268948655256	1.3479557434717815
3900	408	500	0.63	0.5778181818181816	0.6225490196078431	1.3835363229115805
4000	408	500	0.68	0.5847272727272727	0.6200980392156863	1.4206883509953816
