Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[0, 1]	protectedDiv(neg(sin(ARG0)), neg(neg(ARG1)))	None	0.07631405507385243	0.5075	1	305.2516150116067	3979	0	11.0	305.2516150116067	2031	4000	1015	2000	1	0.037918721671288534	14.971014492753625	0.07631405507385243	0.07631405507385243	0.005823835001814982	1
[5]	protectedDiv(sin(ARG5), sin(-5))	None	0.6331475502635803	0.563	2	305.2516150116067	3979	0	11.0	610.5032300232134	2252	4000	1126	2000	1	0.3090945833638235	125.98900549725136	0.6331475502635803	0.6331475502635803	0.40087582040477293	1
[9, 6, 7]	mul(add(cos(ARG6), sub(3, ARG7)), sin(sin(ARG9)))	None	0.6477416977052995	0.5645	2	305.2516150116067	3999	0	11.0	610.5032300232134	2258	4000	1129	2000	1	0.31595368047217887	128.97901049475263	0.6477416977052995	0.6477416977052995	0.41956930694614364	1
[0, 9, 4, 5]	mul(protectedDiv(ARG0, ARG5), mul(ARG4, ARG9))	None	0.2582571258690078	0.526	1	305.2516150116067	3999	0	11.0	305.2516150116067	2104	4000	1052	2000	1	0.1280635049778963	50.74762618690659	0.2582571258690078	0.2582571258690078	0.06669674306212053	1
[10, 5, 7]	mul(mul(ARG5, ARG7), sin(ARG10))	None	0.4129455683323222	0.5415	1	305.2516150116067	3979	0	11.0	305.2516150116067	2166	4000	1083	2000	1	0.20386180255342404	81.43778110944515	0.4129455683323222	0.4129455683323222	0.17052404240530458	1
[4, 6]	sub(add(ARG6, ARG4), neg(ARG4))	None	0.5937457230624419	0.5585	2	305.2516150116067	3999	0	11.0	610.5032300232134	2234	4000	1117	2000	1	0.29033501290849434	117.99450274862568	0.5937457230624419	0.5937457230624419	0.35253398365494193	1
[9, 10, 4, 5]	sub(add(ARG9, ARG4), sub(ARG5, ARG10))	None	0.5236155935170856	0.5515	1	305.2516150116067	3999	0	11.0	305.2516150116067	2207	4000	1103	2000	1	0.25697849717232124	103.75462268865579	0.5236155935170856	0.5236155935170856	0.2741732897742499	1
[9, 10, 5]	add(protectedDiv(ARG10, ARG10), sub(ARG9, ARG5))	None	0.08149130940857102	0.5075	1	305.2516150116067	3999	0	11.0	305.2516150116067	2030	4000	1015	2000	1	0.040466974450531795	15.994502748625678	0.08149130940857102	0.08149130940857102	0.006640833509123456	1
[1, 10, 5, 7]	add(sin(sin(ARG5)), protectedDiv(ARG10, mul(ARG1, ARG7)))	None	0.3787912916263541	0.5365	1	305.2516150116067	3999	0	11.0	305.2516150116067	2146	4000	1073	2000	1	0.1868894266719625	74.73813093453282	0.3787912916263541	0.3787912916263541	0.14348284261196165	1
[8]	neg(neg(ARG8))	None	0.5792915525602368	0.5575	2	305.2516150116067	3979	0	11.0	610.5032300232134	2230	4000	1115	2000	1	0.2836349611562627	115.00299850074964	0.5792915525602368	0.5792915525602368	0.33557870286764957	1
[3, 5, 7]	mul(add(ARG7, ARG5), sin(ARG3))	None	0.6749389137497895	0.5675	2	305.2516150116067	3979	0	11.0	610.5032300232134	2271	4000	1135	2000	1	0.3287603964702778	134.54322838580697	0.6749389137497895	0.6749389137497895	0.45554253729374583	1
[2, 4]	protectedDiv(mul(ARG4, -1), sub(ARG2, 5))	None	0.5595093281643826	0.5555	1	305.2516150116067	3999	0	11.0	305.2516150116067	2222	4000	1111	2000	1	0.2742295720661294	110.98500749625191	0.5595093281643826	0.5595093281643826	0.3130506883029588	1
[1, 5, 7]	protectedDiv(neg(ARG1), sub(ARG7, ARG5))	None	0.3274231836204127	0.532	3	305.2516150116067	3999	0	11.0	915.7548450348202	2127	4000	1064	2000	1	0.16191636196273318	64.48275862068954	0.3274231836204127	0.3274231836204127	0.1072059411721265	1
[7]	mul(sin(-1), neg(ARG7))	None	0.5147665426414741	0.551	1	305.2516150116067	3979	0	11.0	305.2516150116067	2203	4000	1102	2000	1	0.25285235879804496	101.9310344827586	0.5147665426414741	0.5147665426414741	0.26498459342305664	1
[0, 3, 6, 7]	add(sub(sin(ARG7), neg(ARG6)), sub(neg(ARG3), neg(ARG0)))	None	0.1261354720323163	0.512	1	305.2516150116067	3993	0	11.0	305.2516150116067	2047	4000	1024	2000	1	0.06261878527239233	24.762618690654676	0.1261354720323163	0.1261354720323163	0.015910157304815244	1
[0, 4]	sub(mul(1, ARG4), neg(ARG0))	None	0.539675280358115	0.553	1	305.2516150116067	3999	0	11.0	305.2516150116067	2211	4000	1106	2000	1	0.264620298188828	107.01449275362336	0.539675280358115	0.539675280358115	0.29124940822961	1
[0, 2, 6]	sub(protectedDiv(ARG2, ARG0), cos(ARG6))	None	0.7616055923571484	0.5765	2	305.2516150116067	3964	0	11.0	610.5032300232134	2307	4000	1153	2000	1	0.3688870794193897	152.49525237381295	0.7616055923571484	0.7616055923571484	0.5800430783096829	1
[0, 9, 2]	add(sin(mul(1, ARG2)), mul(sin(ARG9), ARG0))	None	0.6012773366524711	0.5595	1	305.2516150116067	3999	0	11.0	305.2516150116067	2237	4000	1119	2000	1	0.2939761845730907	119.50474762618705	0.6012773366524711	0.6012773366524711	0.361534435571889	1
[9]	neg(neg(ARG9))	None	0.6477416977052995	0.5645	1	305.2516150116067	3999	0	11.0	305.2516150116067	2258	4000	1129	2000	1	0.31595368047217887	128.97901049475263	0.6477416977052995	0.6477416977052995	0.41956930694614364	1
[8, 4]	mul(add(ARG8, ARG4), cos(ARG8))	None	0.48521250991231346	0.5475	4	305.2516150116067	3999	0	11.0	1221.0064600464268	2190	4000	1095	2000	1	0.23850986193680127	96.02248875562213	0.48521250991231346	0.48521250991231346	0.2354311797754069	1
[8, 6, 7]	protectedDiv(sin(ARG8), sub(ARG6, ARG7))	None	0.16030988853039718	0.5155	2	305.2516150116067	3999	0	11.0	610.5032300232134	2062	4000	1031	2000	1	0.07956241301304184	31.478760619690206	0.16030988853039718	0.16030988853039718	0.02569926036062837	1
[9, 4, 7]	add(sub(ARG4, ARG7), sin(ARG9))	None	0.3753778339328357	0.537	4	305.2516150116067	3999	0	11.0	1221.0064600464268	2149	4000	1074	2000	1	0.18540192822020093	74.00099950024992	0.3753778339328357	0.3753778339328357	0.14090851820810757	1
[0, 8, 1]	mul(cos(ARG0), protectedDiv(ARG8, cos(ARG1)))	None	0.5792915525602368	0.5575	2	305.2516150116067	3979	0	11.0	610.5032300232134	2230	4000	1115	2000	1	0.2836349611562627	115.00299850074964	0.5792915525602368	0.5792915525602368	0.33557870286764957	1
[2, 4, 5]	add(sub(ARG4, ARG2), cos(ARG5))	None	0.5939506363652962	0.5585	1	305.2516150116067	3999	0	11.0	305.2516150116067	2234	4000	1117	2000	1	0.2904251517667698	118.03848075962026	0.5939506363652962	0.5939506363652962	0.3527773584387403	1
[9, 7]	sin(sin(mul(ARG7, ARG9)))	None	0.638214441916962	0.564	4	305.2516150116067	3979	0	11.0	1221.0064600464268	2255	4000	1128	2000	1	0.31164773218413566	126.97151424287858	0.638214441916962	0.638214441916962	0.40731767387137924	1
[3, 9, 10, 2]	sub(add(ARG10, ARG2), sub(ARG3, ARG9))	None	0.12592425553863992	0.512	1	305.2516150116067	3999	0	11.0	305.2516150116067	2048	4000	1024	2000	1	0.06251551564147959	24.720639680159934	0.12592425553863992	0.12592425553863992	0.01585691813296069	1
[0, 5]	add(sin(ARG0), sin(ARG5))	None	0.5345456293843613	0.5525	1	305.2516150116067	3999	0	11.0	305.2516150116067	2210	4000	1105	2000	1	0.2621755227766287	105.97451274362834	0.5345456293843613	0.5345456293843613	0.28573902989392297	1
[5, 6]	sin(sin(add(ARG6, ARG5)))	None	0.6963267887697714	0.569	2	305.2516150116067	3993	0	11.0	610.5032300232134	2276	4000	1138	2000	1	0.3384559504170255	139.04047976011987	0.6963267887697714	0.6963267887697714	0.4848709967584218	1
[5, 6, 7]	mul(cos(sub(ARG6, ARG6)), sin(mul(ARG7, ARG5)))	None	0.5890551162965303	0.559	2	305.2516150116067	3979	0	11.0	610.5032300232134	2235	4000	1118	2000	1	0.28843324534664316	116.93553223388312	0.5890551162965303	0.5890551162965303	0.34698593003511885	1
[9, 10]	add(sin(ARG9), protectedDiv(ARG10, 1))	None	0.6425231461678014	0.5635	3	305.2516150116067	3999	0	11.0	915.7548450348202	2254	4000	1127	2000	1	0.3133382502205267	127.96251874062966	0.6425231461678014	0.6425231461678014	0.41283599336136984	1
[10, 2, 4]	mul(add(ARG4, ARG10), sub(3, ARG2))	None	0.632707464225058	0.5625	2	305.2516150116067	3999	0	11.0	610.5032300232134	2251	4000	1125	2000	1	0.3087280310825172	125.95052473763121	0.632707464225058	0.632707464225058	0.400318735286103	1
[8, 1, 10, 3]	mul(sin(protectedDiv(ARG1, ARG1)), mul(protectedDiv(ARG10, ARG10), mul(ARG8, ARG3)))	None	0.6138875449703478	0.5615	3	305.2516150116067	3979	0	11.0	915.7548450348202	2247	4000	1123	2000	1	0.3001772374628388	121.99950024987504	0.6138875449703478	0.6138875449703478	0.3768579178697208	1
[10, 2, 7]	protectedDiv(mul(neg(ARG10), neg(ARG7)), sin(sub(ARG10, ARG2)))	None	0.9545171821335404	0.5965	4	305.2516150116067	3999	0	11.0	1221.0064600464268	2385	4000	1193	2000	1	0.45508376448593835	193.4647676161918	0.9545171821335404	0.9545171821335404	0.9111030509881544	1
[1, 4]	sin(sub(ARG4, ARG1))	None	0.7258693910783475	0.573	2	305.2516150116067	3979	0	11.0	610.5032300232134	2292	4000	1146	2000	1	0.3525186586312374	145.03548225887073	0.7258693910783475	0.7258693910783475	0.526886372904451	1
