MultiSURF Analysis Completed with ExSTraCS
Run Time (sec):60.3500001431
=== SCORES ===
M0P0	9135.91447922	1
M0P1	9090.15631433	2
M1P0	170.557185054	3
M1P1	92.8562300515	4
N8	-78.7547400482	5
N4	-422.088281423	6
N10	-446.139927615	7
N9	-527.330400167	8
N7	-590.789232286	9
N0	-603.78648408	10
N15	-626.952175359	11
N5	-693.210078146	12
N13	-744.901871336	13
N11	-748.473466847	14
N3	-765.089076072	15
N2	-784.839409661	16
N12	-788.192529765	17
N1	-941.650440947	18
N6	-1113.46248974	19
N14	-1212.9930747	20
