MultiSURF Analysis Completed with ExSTraCS
Run Time (sec):64.7590000629
=== SCORES ===
N7	61769.3293959	1
N11	937.42031176	2
N8	419.121343509	3
N4	309.879672553	4
M1P0	257.845459876	5
N10	140.541790008	6
N13	102.103015459	7
N12	75.296439358	8
N1	-1.90031201441	9
M0P1	-40.9967654353	10
N15	-84.0607293299	11
N6	-91.7612899597	12
N9	-119.9938051	13
N2	-127.089443729	14
N5	-137.861929801	15
M0P0	-139.47361192	16
N3	-272.640851063	17
M1P1	-339.060816521	18
N0	-375.625974192	19
N14	-513.043162446	20
