MultiSURF Analysis Completed with ExSTraCS
Run Time (sec):25.3389999866
=== SCORES ===
P1	2556.99824501	1
N17	342.985033106	2
N9	119.248699439	3
N4	105.159549206	4
N8	52.7862081068	5
N2	35.2301013004	6
N6	26.4307646976	7
N15	-19.772353157	8
N7	-21.3889041622	9
N1	-63.4422123647	10
N13	-66.4503856042	11
N16	-67.593887853	12
N5	-186.97637408	13
N0	-212.971621307	14
N14	-242.630220605	15
N12	-348.105557897	16
N10	-363.030309336	17
P2	-378.036457213	18
N11	-391.158653933	19
N3	-444.294023721	20
