Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[1, 3, 4]	mul(div(X4, X1), mul(X3, 3))	None	0.4744291975104433	0.6021780161670449	1	469.64259706983756	4995	0	6.0	476.0102467525332	2954	5000	470	638	1	0.47702371381985276	151.0	0.4744291975104433	0.4744291975104433	0.22508306345040324	1
[0, 2, 3, 5]	max(cos(cos(X3)), div(add(X2, X5), sin(X0)))	None	0.06952056122702183	0.44491962726957035	1	469.64259706983756	4995	0	6.0	476.0102467525332	1803	5000	373	638	1	0.002254776228970052	54.0	0.06952056122702183	0.06952056122702183	0.004833108433320091	1
[]	add(lt(5, 0), mul(5, 5))	None	0.15427399684083795	0.5115654982426157	2	469.64259706983756	4958	0	6.0	952.0204935050664	2173	5000	421	638	1	0.05854680870451182	102.0	0.15427399684083795	0.15427399684083795	0.023800466101246878	1
[1, 3]	sub(mul(X1, 4), gt(X3, X3))	None	0.09775254835377062	0.4861467337956361	1	469.64259706983756	4995	0	6.0	476.0102467525332	2072	5000	396	638	1	0.002463707333498812	77.0	0.09775254835377062	0.09775254835377062	0.009555560709656264	1
[0, 3, 5]	add(add(X5, X5), add(X0, X3))	None	0.9451328834083355	0.8190921756752474	5	469.64259706983756	4995	0	6.0	2380.051233762666	3834	5000	636	638	1	0.933477681892278	317.0	0.9451328834083355	0.9451328834083355	0.8932761672997542	1
[0, 2, 3, 4, 5]	max(max(lt(X2, X2), div(X3, X0)), max(mul(-4, X5), div(X3, X4)))	None	0.2969510907196318	0.5443856198950244	1	469.64259706983756	4995	0	6.0	476.0102467525332	2194	5000	465	638	1	0.22131749235377016	146.0	0.2969510907196318	0.2969510907196318	0.088179950279579	1
[1, 2, 3, 5]	sub(sub(add(X5, X5), sin(X1)), gt(max(X2, X2), mul(X3, 2)))	None	0.08552338585841779	0.4498725293399426	1	469.64259706983756	4995	0	6.0	476.0102467525332	1906	5000	386	638	1	0.0022798766015005812	67.0	0.08552338585841779	0.08552338585841779	0.007314249528687816	1
[1, 2, 3]	add(add(sub(1, X2), max(X1, X3)), lt(lt(X2, X2), sin(X2)))	None	0.8122721399012326	0.7020122858680855	1	469.64259706983756	4995	0	6.0	476.0102467525332	2900	5000	615	638	1	0.7761770999959008	296.0	0.8122721399012326	0.8122721399012326	0.6597860292597276	1
[0, 2, 3, 4]	sub(sub(mul(X3, X4), mul(0, 0)), lt(max(0, X2), sub(X0, X2)))	None	0.07201567239494269	0.4543633830467688	1	469.64259706983756	4995	0	6.0	476.0102467525332	2100	5000	375	638	1	0.002302635397747935	56.0	0.07201567239494269	0.07201567239494269	0.005186257070495711	1
[1, 4, 5]	max(max(add(X1, 4), cos(X4)), add(lt(0, X4), add(0, X5)))	None	0.05956136654060475	0.4395364301320419	1	469.64259706983756	4995	0	6.0	4931.163882208515	1788	5000	365	638	1	0.002227495199148271	46.0	0.05956136654060475	0.05956136654060475	0.0035475563841842715	1
[2, 3]	sub(neg(neg(X2)), neg(add(X3, 2)))	None	0.917579643189072	0.7830103543269686	4	469.64259706983756	4995	0	6.0	1904.0409870101328	3415	5000	632	638	1	0.9006174976719826	313.0	0.917579643189072	0.917579643189072	0.8419524015949847	1
[2, 3]	sub(max(X2, X3), neg(X2))	None	0.9079393327601231	0.772608530445521	6	469.64259706983756	4995	0	6.0	2856.061480515199	3333	5000	631	638	1	0.8889967318499027	312.0	0.9079393327601231	0.9079393327601231	0.8243538319728975	1
[1, 3]	div(add(mul(X3, 2), cos(2)), cos(cos(X1)))	None	0.7698862046781515	0.6911715524893876	4	469.64259706983756	4995	0	6.0	1904.0409870101328	3819	5000	579	638	1	0.7524962007878725	260.0	0.7698862046781515	0.7698862046781515	0.5927247681537285	1
[3, 4, 5]	sub(div(neg(X3), div(-3, X5)), neg(cos(X4)))	None	0.23092958865684513	0.5252401645884445	1	469.64259706983756	4995	0	6.0	476.0102467525332	2598	5000	456	638	1	0.1272382518049378	137.0	0.23092958865684513	0.23092958865684513	0.05332847491721969	1
[0, 3]	add(sin(sin(X0)), add(div(X3, 3), neg(X0)))	None	0.08288540563778585	0.3623856992932446	1	469.64259706983756	4995	0	6.0	476.0102467525332	1732	5000	384	638	1	0.0018365094819337404	65.0	0.08288540563778585	0.08288540563778585	0.006869990467740302	1
[0, 1, 2, 3]	add(add(gt(X3, X0), max(X1, X2)), sub(div(X3, X0), lt(X0, -3)))	None	0.27055644938433016	0.5404760773883035	1	469.64259706983756	4995	0	6.0	476.0102467525332	2238	5000	451	638	1	0.20237077057008337	132.0	0.27055644938433016	0.27055644938433016	0.07320079230345561	1
[0, 3, 4]	mul(lt(neg(X4), add(X0, X4)), max(max(X3, X4), neg(X4)))	None	0.8753319894925825	0.7442212089547513	1	469.64259706983756	4995	0	6.0	476.0102467525332	3103	5000	624	638	1	0.8513764055763448	305.0	0.8753319894925825	0.8753319894925825	0.7662060918290425	1
[3, 4, 5]	max(add(X3, X5), sub(X4, 5))	None	0.9192783145857435	0.784672746271492	2	469.64259706983756	4995	0	6.0	952.0204935050664	3433	5000	633	638	1	0.9023775051234483	314.0	0.9192783145857435	0.9192783145857435	0.8450726196676052	1
[2, 3, 4, 5]	add(sin(gt(5, X4)), add(div(X3, X2), gt(X5, X3)))	None	0.08797733682984976	0.4559135226767985	1	469.64259706983756	4995	0	6.0	476.0102467525332	1788	5000	388	638	1	0.00231049121133761	69.0	0.08797733682984976	0.08797733682984976	0.007740011795672839	1
[2, 4]	mul(add(X2, 0), max(X4, X4))	None	0.08679433283376631	0.47257844906747715	1	469.64259706983756	4995	0	6.0	476.0102467525332	2003	5000	387	638	1	0.0023949458792871677	68.0	0.08679433283376631	0.08679433283376631	0.0075332562120586045	1
[2, 3]	div(sub(X3, X2), div(X3, X3))	None	0.7170272563502962	0.6534387764795289	2	469.64259706983756	4995	0	6.0	952.0204935050664	2828	5000	611	638	1	0.6540496937327899	292.0	0.7170272563502962	0.7170272563502962	0.5141280863492333	1
[3, 1, 0]	[[14.704999999999998, 55.295], '3', '1']	[22.480000000000004, 117.52]	0.3318232139742409	0.9292929292929293	1	433.075049058304	3996	0	0.5	433.075049058304	16	16	2	2	1	0.9868136278746111	1.031347962382445	0.3318232139742409	0.3318232139742409	0.11010664533219487	1
[3, 1, 0]	[[69.16, 100.84], '1', '5']	[133.37, 206.63]	0.336248515781616	0.9584027777777778	1	427.543738904685	3554	0	0.5	427.543738904685	25	25	4	4	1	0.9953768116147415	2.815047021943574	0.336248515781616	0.336248515781616	0.11306306436533968	1
[3, 1, 0, 4, 2]	[[19.835, 86.16499999999999], '8', '0', '3', [-3.45, 3.45]]	[59.47, 152.53]	0.7071106586788354	1.0	1	415.82944	3830	0	0.8333333333333334	415.82944	9	9	2	2	1	1.00000000000145	1.0564263322884013	0.7071106586788354	0.7071106586788354	0.5000054836172164	1
