Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[1, 3, 4]	mul(div(X4, X1), mul(X3, 3))	None	0.4744291975104433	0.6021780161670449	1	614.1760671320792	9979	0	6.0	616.2529416354339	4588	10000	470	638	1	0.47702371381985276	151.0	0.4744291975104433	0.4744291975104433	0.22508306345040324	1
[]	add(lt(5, 0), mul(5, 5))	None	0.15427399684083795	0.5115654982426157	1	614.1760671320792	9979	0	6.0	616.2529416354339	3063	10000	421	638	1	0.05854680870451182	102.0	0.15427399684083795	0.15427399684083795	0.023800466101246878	1
[0, 3, 5]	add(add(X5, X5), add(X0, X3))	None	0.9451328834083355	0.8190921756752474	3	614.1760671320792	9979	0	6.0	1848.7588249063017	5420	10000	636	638	1	0.933477681892278	317.0	0.9451328834083355	0.9451328834083355	0.8932761672997542	1
[0, 2, 3, 4, 5]	max(max(lt(X2, X2), div(X3, X0)), max(mul(-4, X5), div(X3, X4)))	None	0.2969510907196318	0.5443856198950244	1	614.1760671320792	9979	0	6.0	616.2529416354339	2918	10000	465	638	1	0.22131749235377016	146.0	0.2969510907196318	0.2969510907196318	0.088179950279579	1
[1, 2, 3]	add(add(sub(1, X2), max(X1, X3)), lt(lt(X2, X2), sin(X2)))	None	0.8122721399012326	0.7020122858680855	2	614.1760671320792	9979	0	6.0	1232.5058832708678	3684	10000	615	638	1	0.7761770999959008	296.0	0.8122721399012326	0.8122721399012326	0.6597860292597276	1
[2, 3]	sub(neg(neg(X2)), neg(add(X3, 2)))	None	0.917579643189072	0.7830103543269686	4	614.1760671320792	9979	0	6.0	2465.0117665417356	4778	10000	632	638	1	0.9006174976719826	313.0	0.917579643189072	0.917579643189072	0.8419524015949847	1
[2, 3]	sub(max(X2, X3), neg(X2))	None	0.9079393327601231	0.772608530445521	3	614.1760671320792	9979	0	6.0	1848.7588249063017	4547	10000	631	638	1	0.8889967318499027	312.0	0.9079393327601231	0.9079393327601231	0.8243538319728975	1
[1, 3]	div(add(mul(X3, 2), cos(2)), cos(cos(X1)))	None	0.7698862046781515	0.6911715524893876	2	614.1760671320792	9979	0	6.0	1232.5058832708678	6331	10000	579	638	1	0.7524962007878725	260.0	0.7698862046781515	0.7698862046781515	0.5927247681537285	1
[3, 4, 5]	sub(div(neg(X3), div(-3, X5)), neg(cos(X4)))	None	0.23092958865684513	0.5252401645884445	1	614.1760671320792	9937	0	6.0	616.2529416354339	3858	10000	456	638	1	0.1272382518049378	137.0	0.23092958865684513	0.23092958865684513	0.05332847491721969	1
[0, 1, 2, 3]	add(add(gt(X3, X0), max(X1, X2)), sub(div(X3, X0), lt(X0, -3)))	None	0.27055644938433016	0.5404760773883035	1	614.1760671320792	9979	0	6.0	616.2529416354339	3195	10000	451	638	1	0.20237077057008337	132.0	0.27055644938433016	0.27055644938433016	0.07320079230345561	1
[2, 3]	div(sub(X3, X2), div(X3, X3))	None	0.7170272563502962	0.6534387764795289	2	614.1760671320792	9979	0	6.0	1232.5058832708678	3518	10000	611	638	1	0.6540496937327899	292.0	0.7170272563502962	0.7170272563502962	0.5141280863492333	1
[3, 1, 0, 4, 2]	[[30.169999999999998, 63.83], '4', '0', '4', [5.9, 10.1]]	[59.349999999999994, 128.65]	0.7071124090383504	1.0	1	547.6651606704129	9573	0	0.8333333333333334	547.6651606704129	17	17	2	2	1	1.00000000000145	1.2727272727272727	0.7071124090383504	0.7071124090383504	0.5000079590160194	1
[3, 1, 0, 4, 2]	[[16.290000000000003, 73.71], '7', '5', '7', [0.9499999999999997, 5.050000000000001]]	[54.36, 125.64]	0.7071121622941531	1.0	1	547.2215567622144	5108	0	0.8333333333333334	547.2215567622144	17	17	2	2	1	1.00000000000145	1.2445141065830723	0.7071121622941531	0.7071121622941531	0.5000076100643127	1
[3, 1]	[[20.695, 59.305], '10']	[19.61, 140.39]	0.33693984820859396	0.8860606060606061	1	623.0160313453905	9532	0	0.3333333333333333	623.0160313453905	374	374	25	25	1	0.9554311935256607	9.639498432601881	0.33693984820859396	0.33693984820859396	0.11352846131083034	1
[3, 1, 0, 4]	[[62.865, 135.135], '5', '3', '3']	[135.63, 260.37]	0.3330879543288356	0.92125	1	456.0022061318144	7029	0	0.6666666666666666	456.0022061318144	17	17	2	2	1	0.990032499535234	1.4169278996865202	0.3330879543288356	0.3330879543288356	0.11094758531896846	1
[3, 1, 0]	[[12.844999999999999, 81.155], '1', '2']	[43.51, 144.49]	0.2783439413074223	0.7047397047397047	1	620.938602784389	9803	0	0.5	620.938602784389	142	190	10	13	1	0.7636505056896403	3.3166144200626952	0.2783439413074223	0.2783439413074223	0.07747534966254975	1
[3, 1, 0]	[[-1.8600000000000012, 25.86], '4', '0']	[-14.61, 62.61]	0.33474747651438286	0.9484680134680135	1	550.2081219946341	9587	0	0.5	550.2081219946341	32	32	3	3	1	0.9937091312622621	2.012539184952978	0.33474747651438286	0.33474747651438286	0.1120558730327473	1
[3, 1, 0]	[[-19.245, 31.245], '9', '0']	[-26.61, 50.61]	0.3241363038651334	0.7556414141414142	1	576.4607572574574	9747	0	0.5	576.4607572574574	49	65	4	5	1	0.9435730729537631	2.6598746081504703	0.3241363038651334	0.3241363038651334	0.10506434348335011	1
