Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[3, 11, 5]	max(max(X11, X11), max(X3, X5))	None	0.7901374587983179	0.6567149786486943	1	606.5041776128172	49724	0	13.0	603.1753467188025	12963	50000	1342	1500	1	0.6636370640965868	592.0	0.7901374587983179	0.7901374587983179	0.6243172037962634	1
[5, 7]	add(max(X5, X7), div(-4, -4))	None	0.985645064335622	0.6072609100841773	1	606.5041776128172	49799	0	13.0	603.1753467188025	9841	50000	1489	1500	1	0.496836055169097	739.0	0.985645064335622	0.985645064335622	0.9714961928491725	1
[5]	[[-0.5234984256699997, 14.95644956967]]	[-16.52047646244, 55.38637874244]	0.9819022627910895	0.8931242695033852	2	599.0156986743036	49994	0	0.07692307692307693	1184.0925729464986	15135	15135	455	455	1	0.9748315027626967	229.01666666666668	0.9819022627910895	0.9819022627910895	0.9641320536742618	1
[5]	[[11.5148953358, 41.4760850042]]	[43.01038549565, 72.97157516435]	0.5531506745199248	0.46478285239708284	1	618.7119890008591	49958	0	0.07692307692307693	632.6718481466289	14672	29198	441	877	1	0.5490383932219413	183.74666666666667	0.5531506745199248	0.5531506745199248	0.30597566872184784	1
[5, 11, 0, 2, 10, 4, 1, 6, 9, 8, 12]	[[2.7931951615, 27.760853218500003], [1.2464499999999998, 2.69355], [0.08030999999999999, 0.69969], [4.165, 5.415], [-0.5870689377199999, 1.21179765772], [37.540499999999994, 91.4595], [302.19865, 533.22135], [7.688468499999999, 10.9723315], [1.56475, 4.06325], [13.075, 36.925], [6.0, 98.0]]	[13.083156118474996, 58.024940621525]	0.9999991088955993	1.0	1	570.0648285257771	48438	0	0.8461538461538461	570.0648285257771	35	35	2	2	1	1.00000000000145	1.1133333333333333	0.9999991088955993	0.9999991088955993	0.9999982177919926	1
[5]	[[-4.972920375400001, 28.643124221039997]]	[-8.621900440150004, 61.28754212015001]	0.9384159884521691	0.8377365721099485	1	610.0043804573057	49994	60	0.07692307692307693	613.5085555806752	27877	28610	837	859	1	0.9314156038836628	357.67799999999994	0.9384159884521691	0.9384159884521691	0.8806245673826616	1
[5]	sub(-5, mul(-3, X5))	None	0.9986738386811088	0.5732836876715739	2	606.5041776128172	49994	237	13.0	1206.350693437605	23676	49763	1499	1500	1	0.35561515173769115	749.0	0.9986738386811088	0.9986738386811088	0.9973494360660613	1
[5, 11, 0, 2, 10, 4, 1, 6, 9]	[[30.70066327176, 46.679964428240005], [1.5568499999999998, 3.40315], [0.16517, 0.50483], [3.5650000000000004, 4.915], [3.5450781355, 0.5011784274], [9.261499999999998, 91.13850000000001], [-78.74300000000001, 438.43420000000003], [0.5934694999999999, 5.668530499999999], [-0.227055, 2.921055]]	[61.907148093055, 102.85410730694501]	1.0	1.0	1	249.0	266	266	0.6923076923076923	249.0	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[5]	max(X5, -6)	None	0.953399918150407	0.5761059773507364	2	606.5041776128172	49547	366	13.0	1206.350693437605	8425	49634	1465	1500	1	0.368094762448818	715.0	0.953399918150407	0.953399918150407	0.9089714039292028	1
[5]	[[28.726721000619996, 37.69334212394]]	[35.444899735039996, 83.38280320496]	0.9776723290125624	0.8779207476875119	1	605.4604318637787	49984	374	0.07692307692307693	601.2819247871543	8074	8074	244	244	1	0.9720200558944361	131.43466666666666	0.9776723290125624	0.9776723290125624	0.9558431829168481	1
[10, 3, 5, 6]	add(max(X3, X5), min(X6, X10))	None	0.7421257074848426	0.6491138615128709	2	606.5041776128172	49724	452	13.0	1206.350693437605	12625	49548	1306	1500	1	0.6410795212867638	556.0	0.7421257074848426	0.7421257074848426	0.5507505657098782	1
