Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[5]	[[-4.972920375400001, 28.643124221039997]]	[-8.621900440150004, 61.28754212015001]	0.9384159884521691	0.8377365721099485	6	505.32163397361285	99980	60	0.07692307692307693	3187.2378981282754	55768	57234	837	859	1	0.9314156038836628	357.67799999999994	0.9384159884521691	0.9384159884521691	0.8806245673826616	1
[5]	add(X5, X5)	None	0.9999616152448766	0.8881825709622844	4	494.2808120855988	78317	4924	13.0	2076.2266805234262	48104	95076	1499	1500	1	0.9726256031347865	749.0	0.9999616152448766	0.9999616152448766	0.9999232319631426	1
[5]	max(add(X5, X5), X5)	None	0.9999610834469259	0.887549323009997	3	494.2808120855988	78317	6551	13.0	1557.1700103925696	46477	93449	1499	1500	1	0.9723708035811853	749.0	0.9999610834469259	0.9999610834469259	0.9999221684083499	1
[11, 5]	max(add(add(X5, X5), X11), X5)	None	0.9999836744730392	0.9185744553150965	1	494.2808120855988	99995	8898	13.0	519.0566701308566	70087	91102	1499	1500	1	0.9831948080023184	749.0	0.9999836744730392	0.9999836744730392	0.9999673492126011	1
[5]	max(add(X5, X5), add(X5, X5))	None	0.999961085901461	0.8875522369714574	3	494.2808120855988	78317	15951	13.0	1557.1700103925696	37077	84049	1499	1500	1	0.972371979618873	749.0	0.999961085901461	0.999961085901461	0.9999221733172291	1
[11, 5]	add(add(X5, X5), X11)	None	0.9999836774205119	0.9185791758090277	2	494.2808120855988	99995	18161	13.0	1038.1133402617131	60824	81839	1499	1500	1	0.9831962202205216	749.0	0.9999836774205119	0.9999836774205119	0.9999673551074503	1
[5]	[[18.770746566940005, 52.81973165223]]	[35.444899735039996, 104.46128510557]	0.830946560495838	0.8303798999117669	1	530.513346801088	99995	18422	0.07692307692307693	544.39168350136	50963	51453	937	946	1	0.8247641196640259	285.52133333333336	0.830946560495838	0.830946560495838	0.6904721863998634	1
[5]	[[-4.972920375400001, 28.643124221039997]]	[-9.68915637135, 61.28754212015001]	0.9383248137036123	0.8376351148872823	3	505.32163397361285	99980	20631	0.07692307692307693	1593.6189490641377	44288	45452	837	859	1	0.9313250911827065	357.67799999999994	0.9383248137036123	0.9383248137036123	0.8804534560119187	1
[5]	max(X5, add(X5, X5))	None	0.9999610894349444	0.887556431976041	4	494.2808120855988	78317	20741	13.0	2076.2266805234262	32287	79259	1499	1500	1	0.9723736726114975	749.0	0.9999610894349444	0.9999610894349444	0.999922180383921	1
[10, 5]	max(add(add(X5, X5), X10), X5)	None	0.9999830948996395	0.9176504201839841	3	494.2808120855988	99980	23054	13.0	1557.1700103925696	56204	76946	1499	1500	1	0.9829171178695998	749.0	0.9999830948996395	0.9999830948996395	0.9999661900850615	1
[5]	[[-4.972920375400001, 24.656298427760003]]	[-8.621900440150004, 49.31906524641]	0.9449486792912367	0.8042489942271998	1	501.19213034586363	99980	26724	0.07692307692307693	523.1408795817649	32292	35765	661	732	1	0.9379108812008102	338.432	0.9449486792912367	0.9449486792912367	0.8929280064942525	1
[11, 5, 7]	add(max(X7, X5), add(X5, X11))	None	0.9999892491728862	0.9279132260483464	1	494.2808120855988	99995	30395	13.0	519.0566701308566	49395	69605	1499	1500	1	0.9858658055696147	749.0	0.9999892491728862	0.9999892491728862	0.9999784984613528	1
[5]	[[22.26732687637, 52.81973165223]]	[38.546667834429996, 104.46128510557]	0.8892881640542458	0.8442712421022092	2	526.7758545406709	99995	32921	0.07692307692307693	1079.4396363516773	36980	37383	827	836	1	0.8826897629212493	270.78133333333335	0.8892881640542458	0.8892881640542458	0.7908334387269712	1
[5, 11]	[[1.6409455154899995, 23.11313144451], [0.34824999999999995, 3.59175]]	[9.423418578169997, 50.72690972809]	0.9821165084938821	0.8763101078999262	3	523.2850769299546	99954	34938	0.15384615384615385	1624.7112981091625	16817	17207	388	397	1	0.9750703377681947	223.642	0.9821165084938821	0.9821165084938821	0.9645528362562136	1
[5]	[[-4.972920375400001, 24.88262778451]]	[-8.621900440150004, 62.397525122135]	0.9625099874479563	0.873808953271924	4	501.19213034586363	99980	38035	0.07692307692307693	2092.5635183270597	30278	30278	733	733	1	0.9553580469646524	312.74666666666667	0.9625099874479563	0.9625099874479563	0.926425475937065	1
[5]	[[1.6409455154899995, 24.88262778451]]	[-10.613166110380002, 53.2671960858]	0.9759183205604897	0.8741967841781749	1	503.8595072003418	99980	38267	0.07692307692307693	528.3506000006676	27486	27939	668	679	1	0.9686542142376932	341.17466666666667	0.9759183205604897	0.9759183205604897	0.9524165684056066	1
[5]	[[21.07561611948, 52.81973165223]]	[41.15899430504, 119.17673249557001]	0.9133013333121591	0.8506637701102799	2	526.7786257821482	99995	40328	0.07692307692307693	1079.4465644553704	34606	34606	870	870	1	0.906509496115398	307.4000000000001	0.9133013333121591	0.9133013333121591	0.8341193254297676	1
[5]	[[-4.972920375400001, 31.673545796480003]]	[3.7562631464899994, 61.28754212015001]	0.8528070245059568	0.7710124932520128	1	513.2865889830356	99980	41595	0.07692307692307693	546.7628691074913	32591	36327	837	933	1	0.8464497754479654	316.38599999999997	0.8528070245059568	0.8528070245059568	0.7272798210467036	1
[5]	[[18.770746566940005, 51.72916338363]]	[41.15899430504, 119.17673249557001]	0.8966192346948827	0.8398788714921941	1	530.513346801088	99995	41778	0.07692307692307693	544.39168350136	36713	36713	946	946	1	0.8899345474481325	334.25333333333333	0.8966192346948827	0.8966192346948827	0.8039260520248371	1
[5]	[[21.07561611948, 44.28887087767]]	[35.54015253214, 118.514851368395]	0.9280785894401566	0.8803221523314783	2	546.8513999995188	99995	44065	0.07692307692307693	1129.628499998797	25727	25727	690	690	1	0.9214210604394298	211.14000000000004	0.9280785894401566	0.9280785894401566	0.8613298681772308	1
[5]	[[18.770746566940005, 52.81973165223]]	[35.54015253214, 104.46128510557]	0.832372958491224	0.8305343838695759	2	530.513346801088	99995	44713	0.07692307692307693	1088.78336700272	34530	34862	937	946	1	0.8261798317303968	286.15200000000004	0.832372958491224	0.832372958491224	0.6928447420274328	1
[5]	[[20.357072154660003, 52.81973165223]]	[41.15899430504, 119.17673249557001]	0.9097517284835512	0.8482431738136111	2	526.8625794234462	99995	45670	0.07692307692307693	1079.6564485586155	32172	32172	888	888	1	0.9029823540844164	313.7600000000001	0.9097517284835512	0.9097517284835512	0.8276482074788092	1
[2, 5]	add(X5, add(X5, X2))	None	0.9848511264732299	0.9006195507380601	3	494.2808120855988	99980	48145	13.0	1557.1700103925696	31322	51855	1464	1500	1	0.9773280079204346	714.0	0.9848511264732299	0.9848511264732299	0.9699317413155899	1
[5]	[[21.07561611948, 52.81973165223]]	[53.20444171618499, 119.627820195265]	0.8931135178635657	0.7793331252411845	1	526.7786257821482	99995	50459	0.07692307692307693	539.7232822276852	25731	28736	779	870	1	0.8864579701247982	327.18	0.8931135178635657	0.8931135178635657	0.7976517557906337	1
[5]	[[-4.972920375400001, 30.30100388679]]	[3.7562631464899994, 59.40183438267]	0.8785022115396781	0.7772109505633574	3	514.0145092042845	99980	51172	0.07692307692307693	1644.5537648688542	26261	29217	807	898	1	0.8719544814979835	323.876	0.8785022115396781	0.8785022115396781	0.7717661356801053	1
[5]	[[22.26732687637, 53.61493350477]]	[41.15899430504, 118.514851368395]	0.9190526754758974	0.8547511826353426	1	526.7758545406709	99995	52524	0.07692307692307693	539.7198181758387	26458	26458	836	836	1	0.9122253319640692	295.38666666666666	0.9190526754758974	0.9190526754758974	0.8446578202994052	1
[5]	[[-4.972920375400001, 14.95644956967]]	[9.423418578169997, 28.73592244338]	0.8907071287068152	0.6301421986910318	1	475.68020183654005	99929	52605	0.07692307692307693	467.18781536959386	9517	14346	301	454	1	0.8842827113236383	209.89733333333334	0.8907071287068152	0.8907071287068152	0.7933591891291392	1
[5, 11, 6]	[[31.789767632070003, 44.28887087767], [1.5027999999999997, 4.2972], [2.6794365, 8.351563500000001]]	[53.20444171618499, 118.514851368395]	0.9887484885526071	0.9293707840499139	2	487.08302674571576	99919	52772	0.23076923076923078	974.1660534914315	4093	4093	130	130	1	0.9854852976999999	62.486666666666665	0.9887484885526071	0.9887484885526071	0.977623573615065	1
[11, 5]	max(add(X5, add(X5, X11)), X5)	None	0.9459500088085695	0.8262069732894577	2	494.2808120855988	99995	52784	13.0	1038.1133402617131	26484	47216	1338	1500	1	0.9387749774814319	588.0	0.9459500088085695	0.9459500088085695	0.8948214191649327	1
[5]	[[20.357072154660003, 51.31696814534]]	[35.54015253214, 118.514851368395]	0.8579263110657541	0.8435367265735395	2	526.8625794234462	99995	53582	0.07692307692307693	1079.6564485586155	27479	27479	888	888	1	0.8515551449172751	271.72800000000007	0.8579263110657541	0.8579263110657541	0.7360375552188931	1
[5]	[[26.877499998650002, 50.79153719793]]	[41.15899430504, 119.17673249557001]	0.9295097290581984	0.8628177691345501	2	510.2761395365769	99995	53809	0.07692307692307693	1038.1903488414423	21578	21578	701	701	1	0.9226674460337336	247.68666666666672	0.9295097290581984	0.9295097290581984	0.8639883364138454	1
[5, 6]	add(max(add(X5, X6), X5), X5)	None	0.981005973088749	0.8904831867844594	1	494.2808120855988	99967	54257	13.0	519.0566701308566	35476	45743	1411	1500	1	0.973538375060309	661.0	0.981005973088749	0.981005973088749	0.9623727192358034	1
[5]	[[20.357072154660003, 53.61493350477]]	[41.15899430504, 119.17673249557001]	0.9099458109644685	0.8483735082365114	1	526.8625794234462	99995	54296	0.07692307692307693	539.8282242793077	27069	27069	888	888	1	0.9031750272733667	313.7600000000001	0.9099458109644685	0.9099458109644685	0.8280013788917842	1
[11, 5]	max(X5, max(add(X5, add(X5, X11)), -6))	None	0.9310057287806242	0.8073701051196469	2	494.2808120855988	99995	54509	13.0	1038.1133402617131	24954	45491	1303	1500	1	0.9239574386332446	553.0	0.9310057287806242	0.9310057287806242	0.8667716670223411	1
