Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[5]	[[153.27949481279998, 502.41027078720003]]	[436.23613508752, 875.1433963124799]	0.5123534846978103	0.5610533107941218	1	949.6362264573063	49987	0	0.07692307692307693	950.2085105874113	21767	34503	653	1036	1	0.5123166760272515	201.99466666666666	0.5123534846978103	0.5123534846978103	0.2625060932819893	1
[5, 4, 6, 0]	[[142.44024683680001, 366.8814599632], [20.47999999999999, 110.12], [-2.0392840000000008, 3.5454840000000005], [0.349135, 0.618865]]	[225.02950360655996, 793.61391019344]	0.9691027427228229	0.8949780123727756	1	953.8950412360095	49519	0	0.3076923076923077	953.8688015450119	975	975	30	30	1	0.969100614185346	13.099999999999998	0.9691027427228229	0.9691027427228229	0.9391601259528979	1
[5, 4, 6, 0, 2, 1, 12, 9, 3, 10, 7]	[[114.65177962415999, 383.98123537584], [77.33599999999998, 194.864], [4.986572, 10.172428], [0.6742049999999999, 1.083795], [4.245, 5.495], [439.5482, 870.6518000000001], [144.0, 240.0], [2.64975, 3.89825], [14.5, 57.5], [1.3907802122750001, 3.6389457697250003], [-0.5552250000000001, 2.991225]]	[339.03037465456003, 658.2356555454401]	0.9999996600803623	1.0	1	929.2420780612962	46842	0	0.8461538461538461	929.2420780612962	35	35	2	2	1	1.00000000000145	1.3786666666666667	0.9999996600803623	0.9999996600803623	0.9999993201608403	1
[5]	add(X5, X5)	None	0.9998623828399793	0.9969880990252857	10	950.3811723102799	49987	396	13.0	9507.16086689499	49600	49604	1499	1500	1	0.9995880108320508	749.0	0.9998623828399793	0.9998623828399793	0.9997247846184414	1
[5]	max(X5, X5)	None	0.804198845493696	0.7068945235109669	1	950.3811723102799	49543	536	13.0	950.7160866894991	6126	49464	1388	1500	1	0.7862200619330759	638.0	0.804198845493696	0.804198845493696	0.6467357830933935	1
[5]	[[321.31031141024005, 50.3088126472]]	[692.49644795968, 1151.3540392403202]	1.0	1.0	1	450.20464170965	691	691	0.07692307692307693	450.20464170965	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[5, 0]	[[286.80259269759995, 50.3088126472], [0.20420000000000002, 0.6038]]	[639.11487795456, 958.32015884544]	1.0	1.0	1	429.55838698227285	952	952	0.15384615384615385	429.55838698227285	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[5]	[[298.24595686592, 537.64991753408]]	[764.6686161128, 975.5481847897601]	0.7161930673570662	0.4890406438575804	1	948.6703473777101	49919	1820	0.07692307692307693	946.2795342336184	10182	19755	317	615	1	0.7161590524560599	187.03	0.7161930673570662	0.7161930673570662	0.5129325097303232	1
[10, 5]	add(max(X5, X10), X5)	None	0.9999542670460154	0.9983206423485507	3	950.3811723102799	49987	1846	13.0	2852.148260068497	48150	48154	1499	1500	1	0.9997717961024544	749.0	0.9999542670460154	0.9999542670460154	0.9999085361835339	1
[5, 4, 6]	[[353.2822088368, 50.3088126472], [-19.220000000000002, 95.46000000000001], [1.6687279999999998, 6.455672]]	[741.47749527104, 1120.53376632896]	1.0	1.0	1	345.4903777875976	1861	1861	0.23076923076923078	345.4903777875976	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[5, 2, 0]	[[-49.44283763120001, 316.90908625056], [3.675, 5.0249999999999995], [0.47632, 0.0999]]	[-119.96593391615997, 608.2211131161599]	1.0	1.0	1	318.37532493054283	2161	2161	0.23076923076923078	318.37532493054283	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[5]	[[310.07897664192, 50.3088126472]]	[543.67969041168, 1158.8168646872]	1.0	1.0	1	328.81048415460657	2259	2259	0.07692307692307693	328.81048415460657	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[5, 4]	[[271.59959542416, 540.92905117584], [37.443999999999996, 158.95600000000002]]	[453.29210342304, 947.1933745758399]	0.9361976036441907	0.8216964264724685	1	949.2099743994551	49919	2309	0.15384615384615385	948.852676389003	12688	13829	399	435	1	0.9361644489304012	182.66	0.9361976036441907	0.9361976036441907	0.8764659530691251	1
[5]	add(max(X5, X5), X5)	None	0.999908489732103	0.9976545866749642	5	950.3811723102799	49987	2348	13.0	4753.580433447495	47648	47652	1499	1500	1	0.9996802351880864	749.0	0.999908489732103	0.999908489732103	0.9998169878383352	1
[4, 5]	add(max(X5, max(X5, X4)), X5)	None	0.9990613842831068	0.986053539688796	1	950.3811723102799	49987	2433	13.0	950.7160866894991	40777	47567	1499	1500	1	0.9979851497537356	749.0	0.9990613842831068	0.9990613842831068	0.9981236495656776	1
[5]	[[307.19461129632003, 50.3088126472]]	[569.8973866344, 1187.96121169344]	1.0	1.0	1	328.1191601233546	2590	2590	0.07692307692307693	328.1191601233546	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[5, 4]	[[241.72779211279996, 499.16701132400004], [125.856, 203.54399999999998]]	[528.34382675088, 1136.82889344912]	0.9497536616307153	0.8337868410293623	1	949.5570548181744	49919	2984	0.15384615384615385	948.8078981533976	8807	9278	281	296	1	0.949728078714277	141.288	0.9497536616307153	0.9497536616307153	0.9020320177809512	1
[5]	[[-49.44283763120001, 309.098139072]]	[-80.1005220264, 608.2211131161599]	0.9028770617919681	0.8292169744242389	2	952.1576105403205	49987	3363	0.07692307692307693	1903.590168306889	28107	28669	904	922	1	0.9028135902994973	348.3413333333333	0.9028770617919681	0.9028770617919681	0.8151869887100974	1
[5]	[[160.12354612672002, 499.27915707328]]	[696.24356401024, 975.5481847897601]	0.3649432737286587	0.39534798313492436	1	949.6362264573063	49919	3396	0.07692307692307693	950.2085105874113	13419	31599	432	1017	1	0.3649179287162862	139.10400000000004	0.3649432737286587	0.3649432737286587	0.13318359303979072	1
[12, 5]	add(max(X12, X5), X5)	None	0.996637126788494	0.9768900512015846	2	950.3811723102799	49987	3789	13.0	1901.4321733789982	38371	46211	1488	1500	1	0.9965024021585054	738.0	0.996637126788494	0.996637126788494	0.9932855624932247	1
[4, 5]	add(max(X4, X5), X5)	None	0.9979492879871658	0.9849457234356769	3	950.3811723102799	49987	3815	13.0	2852.148260068497	39395	46185	1497	1500	1	0.9978129173777874	747.0	0.9979492879871658	0.9979492879871658	0.995902781394091	1
[4, 5, 7]	add(max(max(X5, X4), X7), X5)	None	0.9979493849277435	0.9849463435814739	1	950.3811723102799	49987	3873	13.0	950.7160866894991	39337	46127	1497	1500	1	0.9978130143183921	747.0	0.9979493849277435	0.9979493849277435	0.9959029748776617	1
[5, 6]	add(max(X6, X5), X5)	None	0.9999981962459529	0.9989639201476832	3	950.3811723102799	49987	4004	13.0	2852.148260068497	45992	45996	1499	1500	1	0.9998596565921625	749.0	0.9999981962459529	0.9999981962459529	0.9999963924951593	1
[5]	[[-49.44283763120001, 301.49894250112]]	[-70.32575447696001, 558.10964227696]	0.8890765847046292	0.7965748447121066	1	952.1532367881078	49987	4149	0.07692307692307693	951.778399612838	25342	27327	829	894	1	0.8890155652529461	334.916	0.8890765847046292	0.8890765847046292	0.7904571734700477	1
[5]	[[-49.44283763120001, 309.098139072]]	[-119.96593391615997, 608.2211131161599]	0.9026035384401384	0.8290096181325701	1	952.1576105403205	49987	4668	0.07692307692307693	951.7950841534445	27314	27860	904	922	1	0.9025400668720811	348.3413333333333	0.9026035384401384	0.9026035384401384	0.8146931476046584	1
[5, 4]	[[233.28449973424, 470.14465146448], [121.16, 20.62]]	[262.07811629776, 980.2899983022398]	1.0	1.0	1	413.63400248851985	4729	4729	0.15384615384615385	413.63400248851985	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[12, 5]	add(X5, max(X5, X12))	None	0.9958567737000771	0.9723881142617191	1	950.3811723102799	49987	4923	13.0	950.7160866894991	37246	45077	1480	1500	1	0.9957235122695511	730.0	0.9958567737000771	0.9958567737000771	0.9917307137243265	1
[5, 10]	[[-43.34289177327999, 295.81271917328], [0.22212293178499976, 3.369554712215]]	[-36.809958507359994, 541.74961310736]	0.8999059149949056	0.80001230975342	1	952.1472672797815	49964	4979	0.15384615384615385	952.2170021965987	16359	17619	545	587	1	0.8998645242738901	227.62866666666667	0.8999059149949056	0.8999059149949056	0.8098306558428182	1
[5]	[[241.72779211279996, 544.4254946784]]	[461.31697933184006, 940.1249006681601]	0.9153646937633033	0.7890758735419383	2	948.8719481371807	49987	5129	0.07692307692307693	1894.4816831319874	20528	23040	686	770	1	0.9153068808454833	317.4266666666667	0.9153646937633033	0.9153646937633033	0.8378925225883861	1
[5, 4, 6]	[[412.57110039120005, 50.3088126472], [105.19200000000001, 200.808], [5.667731999999999, 9.357668]]	[576.8710712622401, 1149.3350641872]	1.0	1.0	1	393.1043605660955	5227	5227	0.23076923076923078	393.1043605660955	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[5]	[[298.24595686592, 537.64991753408]]	[235.17056630911998, 975.5481847897601]	0.3474822769833754	0.7731564474985938	1	948.6703473777101	49919	5677	0.07692307692307693	946.2795342336184	17106	18172	579	615	1	0.34745918336602094	126.77000000000004	0.3474822769833754	0.3474822769833754	0.12074393281755123	1
[5, 3]	[[215.85893594944002, 395.41190645055997], [78.0, 10.0]]	[461.64336698240004, 760.8983178176]	1.0	1.0	1	442.95460929509517	5691	5691	0.15384615384615385	442.95460929509517	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[3, 5]	add(max(-2, max(X5, X3)), X5)	None	0.9997579589741663	0.9954945140534671	1	950.3811723102799	49987	5929	13.0	950.7160866894991	41233	44071	1499	1500	1	0.9993791234190822	749.0	0.9997579589741663	0.9997579589741663	0.9995159765321908	1
[5]	add(X5, max(X5, X5))	None	0.9998624179339897	0.9969886046680482	7	950.3811723102799	49987	6191	13.0	6655.0126068264935	43805	43809	1499	1500	1	0.9995880810297367	749.0	0.9998624179339897	0.9998624179339897	0.9997248547968042	1
[5, 6]	add(max(X5, X6), X5)	None	0.9999981931020299	0.9989638739642535	3	950.3811723102799	49987	6289	13.0	2852.148260068497	43707	43711	1499	1500	1	0.999859650304305	749.0	0.9999981931020299	0.9999981931020299	0.9999963862073246	1
[4, 5]	add(max(-2, max(X5, X4)), X5)	None	0.9954527957923691	0.9701383898149054	2	950.3811723102799	49987	6444	13.0	1901.4321733789982	36773	43556	1471	1500	1	0.9953211805922026	721.0	0.9954527957923691	0.9954527957923691	0.9909262686508441	1
[3, 12, 5]	add(max(X12, X5), max(X3, X5))	None	0.9884225982442153	0.9372321997344419	1	950.3811723102799	49987	6449	13.0	950.7160866894991	35069	43551	1422	1500	1	0.9882999445188376	672.0	0.9884225982442153	0.9884225982442153	0.9769792327198454	1
[5]	add(max(X5, X5), max(-2, X5))	None	0.9998624380141079	0.9969888939882408	5	950.3811723102799	49987	6660	13.0	4753.580433447495	43336	43340	1499	1500	1	0.9995881211955022	749.0	0.9998624380141079	0.9998624380141079	0.9997248949515157	1
[5, 4]	[[271.59959542416, 540.92905117584], [37.443999999999996, 158.95600000000002]]	[673.39022871792, 947.1933745758399]	0.8290677847161256	0.6120822827087393	1	949.2099743994551	49919	6727	0.15384615384615385	948.852676389003	8225	12553	285	435	1	0.8290382662526051	162.62	0.8290677847161256	0.8290677847161256	0.687353391654104	1
