Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[5]	add(X5, X5)	None	0.9998623828399793	0.9969880990252857	11	957.3884731302697	99988	396	13.0	110084.67614799805	99153	99604	1499	1500	1	0.9995880108320508	749.0	0.9998623828399793	0.9998623828399793	0.9997247846184414	1
[5]	[[321.31031141024005, 50.3088126472]]	[692.49644795968, 1151.3540392403202]	1.0	1.0	1	450.20464170965	691	691	0.07692307692307693	450.20464170965	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[5]	add(max(X5, X5), X5)	None	0.999908489732103	0.9976545866749642	10	957.3884731302697	99988	2348	13.0	9478.06216374385	97201	97652	1499	1500	1	0.9996802351880864	749.0	0.999908489732103	0.999908489732103	0.9998169878383352	1
[5]	[[-49.44283763120001, 309.098139072]]	[-80.1005220264, 608.2211131161599]	0.9028770617919681	0.8292169744242389	4	938.2852674042603	99988	3363	0.07692307692307693	3759.978651595783	58239	59404	904	922	1	0.9028135902994973	348.3413333333333	0.9028770617919681	0.9028770617919681	0.8151869887100974	1
[5]	[[241.72779211279996, 544.4254946784]]	[461.31697933184006, 940.1249006681601]	0.9153646937633033	0.7890758735419383	3	966.3233284368341	99967	5129	0.07692307692307693	2902.4155504137407	43395	48712	686	770	1	0.9153068808454833	317.4266666666667	0.9153646937633033	0.9153646937633033	0.8378925225883861	1
[5]	[[298.24595686592, 537.64991753408]]	[235.17056630911998, 975.5481847897601]	0.3474822769833754	0.7731564474985938	3	966.3323767594622	99976	5677	0.07692307692307693	2902.5773470305603	36407	38673	579	615	1	0.34745918336602094	126.77000000000004	0.3474822769833754	0.3474822769833754	0.12074393281755123	1
[5]	add(X5, max(X5, X5))	None	0.9998624179339897	0.9969886046680482	6	957.3884731302697	99988	6191	13.0	5686.83729824631	93358	93809	1499	1500	1	0.9995880810297367	749.0	0.9998624179339897	0.9998624179339897	0.9997248547968042	1
[4, 5]	add(max(-2, max(X5, X4)), X5)	None	0.9954527957923691	0.9701383898149054	1	957.3884731302697	99988	6444	13.0	947.806216374385	76960	93556	1471	1500	1	0.9953211805922026	721.0	0.9954527957923691	0.9954527957923691	0.9909262686508441	1
[3, 5]	add(max(X5, X3), X5)	None	0.9997579398733145	0.9954942428402431	1	957.3884731302697	99988	7279	13.0	947.806216374385	84817	92721	1499	1500	1	0.9993790852081219	749.0	0.9997579398733145	0.9997579398733145	0.999515938339734	1
[5]	add(max(-2, X5), X5)	None	0.9998624619088329	0.9969892382714671	2	957.3884731302697	99988	8368	13.0	1895.61243274877	91181	91632	1499	1500	1	0.9995881689915306	749.0	0.9998624619088329	0.9998624619088329	0.9997249427343923	1
[2, 5, 6]	add(X5, max(X5, add(X2, X6)))	None	0.9999967783905642	0.9989430943321055	1	957.3884731302697	99988	11825	13.0	947.806216374385	87714	88175	1499	1500	1	0.9998568208742314	749.0	0.9999967783905642	0.9999967783905642	0.9999935567915073	1
[4, 5, 6]	add(max(X5, max(X5, X4)), max(X6, X5))	None	0.9732170089993477	0.889396434994846	1	957.3884731302697	99988	11968	13.0	947.806216374385	71701	88032	1338	1500	1	0.9731097169306426	588.0	0.9732170089993477	0.9732170089993477	0.9471513466056365	1
[5]	[[153.27949481279998, 502.41027078720003]]	[384.01634005968003, 875.1433963124799]	0.5760253723794121	0.6205845151672511	4	961.7676141131316	99967	12325	0.07692307692307693	3847.179571432306	42850	60500	733	1035	1	0.5759839650831279	227.22999999999996	0.5760253723794121	0.5760253723794121	0.3318052296248404	1
[0, 5]	add(max(X5, max(X0, max(X5, X5))), X5)	None	0.9998623819690262	0.9969880864764207	1	957.3884731302697	99988	14362	13.0	947.806216374385	85187	85638	1499	1500	1	0.9995880090899047	749.0	0.9998623819690262	0.9998623819690262	0.9997247828767749	1
[5, 6]	add(max(X5, X5), max(X6, X5))	None	0.9999982354072062	0.9989644954182996	2	957.3884731302697	99988	14691	13.0	1895.61243274877	84858	85309	1499	1500	1	0.9998597349148097	749.0	0.9999982354072062	0.9999982354072062	0.9999964708175263	1
[0, 2, 5]	add(X5, max(X5, add(X2, max(X0, X5))))	None	0.9997347885835414	0.9951660456220734	2	957.3884731302697	99988	18284	13.0	1895.61243274877	76659	81716	1499	1500	1	0.9993327708719874	749.0	0.9997347885835414	0.9997347885835414	0.9994696475041781	1
[10, 5]	add(max(max(max(X5, max(X10, X5)), max(X5, X5)), max(X5, X5)), X5)	None	0.9999542468522284	0.9983203475707321	1	957.3884731302697	99988	19653	13.0	947.806216374385	79896	80347	1499	1500	1	0.9997717557130318	749.0	0.9999542468522284	0.9999542468522284	0.9999084957978074	1
[5, 6]	add(max(X5, X5), max(X5, X6))	None	0.9999982550549497	0.9989647840407593	4	957.3884731302697	99988	20615	13.0	3791.22486549754	78934	79385	1499	1500	1	0.9998597742103659	749.0	0.9999982550549497	0.9999982550549497	0.9999965101129441	1
[2, 5]	add(X5, max(X5, add(X2, max(X5, X5))))	None	0.9997348535401345	0.9951669649859779	1	957.3884731302697	99988	21287	13.0	947.806216374385	73656	78713	1499	1500	1	0.9993329008196615	749.0	0.9997348535401345	0.9997348535401345	0.9994697773829141	1
[2, 5, 7]	add(max(add(X2, max(max(-2, X5), max(X7, X5))), X5), max(-2, X5))	None	0.9997814202195497	0.9958281853795845	1	957.3884731302697	99988	21764	13.0	947.806216374385	73179	78236	1499	1500	1	0.9994260567274629	749.0	0.9997814202195497	0.9997814202195497	0.9995628882162199	1
[5, 7]	add(max(max(X5, max(X5, X7)), X5), X5)	None	0.9999996831223845	0.9989857643268667	2	957.3884731302697	99988	22996	13.0	1895.61243274877	76553	77004	1499	1500	1	0.9998626303482077	749.0	0.9999996831223845	0.9999996831223845	0.9999993662448694	1
[5, 6, 7]	add(max(X7, max(X6, X5)), X5)	None	0.99999828439522	0.9989652150465316	2	957.3884731302697	99988	24486	13.0	1895.61243274877	75063	75514	1499	1500	1	0.9998598328910088	749.0	0.99999828439522	0.99999828439522	0.9999965687933833	1
[5]	add(X5, max(X5, 2))	None	0.9999999985113623	0.9989903984086359	1	957.3884731302697	99988	24873	13.0	947.806216374385	74676	75127	1499	1500	1	0.9998632611262697	749.0	0.9999999985113623	0.9999999985113623	0.9999999970227247	1
[0, 5]	add(max(X0, max(X5, max(max(2, max(max(X5, X5), X5)), 2))), X5)	None	0.9999999751581091	0.9989900552667774	1	957.3884731302697	99988	25017	13.0	947.806216374385	74532	74983	1499	1500	1	0.9998632144197619	749.0	0.9999999751581091	0.9999999751581091	0.9999999503162189	1
[5, 6, 7]	add(max(max(-2, max(max(X5, X5), X7)), max(X6, X5)), X5)	None	0.9999982911537754	0.9989653143293268	2	957.3884731302697	99988	26481	13.0	1895.61243274877	73068	73519	1499	1500	1	0.9998598464081428	749.0	0.9999982911537754	0.9999982911537754	0.9999965823104708	1
[5, 7]	add(max(X5, X5), max(X5, max(X7, max(X5, X5))))	None	0.9999997469971968	0.998986702836978	1	957.3884731302697	99988	27032	13.0	947.806216374385	72517	72968	1499	1500	1	0.99986275809787	749.0	0.9999997469971968	0.9999997469971968	0.9999994939944578	1
[5]	add(max(X5, max(X5, X5)), max(X5, X5))	None	0.9998624326307617	0.9969888164233418	1	957.3884731302697	99988	28646	13.0	947.806216374385	70903	71354	1499	1500	1	0.9995881104273276	749.0	0.9998624326307617	0.9998624326307617	0.9997248841863045	1
[3, 4, 5, 6, 10]	add(max(max(max(X4, max(X3, X5)), max(max(X5, max(max(X6, max(X5, X5)), X6)), X5)), X10), X5)	None	0.9167078039616317	0.7991268862540428	1	957.3884731302697	99988	29146	13.0	947.806216374385	55847	70854	1199	1500	1	0.9166259231144994	449.0	0.9167078039616317	0.9167078039616317	0.8403531978441573	1
