Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[1, 3, 4, 5]	max(mul(X5, X3), add(X1, X4))	None	0.845287340023635	0.7365397461589838	1	525.2953132284388	4992	0	6.0	523.2890225812853	3348	5000	464	499	1	0.8395384990758793	214.5	0.845287340023635	0.845287340023635	0.7145106872042324	1
[1, 2, 4]	div(add(X4, 5), gt(X1, X2))	None	0.09197942536847269	0.48381206858160664	1	525.2953132284388	4992	0	6.0	523.2890225812853	2122	5000	306	499	1	0.0024518757013691586	56.5	0.09197942536847269	0.09197942536847269	0.008460214691114437	1
[2, 4, 5]	mul(add(max(X5, X2), add(X4, X5)), neg(cos(3)))	None	0.9426052617468811	0.8179455678677325	1	525.2953132284388	4992	0	6.0	523.2890225812853	3924	5000	493	499	1	0.9325909773234455	243.5	0.9426052617468811	0.9426052617468811	0.8885046794729062	1
[1, 2]	max(max(X1, X2), cos(X2))	None	0.2757754873466679	0.5340458695168109	1	525.2953132284388	4924	0	6.0	523.2890225812853	1990	5000	371	499	1	0.1708913834498974	121.5	0.2757754873466679	0.2757754873466679	0.07605211942129218	1
[2, 5]	mul(mul(2, 2), div(X2, X5))	None	0.07143346001059073	0.404551042119512	1	525.2953132284388	4875	0	6.0	523.2890225812853	1310	5000	293	499	1	0.002050195761066772	43.5	0.07143346001059073	0.07143346001059073	0.005102739209084665	1
[2, 5]	div(max(X5, X2), lt(-4, X2))	None	0.439875288722081	0.5794255177020702	2	525.2953132284388	4992	0	6.0	1046.5780451625706	2285	5000	393	499	1	0.3826100410424718	143.5	0.439875288722081	0.439875288722081	0.1934902696283341	1
[1, 3, 4]	add(max(X3, X4), max(X1, X3))	None	0.8249684231128073	0.7201959474504558	1	525.2953132284388	4992	0	6.0	523.2890225812853	3158	5000	464	499	1	0.8117160579073682	214.5	0.8249684231128073	0.8249684231128073	0.6805728991332318	1
[0, 2, 3, 5]	sub(max(sub(X2, X0), sin(X2)), lt(gt(X5, -2), div(X3, X3)))	None	0.0871410897514222	0.40677749868989166	1	525.2953132284388	4875	0	6.0	523.2890225812853	1321	5000	303	499	1	0.002061479032628413	53.5	0.0871410897514222	0.0871410897514222	0.007593569523065418	1
[0, 2, 3, 5]	sub(add(max(X0, X3), X5), lt(gt(X3, X3), neg(X2)))	None	0.6240685978376117	0.637185482075261	2	525.2953132284388	4992	0	6.0	1046.5780451625706	2703	5000	418	499	1	0.6034367493619206	168.5	0.6240685978376117	0.6240685978376117	0.38946161480700275	1
[1, 5]	add(max(2, X1), div(X1, X5))	None	0.17738025394155058	0.5109942283155374	1	525.2953132284388	4992	0	6.0	523.2890225812853	2000	5000	346	499	1	0.05566089752116441	96.5	0.17738025394155058	0.17738025394155058	0.03146375448836897	1
[1, 2, 3, 5]	max(sub(X1, X2), add(X3, X5))	None	0.5143624186047777	0.6024048096192383	1	525.2953132284388	4992	0	6.0	523.2890225812853	2499	5000	400	499	1	0.4779180062119371	150.5	0.5143624186047777	0.5143624186047777	0.2645686976729566	1
[2, 3, 4, 5]	sub(add(gt(X3, X5), X4), cos(sin(X2)))	None	0.20541096616207638	0.5130209289655584	1	525.2953132284388	4948	0	6.0	523.2890225812853	2135	5000	362	499	1	0.06589486502893203	112.5	0.20541096616207638	0.20541096616207638	0.042193665019637686	1
[1, 4, 5]	add(cos(lt(2, X4)), max(X1, cos(X5)))	None	0.1515712019057858	0.5027779718341662	2	525.2953132284388	4992	0	6.0	1046.5780451625706	1948	5000	342	499	1	0.01407740189590697	92.5	0.1515712019057858	0.1515712019057858	0.022973829247164484	1
[0, 2]	add(add(X0, X2), add(X2, X2))	None	0.9822802371327415	0.869116009797372	8	525.2953132284388	4992	0	6.0	4186.312180650282	4478	5000	499	499	1	0.96423489281705	249.5	0.9822802371327415	0.9822802371327415	0.9648744642615549	1
[1, 2, 3]	add(mul(sin(X1), gt(X2, X3)), add(X3, X1))	None	0.2689860394862686	0.5353811818424221	1	525.2953132284388	4992	0	6.0	523.2890225812853	2106	5000	363	499	1	0.17745866628287751	113.5	0.2689860394862686	0.2689860394862686	0.07235348943850844	1
[0, 2]	sub(add(X2, X2), sin(X0))	None	0.7539815423414931	0.6691059712630194	3	525.2953132284388	4992	0	6.0	1569.8670677438558	2686	5000	484	499	1	0.6980711149442979	234.5	0.7539815423414931	0.7539815423414931	0.5684881661916567	1
[0, 4]	add(add(4, X4), cos(X0))	None	0.7271861678397941	0.675935961817606	1	525.2953132284388	4992	0	6.0	523.2890225812853	2920	5000	438	499	1	0.7158409105129453	188.5	0.7271861678397941	0.7271861678397941	0.5287997226975252	1
