Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[1, 3, 4, 5]	max(mul(X5, X3), add(X1, X4))	None	0.845287340023635	0.7365397461589838	1	653.3956731014453	9982	0	6.0	675.5639985946416	5309	10000	464	499	1	0.8395384990758793	214.5	0.845287340023635	0.845287340023635	0.7145106872042324	1
[2, 4, 5]	mul(add(max(X5, X2), add(X4, X5)), neg(cos(3)))	None	0.9426052617468811	0.8179455678677325	2	653.3956731014453	9964	0	6.0	1351.1279971892832	6240	10000	493	499	1	0.9325909773234455	243.5	0.9426052617468811	0.9426052617468811	0.8885046794729062	1
[2, 5]	div(max(X5, X2), lt(-4, X2))	None	0.439875288722081	0.5794255177020702	2	653.3956731014453	9982	0	6.0	1351.1279971892832	3408	10000	393	499	1	0.3826100410424718	143.5	0.439875288722081	0.439875288722081	0.1934902696283341	1
[1, 3, 4]	add(max(X3, X4), max(X1, X3))	None	0.8249684231128073	0.7201959474504558	1	653.3956731014453	9982	0	6.0	675.5639985946416	5068	10000	464	499	1	0.8117160579073682	214.5	0.8249684231128073	0.8249684231128073	0.6805728991332318	1
[0, 2, 3, 5]	sub(add(max(X0, X3), X5), lt(gt(X3, X3), neg(X2)))	None	0.6240685978376117	0.637185482075261	2	653.3956731014453	9982	0	6.0	1351.1279971892832	4229	10000	418	499	1	0.6034367493619206	168.5	0.6240685978376117	0.6240685978376117	0.38946161480700275	1
[1, 2, 3, 5]	max(sub(X1, X2), add(X3, X5))	None	0.5143624186047777	0.6024048096192383	1	653.3956731014453	9982	0	6.0	675.5639985946416	3868	10000	400	499	1	0.4779180062119371	150.5	0.5143624186047777	0.5143624186047777	0.2645686976729566	1
[2, 3, 4, 5]	sub(add(gt(X3, X5), X4), cos(sin(X2)))	None	0.20541096616207638	0.5130209289655584	1	653.3956731014453	9938	0	6.0	675.5639985946416	3217	10000	362	499	1	0.06589486502893203	112.5	0.20541096616207638	0.20541096616207638	0.042193665019637686	1
[1, 4, 5]	add(cos(lt(2, X4)), max(X1, cos(X5)))	None	0.1515712019057858	0.5027779718341662	1	653.3956731014453	9914	0	6.0	675.5639985946416	2901	10000	342	499	1	0.01407740189590697	92.5	0.1515712019057858	0.1515712019057858	0.022973829247164484	1
[0, 2]	add(add(X0, X2), add(X2, X2))	None	0.9822802371327415	0.869116009797372	3	653.3956731014453	9982	0	6.0	2026.6919957839248	7552	10000	499	499	1	0.96423489281705	249.5	0.9822802371327415	0.9822802371327415	0.9648744642615549	1
[0, 1, 3, 4, 5]	div(add(add(X0, X4), add(0, X5)), div(X3, gt(X3, X1)))	None	0.8857688210829447	0.7631039857492756	2	653.3956731014453	9982	0	6.0	1351.1279971892832	5708	10000	476	499	1	0.877410215290505	226.5	0.8857688210829447	0.8857688210829447	0.7845864044026698	1
[2, 4]	div(add(X4, X2), sin(1))	None	0.9686138878434196	0.8226580119520019	5	653.3956731014453	9982	0	6.0	3377.819992973208	6205	10000	499	499	1	0.9361761198882451	249.5	0.9686138878434196	0.9686138878434196	0.9382128637231447	1
[1, 2, 3]	sub(add(X3, X1), sub(X3, X2))	None	0.7299441280551495	0.6701402805611221	1	653.3956731014453	9982	0	6.0	675.5639985946416	3950	10000	451	499	1	0.7008166438395769	201.5	0.7299441280551495	0.7299441280551495	0.5328184300821925	1
