Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[2, 4, 7, 8, 9, 12]	add(div(mul(X9, X7), sub(X12, X4)), add(add(X9, X8), add(X2, X9)))	None	0.10938378161893342	0.49816334287746056	1	921.2835953216929	49366	0	13.0	922.3460105960423	5474	50000	953	1500	1	0.0025246051754189407	203.0	0.10938378161893342	0.10938378161893342	0.011964811681258515	1
[12, 8, 3]	[[78.0, 208.0], [27.474999999999998, 58.525000000000006], [29.5263281697, 81.49025923030001]]	[120.7888, 177.7912]	0.5189945490118838	0.4515003765331137	1	923.4754737364959	49926	0	0.23076923076923078	922.8602103774899	3797	7875	115	237	1	0.5186419986544235	45.95399999999999	0.5189945490118838	0.5189945490118838	0.26935534190404864	1
[12, 8, 3]	[[68.0, 212.0], [29.325, 48.675], [8.532433052975001, 59.497057747025]]	[115.992, 179.328]	0.5131665014031187	0.4788320594460209	1	923.2942308734085	49887	0	0.23076923076923078	923.0847357397009	3533	6810	107	205	1	0.5128183946793812	39.486666666666665	0.5131665014031187	0.5131665014031187	0.26333985816231703	1
[12]	[[27.0, 157.0]]	[26.102400000000003, 175.99759999999998]	0.6676143594907664	0.8453853781933343	1	923.1373392430663	49985	0	0.07692307692307693	923.0250627663914	33124	33124	996	996	1	0.6671473349065788	225.096	0.6676143594907664	0.6676143594907664	0.4457089329982663	1
[12, 8, 3, 10, 2, 6, 7]	[[-28.0, 44.0], [-2.1999999999999993, 30.2], [-8.519909923224997, 50.439165703225], [-0.8737217523599999, 2.32404803836], [1.76549442101, 4.20861545899], [4.23305493248, 7.92483293752], [-0.007388678784999936, 1.840296142785]]	[-35.02119999999999, 74.7612]	0.994634452453561	0.9555451875710497	1	895.4670120039152	46678	0	0.5384615384615384	895.4670120039152	35	35	2	2	1	0.9947428155710759	1.3466666666666667	0.994634452453561	0.994634452453561	0.989297694007595	1
[12, 8, 3, 10]	[[22.0, 100.0], [13.85, 38.15], [55.063611655375, 90.039334484625], [1.46233891074, 5.15976023126]]	[10.534400000000012, 118.2056]	0.9802079276156861	0.9144826704971051	1	923.3843758491564	49975	0	0.3076923076923077	922.4804698114456	2839	2839	86	86	1	0.9795459238930861	39.559999999999995	0.9802079276156861	0.9802079276156861	0.9608075813606382	1
[12]	[[126.0, 206.0]]	[107.71600000000002, 244.94400000000002]	0.9800620169534089	0.9064292772140249	2	922.268092866691	49985	0	0.07692307692307693	1844.4809222006393	18433	18433	553	553	1	0.9793807849840945	276.8686666666667	0.9800620169534089	0.9800620169534089	0.9605215570747839	1
[12, 8, 3, 10, 2, 6, 7, 1]	[[108.0, 166.0], [10.8, 43.2], [-9.202100974175, 27.772234588175], [2.59955187385, 4.348332228149999], [-0.23735219799000007, 2.20576883999], [4.531937474679999, 8.72260439932], [-0.16064811837000015, 1.53722442037], [-1.8011734615550026, 27.677982681555]]	[112.0576, 173.2824]	0.9977614557129225	0.9765694076038903	1	913.8373398416805	46830	0	0.6153846153846154	913.8373398416805	68	68	3	3	1	0.9974987291049396	2.0620000000000003	0.9977614557129225	0.9977614557129225	0.9955279225063702	1
[12]	[[63.0, 187.0]]	[99.65639999999999, 165.1036]	0.5567316164442279	0.4932932019869003	1	923.3419384091272	49985	0	0.07692307692307693	922.9325523811686	16357	30699	492	921	1	0.5563419297324746	190.526	0.5567316164442279	0.5567316164442279	0.30995009274860286	1
[12, 8, 3, 10, 2]	[[119.0, 177.0], [25.35, 58.65], [19.797283342274998, 58.770231637725004], [2.6762111818100003, 4.22513092419], [2.8894137850699995, 5.03337714493]]	[126.3488, 183.3512]	0.9814261139286089	0.8741109686069899	1	924.1854617284315	49887	0	0.38461538461538464	924.1854617284315	370	403	12	13	1	0.9807658479243461	8.169333333333332	0.9814261139286089	0.9814261139286089	0.9631972171010108	1
[12, 8, 3, 10, 2, 6, 7, 1, 4]	[[75.0, 193.0], [23.85, 48.15], [56.991313532275, 95.96426182772501], [-0.9822598963799999, 2.1155795883799997], [2.3067833793399997, 5.59751783866], [2.8889580391600003, 5.78251377284], [3.7658791490700003, 5.0642522669300005], [7.652282915619997, 29.63673834438], [0.14050000000000296, 54.0595]]	[65.93120000000002, 220.0488]	0.8963092119288145	0.8732853353543009	1	919.5226974986336	49299	0	0.6923076923076923	919.5226974986336	134	134	5	5	1	0.8962477835376873	1.4333333333333331	0.8963092119288145	0.8963092119288145	0.8033702033884526	1
[12, 8, 3, 10, 2, 6, 7, 1, 4]	[[8.0, 74.0], [3.5500000000000007, 22.45], [-19.052105669775, 41.905582689775], [-0.27306703573999996, 1.0260269417399999], [1.06538742842, 3.95724498358], [0.46951188288, 5.15906772712], [0.8633824053600001, 3.26037893064], [42.001901732795, 56.491656447204996], [106.37950000000001, 212.22050000000002]]	[10.084000000000003, 83.976]	0.9983259361950735	0.9796561197423266	1	917.9809261884272	49777	0	0.6923076923076923	917.9809261884272	102	102	4	4	1	0.9976547710855292	2.533333333333333	0.9983259361950735	0.9983259361950735	0.9966546748797699	1
[12]	[[106.0, 250.0]]	[142.178, 237.18200000000002]	0.8368325318260201	0.6424457576709284	1	922.3362336433959	49985	0	0.07692307692307693	922.4068204184468	16339	23368	490	701	1	0.8362488538828549	261.00666666666666	0.8368325318260201	0.8368325318260201	0.700288686322347	1
[12, 8, 3, 10]	[[-9.0, 121.0], [24.45, 41.55], [10.580989270049997, 68.54075852995], [-0.13264333512999993, 1.71606732513]]	[-4.129599999999982, 135.2096]	0.9360302589016621	0.8696632705448055	1	922.7631745286193	49938	0	0.3076923076923077	921.6299602009676	2032	2032	62	62	1	0.93539932336776	22.650666666666666	0.9360302589016621	0.9360302589016621	0.8761526455795127	1
[12, 8, 3, 10, 2, 6, 7, 1, 4, 11, 0]	[[-53.0, 55.0], [24.15, 35.85], [73.016797385725, 113.98835841427501], [2.9166185172100003, 6.4641443787899995], [3.38407523336, 6.57509046664], [3.88865588292, 8.67798951108], [3.625180719605, 5.572740396395], [5.720633032749998, 30.70296874725], [27.737500000000004, 77.6625], [2.8249999999999997, 4.475], [0.48327426892, 1.20101555908]]	[-42.9312, 66.8512]	0.9937918707267674	0.9461784766957181	1	897.3925035080321	48465	0	0.8461538461538461	897.3925035080321	35	35	2	2	1	0.993801353906996	1.4186666666666667	0.9937918707267674	0.9937918707267674	0.9876222823226081	1
[12, 8, 3, 10, 2, 6, 7, 1, 4, 11, 0]	[[20.0, 164.0], [27.35, 42.65], [52.83580485175, 82.81499584824999], [0.77586676215, 4.02360170585], [2.26830972777, 5.9080614782300005], [-1.71787925928, 2.57256544928], [3.02978339548, 6.22577876252], [25.256416522764994, 46.741225237235], [3.7630000000000052, 87.637], [0.73, 4.33], [0.48839118616, 1.04663441184]]	[51.03240000000001, 148.1476]	0.9999990616918822	1.0	1	905.5330003641981	48477	0	0.8461538461538461	905.5330003641981	35	35	2	2	1	1.00000000000145	1.0013333333333332	0.9999990616918822	0.9999990616918822	0.9999981233846449	1
[12]	[[53.0, 131.0]]	[23.492400000000004, 173.3876]	0.925850891183354	0.9074837663071229	2	923.1661885143413	49975	0	0.07692307692307693	1846.3252536234033	19529	19529	587	587	1	0.9252170728849984	142.05399999999997	0.925850891183354	0.925850891183354	0.8571998727050107	1
[12]	[[73.0, 172.0]]	[69.52000000000001, 175.07999999999998]	0.9491491655827046	0.853149099269789	1	924.4012127374699	49985	160	0.07692307692307693	923.3115545348387	23672	24570	713	740	1	0.9484856943711508	313.8933333333333	0.9491491655827046	0.9491491655827046	0.9008841385263443	1
[12]	[[-20.0, 68.0]]	[-53.76879999999999, 100.34879999999998]	0.9843961493549359	0.9157546380431673	1	920.0129468214566	49975	288	0.07692307692307693	921.0375574385268	16240	16240	490	490	1	0.9837134559006345	259.0466666666667	0.9843961493549359	0.9843961493549359	0.9690357788648253	1
[12, 8, 3, 10, 2, 6]	[[97.0, 213.0], [20.925, 33.075], [13.906368216074998, 60.873767443925004], [3.03399731817, 0.5008308058], [-0.4863504572000001, 2.26174499172], [-0.6658867936400001, 2.7265578596399997]]	[79.8312, 233.94879999999998]	1.0	1.0	1	263.5	305	305	0.46153846153846156	263.5	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[12]	X12	None	0.9972339031743901	0.9532175697865352	2	921.2835953216929	49985	341	13.0	1844.6920211920847	29162	49659	1499	1500	1	0.9919930039974185	749.0	0.9972339031743901	0.9972339031743901	0.9944754576404289	1
[11, 12]	add(X11, X12)	None	0.9990279925626575	0.9701629720853858	5	921.2835953216929	49985	366	13.0	4611.730052980211	36307	49634	1499	1500	1	0.9953256249965252	749.0	0.9990279925626575	0.9990279925626575	0.9980569299237733	1
[0, 12]	sub(X12, X0)	None	0.9972379138223241	0.9532410951117847	3	921.2835953216929	49985	376	13.0	2767.0380317881272	29127	49624	1499	1500	1	0.9919980248284634	749.0	0.9972379138223241	0.9972379138223241	0.9944834567647011	1
[12, 8]	[[103.0, 20.0], [37.3, 9.5]]	[122.84, 228.4]	1.0	1.0	1	512.7268465621328	441	441	0.15384615384615385	512.7268465621328	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[12]	[[-20.0, 69.0]]	[-22.889199999999995, 44.6692]	0.7495842748869873	0.48402816647415714	1	920.0129502276334	49938	478	0.07692307692307693	921.0375678333539	8353	16442	253	498	1	0.7490667277489887	169.00400000000002	0.7495842748869873	0.7495842748869873	0.5618765851578505	1
[12]	[[146.0, 165.0]]	[143.13120000000004, 244.4688]	0.9909476501207711	0.9258311755294513	1	922.5012927665548	49985	613	0.07692307692307693	922.5012927665548	4739	4739	144	144	1	0.9902736755913931	97.92	0.9909476501207711	0.9909476501207711	0.9819772452798783	1
[12]	[[73.0, 20.0]]	[47.929199999999994, 191.49079999999998]	1.0	1.0	1	498.6830131742953	613	613	0.07692307692307693	498.6830131742953	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[0, 3, 5, 7, 10, 11, 12]	sub(add(mul(X7, X11), add(X12, -2)), add(mul(X3, X0), div(X10, X5)))	None	0.9977765233363548	0.9564811797398005	2	921.2835953216929	49961	870	13.0	1844.6920211920847	32676	49130	1499	1500	1	0.9926786012811423	749.0	0.9977765233363548	0.9977765233363548	0.9955579905211834	1
[3, 5, 8, 10, 12]	sub(mul(X10, X5), sub(div(X3, X8), X12))	None	0.9966775681383518	0.9500259984237455	1	921.2835953216929	49926	1147	13.0	922.3460105960423	29393	48853	1499	1500	1	0.9913010240692312	749.0	0.9966775681383518	0.9966775681383518	0.993366174830179	1
[0, 12]	sub(add(X12, -2), mul(X12, X0))	None	0.9934782022101689	0.9336624352658837	1	921.2835953216929	49907	1147	13.0	922.3460105960423	22574	48853	1499	1500	1	0.9873935229670031	749.0	0.9934782022101689	0.9934782022101689	0.9869989382667492	1
[12, 7]	add(X7, add(X12, -2))	None	0.9971692498953757	0.9528394278135658	1	921.2835953216929	49961	1677	13.0	922.3460105960423	27816	48323	1499	1500	1	0.9919121412066582	749.0	0.9971692498953757	0.9971692498953757	0.9943465129369062	1
[12, 8, 0]	[[100.0, 178.0], [13.174999999999999, 38.825], [-0.026976697110000003, 0.7107018511100001]]	[78.91080000000002, 199.2492]	0.9713195913338877	0.9082670803694798	1	923.0439967201089	49907	1742	0.23076923076923078	922.8049959001362	8459	8459	263	263	1	0.9706583584177091	103.44666666666666	0.9713195913338877	0.9713195913338877	0.9434617485090305	1
[12]	[[141.0, 20.0]]	[165.678, 260.682]	1.0	1.0	1	411.19350477091984	1983	1983	0.07692307692307693	411.19350477091984	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[0, 12]	add(div(X0, 1), X12)	None	0.9972316092226792	0.953204117721359	1	921.2835953216929	49985	2039	13.0	922.3460105960423	27464	47961	1499	1500	1	0.991990132506023	749.0	0.9972316092226792	0.9972316092226792	0.9944708824328543	1
[11, 12]	add(div(sub(X11, -3), 5), X12)	None	0.9983735253076221	0.9603221864342554	1	921.2835953216929	49985	2554	13.0	922.3460105960423	29932	47446	1499	1500	1	0.993457916130067	749.0	0.9983735253076221	0.9983735253076221	0.9967496960351692	1
[12, 8]	[[-4.0, 146.0], [33.75, 9.5]]	[55.4608, 175.79919999999998]	1.0	1.0	1	414.20515120558946	2677	2677	0.15384615384615385	414.20515120558946	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[12, 8, 9]	[[163.0, 219.0], [26.625, 51.375], [-0.2957612875150002, 3.3514991035150006]]	[131.66400000000002, 258.336]	0.9893936179647657	0.9247798178832661	1	922.0117677550586	49961	2738	0.23076923076923078	921.6146673707487	3124	3124	99	99	1	0.988723695926594	60.984	0.9893936179647657	0.9893936179647657	0.9788997312694087	1
[8, 12]	sub(add(div(X8, -4), X12), -2)	None	0.986160858876515	0.9040748389541492	1	921.2835953216929	49907	2821	13.0	922.3460105960423	14721	47179	1499	1500	1	0.9785375256592184	749.0	0.986160858876515	0.986160858876515	0.9725132395800656	1
[12]	sub(-2, sub(-2, X12))	None	0.9972347161813818	0.9532223380068208	1	921.2835953216929	49985	3125	13.0	922.3460105960423	26378	46875	1499	1500	1	0.99199402173578	749.0	0.9972347161813818	0.9972347161813818	0.9944770791573612	1
[12, 8, 0, 2]	[[-20.0, 102.0], [32.55, 51.45], [-0.09918670330000001, 0.33167413893000003], [1.69256771877, 5.332319469230001]]	[-31.088799999999992, 123.02879999999999]	0.9680907738595016	0.8955005822604645	1	921.7310609343482	49613	3384	0.3076923076923077	921.7310609343482	2548	2548	82	82	1	0.9674373219473806	34.54933333333334	0.9680907738595016	0.9680907738595016	0.9371997464318886	1
[8, 2, 12]	add(div(3, div(add(X2, X8), 4)), X12)	None	0.9979601688928001	0.9576288724321548	1	921.2835953216929	49985	3477	13.0	922.3460105960423	27637	46523	1499	1500	1	0.9929145404537081	749.0	0.9979601688928001	0.9979601688928001	0.9959244986965462	1
[0, 11, 12]	add(mul(X11, X0), X12)	None	0.9972334885730324	0.953215138309966	1	921.2835953216929	49985	3832	13.0	922.3460105960423	25671	46168	1499	1500	1	0.9919924849999693	749.0	0.9972334885730324	0.9972334885730324	0.9944746307315403	1
[12]	[[-20.0, 95.0]]	[-22.105200000000004, 102.942]	0.9727845191563729	0.882358640487757	3	921.2115355701751	49975	3930	0.07692307692307693	2766.8068429541318	21654	21869	705	712	1	0.9721011442337315	363.24	0.9727845191563729	0.9727845191563729	0.9463097207102956	1
[0, 12, 6]	add(div(5, sub(X6, add(add(X12, -2), X12))), add(div(X12, 1), div(X0, 1)))	None	0.9970798117958589	0.9523196441843562	1	921.2835953216929	49985	4165	13.0	922.3460105960423	25191	45835	1499	1500	1	0.9918004999284928	749.0	0.9970798117958589	0.9970798117958589	0.9941681510908654	1
[0, 10, 12]	sub(add(X12, X10), X0)	None	0.9987853900169072	0.9648617531893394	2	921.2835953216929	49985	4716	13.0	1844.6920211920847	30424	45284	1499	1500	1	0.994341920913695	749.0	0.9987853900169072	0.9987853900169072	0.9975722553112255	1
[10, 12]	add(sub(X12, X10), -3)	None	0.9802207493838405	0.8974398446381204	1	921.2835953216929	49825	4809	13.0	922.3460105960423	10876	45191	1485	1500	1	0.9761787835884255	735.0	0.9802207493838405	0.9802207493838405	0.9608327175226179	1
