Epoch	Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	RuleCount	TreeCount	AveGenerality	ExpRules	Time(min)
1	100	998	1000	-17.92867665490328	505	493	0.6208461538461538	0.0	1.9619206666946412
2	200	992	1000	0.830788641519654	511	481	0.6230769230769231	0.0	2.657700065771739
3	300	990	1000	0.6963820699628935	517	473	0.6257692307692306	0.0	3.3553147196769713
4	400	987	1000	0.8885194765889198	525	462	0.6277692307692302	0.0	4.031369733810425
5	500	981	1000	-1.5802417953816397	537	444	0.6309230769230761	0.0	4.684824252128601
6	600	972	1000	0.5637544144871252	540	432	0.6323076923076913	0.0	5.291830583413442
7	700	964	1000	0.173699029021609	550	414	0.6352307692307679	0.0	5.871455669403076
8	800	956	1000	0.7438135773769011	558	398	0.6394615384615366	0.0	6.437376868724823
9	900	953	1000	0.9202759679614124	568	385	0.6405384615384597	0.0	6.956698735555013
10	1000	952	1000	-0.41449645088877185	574	378	0.6419230769230746	0.0	7.4771241545677185
11	1100	946	1000	-5.556140374514062	577	369	0.6437692307692285	0.0	8.004196031888325
12	1200	942	1000	0.9147863093048602	580	362	0.6442307692307672	0.0	8.508928684393565
13	1300	933	1000	0.7900922834326949	585	348	0.6453076923076901	0.0	8.996855386098225
14	1400	926	1000	0.6592974396687298	587	339	0.6457692307692284	0.0	9.492862768967946
15	1500	920	1000	0.662924750775734	589	331	0.6469230769230746	0.0	9.993532335758209
16	1600	911	1000	0.8786446058083045	597	314	0.6488461538461517	0.7980241492864983	10.211870900789897
17	1700	904	1000	0.6804287188948261	601	303	0.6496153846153826	0.7997787610619469	10.418645552794139
18	1800	900	1000	0.8069734735473258	602	298	0.6510769230769206	0.8022222222222222	10.62643301486969
19	1900	892	1000	0.5848471140792539	605	287	0.6520769230769207	0.8105381165919282	10.82135193347931
20	2000	887	1000	0.7825951687963013	611	276	0.6526923076923056	0.8196166854565953	11.010073435306548
21	2100	882	1000	0.9323737265888882	612	270	0.6537692307692287	0.8117913832199547	11.197417136033376
22	2200	879	1000	0.7302994059188873	614	265	0.6534615384615369	0.8191126279863481	11.390342700481416
23	2300	874	1000	0.7487216091952621	618	256	0.6550769230769211	0.8226544622425629	11.579682552814484
24	2400	868	1000	0.8532800453961984	614	254	0.6562307692307675	0.8375576036866359	11.756043402353923
25	2500	863	1000	0.7162788429642706	617	246	0.6565384615384596	0.8493626882966396	11.924966084957124
26	2600	859	1000	0.779259889310143	618	241	0.6571538461538444	0.8533178114086146	12.083807571729023
27	2700	857	1000	0.2564746641024969	620	237	0.6572307692307675	0.8553092182030338	12.226746833324432
28	2800	855	1000	0.4842473977292321	619	236	0.6594615384615368	0.8538011695906432	12.367520054181417
29	2900	848	1000	0.8522249782165124	616	232	0.6613076923076907	0.8502358490566038	12.511531654993693
30	3000	838	1000	0.8645292556153179	612	226	0.6633076923076909	0.8556085918854416	12.65561583439509
31	3100	831	1000	0.8530848704529785	608	223	0.6654615384615371	0.855595667870036	12.793671135107676
32	3200	820	1000	0.7032964435075263	598	222	0.667384615384614	0.8621951219512195	12.928215102354686
33	3300	816	1000	0.8940625446574539	585	231	0.6709230769230752	0.8578431372549019	13.068614669640858
34	3400	811	1000	0.4736095487630997	573	238	0.6751538461538444	0.8557336621454994	13.208039800326029
