Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[12]	X12	None	0.9972339031743901	0.9532175697865352	2	944.2663741126272	99916	341	13.0	1886.7966077680499	38568	99659	1499	1500	1	0.9919930039974185	749.0	0.9972339031743901	0.9972339031743901	0.9944754576404289	1
[11, 12]	add(X11, X12)	None	0.9990143256702901	0.9701629720853858	5	944.2663741126272	99916	366	13.0	4716.991519420125	47638	99634	1499	1500	1	0.9953256249965252	749.0	0.9990143256702901	0.9990143256702901	0.9980296228944645	1
[12]	[[141.0, 20.0]]	[165.678, 260.682]	1.0	1.0	1	411.19350477091984	1983	1983	0.07692307692307693	411.19350477091984	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[3, 11, 12]	sub(sub(add(X11, X3), sub(X3, X12)), -1)	None	0.9992784694488713	0.9765147467475053	1	944.2663741126272	99972	7497	13.0	943.3983038840249	49494	92503	1499	1500	1	0.9964387786431086	749.0	0.9992784694488713	0.9992784694488713	0.9985574595040789	1
[10, 12]	add(X10, sub(X12, -1))	None	0.9980954105574585	0.9725105153467222	2	944.2663741126272	99972	10668	13.0	1886.7966077680499	44465	89332	1498	1500	1	0.9957451480057464	748.0	0.9980954105574585	0.9980954105574585	0.9961944485758617	1
[12, 3]	[[126.0, 206.0], [27.987790917299996, 95.9406238427]]	[107.71600000000002, 244.94400000000002]	0.980349830291699	0.9083278283582543	1	944.8652885609483	99972	14599	0.15384615384615385	944.3039271507527	21280	21280	374	374	1	0.9800122348922921	187.24933333333334	0.980349830291699	0.980349830291699	0.961085789752963	1
[2, 11, 12, 5]	add(add(div(X5, X5), add(X2, X11)), sub(sub(X12, X5), div(-1, 3)))	None	0.9905419886163381	0.9444525283145974	1	944.2663741126272	99972	16561	13.0	943.3983038840249	42018	83439	1450	1500	1	0.9900395967560478	700.0	0.9905419886163381	0.9905419886163381	0.9811734312120097	1
[12, 11, 4, 5]	add(add(div(X5, X4), add(3, X11)), add(X12, X11))	None	0.9999015145553742	0.9932850037129175	2	944.2663741126272	99979	17504	13.0	1886.7966077680499	76791	82496	1499	1500	1	0.9990644128186104	749.0	0.9999015145553742	0.9999015145553742	0.9998030388101313	1
[11, 12]	add(X11, add(X12, 1))	None	0.9904364799531045	0.9440026525198938	3	944.2663741126272	99972	18477	13.0	2830.1949116520746	38530	81523	1448	1500	1	0.9899347495641327	698.0	0.9904364799531045	0.9904364799531045	0.9809644208218963	1
[12]	add(3, X12)	None	0.9222329575486001	0.8049021725401034	2	944.2663741126272	99972	19104	13.0	1886.7966077680499	37216	80896	1229	1500	1	0.9218197499630482	479.0	0.9222329575486001	0.9222329575486001	0.8505136279888381	1
[12]	add(3, add(X12, 1))	None	0.9721235717138489	0.8857956296576985	1	944.2663741126272	99972	19127	13.0	943.3983038840249	40530	80873	1353	1500	1	0.9716570394714568	603.0	0.9721235717138489	0.9721235717138489	0.9450242386816907	1
[0, 2, 8, 11, 12]	add(add(div(X12, X8), X11), sub(sub(X12, X0), div(-1, X2)))	None	0.9746392176161328	0.8920991295268927	1	944.2663741126272	99979	19150	13.0	943.3983038840249	45489	80850	1367	1500	1	0.9741675502881239	617.0	0.9746392176161328	0.9746392176161328	0.9499216045153875	1
[2, 4, 5, 11, 12]	add(add(div(sub(sub(X4, X5), div(-1, X2)), X4), add(X5, X11)), X12)	None	0.9967994198403491	0.9756067940236286	1	944.2663741126272	99979	19178	13.0	943.3983038840249	50180	80822	1486	1500	1	0.9962838835151849	736.0	0.9967994198403491	0.9967994198403491	0.9936090833940566	1
[0, 12]	add(add(X0, X12), 2)	None	0.5350694631507045	0.6173897941139318	1	944.2663741126272	99972	24519	13.0	943.3983038840249	28977	75481	941	1500	1	0.5348571666970738	191.0	0.5350694631507045	0.5350694631507045	0.2862993303963831	1
[11, 12, 5]	add(add(add(3, X11), X12), add(X5, X11))	None	0.9969711327248594	0.9766209738537325	3	944.2663741126272	99913	25015	13.0	2830.1949116520746	56932	74985	1482	1500	1	0.9964568106266701	732.0	0.9969711327248594	0.9969711327248594	0.9939514394866892	1
[12, 6, 7]	add(add(X6, X12), add(2, X7))	None	0.850074643567537	0.7431115321460147	1	944.2663741126272	99979	25780	13.0	943.3983038840249	33284	74220	1131	1500	1	0.8497128763291425	381.0	0.850074643567537	0.850074643567537	0.7226268996364751	1
[0, 12, 5]	sub(add(X12, X5), div(-1, add(div(X12, div(-1, 3)), div(X0, X12))))	None	0.42225676711939486	0.5886755731799951	1	944.2663741126272	99955	26000	13.0	943.3983038840249	27094	74000	897	1500	1	0.42209040847762824	147.0	0.42225676711939486	0.42225676711939486	0.17830077737812286	1
[11, 12, 5]	add(add(add(3, X11), add(X5, X11)), sub(X12, 3))	None	0.9997573634191695	0.9891514778325123	2	944.2663741126272	99979	26049	13.0	1886.7966077680499	57819	73951	1499	1500	1	0.9984569316816811	749.0	0.9997573634191695	0.9997573634191695	0.9995147857108494	1
[0, 11, 12]	add(add(add(3, X11), X12), add(X0, 2))	None	0.9986997600288763	0.9873208917519263	2	944.2663741126272	99979	27608	13.0	1886.7966077680499	51105	72392	1498	1500	1	0.9981798948987919	748.0	0.9986997600288763	0.9986997600288763	0.997401210681735	1
[0, 11, 12]	add(add(X11, X12), add(mul(-4, X0), 2))	None	0.9722163519340703	0.8860249463180496	2	944.2663741126272	99972	27729	13.0	1886.7966077680499	37831	72271	1349	1500	1	0.9717510563397128	599.0	0.9722163519340703	0.9722163519340703	0.945204634967992	1
[9, 3, 12]	sub(add(X12, div(sub(X12, sub(add(X9, X3), sub(X3, X12))), X12)), mul(-2, 3))	None	0.9711469703678851	0.8834488655719863	1	944.2663741126272	99979	27875	13.0	943.3983038840249	35574	72125	1346	1500	1	0.9706829257864628	596.0	0.9711469703678851	0.9711469703678851	0.943126438054722	1
[2, 11, 12, 4]	add(add(div(sub(X12, mul(-2, 3)), X4), add(3, X11)), sub(X12, div(mul(-2, X2), X2)))	None	0.9734714153163422	0.8891337926361262	1	944.2663741126272	99913	28470	13.0	943.3983038840249	42968	71530	1350	1500	1	0.9730054474668408	600.0	0.9734714153163422	0.9734714153163422	0.9476465964380024	1
[0, 2, 11, 12]	add(add(X11, add(X2, X11)), sub(X12, div(X0, 5)))	None	0.998905079207572	0.9886740242516104	1	944.2663741126272	99979	30902	13.0	943.3983038840249	53894	69098	1498	1500	1	0.9983851557559602	748.0	0.998905079207572	0.998905079207572	0.9978113572666857	1
[2, 11, 12, 5]	add(add(div(X5, div(X12, 1)), add(X5, X11)), sub(X12, div(-1, X2)))	None	0.9282428637314577	0.8119830966652624	1	944.2663741126272	99979	32660	13.0	943.3983038840249	33805	67340	1234	1500	1	0.9278263702608976	484.0	0.9282428637314577	0.9282428637314577	0.8616348140683775	1
[11, 12]	add(X11, add(add(X12, X11), 1))	None	0.9983860214373032	0.9852894720222306	2	944.2663741126272	99972	33371	13.0	1886.7966077680499	45026	66629	1497	1500	1	0.9978665611762383	747.0	0.9983860214373032	0.9983860214373032	0.9967746478014071	1
[0, 2, 11, 12]	add(add(div(X0, X2), add(X2, X11)), X12)	None	0.9183150040740831	0.8005232095490713	1	944.2663741126272	99972	34144	13.0	943.3983038840249	33377	65856	1217	1500	1	0.9179066984025446	467.0	0.9183150040740831	0.9183150040740831	0.8433024467075831	1
[11, 12, 5]	add(add(add(3, X11), add(X5, 3)), sub(X12, 3))	None	0.9905674966763854	0.9445839964633068	1	944.2663741126272	99979	34250	13.0	943.3983038840249	41168	65750	1434	1500	1	0.9900701495805897	684.0	0.9905674966763854	0.9905674966763854	0.9812239654717209	1
[0, 4, 6, 7, 12]	add(add(div(3, X4), add(div(X7, X12), add(X7, X6))), sub(sub(X12, X0), 3))	None	0.3597841072064136	0.5741915121720791	1	944.2663741126272	99955	37079	13.0	943.3983038840249	21590	62921	873	1500	1	0.3596430721258987	123.0	0.3597841072064136	0.3597841072064136	0.1294446037983161	1
