Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[3]	sin(X3)	None	1.0	0.8605252301072887	3	564.3157260760156	49992	113	13.0	1691.9280824766538	31657	49887	1498	1500	1	0.9599265886788138	748.0	1.0	1.0	1.0	1
[0, 3, 7]	min(sub(X7, -2), add(sqrt(X0), sin(X3)))	None	0.9851141784843808	0.8369087177078341	2	564.3157260760156	49992	1785	13.0	1127.9520549844358	29990	48215	1438	1500	1	0.946113066672704	688.0	0.9851141784843808	0.9851141784843808	0.9704499446509564	1
[0, 3, 12]	max(sin(max(add(sub(X3, X12), X0), X3)), -2)	None	0.9591922896803928	0.8048358830946241	3	564.3157260760156	49992	3031	13.0	1691.9280824766538	28793	46969	1364	1500	1	0.921761666156471	614.0	0.9591922896803928	0.9591922896803928	0.9200498485823146	1
[0, 10, 3]	min(X10, add(sqrt(sqrt(X0)), sin(sin(X3))))	None	0.8271289331560281	0.7116708411275019	8	564.3157260760156	49992	6370	13.0	4511.808219937743	24202	43630	1194	1500	1	0.7956839332929148	444.0	0.8271289331560281	0.8271289331560281	0.6841422720638292	1
[0, 3, 12]	min(sub(X12, -5), add(sqrt(X0), sin(sin(sin(X3)))))	None	0.8617509793034205	0.7299655658675874	2	564.3157260760156	49992	8590	13.0	1127.9520549844358	21496	41410	1233	1500	1	0.8287909825287564	483.0	0.8617509793034205	0.8617509793034205	0.7426147503304042	1
[9, 3, 4]	sin(max(sub(X3, min(X9, div(-2, X4))), X3))	None	0.6974275093310145	0.6594591817049085	3	564.3157260760156	49992	15390	13.0	1691.9280824766538	19867	34610	1063	1500	1	0.6715109638219857	313.0	0.6974275093310145	0.6974275093310145	0.4864051307716623	1
[3]	sin(add(sin(X3), sin(X3)))	None	0.5587546404623019	0.6182936758692514	2	564.3157260760156	49992	15667	13.0	1127.9520549844358	19726	34333	984	1500	1	0.5381544345574123	234.0	0.5587546404623019	0.5587546404623019	0.3122067482381563	1
[3, 9, 11, 7]	sin(add(sin(max(add(div(cos(X7), X9), max(X11, X3)), X3)), sin(X3)))	None	0.6761479053209237	0.6524624574259792	1	564.3157260760156	49992	16844	13.0	563.9760274922179	20352	33156	1040	1500	1	0.6511530677626133	290.0	0.6761479053209237	0.6761479053209237	0.45717598986987285	1
[0, 3, 12, 6]	min(sin(max(add(div(cos(X12), X6), sin(sin(X3))), X3)), add(sqrt(X0), sin(sin(X3))))	None	0.4683747832148143	0.5956735100361256	1	564.3157260760156	49992	19695	13.0	563.9760274922179	15927	30305	960	1500	1	0.45097185857323374	210.0	0.4683747832148143	0.4683747832148143	0.2193749375515243	1
[0, 3, 7, 9, 11, 12]	sin(add(sin(max(add(div(div(cos(mul(X0, add(sin(max(add(div(cos(X12), min(X7, mul(X0, X9))), max(X11, X3)), X3)), sin(X3)))), sin(X3)), min(add(X9, X9), mul(X0, cos(max(add(div(cos(X0), min(add(X9, X9), mul(X0, X9))), max(X11, X3)), X3))))), max(X11, X3)), X3)), sin(X3)))	None	0.7386249336675195	0.6741590079710504	2	564.3157260760156	49990	22738	13.0	1127.9520549844358	17724	27262	1069	1500	1	0.7112990825193496	319.0	0.7386249336675195	0.7386249336675195	0.5455667926353476	1
