Epoch	Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	RuleCount	TreeCount	AveGenerality	ExpRules	Time(min)
1	100	995	1000	0.03661255674653777	503	492	0.6881538461538438	0.0	0.9629625995953878
2	200	991	1000	0.5869756057416279	504	487	0.6890769230769203	0.0	1.882096036275228
3	300	985	1000	0.5106975091358019	505	480	0.6895384615384585	0.0	2.800944034258525
4	400	981	1000	0.6439108433477208	504	477	0.6899999999999967	0.0	3.711492649714152
5	500	972	1000	0.5770152679703313	504	468	0.6911538461538426	0.0	4.613752134641012
6	600	962	1000	0.6827374175927369	503	459	0.6919999999999965	0.0	5.5066918651262915
7	700	962	1000	0.1495480957440391	504	458	0.6932307692307658	0.0	6.38649628162384
8	800	960	1000	-2.2138832700814586	498	462	0.693999999999996	0.0	7.27110089858373
9	900	953	1000	0.6180669057310993	494	459	0.6943076923076879	0.0	8.153216882546742
10	1000	951	1000	-0.13643063196555003	487	464	0.6950769230769188	0.0	9.032133150100709
11	1100	945	1000	0.523389080511222	484	461	0.695153846153842	0.0	9.929837902386984
12	1200	944	1000	0.5556433428570956	478	466	0.6943076923076879	0.0	10.820797101656597
13	1300	938	1000	0.6794901804947824	469	469	0.6947692307692261	0.0	11.720194315910339
14	1400	934	1000	0.5908988373761831	461	473	0.6947692307692258	0.0	12.62428376674652
15	1500	928	1000	0.3144010253868067	459	469	0.6950769230769179	0.0	13.531270968914033
16	1600	923	1000	-0.1366954818587281	448	475	0.6939999999999952	0.8082340195016251	13.913934548695883
17	1700	920	1000	-3.880033840492089	441	479	0.6949230769230721	0.8021739130434783	14.308107268810272
18	1800	915	1000	0.15875262356646638	434	481	0.6954615384615336	0.7989071038251366	14.714875435829162
19	1900	905	1000	0.6263560134266466	425	480	0.6950769230769182	0.8022099447513812	15.105911966164907
20	2000	895	1000	-2.1878169220556027	419	476	0.6939230769230722	0.8011173184357542	15.486860485871633
21	2100	891	1000	0.6324709161702828	410	481	0.6936923076923033	0.8035914702581369	15.856982970237732
22	2200	885	1000	0.5082424563348821	405	480	0.6926153846153802	0.8146892655367232	16.219211649894714
