Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[2, 4, 5]	gt(add(X4, X2), mul(X5, X4))	None	0.28150620169215723	0.5310061352888271	1	610.0563224101437	4980	0	6.0	610.0563224101437	2847	5000	465	638	1	0.15588713188056116	146.0	0.28150620169215723	0.28150620169215723	0.0792457415911455	1
[1, 5]	max(cos(lt(1, X5)), gt(neg(X1), sin(1)))	None	0.32076351454944696	0.5494988936878329	1	610.0563224101437	4985	0	6.0	610.0563224101437	2788	5000	446	638	1	0.2458528978748594	127.0	0.32076351454944696	0.32076351454944696	0.10288923226611327	1
[4]	sin(sub(4, X4))	None	0.1523553298853163	0.5089587419290925	2	610.0563224101437	4980	0	6.0	1220.1126448202874	2663	5000	414	638	1	0.045371098493833584	95.0	0.1523553298853163	0.1523553298853163	0.023212146544463557	1
[4]	sin(cos(X4))	None	0.1810154987569086	0.5149638242742889	1	610.0563224101437	4974	0	6.0	610.0563224101437	2575	5000	423	638	1	0.07569302756349897	104.0	0.1810154987569086	0.1810154987569086	0.032766610790212376	1
[2, 4, 5]	lt(lt(add(X2, X4), lt(X4, X5)), gt(div(-2, -2), sub(3, X4)))	None	0.117880721490809	0.505395183185267	2	610.0563224101437	4985	0	6.0	1220.1126448202874	2764	5000	395	638	1	0.027335276229675184	76.0	0.117880721490809	0.117880721490809	0.013895864499193679	1
[2, 3, 4]	max(sin(div(X4, X3)), mul(sub(0, X2), cos(0)))	None	0.14531078954317878	0.5092159170609969	1	610.0563224101437	4985	0	6.0	610.0563224101437	2656	5000	408	638	1	0.04667173285476589	89.0	0.14531078954317878	0.14531078954317878	0.021115225557661994	1
[3, 4]	neg(sin(div(X3, X4)))	None	0.07593452054716236	0.46804573465567734	1	610.0563224101437	4999	0	6.0	610.0563224101437	2412	5000	373	638	1	0.002371974950551262	54.0	0.07593452054716236	0.07593452054716236	0.005766051410727423	1
[0]	sin(sub(X0, 1))	None	0.10676542172304766	0.49383787702217274	1	610.0563224101437	4958	0	6.0	610.0563224101437	2699	5000	396	638	1	0.0025026845562876824	77.0	0.10676542172304766	0.10676542172304766	0.011398855275700217	1
[0, 2, 5]	gt(mul(mul(X2, X0), sin(X0)), add(lt(3, X5), X5))	None	0.2961319501126088	0.5330423079273232	1	610.0563224101437	4980	0	6.0	610.0563224101437	2842	5000	472	638	1	0.16594593274700237	153.0	0.2961319501126088	0.2961319501126088	0.08769413187749663	1
[1, 3, 5]	sin(mul(cos(X1), div(X3, X5)))	None	0.3314750216162994	0.545286209627339	1	610.0563224101437	4980	0	6.0	610.0563224101437	2692	5000	468	638	1	0.22565962668758338	149.0	0.3314750216162994	0.3314750216162994	0.10987568995552614	1
[3, 5]	cos(sub(X3, X5))	None	0.29882346950058764	0.5467097798099192	1	610.0563224101437	4999	0	6.0	610.0563224101437	2887	5000	435	638	1	0.23250547801636845	116.0	0.29882346950058764	0.29882346950058764	0.08929546592436863	1
[3]	div(gt(5, X3), sin(5))	None	0.11989285008568115	0.48924964194203746	1	610.0563224101437	4980	0	6.0	610.0563224101437	2744	5000	406	638	1	0.002479432271306948	87.0	0.11989285008568115	0.11989285008568115	0.014374295501667614	1
[4, 5]	cos(lt(X5, X4))	None	0.07328599077613525	0.4935803311773962	1	610.0563224101437	4985	0	6.0	610.0563224101437	2667	5000	371	638	1	0.0025013793639959447	52.0	0.07328599077613525	0.07328599077613525	0.005370836444039781	1
[4]	gt(cos(-4), cos(X4))	None	0.3295504896344145	0.5402250330052587	1	610.0563224101437	4980	0	6.0	610.0563224101437	2854	5000	481	638	1	0.2011489312545307	162.0	0.3295504896344145	0.3295504896344145	0.10860352521828236	1
[0, 1, 2, 3]	mul(mul(sub(X3, X2), div(X0, X1)), cos(sub(-1, X1)))	None	0.06760663121736117	0.39122681992599606	1	610.0563224101437	4980	0	6.0	610.0563224101437	2204	5000	367	638	1	0.0019826710481274726	48.0	0.06760663121736117	0.06760663121736117	0.004570656584560274	1
[0, 2, 4]	div(sin(sub(X2, X4)), div(sin(X0), lt(X2, -1)))	None	0.11073474539858867	0.49872660223759446	2	610.0563224101437	4999	0	6.0	1220.1126448202874	2630	5000	399	638	1	0.0025274596640608173	80.0	0.11073474539858867	0.11073474539858867	0.012262183838490256	1
