Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
100	997	1000	-0.001820755990414946	0.5676666666666664	0.0	0.6400390466054281
200	993	1000	0.38435855720984485	0.5684999999999997	0.0	1.1313029766082763
300	988	1000	0.6497455064181412	0.5691666666666665	0.0	1.608016312122345
400	981	1000	0.636839947432756	0.5711666666666663	0.0	2.065961249669393
500	974	1000	0.41132862113703944	0.573333333333333	0.0	2.5198242624600726
600	965	1000	0.6664041378022404	0.5753333333333329	0.0	2.972577250003815
700	955	1000	-0.578502624896239	0.5748333333333328	0.9026178010471204	3.2429200450579327
800	951	1000	0.6554060834962572	0.5741666666666665	0.9032597266035752	3.387785029411316
900	942	1000	0.6650034895292007	0.5761666666666668	0.8991507430997877	3.5344984968503317
1000	934	1000	0.5066776286520418	0.5768333333333333	0.9025695931477516	3.675565230846405
1100	924	1000	0.4477210993991456	0.577	0.9145021645021645	3.813354480266571
1200	914	1000	-0.01791263120179628	0.5793333333333333	0.9299781181619255	3.939152697722117
1300	910	1000	0.3488743901295039	0.5788333333333333	0.9307692307692308	4.057219445705414
1400	901	1000	0.4329968527874651	0.5799999999999997	0.9356270810210877	4.176115810871124
1500	899	1000	0.608478649781524	0.5778333333333329	0.9377085650723026	4.290909115473429
1600	892	1000	0.25531037670775536	0.5784999999999997	0.9383408071748879	4.411626096566518
1700	888	1000	0.6159670900637919	0.5781666666666662	0.9391891891891891	4.545777861277262
1800	880	1000	0.6576216362884536	0.5784999999999998	0.9420454545454545	4.6540212790171305
1900	872	1000	-0.10306134467828276	0.5776666666666668	0.9518348623853211	4.77058306535085
2000	868	1000	0.7432827047968409	0.5785000000000001	0.9447004608294931	4.896633080641428
2100	861	1000	0.6331010712796794	0.5791666666666665	0.9442508710801394	5.02098696231842
2200	857	1000	0.6487822531971078	0.5791666666666666	0.9544924154025671	5.135922229290008
2300	856	1000	0.6438330532282497	0.5801666666666667	0.9521028037383178	5.240596497058869
2400	850	1000	0.6471614081123426	0.5803333333333335	0.9470588235294117	5.348766513665518
2500	847	1000	0.705572113017448	0.5801666666666667	0.9468713105076741	5.448097896575928
2600	842	1000	0.3676334882294008	0.5803333333333331	0.9513064133016627	5.546490164597829
