Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[1, 5]	max(cos(lt(1, X5)), gt(neg(X1), sin(1)))	None	0.32076351454944696	0.5494988936878329	1	674.4494457820433	9981	0	6.0	678.7840737930534	5133	10000	446	638	1	0.2458528978748594	127.0	0.32076351454944696	0.32076351454944696	0.10288923226611327	1
[4]	sin(sub(4, X4))	None	0.1523553298853163	0.5089587419290925	2	674.4494457820433	9996	0	6.0	1357.5681475861068	5008	10000	414	638	1	0.045371098493833584	95.0	0.1523553298853163	0.1523553298853163	0.023212146544463557	1
[4]	sin(cos(X4))	None	0.1810154987569086	0.5149638242742889	2	674.4494457820433	9981	0	6.0	1357.5681475861068	4794	10000	423	638	1	0.07569302756349897	104.0	0.1810154987569086	0.1810154987569086	0.032766610790212376	1
[2, 4, 5]	lt(lt(add(X2, X4), lt(X4, X5)), gt(div(-2, -2), sub(3, X4)))	None	0.117880721490809	0.505395183185267	1	674.4494457820433	9981	0	6.0	678.7840737930534	5316	10000	395	638	1	0.027335276229675184	76.0	0.117880721490809	0.117880721490809	0.013895864499193679	1
[2, 3, 4]	max(sin(div(X4, X3)), mul(sub(0, X2), cos(0)))	None	0.14531078954317878	0.5092159170609969	1	674.4494457820433	9981	0	6.0	678.7840737930534	4957	10000	408	638	1	0.04667173285476589	89.0	0.14531078954317878	0.14531078954317878	0.021115225557661994	1
[1, 3, 5]	sin(mul(cos(X1), div(X3, X5)))	None	0.3314750216162994	0.545286209627339	1	674.4494457820433	9957	0	6.0	678.7840737930534	4826	10000	468	638	1	0.22565962668758338	149.0	0.3314750216162994	0.3314750216162994	0.10987568995552614	1
[3, 5]	cos(sub(X3, X5))	None	0.29882346950058764	0.5467097798099192	1	674.4494457820433	9996	0	6.0	678.7840737930534	5395	10000	435	638	1	0.23250547801636845	116.0	0.29882346950058764	0.29882346950058764	0.08929546592436863	1
[0, 2, 4, 5]	gt(lt(sin(X0), mul(X5, X5)), sub(mul(X4, X2), gt(X0, X5)))	None	0.3677260510048076	0.5488218723224697	1	674.4494457820433	9996	0	6.0	678.7840737930534	5155	10000	490	638	1	0.242621092348553	171.0	0.3677260510048076	0.3677260510048076	0.13522244858759036	1
[0, 4]	div(sin(X4), lt(X0, X4))	None	0.09635086389179857	0.501670603861885	1	674.4494457820433	9990	0	6.0	678.7840737930534	5251	10000	386	638	1	0.008466150408483702	67.0	0.09635086389179857	0.09635086389179857	0.009283488972695894	1
[0, 2, 4]	lt(max(X0, X4), neg(X2))	None	0.4029996099620817	0.5546042358697583	2	674.4494457820433	9996	0	6.0	1357.5681475861068	5122	10000	505	638	1	0.2700485929149327	186.0	0.4029996099620817	0.4029996099620817	0.16240868562958996	1
[0, 2, 4]	gt(neg(X4), sub(X2, X0))	None	0.41598376922838937	0.5582217397664377	1	674.4494457820433	9996	0	6.0	678.7840737930534	5177	10000	506	638	1	0.2869965902898932	187.0	0.41598376922838937	0.41598376922838937	0.1730424962614579	1
[0]	mul(sub(X0, X0), sin(3))	None	0.4029996099620817	0.5546042358697583	1	674.4494457820433	9996	0	6.0	678.7840737930534	5122	10000	505	638	1	0.2700485929149327	186.0	0.4029996099620817	0.4029996099620817	0.16240868562958996	1
[1, 3, 4]	lt(cos(mul(X4, X3)), neg(add(X4, X1)))	None	0.4029996099620817	0.5546042358697583	1	674.4494457820433	9996	0	6.0	678.7840737930534	5122	10000	505	638	1	0.2700485929149327	186.0	0.4029996099620817	0.4029996099620817	0.16240868562958996	1
[0, 3, 4]	add(mul(gt(3, 3), div(X4, X0)), sub(lt(X3, 3), sin(3)))	None	0.8274162075356128	0.6822176377286471	1	674.4494457820433	9996	0	6.0	678.7840737930534	6406	10000	579	638	1	0.7314450456556149	260.0	0.8274162075356128	0.8274162075356128	0.6846175804926163	1
[0, 3, 5]	div(sin(lt(X5, X3)), mul(X0, neg(X3)))	None	0.46483438442824054	0.5785789497418321	2	674.4494457820433	9996	0	6.0	1357.5681475861068	5736	10000	489	638	1	0.37892526015914757	170.0	0.46483438442824054	0.46483438442824054	0.2160710049467813	1
[0, 1, 2, 4]	gt(mul(add(4, X0), sub(X2, X4)), neg(X1))	None	0.1086565696372797	0.5012697459778636	1	674.4494457820433	9996	0	6.0	678.7840737930534	5231	10000	396	638	1	0.006434778620692434	77.0	0.1086565696372797	0.1086565696372797	0.011806250125341013	1
[0, 5]	max(neg(add(1, X0)), sin(cos(X5)))	None	0.16806926911959758	0.5122575946640102	1	674.4494457820433	9996	0	6.0	678.7840737930534	4883	10000	419	638	1	0.06204182486240975	100.0	0.16806926911959758	0.16806926911959758	0.028247279222395717	1
[1, 2, 3]	sin(sub(add(-1, X2), div(X3, X1)))	None	0.1181306127306546	0.5013737320032505	2	674.4494457820433	9996	0	6.0	1357.5681475861068	4922	10000	403	638	1	0.006961739773587392	84.0	0.1181306127306546	0.1181306127306546	0.013954841664119895	1
[5]	gt(cos(2), gt(3, X5))	None	0.4029996099620817	0.5546042358697583	1	674.4494457820433	9996	0	6.0	678.7840737930534	5122	10000	505	638	1	0.2700485929149327	186.0	0.4029996099620817	0.4029996099620817	0.16240868562958996	1
[3, 4]	max(mul(sin(X3), lt(2, 2)), gt(gt(2, 2), sub(X4, X4)))	None	0.4029996099620817	0.5546042358697583	2	674.4494457820433	9996	0	6.0	1357.5681475861068	5122	10000	505	638	1	0.2700485929149327	186.0	0.4029996099620817	0.4029996099620817	0.16240868562958996	1
[0, 1]	sin(add(cos(X0), X1))	None	0.2043532332475741	0.5241620723294386	1	674.4494457820433	9981	0	6.0	678.7840737930534	5247	10000	419	638	1	0.12185716833963303	100.0	0.2043532332475741	0.2043532332475741	0.041760243938737424	1
[4, 5]	sin(div(cos(X5), X4))	None	0.409374544922424	0.5591223876228071	1	674.4494457820433	9996	0	6.0	678.7840737930534	4885	10000	497	638	1	0.29118959800765537	178.0	0.409374544922424	0.409374544922424	0.16758751803044172	1
[0, 2]	mul(gt(X2, X2), cos(X0))	None	0.4029996099620817	0.5546042358697583	3	674.4494457820433	9996	0	6.0	2036.3522213791603	5122	10000	505	638	1	0.2700485929149327	186.0	0.4029996099620817	0.4029996099620817	0.16240868562958996	1
[0, 2, 4, 5]	div(div(X2, X4), mul(X0, X5))	None	0.2946553284823121	0.5351109465718547	1	674.4494457820433	9996	0	6.0	678.7840737930534	5137	10000	465	638	1	0.17613082589006643	146.0	0.2946553284823121	0.2946553284823121	0.08682176260301923	1
[1, 3, 4, 5]	sub(gt(mul(X3, X1), sin(X4)), lt(cos(X5), max(2, 5)))	None	0.2511368884875517	0.5191896196448249	1	674.4494457820433	9996	0	6.0	678.7840737930534	5026	10000	470	638	1	0.09695252204892679	151.0	0.2511368884875517	0.2511368884875517	0.06306973675920899	1
[1, 2, 3]	gt(lt(lt(-4, -3), neg(X2)), lt(div(-4, X1), X3))	None	0.4029996099620817	0.5546042358697583	2	674.4494457820433	9996	0	6.0	1357.5681475861068	5122	10000	505	638	1	0.2700485929149327	186.0	0.4029996099620817	0.4029996099620817	0.16240868562958996	1
[0, 1, 2, 3, 5]	mul(gt(div(X1, -3), div(X5, X2)), gt(add(X3, X5), lt(X0, X0)))	None	0.4029996099620817	0.5546042358697583	1	674.4494457820433	9996	0	6.0	678.7840737930534	5122	10000	505	638	1	0.2700485929149327	186.0	0.4029996099620817	0.4029996099620817	0.16240868562958996	1
[0, 5]	gt(gt(X5, X0), max(X5, -3))	None	0.4029996099620817	0.5546042358697583	1	674.4494457820433	9996	0	6.0	678.7840737930534	5122	10000	505	638	1	0.2700485929149327	186.0	0.4029996099620817	0.4029996099620817	0.16240868562958996	1
