Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[1, 12]	max(neg(X1), sin(X12))	None	0.5707963729072291	0.6078450228382483	7	354.95587479971675	49966	0	13.0	2491.6139044975216	13090	50000	1278	1500	1	0.4990817422548232	528.0	0.5707963729072291	0.5707963729072291	0.3258084993240485	1
[8, 9, 2]	cos(add(mul(X9, X8), add(X2, X9)))	None	0.2595843591452365	0.5378706044295283	3	354.95587479971675	49978	0	13.0	1067.8345304989377	15573	50000	1040	1500	1	0.1896606989336176	290.0	0.2595843591452365	0.2595843591452365	0.06738403951284312	1
[12, 7]	cos(mul(X12, X7))	None	0.43882642605642386	0.5862631274365422	5	354.95587479971675	49974	0	13.0	1779.7242174982296	19436	50000	1102	1500	1	0.4119342483352117	352.0	0.43882642605642386	0.43882642605642386	0.19256863220545403	1
[11, 12, 6]	cos(add(cos(X6), max(X12, X11)))	None	0.9038185409947216	0.7621054137206801	12	354.95587479971675	49974	0	13.0	4271.338121995751	25356	50000	1417	1500	1	0.8761364160758736	667.0	0.9038185409947216	0.9038185409947216	0.8168879550458272	1
[2, 7]	cos(sub(sqrt(X2), sin(X7)))	None	0.2910302233428581	0.5441153037943416	1	354.95587479971675	49992	0	13.0	355.9448434996459	15251	50000	1066	1500	1	0.22001250638459316	316.0	0.2910302233428581	0.2910302233428581	0.08469859089899387	1
[12]	cos(X12)	None	0.986244462783304	0.8527416910380461	8	354.95587479971675	49974	2824	13.0	2847.5587479971673	30728	47176	1487	1500	1	0.9557085840132575	737.0	0.986244462783304	0.986244462783304	0.972678140370728	1
[11, 12]	sin(sub(-5, max(X12, X11)))	None	0.8621747385567501	0.7356009402110957	9	354.95587479971675	49974	3296	13.0	3203.503591496813	21646	46704	1323	1500	1	0.8380391482365942	573.0	0.8621747385567501	0.8621747385567501	0.7433452798054003	1
[10, 12]	sin(sub(-5, max(X12, neg(X10))))	None	0.8600842648181577	0.7344201953291118	5	354.95587479971675	49974	4072	13.0	1779.7242174982296	21130	45928	1318	1500	1	0.8361368043564399	568.0	0.8600842648181577	0.8600842648181577	0.7397449425877908	1
[2, 12]	max(cos(X12), sub(X2, X12))	None	0.9794858948441564	0.842491133025166	5	354.95587479971675	49974	4151	13.0	1779.7242174982296	29276	45849	1468	1500	1	0.9496600058768362	718.0	0.9794858948441564	0.9794858948441564	0.9593926181986577	1
[11, 12]	min(max(X12, X11), cos(X12))	None	0.981534119213215	0.8456593642341828	3	354.95587479971675	49974	4420	13.0	1067.8345304989377	29146	45580	1471	1500	1	0.9515920675637705	721.0	0.981534119213215	0.981534119213215	0.9634092271796617	1
