Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[1, 12]	max(neg(X1), sin(X12))	None	0.5707963729072291	0.6078450228382483	3	357.851250942461	99954	0	13.0	1073.553752827383	21058	100000	1278	1500	1	0.4990817422548232	528.0	0.5707963729072291	0.5707963729072291	0.3258084993240485	1
[12, 7]	cos(mul(X12, X7))	None	0.43882642605642386	0.5862631274365422	4	357.851250942461	99967	0	13.0	1431.405003769844	33692	100000	1102	1500	1	0.4119342483352117	352.0	0.43882642605642386	0.43882642605642386	0.19256863220545403	1
[11, 12, 6]	cos(add(cos(X6), max(X12, X11)))	None	0.903900243474765	0.7621054137206801	10	357.851250942461	99967	0	13.0	3578.5125094246096	43497	100000	1417	1500	1	0.8761364160758736	667.0	0.903900243474765	0.903900243474765	0.8170356501537396	1
[2, 7]	cos(sub(sqrt(X2), sin(X7)))	None	0.2910302233428581	0.5441153037943416	3	357.851250942461	99985	0	13.0	1073.553752827383	25773	100000	1066	1500	1	0.22001250638459316	316.0	0.2910302233428581	0.2910302233428581	0.08469859089899387	1
[12]	cos(X12)	None	0.9862583840964882	0.8527416910380461	10	357.851250942461	99985	2824	13.0	3578.5125094246096	55240	97176	1487	1500	1	0.9557085840132575	737.0	0.9862583840964882	0.9862583840964882	0.9727056002006161	1
[11, 12]	sin(sub(-5, max(X12, X11)))	None	0.8627716608302706	0.7356009402110957	4	357.851250942461	99985	3296	13.0	1431.405003769844	38447	96704	1323	1500	1	0.8380391482365942	573.0	0.8627716608302706	0.8627716608302706	0.7443749387318235	1
[2, 12]	max(cos(X12), sub(X2, X12))	None	0.9796141480369233	0.842491133025166	6	357.851250942461	99985	4151	13.0	2147.107505654766	53644	95849	1468	1500	1	0.9496600058768362	718.0	0.9796141480369233	0.9796141480369233	0.959643879034107	1
[11, 12]	min(max(X12, X11), cos(X12))	None	0.9816503478097413	0.8456593642341828	6	357.851250942461	99985	4420	13.0	2147.107505654766	53658	95580	1471	1500	1	0.9515920675637705	721.0	0.9816503478097413	0.9816503478097413	0.963637405354986	1
[12]	min(X12, cos(X12))	None	0.9732204890083966	0.8336311567376592	19	357.851250942461	99985	5785	13.0	6799.173767906758	52015	94215	1446	1500	1	0.9439427753065541	696.0	0.9732204890083966	0.9732204890083966	0.9471581202257426	1
[2, 12, 5, 6]	max(cos(X12), sub(min(X5, X12), add(X6, X2)))	None	0.9095584529488115	0.7684247214606338	5	357.851250942461	99998	6133	13.0	1789.2562547123048	48656	93867	1335	1500	1	0.8840145227440805	585.0	0.9095584529488115	0.9095584529488115	0.8272965793306354	1
