Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[0, 2, 3]	lt(max(add(X0, X3), neg(X2)), cos(lt(X3, X2)))	None	0.8405684594886655	0.5957997608984239	1	502.7467829514602	4993	0	6.0	509.49507556508854	3128	5000	422	638	1	0.45148486989569075	103.0	0.8405684594886655	0.8405684594886655	0.7065553350871484	1
[1, 2, 3, 5]	div(cos(gt(X5, X1)), add(gt(X3, X2), sin(4)))	None	0.5314013802352149	0.5536159856534021	2	502.7467829514602	4995	0	6.0	1018.9901511301771	2873	5000	388	638	1	0.2653897301758404	69.0	0.5314013802352149	0.5314013802352149	0.2823874269158914	1
[2]	neg(cos(X2))	None	0.8289156679092594	0.5937901118506563	3	502.7467829514602	4993	0	6.0	1528.4852266952657	3072	5000	421	638	1	0.44328467293727053	102.0	0.8289156679092594	0.8289156679092594	0.6871011845054537	1
[1]	max(sin(cos(X1)), sin(2))	None	0.8151394512630551	0.5922663266438055	2	502.7467829514602	4993	0	6.0	1018.9901511301771	3064	5000	419	638	1	0.437018709475853	100.0	0.8151394512630551	0.8151394512630551	0.6644523250054346	1
[0, 5]	sin(add(X0, X5))	None	0.8165655420460303	0.5916180104856406	1	502.7467829514602	4993	0	6.0	509.49507556508854	3117	5000	420	638	1	0.43434022233386904	101.0	0.8165655420460303	0.8165655420460303	0.6667792844569272	1
[3, 4]	add(lt(X3, X4), cos(2))	None	0.7962638224099889	0.5894518575576482	3	502.7467829514602	4993	0	6.0	1528.4852266952657	3120	5000	417	638	1	0.4253369679184736	98.0	0.7962638224099889	0.7962638224099889	0.6340360748789664	1
[3]	gt(neg(1), div(X3, X3))	None	0.8414368953394161	0.5960262460893708	1	502.7467829514602	4993	0	6.0	509.49507556508854	3128	5000	422	638	1	0.45240445330859397	103.0	0.8414368953394161	0.8414368953394161	0.7080160488384355	1
[2, 5]	lt(mul(4, X2), lt(X5, X2))	None	0.8414368953394161	0.5960262460893708	2	502.7467829514602	4993	0	6.0	1018.9901511301771	3128	5000	422	638	1	0.45240445330859397	103.0	0.8414368953394161	0.8414368953394161	0.7080160488384355	1
[3, 5]	max(sin(X3), cos(X5))	None	0.9115489878425981	0.608542754762234	2	502.7467829514602	4993	0	6.0	1018.9901511301771	3230	5000	428	638	1	0.5017557965478915	109.0	0.9115489878425981	0.9115489878425981	0.830921557236865	1
[5]	cos(lt(cos(X5), sin(X5)))	None	0.7886787320696156	0.588534443795526	1	502.7467829514602	4993	0	6.0	509.49507556508854	3074	5000	416	638	1	0.4214990495954899	97.0	0.7886787320696156	0.7886787320696156	0.6220141424189365	1
[0, 1, 5]	mul(mul(sub(X1, X1), div(X5, X0)), mul(cos(X1), neg(-1)))	None	0.8414368953394161	0.5960262460893708	1	502.7467829514602	4993	0	6.0	509.49507556508854	3128	5000	422	638	1	0.45240445330859397	103.0	0.8414368953394161	0.8414368953394161	0.7080160488384355	1
[3]	neg(cos(cos(X3)))	None	0.81833737242438	0.5920719144599402	1	502.7467829514602	4993	0	6.0	509.49507556508854	3181	5000	420	638	1	0.43621628859479367	101.0	0.81833737242438	0.81833737242438	0.6696760551064384	1
[0, 3, 4, 5]	lt(sub(max(X4, X5), -2), div(X3, X0))	None	0.81483339210405	0.5921868043267866	1	502.7467829514602	4993	0	6.0	509.49507556508854	3111	5000	419	638	1	0.43669056863819705	100.0	0.81483339210405	0.81483339210405	0.6639534568877925	1
[2, 4, 5]	div(cos(X5), max(X2, X4))	None	0.8248003995941963	0.5937447151362152	1	502.7467829514602	4993	0	6.0	509.49507556508854	3151	5000	420	638	1	0.4430985968704006	101.0	0.8248003995941963	0.8248003995941963	0.6802956991707458	1
