Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
100	995	1000	0.7858768324558912	0.5515000000000005	0.0	0.6282577991485596
200	989	1000	0.7675390444709415	0.5518333333333336	0.0	1.094748584429423
300	977	1000	0.781276767697897	0.5528333333333335	0.0	1.550553015867869
400	971	1000	0.7627059156883981	0.5528333333333333	0.0	1.9878803173700967
500	949	1000	0.800944695337501	0.5543333333333332	0.0	2.407345914840698
600	931	1000	0.8119834627961857	0.5558333333333328	0.0	2.813249882062276
700	925	1000	0.7842495727010024	0.5573333333333331	0.8605405405405405	3.0414063493410746
800	916	1000	0.7855012914909691	0.5585000000000001	0.8591703056768559	3.1501618305842083
900	908	1000	0.7763505348812144	0.5615000000000007	0.8612334801762115	3.254312535127004
1000	894	1000	0.7859856728175975	0.562833333333334	0.8769574944071589	3.3586992303530376
1100	888	1000	0.7849088306935126	0.5673333333333336	0.8704954954954955	3.4604783495267233
1200	877	1000	0.7821599518087169	0.5708333333333335	0.8734321550741163	3.5603174845377605
1300	868	1000	0.7873701994327997	0.5725000000000006	0.8755760368663594	3.656289299329122
1400	861	1000	0.7755390839310617	0.578333333333334	0.8768873403019745	3.750546713670095
1500	857	1000	0.7413607677664877	0.5796666666666672	0.8844807467911319	3.844748600323995
1600	849	1000	0.7949450436151393	0.583666666666667	0.8845700824499411	3.9343225320180255
1700	838	1000	0.7813504349326622	0.5868333333333335	0.8866348448687351	4.026897629102071
1800	831	1000	0.8065302733066845	0.5888333333333332	0.8856799037304453	4.118443183104197
1900	819	1000	0.81833798794876	0.5928333333333332	0.8901098901098901	4.208318134148915
2000	816	1000	0.746067194681252	0.5940000000000002	0.8958333333333334	4.301508283615112
2100	801	1000	0.7713496609288818	0.5980000000000003	0.8976279650436954	4.392844164371491
2200	799	1000	0.8094202308433853	0.5998333333333336	0.8973717146433041	4.486814248561859
2300	792	1000	0.7500256023072168	0.6016666666666665	0.9002525252525253	4.576855417092641
2400	788	1000	0.7895248118028007	0.6049999999999995	0.9073604060913706	4.661463880538941
2500	783	1000	0.8130297696662185	0.609	0.9042145593869731	4.7468386809031164
2600	778	1000	0.7880736503182064	0.6090000000000002	0.8984575835475579	4.829772933324178
2700	776	1000	0.7747496568747622	0.6135000000000003	0.8891752577319587	4.913892900943756
2800	772	1000	0.8036348145187627	0.6151666666666668	0.9028497409326425	4.990918282667796
2900	776	1000	0.7924577834370382	0.6178333333333332	0.8878865979381443	5.0665280024210615
3000	769	1000	0.7308241405749313	0.6209999999999994	0.8972691807542262	5.1471531311670935
3100	765	1000	0.7581408792648026	0.6204999999999996	0.8954248366013072	5.221938649813334
3200	752	1000	0.7844440581310057	0.6253333333333327	0.9002659574468085	5.296004649003347
3300	741	1000	0.7904246842435713	0.6276666666666664	0.9095816464237517	5.370180829366048
3400	740	1000	0.7413073623345752	0.630333333333333	0.9162162162162162	5.447517152627309
3500	742	1000	0.781145598405022	0.6315	0.9164420485175202	5.5293474475542705
3600	733	1000	0.7951203197279912	0.6341666666666665	0.9195088676671214	5.607791848977407
3700	730	1000	0.8157623264132642	0.6374999999999996	0.9164383561643835	5.685341000556946
3800	726	1000	0.8059142934676445	0.6398333333333333	0.9077134986225895	5.764857534567515
3900	734	1000	0.7671620380828506	0.6394999999999996	0.8991825613079019	5.842990517616272
4000	724	1000	0.7695091622141031	0.6418333333333331	0.9046961325966851	5.9186463514963785
4100	732	1000	0.8057009253100218	0.6409999999999997	0.8989071038251366	5.990470778942108
4200	725	1000	0.8139688255619193	0.6428333333333331	0.8993103448275862	6.062306948502859
4300	728	1000	0.7967092715141872	0.6421666666666666	0.9052197802197802	6.13491975069046
4400	724	1000	0.8267491110055053	0.6434999999999998	0.9005524861878453	6.20715134938558
4500	720	1000	0.6982749230809978	0.6473333333333332	0.9041666666666667	6.281174850463867
4600	714	1000	0.7526525623191017	0.6499999999999998	0.9047619047619048	6.354179648558299
4700	716	1000	0.6472255075566663	0.651166666666667	0.9036312849162011	6.4289889176686605
4800	716	1000	0.7221691883926143	0.6536666666666667	0.9064245810055865	6.5042091329892475
4900	714	1000	0.7838042517319771	0.6555000000000003	0.9019607843137255	6.576582535107931
5000	715	1000	0.7632345328153192	0.6568333333333336	0.9006993006993007	6.654692482948303
5100	711	1000	0.8080668147476291	0.6620000000000005	0.8973277074542897	7.164883883794149
5200	714	1000	0.7549988224556191	0.6641666666666673	0.8907563025210085	7.257242798805237
5300	713	1000	0.7933322087049077	0.6655	0.8920056100981767	7.341690766811371
5400	710	1000	0.8058640989668012	0.6678333333333333	0.9014084507042254	7.422354133923848
5500	712	1000	0.7711032418056647	0.6671666666666662	0.8974719101123596	7.505505017439524
5600	713	1000	0.8158107987254707	0.6711666666666662	0.8948106591865358	7.588916583855947
5700	707	1000	0.8225440035769551	0.6708333333333327	0.9066478076379066	7.671497849623362
5800	700	1000	0.7784202218673374	0.6724999999999997	0.9071428571428571	7.752266383171081
5900	696	1000	0.7850077749915395	0.673166666666666	0.9181034482758621	7.830011947949727
6000	698	1000	0.8022462679971148	0.6739999999999993	0.9126074498567335	7.90264447927475
6100	695	1000	0.7945211304437021	0.6749999999999994	0.9151079136690647	7.978598348299662
6200	689	1000	0.7905323960847026	0.6763333333333328	0.918722786647315	8.052075664202372
6300	688	1000	0.8128879480607065	0.6781666666666658	0.9156976744186046	8.121184098720551
6400	683	1000	0.7785107958138139	0.6791666666666661	0.91800878477306	8.193693884213765
6500	687	1000	0.8000218508163202	0.6815	0.9112081513828238	8.266189448038737
6600	683	1000	0.7999190822186963	0.6820000000000002	0.9194729136163983	8.338616931438446
6700	684	1000	0.8109884852968672	0.682	0.9181286549707602	8.412181266148885
6800	681	1000	0.7725826837050914	0.6834999999999994	0.9192364170337739	8.485917548338572
6900	682	1000	0.8112679163297011	0.684166666666666	0.9193548387096774	8.56229141553243
7000	673	1000	0.8174354574827146	0.6853333333333328	0.9271916790490342	8.637288431326548
7100	675	1000	0.7932858635235503	0.6876666666666663	0.922962962962963	8.712321786085765
7200	669	1000	0.7625189600332307	0.6881666666666665	0.9267563527653214	8.783634865283966
7300	671	1000	0.781915508998868	0.6891666666666664	0.9210134128166915	8.855091698964436
7400	668	1000	0.7870099113502372	0.6916666666666669	0.9191616766467066	8.926399497191111
7500	661	1000	0.7886450351468091	0.6938333333333336	0.9258698940998488	8.996067814032237
7600	659	1000	0.8188991728571758	0.6954999999999999	0.9165402124430956	9.061054317156474
7700	660	1000	0.793934291405563	0.6955	0.9075757575757576	9.131913550694783
7800	656	1000	0.7757830316095548	0.6968333333333332	0.9115853658536586	9.204196286201476
7900	654	1000	0.8037442347624177	0.6980000000000006	0.9097859327217125	9.273984817663829
8000	650	1000	0.8044981785540619	0.699166666666667	0.9153846153846154	9.342967931429545
8100	647	1000	0.7873162222791595	0.698833333333334	0.9134466769706336	9.415258383750915
8200	647	1000	0.8242554218802775	0.6986666666666672	0.9180834621329211	9.48862178325653
8300	648	1000	0.789193502549967	0.7003333333333339	0.9166666666666666	9.562260782718658
8400	648	1000	0.775223668811183	0.7010000000000007	0.9212962962962963	9.636931999524434
8500	643	1000	0.8003671678363621	0.7020000000000008	0.9191290824261276	9.709062298138937
8600	640	1000	0.7990227217582044	0.7025000000000009	0.915625	9.782088613510131
8700	641	1000	0.795485069142983	0.7021666666666673	0.9173166926677067	9.85038404862086
8800	636	1000	0.8180482037656511	0.7035000000000007	0.9261006289308176	9.91682183345159
8900	640	1000	0.8071730856249069	0.7031666666666674	0.921875	9.981686500708262
9000	638	1000	0.6976354240472058	0.704833333333334	0.9310344827586207	10.04612438281377
9100	638	1000	0.6414472512835543	0.7040000000000008	0.9231974921630094	10.11230365037918
9200	636	1000	0.7997948805503003	0.7058333333333341	0.9292452830188679	10.174527033170063
9300	633	1000	0.8104686864583246	0.7065000000000003	0.933649289099526	10.237870367368062
9400	637	1000	0.7924739474180655	0.7063333333333333	0.9262166405023547	10.304048868020375
9500	637	1000	0.7834863361776309	0.7068333333333336	0.9262166405023547	10.370003918806711
9600	634	1000	0.7951907629868257	0.7086666666666667	0.919558359621451	10.448931817213694
9700	631	1000	0.7926599739741313	0.7081666666666665	0.9175911251980983	10.526185568173727
9800	629	1000	0.7926929160474273	0.7069999999999997	0.9284578696343402	10.599809217453004
9900	629	1000	0.7842757049245718	0.7074999999999996	0.9252782193958664	10.673447148005168
