Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[0, 2, 3]	lt(max(add(X0, X3), neg(X2)), cos(lt(X3, X2)))	None	0.8405684594886655	0.5957997608984239	2	581.8381037831621	9995	0	6.0	1023.490741128721	6213	10000	422	638	1	0.45148486989569075	103.0	0.8405684594886655	0.8405684594886655	0.7065553350871484	1
[1, 2, 3, 5]	div(cos(gt(X5, X1)), add(gt(X3, X2), sin(4)))	None	0.5314013802352149	0.5536159856534021	2	581.8381037831621	9995	0	6.0	1023.490741128721	5714	10000	388	638	1	0.2653897301758404	69.0	0.5314013802352149	0.5314013802352149	0.2823874269158914	1
[2]	neg(cos(X2))	None	0.8289156679092594	0.5937901118506563	1	581.8381037831621	9995	0	6.0	511.7453705643605	6093	10000	421	638	1	0.44328467293727053	102.0	0.8289156679092594	0.8289156679092594	0.6871011845054537	1
[2, 5]	lt(mul(4, X2), lt(X5, X2))	None	0.8414368953394161	0.5960262460893708	2	581.8381037831621	9995	0	6.0	1023.490741128721	6213	10000	422	638	1	0.45240445330859397	103.0	0.8414368953394161	0.8414368953394161	0.7080160488384355	1
[5]	cos(lt(cos(X5), sin(X5)))	None	0.7886787320696156	0.588534443795526	3	581.8381037831621	9995	0	6.0	1535.2361116930815	6104	10000	416	638	1	0.4214990495954899	97.0	0.7886787320696156	0.7886787320696156	0.6220141424189365	1
[0, 3, 4, 5]	lt(sub(max(X4, X5), -2), div(X3, X0))	None	0.81483339210405	0.5921868043267866	2	581.8381037831621	9995	0	6.0	1023.490741128721	6180	10000	419	638	1	0.43669056863819705	100.0	0.81483339210405	0.81483339210405	0.6639534568877925	1
[2, 4]	gt(sub(X4, X4), max(X4, X2))	None	0.8414368953394161	0.5960262460893708	1	581.8381037831621	9995	0	6.0	511.7453705643605	6213	10000	422	638	1	0.45240445330859397	103.0	0.8414368953394161	0.8414368953394161	0.7080160488384355	1
[0, 4]	sin(gt(X0, X4))	None	0.8163845010385995	0.5925904669266093	1	581.8381037831621	9995	0	6.0	511.7453705643605	6183	10000	419	638	1	0.4383550774779525	100.0	0.8163845010385995	0.8163845010385995	0.6664836535360431	1
[0]	sin(neg(X0))	None	0.8579545261759575	0.598312554033498	1	581.8381037831621	9995	0	6.0	511.7453705643605	6219	10000	424	638	1	0.4616352142354835	105.0	0.8579545261759575	0.8579545261759575	0.7360859689858117	1
[1, 5]	lt(sin(lt(X1, X5)), sin(sin(2)))	None	0.8150298532757437	0.5922378430519171	2	581.8381037831621	9995	0	6.0	1023.490741128721	6216	10000	419	638	1	0.4369011877285738	100.0	0.8150298532757437	0.8150298532757437	0.6642736617306804	1
[]	sin(cos(1))	None	0.8064559577263711	0.5910504253027777	1	581.8381037831621	9995	0	6.0	511.7453705643605	6136	10000	418	638	1	0.4319891528725538	99.0	0.8064559577263711	0.8064559577263711	0.6503712117523585	1
[0, 3]	gt(max(X3, X3), lt(-5, X0))	None	0.7882436901505039	0.5884221574974138	1	581.8381037831621	9995	0	6.0	511.7453705643605	6073	10000	416	638	1	0.42102830070999975	97.0	0.7882436901505039	0.7882436901505039	0.6213281150620835	1
[0, 2, 3, 4, 5]	max(lt(add(X5, X2), gt(X0, X3)), mul(lt(X3, X2), lt(4, X4)))	None	0.8394056949693288	0.5954973782476374	1	581.8381037831621	9995	0	6.0	511.7453705643605	6201	10000	422	638	1	0.45025567813357653	103.0	0.8394056949693288	0.8394056949693288	0.704601920746942	1
[1, 5]	sin(mul(lt(X5, X5), X1))	None	0.8414368953394161	0.5960262460893708	1	581.8381037831621	9995	0	6.0	511.7453705643605	6213	10000	422	638	1	0.45240445330859397	103.0	0.8414368953394161	0.8414368953394161	0.7080160488384355	1
[0, 3, 4]	lt(cos(sin(X4)), lt(cos(X0), add(4, X3)))	None	0.7874679605429937	0.5882222123351595	1	581.8381037831621	9995	0	6.0	511.7453705643605	6073	10000	416	638	1	0.4201895073177948	97.0	0.7874679605429937	0.7874679605429937	0.620105788881742	1
[0]	sin(sin(X0))	None	0.8287253614070325	0.593740989688883	2	581.8381037831621	9995	0	6.0	1023.490741128721	6118	10000	421	638	1	0.4430833250376114	102.0	0.8287253614070325	0.8287253614070325	0.6867857246392166	1
[0, 2, 5]	gt(max(div(X0, X5), sub(-4, -4)), lt(gt(X5, X2), cos(X2)))	None	0.8053986645214807	0.5907764330545339	1	581.8381037831621	9995	0	6.0	511.7453705643605	6100	10000	418	638	1	0.4308521744762	99.0	0.8053986645214807	0.8053986645214807	0.6486670088129846	1
