Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[8, 3]	div(add(-3, X3), neg(X8))	None	0.3249838735444133	0.5434983057377616	2	526.8554418493273	49994	0	13.0	1079.548255779148	29015	50000	874	1500	1	0.2170310055886478	124.0	0.3249838735444133	0.3249838735444133	0.10561451806393123	1
[3]	[[3.294348719200002, 54.2691333808]]	[-63.22392462285, 34.6964487825]	0.7420634637148155	0.8341289353461178	2	490.7718995731833	49991	576	0.07692307692307693	997.4297489329583	24258	26271	736	797	1	0.7324804762540841	147.28266666666661	0.7420634637148155	0.7420634637148155	0.5506581841804292	1
[3]	[[3.294348719200002, 44.808119942000005]]	[-62.6672775025, 55.559821444849995]	0.8901139725777855	0.9211196546285505	4	446.0007966175724	49991	1057	0.07692307692307693	1771.003983087862	21538	21538	660	660	1	0.8823810060373652	111.75999999999999	0.8901139725777855	0.8901139725777855	0.7923028841782066	1
[3]	[[57.661553938800004, 97.2537477232]]	[30.104197556050003, 121.62610026395001]	0.45748248675956926	0.3662464733362216	2	564.9618199836825	49983	1814	0.07692307692307693	1132.4045499592062	7197	18277	224	569	1	0.4501706341026095	100.71666666666667	0.45748248675956926	0.45748248675956926	0.20929022569171946	1
[3]	[[-9.977707586000001, 34.4492857146]]	[-71.9766787082, 68.2270871422]	0.7947027094124798	0.940823918922337	4	435.89613988911503	49964	1980	0.07692307692307693	2150.600874306969	17608	17608	550	550	1	0.7884674451951666	55.73333333333335	0.7947027094124798	0.7947027094124798	0.6315523963475362	1
[3]	[[-9.977707586000001, 56.81491511520001]]	[-63.22392462285, 34.6964487825]	0.7725644450355142	0.8403266218270758	2	488.621016173503	49991	2291	0.07692307692307693	992.0525404337575	26289	28231	826	887	1	0.7599790867229308	170.8026666666666	0.7725644450355142	0.7725644450355142	0.5968558217330321	1
[3]	[[47.071072556000004, 102.043879544]]	[-108.56700565835, -12.7158622746]	0.31482367119197463	0.4178998531871706	2	562.8231499135693	49994	2352	0.07692307692307693	1127.0578747839234	10896	23782	343	749	1	0.2823486765618781	86.34266666666667	0.31482367119197463	0.31482367119197463	0.09911394394279256	1
[3]	[[40.5890636664, 102.043879544]]	[-98.3959414054, -12.7158622746]	0.30967221248664617	0.4108616594569041	2	562.7753348569386	49994	2528	0.07692307692307693	1126.9383371423464	12252	27125	387	857	1	0.259292591732598	93.906	0.30967221248664617	0.30967221248664617	0.09589687918637453	1
[3]	[[-9.977707586000001, 56.81491511520001]]	[-63.22392462285, 55.559821444849995]	0.8339207216208373	0.9081937596100238	5	488.621016173503	49991	3213	0.07692307692307693	2480.131351084394	27670	27670	887	887	1	0.8233490521332677	149.01600000000008	0.8339207216208373	0.8339207216208373	0.695423769948618	1
[3]	[[40.5890636664, 102.043879544]]	[-125.83557977390001, -12.7158622746]	0.310770155698645	0.41166257992851063	3	562.7753348569386	49994	3837	0.07692307692307693	1690.4075057135196	11940	26364	388	857	1	0.26002745002538186	94.33466666666664	0.310770155698645	0.310770155698645	0.09657808967296007	1
