Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[3]	sqrt(X3)	None	0.3005853532515591	0.5386935151372829	3	483.4019351988045	99998	4625	13.0	1476.0072569955169	54948	95375	867	1500	1	0.1936819329671843	117.0	0.3005853532515591	0.3005853532515591	0.09035155458936457	1
[3]	div(X3, -2)	None	0.4515571332556223	0.568099125030511	7	483.4019351988045	99998	8374	13.0	3444.0169329895393	55824	91626	914	1500	1	0.33236878603760983	164.0	0.4515571332556223	0.4515571332556223	0.20390384459403585	1
[3]	[[-9.977707586000001, 56.81491511520001]]	[-62.6672775025, 55.559821444849995]	0.838643375089531	0.9083906925263326	1	469.6022047518858	99998	9144	0.07692307692307693	474.7527559398572	53722	53722	887	887	1	0.8280077796770203	150.19866666666667	0.838643375089531	0.838643375089531	0.7033227105815598	1
[3]	[[-9.977707586000001, 56.81491511520001]]	[-44.0378340164, 55.559821444849995]	0.8760442044752188	0.8789280864193529	2	469.6022047518858	99998	9813	0.07692307692307693	949.5055118797144	51413	53339	855	887	1	0.8634160981524455	185.0193333333334	0.8760442044752188	0.8760442044752188	0.7674534481946189	1
[3]	sin(X3)	None	0.3574133807643411	0.5496538029055721	2	483.4019351988045	99998	22648	13.0	984.0048379970112	45546	77352	884	1500	1	0.24659162381369418	134.0	0.3574133807643411	0.3574133807643411	0.12774432474939587	1
[3]	[[-9.977707586000001, 58.987106650399994]]	[-42.115939118, 55.559821444849995]	0.8239289431144642	0.8553050833933418	2	469.6779669894755	99998	32574	0.07692307692307693	949.6949174736889	38932	41448	866	922	1	0.8106001802450522	181.87599999999998	0.8239289431144642	0.8239289431144642	0.6788589033017179	1
[3]	[[-9.977707586000001, 58.987106650399994]]	[-42.111515092699996, 55.559821444849995]	0.8243909936328874	0.8554431730536558	3	469.6779669894755	99998	32917	0.07692307692307693	1424.5423762105333	38738	41244	866	922	1	0.8110884440480811	181.87599999999998	0.8243909936328874	0.8243909936328874	0.6796205103830193	1
[3]	[[-9.977707586000001, 54.2691333808]]	[-62.6672775025, 42.86704468655]	0.8330638784446073	0.8806237326440849	2	469.5883990575046	99998	32989	0.07692307692307693	949.4709976437615	36772	37887	823	848	1	0.8223713370798109	159.86400000000003	0.8330638784446073	0.8330638784446073	0.6939954255691714	1
[3]	[[-9.977707586000001, 56.81491511520001]]	[-37.132547367, 40.758433661]	0.8812106539443606	0.8332725045767575	2	469.6022047518858	99998	34361	0.07692307692307693	949.5055118797144	34975	38821	799	887	1	0.8582283235231334	206.48399999999992	0.8812106539443606	0.8812106539443606	0.7765322166250477	1
[3]	[[-9.977707586000001, 41.4358949812]]	[-40.86575991855, 42.86704468655]	0.9885016445761449	0.9328097472370278	2	456.46232402875995	99998	36462	0.07692307692307693	916.6558100718999	28046	28046	662	662	1	0.9744303189004375	207.42666666666668	0.9885016445761449	0.9885016445761449	0.977135501329743	1
[3]	[[-9.977707586000001, 56.81491511520001]]	[-71.9766787082, 48.6389730912]	0.7198565740876919	0.8917265066660841	1	469.6022047518858	99998	38725	0.07692307692307693	474.7527559398572	36039	36243	882	887	1	0.7105679469985097	142.24200000000008	0.7198565740876919	0.7198565740876919	0.5181934872572687	1
[9, 3]	cos(sub(X9, X3))	None	0.31709363116554584	0.5418155932900568	2	483.4019351988045	99998	40621	13.0	984.0048379970112	34500	59379	872	1500	1	0.2088797960846815	122.0	0.31709363116554584	0.31709363116554584	0.10054837092575122	1
[3]	[[-9.977707586000001, 54.2691333808]]	[-44.3437641275, 42.86704468655]	0.9333759412209454	0.8817957645643025	2	469.5883990575046	99998	43510	0.07692307692307693	949.4709976437615	30587	31940	812	848	1	0.9160600246816866	212.74666666666667	0.9333759412209454	0.9333759412209454	0.8711906476500857	1
[3]	[[-9.977707586000001, 54.2691333808]]	[-62.6672775025, 53.0199621575]	0.8689116271132316	0.9108772053283135	1	469.5883990575046	99998	44495	0.07692307692307693	474.73549882188075	31380	31380	848	848	1	0.8579549310997536	150.37866666666673	0.8689116271132316	0.8689116271132316	0.7550074157325636	1
