Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
100	994	1000	0.9374866413187535	0.5218000000000004	0.0	0.4768984993298849
200	988	1000	0.9498692171179353	0.5284000000000004	0.0	0.8162662347157796
300	973	1000	0.9731958613615319	0.5336	0.0	1.1508198857307435
400	967	1000	0.9479195028472178	0.5393999999999991	0.0	1.4497688015302022
500	955	1000	0.9495886322188543	0.5439999999999989	0.0	1.7433685819307962
600	944	1000	0.9549183000014791	0.5473999999999991	0.0	2.0162095348040263
700	928	1000	0.9321793930307133	0.5497999999999996	0.8987068965517241	2.162976098060608
800	918	1000	0.922604814453911	0.5527999999999993	0.9030501089324618	2.2417757670084635
900	910	1000	0.9386288333212501	0.5573999999999992	0.9010989010989011	2.3168830990791323
1000	899	1000	0.9461901764835674	0.563399999999999	0.9010011123470523	2.3883617361386618
1100	887	1000	0.9336637316459319	0.5683999999999991	0.9098083427282976	2.456788448492686
1200	883	1000	0.9186004372770846	0.5727999999999991	0.8980747451868629	2.5231305678685505
1300	872	1000	0.9386993209954697	0.5773999999999992	0.9013761467889908	2.587801384925842
1400	860	1000	0.9241831784737095	0.5817999999999992	0.9	2.6494607170422872
1500	844	1000	0.9259607490080299	0.5879999999999994	0.9063981042654028	2.7067101995150247
1600	833	1000	0.9396055937869185	0.5937999999999991	0.907563025210084	2.761718765894572
1700	827	1000	0.9366605808401153	0.5975999999999989	0.9044740024183797	2.813781233628591
1800	821	1000	0.9407749663244251	0.6007999999999986	0.9062119366626066	2.8634706139564514
1900	817	1000	0.9335603409185544	0.6009999999999986	0.9106487148102815	2.912554617722829
2000	814	1000	0.916651236870657	0.6027999999999987	0.9054054054054054	2.961054229736328
2100	802	1000	0.9288927331844975	0.6057999999999989	0.9102244389027432	3.007258681456248
2200	788	1000	0.9393187219350834	0.6097999999999989	0.9187817258883249	3.053412131468455
2300	785	1000	0.9219966629427203	0.6119999999999984	0.9299363057324841	3.098237915833791
2400	783	1000	0.9169595561313093	0.615999999999998	0.9220945083014048	3.1426928838094077
2500	776	1000	0.9255436428826421	0.618999999999998	0.9304123711340206	3.185929000377655
2600	766	1000	0.9102431491825448	0.623399999999998	0.9425587467362925	3.2282342513402305
2700	763	1000	0.9215901279954213	0.6271999999999979	0.9318479685452162	3.2697137157122294
2800	754	1000	0.9280498989180991	0.6305999999999982	0.9297082228116711	3.310060449441274
2900	751	1000	0.9913801519988159	0.6347999999999979	0.9280958721704394	3.351267651716868
3000	744	1000	0.9593609945208076	0.6399999999999979	0.9206989247311828	3.3905882517496746
3100	747	1000	0.9237182539077736	0.6409999999999976	0.9250334672021419	3.4295295000076296
3200	749	1000	0.9274916438678482	0.6419999999999977	0.9172229639519359	3.4696691632270813
3300	741	1000	0.9215498461443672	0.6439999999999978	0.9230769230769231	3.510359497865041
3400	739	1000	0.9154646124191688	0.6453999999999976	0.9282814614343707	3.549450182914734
3500	739	1000	0.9049401622888459	0.6481999999999976	0.9228687415426252	3.588072101275126
3600	734	1000	0.9219546636846032	0.6485999999999981	0.9277929155313351	3.626451818148295
3700	730	1000	0.8827660884352649	0.6499999999999987	0.9260273972602739	3.6660403331120808
3800	724	1000	0.9112197478045975	0.6533999999999985	0.9295580110497238	3.706952965259552
3900	725	1000	0.9156886734018541	0.6535999999999983	0.9337931034482758	3.747841501235962
4000	727	1000	0.932220240427609	0.6551999999999979	0.9312242090784044	3.7888538519541424
4100	726	1000	0.8820289444658949	0.6567999999999979	0.9297520661157025	3.830600317319234
4200	724	1000	0.8870531537645562	0.6583999999999978	0.9337016574585635	3.8709312001864116
4300	717	1000	0.8615822925505854	0.6583999999999979	0.9344490934449093	3.9109833161036174
4400	715	1000	0.8777730887834301	0.6597999999999979	0.9356643356643357	3.9496931513150533
4500	712	1000	0.8691362687893646	0.6601999999999978	0.9311797752808989	3.987086300055186
4600	702	1000	0.8486407501492201	0.6613999999999982	0.9387464387464387	4.0246806859970095
4700	702	1000	0.8400819453865558	0.663399999999998	0.9387464387464387	4.06112585067749
4800	696	1000	0.8384400506326268	0.6649999999999981	0.9367816091954023	4.098169350624085
4900	688	1000	0.7833830293529779	0.6665999999999985	0.938953488372093	4.134165600935618
5000	682	1000	0.7855713642164478	0.6703999999999989	0.9413489736070382	4.1700052658716835
5100	679	1000	0.8605981647183337	0.6719999999999986	0.9499263622974963	4.456051866213481
5200	673	1000	0.05295949118216106	0.6739999999999986	0.950965824665676	4.494408214092255
5300	673	1000	0.7554583880085057	0.6759999999999984	0.9524517087667161	4.533359829584757
5400	675	1000	0.8009514160114622	0.6761999999999986	0.9437037037037037	4.5747631351153055
5500	671	1000	0.7021378769797372	0.6773999999999986	0.9448584202682563	4.616582882404328
5600	672	1000	0.7259260988568298	0.6773999999999986	0.9419642857142857	4.653762984275818
5700	673	1000	0.7546433703491016	0.6793999999999983	0.9390787518573551	4.692676417032877
5800	676	1000	0.7713540869175517	0.679999999999998	0.9319526627218935	4.731634346644084
5900	681	1000	0.8366318656241982	0.6813999999999981	0.9192364170337739	4.772590100765228
6000	673	1000	0.8426586864948652	0.6819999999999986	0.9286775631500743	4.812261434396108
6100	674	1000	0.821083141792477	0.682199999999999	0.9287833827893175	4.857747916380564
6200	668	1000	0.7240559224980904	0.6839999999999989	0.9221556886227545	4.898113950093587
6300	668	1000	0.7478273489257795	0.6851999999999991	0.9296407185628742	4.938475318749746
6400	667	1000	0.8549429199554847	0.6863999999999993	0.9280359820089955	4.977228049437205
6500	662	1000	0.85516370506366	0.6887999999999991	0.9395770392749244	5.015945033232371
6600	658	1000	0.7384819944165035	0.6919999999999991	0.9452887537993921	5.053762634595235
6700	659	1000	0.9277629818365376	0.6939999999999986	0.9423368740515933	5.090463880697886
6800	652	1000	0.9840735759602791	0.6951999999999988	0.9447852760736196	5.12645556529363
6900	652	1000	0.8256327174312932	0.6947999999999986	0.941717791411043	5.163010783990225
7000	650	1000	0.8087105515151822	0.6949999999999986	0.943076923076923	5.199397301673889
7100	648	1000	0.778273614294807	0.6955999999999988	0.941358024691358	5.235958949724833
7200	645	1000	0.8067328988013823	0.696999999999999	0.9426356589147287	5.271685469150543
7300	643	1000	0.7892287696657959	0.6983999999999988	0.9471228615863142	5.307347186406454
7400	640	1000	0.6874505886346257	0.697999999999999	0.94375	5.341978653271993
7500	632	1000	0.7210987208993089	0.7003999999999989	0.9477848101265823	5.376249953111013
7600	631	1000	0.7782913800489805	0.7013999999999988	0.9492868462757528	5.410492253303528
7700	632	1000	0.8054470135901678	0.7021999999999987	0.9493670886075949	5.443850068251292
7800	630	1000	0.8543965417422686	0.7021999999999984	0.953968253968254	5.477747948964437
7900	625	1000	0.9604164241819465	0.7039999999999981	0.9552	5.51239101489385
8000	623	1000	0.8793284974964272	0.7047999999999981	0.9518459069020867	5.547424948215484
8100	627	1000	0.7803397042790475	0.704599999999998	0.9409888357256778	5.582547132174174
8200	626	1000	0.6982704983529744	0.7049999999999979	0.9345047923322684	5.618881551424662
8300	629	1000	0.7869991415509833	0.7061999999999979	0.9364069952305246	5.6558070143063865
8400	629	1000	0.7864065889697095	0.7071999999999978	0.931637519872814	5.693460949261984
8500	632	1000	0.7992682856639263	0.7073999999999978	0.9319620253164557	5.730367966492971
8600	638	1000	0.8356213010262888	0.706999999999998	0.9216300940438872	5.770186750094096
8700	642	1000	0.32649990507434656	0.7083999999999978	0.926791277258567	5.810912215709687
8800	644	1000	0.9969040380155488	0.7095999999999983	0.9192546583850931	5.849868567784627
8900	642	1000	0.8528037273506185	0.7095999999999986	0.9236760124610592	5.889192835489909
9000	640	1000	0.9964441375939499	0.7109999999999985	0.9265625	5.927241369088491
9100	634	1000	0.9965757841715697	0.7115999999999987	0.9321766561514195	5.9648743669192
9200	635	1000	0.9967085666996677	0.7127999999999984	0.9338582677165355	6.000999232133229
9300	631	1000	0.9970970757106395	0.7145999999999985	0.936608557844691	6.035600380102793
9400	625	1000	0.9969660710487607	0.7169999999999985	0.9424	6.069975181420644
