Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[0, 1]	add(lt(sin(X1), max(-3, X1)), mul(lt(X1, X1), X0))	None	0.08180498345424932	0.5075587774294671	1	484.74680719161097	9963	0	5.0	456.3859527267875	4967	10000	369	638	1	0.03828842014794354	50.0	0.08180498345424932	0.08180498345424932	0.006692055317950005	1
[0, 1, 3]	max(sub(X1, 4), mul(X0, X3))	None	0.3588843511240193	0.5883894984326026	1	484.74680719161097	9963	0	5.0	456.3859527267875	5890	10000	425	638	1	0.4208913396670145	106.0	0.3588843511240193	0.3588843511240193	0.12879797748170838	1
[1, 2, 3]	add(neg(lt(X2, X1)), mul(1, X3))	None	0.20501267202241094	0.5386167711598755	1	484.74680719161097	9963	0	5.0	456.3859527267875	5247	10000	393	638	1	0.193307181260288	74.0	0.20501267202241094	0.20501267202241094	0.04203019568976864	1
[0, 2, 3]	max(max(gt(X3, -1), X3), div(neg(X2), gt(-1, X0)))	None	0.20476325243877205	0.5385423197492172	1	484.74680719161097	9963	0	5.0	456.3859527267875	5247	10000	393	638	1	0.19294357205914775	74.0	0.20476325243877205	0.20476325243877205	0.04192798954930429	1
[1, 2, 4]	lt(neg(X1), lt(X2, X4))	None	0.08180498345424932	0.5075587774294671	1	484.74680719161097	9963	0	5.0	456.3859527267875	4967	10000	369	638	1	0.03828842014794354	50.0	0.08180498345424932	0.08180498345424932	0.006692055317950005	1
[0]	cos(cos(add(X0, X0)))	None	0.08103187428498557	0.5072663933921021	1	484.74680719161097	9963	0	5.0	456.3859527267875	4961	10000	369	638	1	0.03680869946466756	50.0	0.08103187428498557	0.08103187428498557	0.006566164650137705	1
[0, 1]	div(mul(X1, X0), div(5, X1))	None	0.22282932838463307	0.5430619122257054	2	484.74680719161097	9963	0	5.0	912.771905453575	5415	10000	396	638	1	0.21491985188927368	77.0	0.22282932838463307	0.22282932838463307	0.04965290958834664	1
[0, 2, 3]	gt(mul(add(X0, X0), X2), cos(X3))	None	0.0816180066058947	0.5074882445141067	1	484.74680719161097	9963	0	5.0	456.3859527267875	4966	10000	369	638	1	0.03793147620794129	50.0	0.0816180066058947	0.0816180066058947	0.006661499002319871	1
[0, 1, 3, 4]	add(add(div(X3, X1), div(X0, X3)), add(X0, X4))	None	0.1834257210560164	0.5336370021287848	1	484.74680719161097	9963	0	5.0	456.3859527267875	5228	10000	388	638	1	0.16887752239818093	69.0	0.1834257210560164	0.1834257210560164	0.03364499514491954	1
[3, 4]	add(max(X4, X3), sub(1, 1))	None	0.20404154021755627	0.5383268025078382	2	484.74680719161097	9963	0	5.0	912.771905453575	5247	10000	393	638	1	0.19189072891013115	74.0	0.20404154021755627	0.20404154021755627	0.041632950134352635	1
[0, 3, 4]	max(lt(sin(X0), gt(-3, X3)), sin(div(X4, X0)))	None	0.0776353217104139	0.5064336910911202	1	484.74680719161097	9963	0	5.0	456.3859527267875	4958	10000	368	638	1	0.03259365289169997	49.0	0.0776353217104139	0.0776353217104139	0.006027243177079464	1
[0, 4]	gt(max(X4, X4), sub(X0, 4))	None	0.08171145722891167	0.5075235109717868	1	484.74680719161097	9963	0	5.0	456.3859527267875	4966	10000	369	638	1	0.03810994936122237	50.0	0.08171145722891167	0.08171145722891167	0.006676762242472261	1
[2, 3, 4]	lt(sin(X3), add(X2, X4))	None	0.08180498345424932	0.5075587774294671	1	484.74680719161097	9963	0	5.0	456.3859527267875	4967	10000	369	638	1	0.03828842014794354	50.0	0.08180498345424932	0.08180498345424932	0.006692055317950005	1
[3, 4]	sub(max(X3, X3), cos(X4))	None	0.14412032277971132	0.5199595213493068	1	484.74680719161097	9963	0	5.0	456.3859527267875	5242	10000	392	638	1	0.10081711569984725	73.0	0.14412032277971132	0.14412032277971132	0.020770667438128176	1
[0, 3]	sin(gt(X3, X0))	None	0.08072549170622786	0.507149971602444	1	484.74680719161097	9963	0	5.0	456.3859527267875	4964	10000	369	638	1	0.03621945860485156	50.0	0.08072549170622786	0.08072549170622786	0.006516605011212264	1
[0]	gt(div(X0, 1), neg(1))	None	0.08180498345424932	0.5075587774294671	1	484.74680719161097	9963	0	5.0	456.3859527267875	4967	10000	369	638	1	0.03828842014794354	50.0	0.08180498345424932	0.08180498345424932	0.006692055317950005	1
[1, 4]	sub(max(0, X4), div(X1, 0))	None	0.10379829729904017	0.5133072100313487	1	484.74680719161097	9963	0	5.0	456.3859527267875	5011	10000	374	638	1	0.06733942310493023	55.0	0.10379829729904017	0.10379829729904017	0.010774086522179928	1
[0, 4]	max(max(1, X0), sin(X4))	None	0.10912530029193143	0.5147257053291541	1	484.74680719161097	9963	0	5.0	456.3859527267875	5016	10000	375	638	1	0.07449290365499832	56.0	0.10912530029193143	0.10912530029193143	0.011908331163804211	1
[]	lt(neg(4), sin(4))	None	0.08180498345424932	0.5075587774294671	1	484.74680719161097	9963	0	5.0	456.3859527267875	4967	10000	369	638	1	0.03828842014794354	50.0	0.08180498345424932	0.08180498345424932	0.006692055317950005	1
[2, 3]	div(mul(1, X3), sub(X2, X2))	None	0.08180498345424932	0.5075587774294671	1	484.74680719161097	9963	0	5.0	456.3859527267875	4967	10000	369	638	1	0.03828842014794354	50.0	0.08180498345424932	0.08180498345424932	0.006692055317950005	1
[0, 3]	neg(neg(max(X3, X0)))	None	0.2044351473349085	0.5384443573667722	1	484.74680719161097	9963	0	5.0	456.3859527267875	5247	10000	393	638	1	0.1924650603957046	74.0	0.2044351473349085	0.2044351473349085	0.041793729465845746	1
[0, 4]	max(sin(X0), sub(X4, -4))	None	0.1699217992208687	0.5301763322884014	1	484.74680719161097	9963	0	5.0	456.3859527267875	5161	10000	386	638	1	0.1517787025781912	67.0	0.1699217992208687	0.1699217992208687	0.028873417850457214	1
[0, 1, 2]	add(div(X2, X1), neg(X0))	None	0.22314965226477193	0.5398931494750456	2	484.74680719161097	9993	0	5.0	912.771905453575	5454	10000	407	638	1	0.19953271177975326	88.0	0.22314965226477193	0.22314965226477193	0.04979576730588863	1
[0, 1, 3]	sub(mul(mul(X3, 3), max(X1, 3)), mul(sin(X0), lt(X3, X0)))	None	0.6483940387563976	0.6536792450962525	1	484.74680719161097	9979	0	5.0	456.3859527267875	7013	10000	525	638	1	0.6547603429334106	206.0	0.6483940387563976	0.6483940387563976	0.4204148294948328	1
[0, 1, 2, 4]	lt(sub(cos(X1), sub(X2, -5)), lt(mul(X1, X4), neg(X0)))	None	0.08180498345424932	0.5075587774294671	1	484.74680719161097	9963	0	5.0	456.3859527267875	4967	10000	369	638	1	0.03828842014794354	50.0	0.08180498345424932	0.08180498345424932	0.006692055317950005	1
