Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[0, 2, 5]	mul(gt(X5, X0), lt(X2, X5))	None	0.46608899069841414	0.5652650862068966	1	496.51667946189895	4989	0	6.0	497.6308449460097	3081	5000	395	638	1	0.31949178073036005	76.0	0.46608899069841414	0.46608899069841414	0.21723894725026638	1
[3, 5]	max(gt(gt(X5, X5), mul(X3, X5)), div(cos(X5), add(X3, X5)))	None	0.4660897305808555	0.5652656396993628	1	496.51667946189895	4989	0	6.0	497.6308449460097	3082	5000	395	638	1	0.31949430703010395	76.0	0.4660897305808555	0.4660897305808555	0.21723963695293447	1
[]	max(cos(5), sin(5))	None	0.46611465593337287	0.5652842864621324	1	496.51667946189895	4989	0	6.0	497.6308449460097	3082	5000	395	638	1	0.31957941367430137	76.0	0.46611465593337287	0.46611465593337287	0.21726287247588658	1
[0, 5]	cos(lt(X0, X5))	None	0.4661407602520144	0.565303816389894	1	496.51667946189895	4989	0	6.0	497.6308449460097	3082	5000	395	638	1	0.3196685458523554	76.0	0.4661407602520144	0.4661407602520144	0.21728720836832596	1
[2, 5]	lt(sin(X5), mul(X5, X2))	None	0.4661788139614257	0.5653322884012535	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.3197984787592226	76.0	0.4661788139614257	0.4661788139614257	0.21732268658648154	1
[2, 4]	cos(neg(gt(X2, X4)))	None	0.4661381118491527	0.5653018349343157	1	496.51667946189895	4989	0	6.0	497.6308449460097	3082	5000	395	638	1	0.3196595029840596	76.0	0.4661381118491527	0.4661381118491527	0.2172847393182932	1
[3]	gt(neg(1), div(X3, X3))	None	0.46608872879518415	0.5652648902821317	2	496.51667946189895	4989	0	6.0	995.2616898920194	3081	5000	395	638	1	0.31949088647199425	76.0	0.46608872879518415	0.46608872879518415	0.21723870310991072	1
[0, 3, 4]	div(add(lt(5, X3), lt(X3, X0)), sin(gt(X4, 5)))	None	0.46617724267945315	0.5653311127081304	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.3197931136781999	76.0	0.46617724267945315	0.46617724267945315	0.21732122159221776	1
[2, 5]	lt(mul(4, X2), lt(X5, X2))	None	0.46608872879518415	0.5652648902821317	1	496.51667946189895	4989	0	6.0	497.6308449460097	3081	5000	395	638	1	0.31949088647199425	76.0	0.46608872879518415	0.46608872879518415	0.21723870310991072	1
[3, 5]	max(sin(X3), cos(X5))	None	0.23860230094608115	0.44560043776094915	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.0022582264481606404	76.0	0.23860230094608115	0.23860230094608115	0.05693105801676428	1
[0, 2, 5]	lt(sin(X2), add(X5, X0))	None	0.4661798613507261	0.5653330721003129	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.3198020550291454	76.0	0.4661798613507261	0.4661798613507261	0.2173236631289822	1
[3]	neg(cos(cos(X3)))	None	0.23721770563222108	0.0	1	496.51667946189895	4989	0	6.0	497.6308449460097	3081	5000	395	638	1	0.0	76.0	0.23721770563222108	0.23721770563222108	0.056272239865415095	1
[2, 3, 4]	sub(gt(cos(X3), X4), gt(neg(X4), sin(X2)))	None	0.46608872879518415	0.5652648902821317	1	496.51667946189895	4989	0	6.0	497.6308449460097	3081	5000	395	638	1	0.31949088647199425	76.0	0.46608872879518415	0.46608872879518415	0.21723870310991072	1
[1, 2, 3, 5]	sub(sub(sin(4), neg(X3)), mul(gt(X1, X2), cos(X5)))	None	0.34900759305032114	0.5308439875919372	1	496.51667946189895	4989	0	6.0	497.6308449460097	3089	5000	396	638	1	0.15508473185129737	77.0	0.34900759305032114	0.34900759305032114	0.12180630000677857	1
[2, 4]	gt(sub(X4, X4), max(X4, X2))	None	0.46608872879518415	0.5652648902821317	2	496.51667946189895	4989	0	6.0	995.2616898920194	3081	5000	395	638	1	0.31949088647199425	76.0	0.46608872879518415	0.46608872879518415	0.21723870310991072	1
[0, 1]	lt(max(4, X1), mul(4, X0))	None	0.4661458198728754	0.5653076018808774	3	496.51667946189895	4989	0	6.0	1492.892534838029	3081	5000	395	638	1	0.31968582173048393	76.0	0.4661458198728754	0.4661458198728754	0.2172919253849552	1
[0, 2]	lt(div(4, X0), add(4, X2))	None	0.46618012319764657	0.5653332680250778	2	496.51667946189895	4989	0	6.0	995.2616898920194	3083	5000	395	638	1	0.3198029490952444	76.0	0.46618012319764657	0.46618012319764657	0.21732390726457293	1
[1, 4]	div(mul(0, X4), lt(X4, X1))	None	0.4661248699117511	0.5652919278996862	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.3196142889051761	76.0	0.4661248699117511	0.4661248699117511	0.2172723943502469	1
[1, 3]	neg(add(X3, X1))	None	0.2343519505620164	0.0	1	496.51667946189895	4989	0	6.0	497.6308449460097	3052	5000	394	638	1	0.0	75.0	0.2343519505620164	0.2343519505620164	0.054920836732221784	1
[0, 3]	cos(max(neg(X0), lt(4, X3)))	None	0.46614786270525	0.56530913029349	1	496.51667946189895	4989	0	6.0	497.6308449460097	3082	5000	395	638	1	0.3196927969019658	76.0	0.46614786270525	0.46614786270525	0.2172938299046726	1
[0, 2, 3, 4, 5]	max(lt(add(X5, X2), gt(X0, X3)), mul(lt(X3, X2), lt(4, X4)))	None	0.46612905998682147	0.5652950626959246	2	496.51667946189895	4989	0	6.0	995.2616898920194	3081	5000	395	638	1	0.31962859575311015	76.0	0.46612905998682147	0.46612905998682147	0.2172763005641978	1
[2, 5]	max(neg(X2), gt(X5, X2))	None	0.46608899069841414	0.5652650862068966	1	496.51667946189895	4989	0	6.0	497.6308449460097	3081	5000	395	638	1	0.31949178073036005	76.0	0.46608899069841414	0.46608899069841414	0.21723894725026638	1
[1, 2, 3, 4]	mul(div(gt(X1, X1), gt(X2, X4)), sin(gt(X3, X2)))	None	0.46608872879518415	0.5652648902821317	1	496.51667946189895	4989	0	6.0	497.6308449460097	3081	5000	395	638	1	0.31949088647199425	76.0	0.46608872879518415	0.46608872879518415	0.21723870310991072	1
[0, 2, 5]	gt(max(div(X0, X5), sub(-4, -4)), lt(gt(X5, X2), cos(X2)))	None	0.4661340356471679	0.5652987852664574	1	496.51667946189895	4989	0	6.0	497.6308449460097	3081	5000	395	638	1	0.31964558495133555	76.0	0.4661340356471679	0.4661340356471679	0.21728093918871516	1
[1, 3, 5]	gt(div(X5, X1), div(X5, X3))	None	0.46614241557466274	0.5653050548589342	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.31967419788698886	76.0	0.46614241557466274	0.46614241557466274	0.21728875159778158	1
[2, 5]	gt(mul(gt(X5, X2), lt(X5, X2)), sin(add(-3, X2)))	None	0.46613272626852936	0.565297805642633	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.3196411141290341	76.0	0.46613272626852936	0.46613272626852936	0.21727971849853173	1
[0, 3, 4, 5]	sub(div(X3, X0), div(X4, X5))	None	0.28198959229072795	0.51352262601041	1	496.51667946189895	4989	0	6.0	497.6308449460097	3088	5000	395	638	1	0.06842621913968275	76.0	0.28198959229072795	0.28198959229072795	0.07951813016029098	1
[1]	sub(div(X1, X1), cos(2))	None	0.46621335674751924	0.5653581357337668	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.3199164237553306	76.0	0.46621335674751924	0.46621335674751924	0.21735489400978963	1
[0, 2, 4]	add(cos(X2), add(X4, X0))	None	0.47304564403969995	0.5668062247628972	1	496.51667946189895	4989	0	6.0	497.6308449460097	3084	5000	396	638	1	0.326508806198802	77.0	0.47304564403969995	0.47304564403969995	0.2237721813449345	1
[0, 2, 3]	max(sin(neg(X2)), max(max(X3, X3), lt(X0, X2)))	None	0.4732301292716804	0.5669449451410666	1	496.51667946189895	4989	0	6.0	497.6308449460097	3089	5000	396	638	1	0.3271387238293311	77.0	0.4732301292716804	0.4732301292716804	0.22394675525049135	1
[1, 2, 3]	cos(mul(sin(X1), lt(X2, X3)))	None	0.46618012319764657	0.5653332680250778	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.3198029490952444	76.0	0.46618012319764657	0.46618012319764657	0.21732390726457293	1
[1, 3, 4]	add(max(X3, X4), max(X1, X3))	None	0.4870234625866617	0.5699608150470221	2	496.51667946189895	4989	0	6.0	995.2616898920194	3091	5000	398	638	1	0.34076313038098316	79.0	0.4870234625866617	0.4870234625866617	0.23719185310990146	1
[1, 3, 4]	gt(max(sub(X4, X3), gt(X1, X4)), add(X1, sin(X3)))	None	0.4660905621143962	0.5652662617554858	1	496.51667946189895	4989	0	6.0	497.6308449460097	3081	5000	395	638	1	0.3194971462689526	76.0	0.4660905621143962	0.4660905621143962	0.2172404120921138	1
[0, 2, 3, 5]	sub(add(max(X0, X3), X5), lt(gt(X3, X3), neg(X2)))	None	0.4879804886342712	0.5706886755485896	2	496.51667946189895	4989	0	6.0	995.2616898920194	3098	5000	398	638	1	0.34403085850097004	79.0	0.4879804886342712	0.4879804886342712	0.23812495728774208	1
[3, 5]	sub(max(cos(X3), X3), neg(X5))	None	0.48800055706409795	0.5707039576802508	2	496.51667946189895	4989	0	6.0	995.2616898920194	3098	5000	398	638	1	0.3440993813720379	79.0	0.48800055706409795	0.48800055706409795	0.23814454369486993	1
[1, 5]	add(max(2, X1), div(X1, X5))	None	0.4666047004792598	0.5656511140851371	1	496.51667946189895	4989	0	6.0	497.6308449460097	3088	5000	395	638	1	0.3212526516667686	76.0	0.4666047004792598	0.4666047004792598	0.21771994650933973	1
[0]	add(cos(X0), cos(0))	None	0.46617108036891397	0.5653265018743563	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.31977207270916547	76.0	0.46617108036891397	0.46617108036891397	0.21731547617232044	1
[0, 1]	div(mul(X1, X1), div(X0, X1))	None	0.522451203616895	0.5783779780564262	1	496.51667946189895	4989	0	6.0	497.6308449460097	3145	5000	403	638	1	0.3780487901703154	84.0	0.522451203616895	0.522451203616895	0.2729552601607423	1
[1, 2, 4]	lt(neg(X1), lt(X2, X4))	None	0.46618012319764657	0.5653332680250778	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.3198029490952444	76.0	0.46618012319764657	0.46618012319764657	0.21732390726457293	1
[0, 1, 4]	mul(mul(div(X4, X4), max(X0, X0)), max(mul(X1, X0), gt(X0, X0)))	None	0.5014791609569187	0.5735164576802505	2	496.51667946189895	4989	0	6.0	995.2616898920194	3107	5000	400	638	1	0.3566491565847097	81.0	0.5014791609569187	0.5014791609569187	0.25148134887405516	1
[0, 2, 3, 5]	gt(mul(cos(X0), lt(X5, X0)), gt(mul(X5, X2), gt(X3, X0)))	None	0.46608899069841403	0.5652650862068965	1	496.51667946189895	4989	0	6.0	497.6308449460097	3081	5000	395	638	1	0.3194917807303596	76.0	0.46608899069841403	0.46608899069841403	0.21723894725026627	1
[0, 4]	gt(mul(4, X0), mul(X4, X4))	None	0.46611937037536433	0.5652878134796235	1	496.51667946189895	4989	0	6.0	497.6308449460097	3083	5000	395	638	1	0.3195955109526401	76.0	0.46611937037536433	0.46611937037536433	0.21726726743912605	1
