Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[2, 4]	cos(neg(gt(X2, X4)))	None	0.4626907973339991	0.5653018349343157	1	461.25886458730804	9999	0	6.0	461.25886458730804	6159	10000	395	638	1	0.3196595029840596	76.0	0.4626907973339991	0.4626907973339991	0.21408277393757183	1
[3]	gt(neg(1), div(X3, X3))	None	0.4626619082361188	0.5652648902821317	2	461.25886458730804	9999	0	6.0	922.5177291746161	6158	10000	395	638	1	0.31949088647199425	76.0	0.4626619082361188	0.4626619082361188	0.21405604133268682	1
[2, 5]	lt(mul(4, X2), lt(X5, X2))	None	0.4626619082361188	0.5652648902821317	1	461.25886458730804	9999	0	6.0	461.25886458730804	6158	10000	395	638	1	0.31949088647199425	76.0	0.4626619082361188	0.4626619082361188	0.21405604133268682	1
[0, 2, 5]	lt(sin(X2), add(X5, X0))	None	0.46271522080198013	0.5653330721003129	1	461.25886458730804	9999	0	6.0	461.25886458730804	6160	10000	395	638	1	0.3198020550291454	76.0	0.46271522080198013	0.46271522080198013	0.21410537556182524	1
[1, 2, 3, 5]	sub(sub(sin(4), neg(X3)), mul(gt(X1, X2), cos(X5)))	None	0.34900759305032114	0.5308439875919372	1	461.25886458730804	9999	0	6.0	461.25886458730804	6177	10000	396	638	1	0.15508473185129737	77.0	0.34900759305032114	0.34900759305032114	0.12180630000677857	1
[2, 4]	gt(sub(X4, X4), max(X4, X2))	None	0.4626619082361188	0.5652648902821317	1	461.25886458730804	9999	0	6.0	461.25886458730804	6158	10000	395	638	1	0.31949088647199425	76.0	0.4626619082361188	0.4626619082361188	0.21405604133268682	1
[0, 1]	lt(max(4, X1), mul(4, X0))	None	0.462695306529642	0.5653076018808774	2	461.25886458730804	9999	0	6.0	922.5177291746161	6158	10000	395	638	1	0.31968582173048393	76.0	0.462695306529642	0.462695306529642	0.21408694668455938	1
[0, 2]	lt(div(4, X0), add(4, X2))	None	0.46271537398248846	0.5653332680250778	1	461.25886458730804	9999	0	6.0	461.25886458730804	6160	10000	395	638	1	0.3198029490952444	76.0	0.46271537398248846	0.46271537398248846	0.21410551731975416	1
[2, 5]	max(neg(X2), gt(X5, X2))	None	0.4626620614495683	0.5652650862068966	1	461.25886458730804	9999	0	6.0	461.25886458730804	6158	10000	395	638	1	0.31949178073036005	76.0	0.4626620614495683	0.4626620614495683	0.2140561831047641	1
[2, 5]	gt(mul(gt(X5, X2), lt(X5, X2)), sin(add(-3, X2)))	None	0.4626876467681011	0.565297805642633	2	461.25886458730804	9999	0	6.0	922.5177291746161	6160	10000	395	638	1	0.3196411141290341	76.0	0.4626876467681011	0.4626876467681011	0.21407985847180308	1
[0, 2, 4]	add(cos(X2), add(X4, X0))	None	0.4692317038677751	0.5668062247628972	2	461.25886458730804	9999	0	6.0	922.5177291746161	6163	10000	396	638	1	0.326508806198802	77.0	0.4692317038677751	0.4692317038677751	0.22017839191465535	1
[1, 3, 4]	add(max(X3, X4), max(X1, X3))	None	0.48240872815962965	0.5699608150470221	1	461.25886458730804	9999	0	6.0	461.25886458730804	6180	10000	398	638	1	0.34076313038098316	79.0	0.48240872815962965	0.48240872815962965	0.23271818100459146	1
[1, 5]	add(max(2, X1), div(X1, X5))	None	0.46296375178946003	0.5656511140851371	1	461.25886458730804	9999	0	6.0	461.25886458730804	6171	10000	395	638	1	0.3212526516667686	76.0	0.46296375178946003	0.46296375178946003	0.21433543547097275	1
