Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[6]	['5']	[4.33, 7.27]	0.9968260325025547	0.9410347222222223	2	960.000386501523	99989	0	0.14285714285714285	1920.0009662538077	18813	18813	120	120	1	0.9930871973441642	85.20376175548589	0.9968260325025547	0.9968260325025547	0.9936621390747843	1
[5, 6]	add(sub(1, X5), X6)	None	0.994294903543982	0.9076802507836992	1	960.1568542829639	99973	619	7.0	959.9116908140843	49610	99381	637	638	1	0.9797573077433042	318.0	0.994294903543982	0.994294903543982	0.9886223552135365	1
[6]	add(div(-1, 3), X6)	None	0.8362980870016457	0.706382793451759	5	960.1568542829639	99989	1454	7.0	4799.558454070421	25275	98546	637	638	1	0.785185083963718	318.0	0.8362980870016457	0.8362980870016457	0.699394490322612	1
[5, 6]	add(X5, X6)	None	0.9976183439947967	0.9258881922675026	6	960.1568542829639	99989	1459	7.0	5759.470144884506	59551	98541	637	638	1	0.9853070224844503	318.0	0.9976183439947967	0.9976183439947967	0.9952423602749204	1
[6, 2, 5, 4]	['2', [7.050000000000001, 1.0], [-0.050000000000000044, 0.65], '3']	[1.4, 3.1999999999999997]	1.0	1.0	1	325.3056092214038	2498	2498	0.5714285714285714	325.3056092214038	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[0, 1, 2, 6]	add(mul(div(X6, X2), div(X0, X1)), X6)	None	0.9663652205803999	0.8588285636587155	2	960.1568542829639	99989	3707	7.0	1919.8233816281686	59375	96293	614	638	1	0.9590334124621084	295.0	0.9663652205803999	0.9663652205803999	0.9338617395474049	1
[6]	add(1, X6)	None	0.9943809653748267	0.9143939393939394	5	960.1568542829639	99973	4719	7.0	4799.558454070421	49505	95281	636	638	1	0.9819184103940461	317.0	0.9943809653748267	0.9943809653748267	0.9887935042997722	1
[6]	add(mul(X6, 1), 1)	None	0.9943893947725871	0.9144723092998954	1	960.1568542829639	99973	4960	7.0	959.9116908140843	49264	95040	636	638	1	0.9819428170970422	317.0	0.9943893947725871	0.9943893947725871	0.9888102684361921	1
[2, 4, 5, 6]	add(mul(mul(X2, X5), mul(X4, X6)), X6)	None	0.9820514294494472	0.8932601880877744	2	960.1568542829639	99989	5434	7.0	1919.8233816281686	51298	94566	618	638	1	0.9746136194929528	299.0	0.9820514294494472	0.9820514294494472	0.9644250100837026	1
[0, 1, 2, 3, 5, 6]	add(mul(sub(sub(div(1, X6), div(-1, X3)), div(sub(div(X3, sub(X0, 1)), X1), X2)), mul(X2, X5)), add(X6, X5))	None	0.9804929637323676	0.8894353012887497	2	960.1568542829639	99989	7497	7.0	1919.8233816281686	50036	92503	614	638	1	0.9731251245955003	295.0	0.9804929637323676	0.9804929637323676	0.961366451928682	1
