Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[1, 3, 6]	add(sub(lt(-2, X3), cos(X6)), sin(X1))	None	0.25739632517704353	0.5208841887699813	1	540.6574671703127	9981	0	7.0	541.0293120668603	4100	10000	489	638	1	0.10545465033661693	170.0	0.25739632517704353	0.25739632517704353	0.06625286821464633	1
[0, 1, 3, 4, 6]	add(cos(mul(0, X1)), lt(div(X4, X6), max(X3, X0)))	None	0.6539840469744823	0.6453500522466037	2	540.6574671703127	9981	0	7.0	1082.0586241337205	3805	10000	538	638	1	0.6294994585980437	219.0	0.6539840469744823	0.6539840469744823	0.42769513369712187	1
[2, 4, 5]	sin(gt(max(-1, X4), sub(X5, X2)))	None	0.1258623920400619	0.50621713785353	1	540.6574671703127	9944	0	7.0	541.0293120668603	3543	10000	407	638	1	0.03149729360918942	88.0	0.1258623920400619	0.1258623920400619	0.015841341730046234	1
[4]	div(cos(max(3, 3)), lt(add(X4, -1), sub(3, 3)))	None	0.1963134855754971	0.525757575757575	1	540.6574671703127	9944	0	7.0	541.0293120668603	3695	10000	421	638	1	0.12981824069858483	102.0	0.1963134855754971	0.1963134855754971	0.03853898461880091	1
[4, 5]	div(div(X4, X4), lt(X5, X4))	None	0.1963134855754971	0.525757575757575	1	540.6574671703127	9944	0	7.0	541.0293120668603	3695	10000	421	638	1	0.12981824069858483	102.0	0.1963134855754971	0.1963134855754971	0.03853898461880091	1
[1]	gt(cos(X1), neg(X1))	None	0.1963134855754971	0.525757575757575	1	540.6574671703127	9944	0	7.0	541.0293120668603	3695	10000	421	638	1	0.12981824069858483	102.0	0.1963134855754971	0.1963134855754971	0.03853898461880091	1
[3, 5]	neg(sub(sin(X5), lt(X5, X3)))	None	0.1256667310415335	0.5056477027723845	1	540.6574671703127	9944	0	7.0	541.0293120668603	3508	10000	408	638	1	0.02861402919317584	89.0	0.1256667310415335	0.1256667310415335	0.01579212729066512	1
[0, 3]	div(sin(cos(X0)), lt(mul(3, X3), sub(3, 2)))	None	0.11172072930218072	0.5002115678041165	1	540.6574671703127	9944	0	7.0	541.0293120668603	3578	10000	407	638	1	0.001072190650372529	88.0	0.11172072930218072	0.11172072930218072	0.012481521355811142	1
[2, 5, 6]	div(add(X5, X2), lt(X2, X6))	None	0.301972409049827	0.5516718913270633	1	540.6574671703127	9944	0	7.0	541.0293120668603	3763	10000	444	638	1	0.2561897171289579	125.0	0.301972409049827	0.301972409049827	0.09118733582735603	1
[0, 1, 2, 6]	lt(sub(sub(0, X2), add(X0, X6)), div(div(-2, X1), add(X6, X2)))	None	0.19694084358552003	0.5259665621734579	1	540.6574671703127	9944	0	7.0	541.0293120668603	3699	10000	421	638	1	0.13085983563023973	102.0	0.19694084358552003	0.19694084358552003	0.038785695872176264	1
