Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[2, 4, 5]	gt(add(X4, X2), mul(X5, X4))	None	0.10225270588581886	0.5171891327063745	1	503.2100902338345	4973	0	6.0	512.7626127922931	2658	5000	362	638	1	0.0868978587050846	43.0	0.10225270588581886	0.10225270588581886	0.010455615860971774	1
[2, 3, 5]	gt(lt(cos(X2), lt(X3, X5)), lt(-2, sin(X5)))	None	0.10196451439951061	0.5171003134796242	2	503.2100902338345	4973	0	6.0	1025.5252255845862	2656	5000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[1, 3, 4]	mul(div(X4, X1), mul(X3, 3))	None	0.46077277647561377	0.6370420025376919	3	503.2100902338345	4990	0	6.0	1538.2878383768793	3291	5000	447	638	1	0.6029671515381616	128.0	0.46077277647561377	0.46077277647561377	0.21231155154104592	1
[0, 5]	div(mul(X0, X0), add(3, X5))	None	0.12003193228788048	0.5216234962219204	1	503.2100902338345	4973	0	6.0	512.7626127922931	2684	5000	365	638	1	0.10915934020779737	46.0	0.12003193228788048	0.12003193228788048	0.014407664768762323	1
[0, 2, 3, 5]	max(cos(cos(X3)), div(add(X2, X5), sin(X0)))	None	0.3203646879389178	0.5835055047973006	1	503.2100902338345	4990	0	6.0	512.7626127922931	3021	5000	410	638	1	0.400202452671468	91.0	0.3203646879389178	0.3203646879389178	0.1026335332782002	1
[0, 2, 5]	gt(mul(mul(X2, X0), sin(X0)), add(lt(3, X5), X5))	None	0.10245632851038686	0.5172518286311394	1	503.2100902338345	4973	0	6.0	512.7626127922931	2657	5000	362	638	1	0.0872132474442323	43.0	0.10245632851038686	0.10245632851038686	0.010497299251828312	1
[1, 5]	lt(cos(X1), cos(X5))	None	0.12275384070015553	0.5221316614420066	1	503.2100902338345	4973	0	6.0	512.7626127922931	2675	5000	366	638	1	0.1117040660482932	47.0	0.12275384070015553	0.12275384070015553	0.015068505406639161	1
[5]	cos(max(neg(X5), sin(5)))	None	0.11814529876171943	0.5210595121936554	1	503.2100902338345	4973	0	6.0	512.7626127922931	2675	5000	365	638	1	0.1063334623233179	46.0	0.11814529876171943	0.11814529876171943	0.013958311619495943	1
[4]	gt(cos(-4), cos(X4))	None	0.10668772917424074	0.5182236154649953	1	503.2100902338345	4973	0	6.0	512.7626127922931	2661	5000	363	638	1	0.09209955982244421	44.0	0.10668772917424074	0.10668772917424074	0.01138227155635614	1
[2, 4, 5]	mul(sub(div(X2, X4), lt(X4, -4)), lt(gt(X5, -4), X5))	None	0.16572942412743535	0.5326978404737022	1	503.2100902338345	4973	0	6.0	512.7626127922931	2724	5000	373	638	1	0.1642465454002865	54.0	0.16572942412743535	0.16572942412743535	0.027466242021611353	1
[0, 2, 4, 5]	gt(lt(sin(X0), mul(X5, X5)), sub(mul(X4, X2), gt(X0, X5)))	None	0.10228663190389846	0.5171995820271686	1	503.2100902338345	4973	0	6.0	512.7626127922931	2660	5000	362	638	1	0.08695042467389079	43.0	0.10228663190389846	0.10228663190389846	0.010462555066243618	1
[4]	gt(gt(0, -4), lt(-4, X4))	None	0.10196451439951061	0.5171003134796242	1	503.2100902338345	4973	0	6.0	512.7626127922931	2656	5000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[0, 2, 4]	lt(max(X0, X4), neg(X2))	None	0.10196451439951061	0.5171003134796242	1	503.2100902338345	4973	0	6.0	512.7626127922931	2656	5000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[0, 2, 4]	gt(neg(X4), sub(X2, X0))	None	0.10210009381963128	0.5171421107628007	1	503.2100902338345	4973	0	6.0	512.7626127922931	2658	5000	362	638	1	0.08666130602182126	43.0	0.10210009381963128	0.10210009381963128	0.01042442915797751	1
[1, 4, 5]	lt(sub(sin(-3), div(4, X4)), max(sub(X4, X4), sub(X1, X5)))	None	0.12985539602025256	0.5239393939393943	1	503.2100902338345	4973	0	6.0	512.7626127922931	2688	5000	367	638	1	0.12074483386055541	48.0	0.12985539602025256	0.12985539602025256	0.016862423875576626	1
[0]	mul(sub(X0, X0), sin(3))	None	0.10196451439951061	0.5171003134796242	1	503.2100902338345	4973	0	6.0	512.7626127922931	2656	5000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[0, 1, 2, 4]	gt(mul(add(4, X0), sub(X2, X4)), neg(X1))	None	0.12870637601603815	0.5235997910135842	1	503.2100902338345	4973	0	6.0	512.7626127922931	2678	5000	367	638	1	0.11904786462046907	48.0	0.12870637601603815	0.12870637601603815	0.0165653312271818	1
[0, 1, 4]	max(gt(mul(X4, X4), sin(X0)), cos(mul(2, X1)))	None	0.12985539602025256	0.5239393939393943	1	503.2100902338345	4973	0	6.0	512.7626127922931	2688	5000	367	638	1	0.12074483386055541	48.0	0.12985539602025256	0.12985539602025256	0.016862423875576626	1
[0, 2]	mul(gt(X2, X2), cos(X0))	None	0.10196451439951061	0.5171003134796242	1	503.2100902338345	4973	0	6.0	512.7626127922931	2656	5000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[0, 3, 5]	add(add(X5, X5), add(X0, X3))	None	0.5488016156993204	0.6795663531870433	1	503.2100902338345	4990	0	6.0	512.7626127922931	3537	5000	472	638	1	0.7249443679783687	153.0	0.5488016156993204	0.5488016156993204	0.3011832133941846	1
[2]	cos(gt(X2, X2))	None	0.12985539602025256	0.5239393939393943	1	503.2100902338345	4973	0	6.0	512.7626127922931	2688	5000	367	638	1	0.12074483386055541	48.0	0.12985539602025256	0.12985539602025256	0.016862423875576626	1
[2, 4]	max(max(X2, X4), neg(X4))	None	0.23843007676505457	0.5570794148380359	2	503.2100902338345	4973	0	6.0	1025.5252255845862	2836	5000	389	638	1	0.2816630588120648	70.0	0.23843007676505457	0.23843007676505457	0.05684890150618981	1
[1, 2, 3]	gt(lt(lt(-4, -3), neg(X2)), lt(div(-4, X1), X3))	None	0.10196451439951061	0.5171003134796242	1	503.2100902338345	4973	0	6.0	512.7626127922931	2656	5000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[0, 1, 2, 3, 5]	mul(gt(div(X1, -3), div(X5, X2)), gt(add(X3, X5), lt(X0, X0)))	None	0.10196451439951061	0.5171003134796242	1	503.2100902338345	4973	0	6.0	512.7626127922931	2656	5000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[0, 5]	gt(gt(X5, X0), max(X5, -3))	None	0.10196451439951061	0.5171003134796242	1	503.2100902338345	4973	0	6.0	512.7626127922931	2656	5000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[3, 5]	sub(neg(neg(3)), lt(add(X3, 3), cos(X5)))	None	0.1816112818795131	0.5376489028213173	1	503.2100902338345	4973	0	6.0	512.7626127922931	2745	5000	376	638	1	0.18857626752224346	57.0	0.1816112818795131	0.1816112818795131	0.03298265770591996	1
[2]	mul(neg(X2), neg(X2))	None	0.3846189335106715	0.6021786833855798	1	503.2100902338345	4998	0	6.0	512.7626127922931	3100	5000	429	638	1	0.47702634619842443	110.0	0.3846189335106715	0.3846189335106715	0.14793172401488636	1
[2, 3, 5]	lt(gt(neg(X5), neg(2)), lt(div(X2, X3), lt(X3, X3)))	None	0.10196451439951061	0.5171003134796242	1	503.2100902338345	4973	0	6.0	512.7626127922931	2656	5000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[0, 3, 4]	gt(sub(cos(X3), mul(X4, X0)), add(sin(X4), neg(-3)))	None	0.10196451439951061	0.5171003134796242	1	503.2100902338345	4973	0	6.0	512.7626127922931	2656	5000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[3]	cos(cos(cos(X3)))	None	0.12407736395530011	0.5225256632531619	1	503.2100902338345	4973	0	6.0	512.7626127922931	2681	5000	366	638	1	0.11367611978200676	47.0	0.12407736395530011	0.12407736395530011	0.015395192246096008	1
[1]	div(neg(X1), cos(-3))	None	0.21416755611614716	0.5493713902922669	1	503.2100902338345	4973	0	6.0	512.7626127922931	2842	5000	383	638	1	0.24524465558085398	64.0	0.21416755611614716	0.21416755611614716	0.04586774209276304	1
[0, 2]	max(gt(gt(-2, -2), sin(X0)), sin(sub(-2, X2)))	None	0.10870647947616044	0.5188386774874425	1	503.2100902338345	4973	0	6.0	512.7626127922931	2674	5000	363	638	1	0.09518998366330678	44.0	0.10870647947616044	0.10870647947616044	0.01181709868010089	1
[0, 1, 4, 5]	gt(sin(cos(X1)), max(sub(X4, X0), lt(X1, X5)))	None	0.1023035965776492	0.5172048066875655	1	503.2100902338345	4973	0	6.0	512.7626127922931	2657	5000	362	638	1	0.08697670748160816	43.0	0.1023035965776492	0.1023035965776492	0.010466025872722398	1
[1, 3, 5]	sin(div(lt(X1, X5), X3))	None	0.10234805766867298	0.5172184978800748	1	503.2100902338345	4973	0	6.0	512.7626127922931	2660	5000	362	638	1	0.08704558086893574	43.0	0.10234805766867298	0.10234805766867298	0.01047512490855001	1
[0, 1, 3]	lt(neg(mul(X1, X3)), mul(lt(-5, X0), sub(-5, -3)))	None	0.1302272401312064	0.5240491118077327	1	503.2100902338345	4973	0	6.0	512.7626127922931	2688	5000	367	638	1	0.1212929392115131	48.0	0.1302272401312064	0.1302272401312064	0.016959134072190896	1
[0, 1, 4]	sub(max(X1, X4), div(-5, X0))	None	0.26104141946516335	0.5652812608847091	1	503.2100902338345	4973	0	6.0	512.7626127922931	2910	5000	394	638	1	0.31956560482159163	75.0	0.26104141946516335	0.26104141946516335	0.06814262267638736	1
[0, 4]	lt(sin(-5), lt(X4, X0))	None	0.10714949139737479	0.5183646812957161	1	503.2100902338345	4973	0	6.0	512.7626127922931	2665	5000	363	638	1	0.0928085100908791	44.0	0.10714949139737479	0.10714949139737479	0.011481013506716093	1
[]	neg(cos(-4))	None	0.1188092151785001	0.5212583106882309	1	503.2100902338345	4973	0	6.0	512.7626127922931	2676	5000	365	638	1	0.10732974794039837	46.0	0.1188092151785001	0.1188092151785001	0.014115629611331138	1
[1]	add(sin(1), add(1, X1))	None	0.2444253488333899	0.5597062791812739	1	503.2100902338345	4973	0	6.0	512.7626127922931	2891	5000	390	638	1	0.2939021508659421	71.0	0.2444253488333899	0.2444253488333899	0.05974375115232434	1
[0, 4]	gt(mul(add(X0, X0), X4), cos(1))	None	0.12905960769138916	0.523704284221526	1	503.2100902338345	4973	0	6.0	512.7626127922931	2683	5000	367	638	1	0.11957008154607239	48.0	0.12905960769138916	0.12905960769138916	0.016656382337455276	1
[1, 3, 4]	max(lt(X3, X4), add(X1, X4))	None	0.2860010413577017	0.5738819226750265	1	503.2100902338345	4990	0	6.0	512.7626127922931	2957	5000	400	638	1	0.3582709069330254	81.0	0.2860010413577017	0.2860010413577017	0.0817965956576898	1
[1, 2, 3, 5]	sub(sub(add(X5, X5), sin(X1)), gt(max(X2, X2), mul(X3, 2)))	None	0.296837096345259	0.556483903434011	1	503.2100902338345	4990	0	6.0	512.7626127922931	3174	5000	427	638	1	0.2788758661000727	108.0	0.296837096345259	0.296837096345259	0.08811226176668457	1
[5]	sub(sin(-2), neg(X5))	None	0.09168942270287561	0.4836754710102764	1	503.2100902338345	4990	0	6.0	512.7626127922931	2891	5000	391	638	1	0.0024511834512542705	72.0	0.09168942270287561	0.09168942270287561	0.008406950235586602	1
[]	sin(lt(cos(3), sin(2)))	None	0.12924131545302703	0.5237580049408203	1	503.2100902338345	4973	0	6.0	512.7626127922931	2686	5000	367	638	1	0.11983853203522504	48.0	0.12924131545302703	0.12924131545302703	0.016703317620028843	1
[2]	sin(lt(5, X2))	None	0.11805224681601703	0.5210316201944756	1	503.2100902338345	4973	0	6.0	512.7626127922931	2667	5000	365	638	1	0.10619366392580086	46.0	0.11805224681601703	0.11805224681601703	0.013936332978309804	1
[2]	lt(gt(1, X2), max(-1, X2))	None	0.12955460045828782	0.5238505747126438	1	503.2100902338345	4973	0	6.0	512.7626127922931	2684	5000	367	638	1	0.12030107703947475	48.0	0.12955460045828782	0.12955460045828782	0.01678439449990659	1
[0, 1, 4]	max(add(X4, X0), sin(X1))	None	0.250841114822903	0.5611859979101361	1	503.2100902338345	4973	0	6.0	512.7626127922931	2872	5000	392	638	1	0.3007557703094625	73.0	0.250841114822903	0.250841114822903	0.06292126488559681	1
[1, 2, 3]	max(gt(neg(X3), sin(-1)), cos(mul(X1, X2)))	None	0.10874636118365825	0.5188507859283185	1	503.2100902338345	4973	0	6.0	512.7626127922931	2671	5000	363	638	1	0.09525080567880576	44.0	0.10874636118365825	0.10874636118365825	0.011825771070686655	1
[1, 3, 4, 5]	div(div(sub(X3, X3), sub(X4, X1)), gt(mul(X5, X4), 4))	None	0.1068244694538408	0.5182654127481718	1	503.2100902338345	4973	0	6.0	512.7626127922931	2660	5000	363	638	1	0.0923096286667313	44.0	0.1068244694538408	0.1068244694538408	0.011411467274094566	1
