Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[2, 4, 5]	gt(add(X4, X2), mul(X5, X4))	None	0.10225270588581886	0.5171891327063745	1	613.8771317205444	9958	0	6.0	623.4890911146102	4658	10000	362	638	1	0.0868978587050846	43.0	0.10225270588581886	0.10225270588581886	0.010455615860971774	1
[1, 3, 4]	mul(div(X4, X1), mul(X3, 3))	None	0.46077277647561377	0.6370420025376919	1	613.8771317205444	9958	0	6.0	623.4890911146102	5787	10000	447	638	1	0.6029671515381616	128.0	0.46077277647561377	0.46077277647561377	0.21231155154104592	1
[0, 5]	div(mul(X0, X0), add(3, X5))	None	0.12003193228788048	0.5216234962219204	1	613.8771317205444	9958	0	6.0	623.4890911146102	4710	10000	365	638	1	0.10915934020779737	46.0	0.12003193228788048	0.12003193228788048	0.014407664768762323	1
[0, 2, 3, 5]	max(cos(cos(X3)), div(add(X2, X5), sin(X0)))	None	0.3203646879389178	0.5835055047973006	2	613.8771317205444	9958	0	6.0	1246.9781822292205	5280	10000	410	638	1	0.400202452671468	91.0	0.3203646879389178	0.3203646879389178	0.1026335332782002	1
[5]	cos(max(neg(X5), sin(5)))	None	0.11814529876171943	0.5210595121936554	1	613.8771317205444	9958	0	6.0	623.4890911146102	4690	10000	365	638	1	0.1063334623233179	46.0	0.11814529876171943	0.11814529876171943	0.013958311619495943	1
[4]	gt(cos(-4), cos(X4))	None	0.10668772917424074	0.5182236154649953	1	613.8771317205444	9958	0	6.0	623.4890911146102	4663	10000	363	638	1	0.09209955982244421	44.0	0.10668772917424074	0.10668772917424074	0.01138227155635614	1
[2, 4, 5]	mul(sub(div(X2, X4), lt(X4, -4)), lt(gt(X5, -4), X5))	None	0.16572942412743535	0.5326978404737022	2	613.8771317205444	9958	0	6.0	1246.9781822292205	4769	10000	373	638	1	0.1642465454002865	54.0	0.16572942412743535	0.16572942412743535	0.027466242021611353	1
[4]	gt(gt(0, -4), lt(-4, X4))	None	0.10196451439951061	0.5171003134796242	1	613.8771317205444	9958	0	6.0	623.4890911146102	4653	10000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[1, 4, 5]	lt(sub(sin(-3), div(4, X4)), max(sub(X4, X4), sub(X1, X5)))	None	0.12985539602025256	0.5239393939393943	1	613.8771317205444	9958	0	6.0	623.4890911146102	4706	10000	367	638	1	0.12074483386055541	48.0	0.12985539602025256	0.12985539602025256	0.016862423875576626	1
[0, 1, 2, 4]	gt(mul(add(4, X0), sub(X2, X4)), neg(X1))	None	0.12870637601603815	0.5235997910135842	1	613.8771317205444	9958	0	6.0	623.4890911146102	4689	10000	367	638	1	0.11904786462046907	48.0	0.12870637601603815	0.12870637601603815	0.0165653312271818	1
[0, 1, 4]	max(gt(mul(X4, X4), sin(X0)), cos(mul(2, X1)))	None	0.12985539602025256	0.5239393939393943	1	613.8771317205444	9958	0	6.0	623.4890911146102	4706	10000	367	638	1	0.12074483386055541	48.0	0.12985539602025256	0.12985539602025256	0.016862423875576626	1
[2]	cos(gt(X2, X2))	None	0.12985539602025256	0.5239393939393943	1	613.8771317205444	9958	0	6.0	623.4890911146102	4706	10000	367	638	1	0.12074483386055541	48.0	0.12985539602025256	0.12985539602025256	0.016862423875576626	1
[1, 2, 3]	gt(lt(lt(-4, -3), neg(X2)), lt(div(-4, X1), X3))	None	0.10196451439951061	0.5171003134796242	1	613.8771317205444	9958	0	6.0	623.4890911146102	4653	10000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[2, 3, 5]	lt(gt(neg(X5), neg(2)), lt(div(X2, X3), lt(X3, X3)))	None	0.10196451439951061	0.5171003134796242	1	613.8771317205444	9958	0	6.0	623.4890911146102	4653	10000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[0, 3, 4]	gt(sub(cos(X3), mul(X4, X0)), add(sin(X4), neg(-3)))	None	0.10196451439951061	0.5171003134796242	1	613.8771317205444	9958	0	6.0	623.4890911146102	4653	10000	362	638	1	0.08645102898499425	43.0	0.10196451439951061	0.10196451439951061	0.010396762196728008	1
[1]	div(neg(X1), cos(-3))	None	0.21416755611614716	0.5493713902922669	1	613.8771317205444	9958	0	6.0	623.4890911146102	5014	10000	383	638	1	0.24524465558085398	64.0	0.21416755611614716	0.21416755611614716	0.04586774209276304	1
[0, 1, 4, 5]	gt(sin(cos(X1)), max(sub(X4, X0), lt(X1, X5)))	None	0.1023035965776492	0.5172048066875655	1	613.8771317205444	9958	0	6.0	623.4890911146102	4657	10000	362	638	1	0.08697670748160816	43.0	0.1023035965776492	0.1023035965776492	0.010466025872722398	1
[0, 1, 4]	sub(max(X1, X4), div(-5, X0))	None	0.26104141946516335	0.5652812608847091	1	613.8771317205444	9958	0	6.0	623.4890911146102	5149	10000	394	638	1	0.31956560482159163	75.0	0.26104141946516335	0.26104141946516335	0.06814262267638736	1
[]	neg(cos(-4))	None	0.1188092151785001	0.5212583106882309	1	613.8771317205444	9958	0	6.0	623.4890911146102	4691	10000	365	638	1	0.10732974794039837	46.0	0.1188092151785001	0.1188092151785001	0.014115629611331138	1
[]	sin(lt(cos(3), sin(2)))	None	0.12924131545302703	0.5237580049408203	1	613.8771317205444	9958	0	6.0	623.4890911146102	4702	10000	367	638	1	0.11983853203522504	48.0	0.12924131545302703	0.12924131545302703	0.016703317620028843	1
[2]	sin(lt(5, X2))	None	0.11805224681601703	0.5210316201944756	1	613.8771317205444	9958	0	6.0	623.4890911146102	4675	10000	365	638	1	0.10619366392580086	46.0	0.11805224681601703	0.11805224681601703	0.013936332978309804	1
[2]	lt(gt(1, X2), max(-1, X2))	None	0.12955460045828782	0.5238505747126438	1	613.8771317205444	9958	0	6.0	623.4890911146102	4700	10000	367	638	1	0.12030107703947475	48.0	0.12955460045828782	0.12955460045828782	0.01678439449990659	1
[0, 1, 4]	max(add(X4, X0), sin(X1))	None	0.250841114822903	0.5611859979101361	1	613.8771317205444	9958	0	6.0	623.4890911146102	5069	10000	392	638	1	0.3007557703094625	73.0	0.250841114822903	0.250841114822903	0.06292126488559681	1
[1, 2, 3]	max(gt(neg(X3), sin(-1)), cos(mul(X1, X2)))	None	0.10874636118365825	0.5188507859283185	2	613.8771317205444	9958	0	6.0	13337.75149969802	4677	10000	363	638	1	0.09525080567880576	44.0	0.10874636118365825	0.10874636118365825	0.011825771070686655	1
[1, 3, 4, 5]	div(div(sub(X3, X3), sub(X4, X1)), gt(mul(X5, X4), 4))	None	0.1068244694538408	0.5182654127481718	1	613.8771317205444	9958	0	6.0	623.4890911146102	4658	10000	363	638	1	0.0923096286667313	44.0	0.1068244694538408	0.1068244694538408	0.011411467274094566	1
